[b15-r6-adaptive-refine/m0.00325] [gmean] 2026-07-21T11:04:56 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/refine_reliable/margin_0p00325
[b15-r6-adaptive-refine/m0.00325] [gmean] 2026-07-21T11:04:56 budgets=iscas99__b15_1:278
[b15-r6-adaptive-refine/m0.00325] [gmean] 2026-07-21T11:04:56 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive-refine/m0.00325] [gmean] 2026-07-21T11:04:56 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.792870 sequence=45.873514
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=1.795458 sequence=47.668972
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=29 node=N576 type=observe q_typed_reliable_context=1.811691 sequence=49.480663
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=0.502996 sequence=49.983659
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=31 node=N7413 type=control1 q_typed_reliable_context=0.188144 sequence=50.171802
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=32 node=N7882 type=control1 q_typed_reliable_context=1.061988 sequence=51.233790
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=33 node=N7883 type=control1 q_typed_reliable_context=0.594464 sequence=51.828255
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=34 node=N7881 type=control1 q_typed_reliable_context=0.302126 sequence=52.130381
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=35 node=N7884 type=control1 q_typed_reliable_context=0.534661 sequence=52.665041
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=36 node=N7885 type=control1 q_typed_reliable_context=0.474023 sequence=53.139064
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=37 node=N4691 type=control0 q_typed_reliable_context=1.600374 sequence=54.739438
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=38 node=N4684 type=control0 q_typed_reliable_context=1.282103 sequence=56.021541
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=39 node=N4677 type=control0 q_typed_reliable_context=0.848295 sequence=56.869836
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=40 node=N4663 type=control0 q_typed_reliable_context=0.924653 sequence=57.794489
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_reliable_context=0.913455 sequence=58.707944
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=42 node=N4649 type=control0 q_typed_reliable_context=1.209215 sequence=59.917158
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=43 node=N704 type=observe q_typed_reliable_context=1.320856 sequence=61.238015
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_reliable_context=2.763769 sequence=64.001783
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_reliable_context=2.413160 sequence=66.414943
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=46 node=N724 type=observe q_typed_reliable_context=2.225292 sequence=68.640235
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=47 node=N4635 type=control0 q_typed_reliable_context=1.612949 sequence=70.253184
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.046174 sequence=71.299359
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_reliable_context=1.057256 sequence=72.356615
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=50 node=N3911 type=control0 q_typed_reliable_context=0.837830 sequence=73.194445
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=51 node=N3904 type=control0 q_typed_reliable_context=0.840458 sequence=74.034903
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=52 node=N3897 type=control0 q_typed_reliable_context=0.826820 sequence=74.861723
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=53 node=N3862 type=control0 q_typed_reliable_context=0.827167 sequence=75.688890
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=54 node=N3855 type=control0 q_typed_reliable_context=0.833140 sequence=76.522030
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_reliable_context=0.848282 sequence=77.370312
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=56 node=N3701 type=control0 q_typed_reliable_context=0.900203 sequence=78.270515
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=57 node=N3742 type=control0 q_typed_reliable_context=0.925733 sequence=79.196248
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.958558 sequence=80.154805
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=59 node=N2083 type=observe q_typed_reliable_context=0.962509 sequence=81.117315
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=60 node=N5603 type=control0 q_typed_reliable_context=0.995023 sequence=82.112338
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=0.850550 sequence=82.962888
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=62 node=N7471 type=control0 q_typed_reliable_context=1.029901 sequence=83.992789
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.834408 sequence=85.827197
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=64 node=N4712 type=control0 q_typed_reliable_context=1.100202 sequence=86.927400
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=65 node=N4705 type=control0 q_typed_reliable_context=1.218218 sequence=88.145617
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.376320 sequence=89.521938
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.030139 sequence=90.552077
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=68 node=N3805 type=control0 q_typed_reliable_context=0.803274 sequence=91.355352
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=1.231843 sequence=92.587194
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=70 node=N519 type=control1 q_typed_reliable_context=1.510040 sequence=94.097234
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=71 node=N504 type=control1 q_typed_reliable_context=1.641135 sequence=95.738370
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=72 node=N899 type=observe q_typed_reliable_context=1.537925 sequence=97.276295
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=73 node=N513 type=control1 q_typed_reliable_context=1.552134 sequence=98.828429
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=74 node=N1539 type=control0 q_typed_reliable_context=1.521359 sequence=100.349787
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=75 node=N516 type=control1 q_typed_reliable_context=1.703505 sequence=102.053292
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=76 node=N520 type=control1 q_typed_reliable_context=1.441004 sequence=103.494296
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=77 node=N7724 type=control0 q_typed_reliable_context=1.481937 sequence=104.976233
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=78 node=N7370 type=control1 q_typed_reliable_context=1.387099 sequence=106.363332
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=79 node=N4606 type=control0 q_typed_reliable_context=1.214792 sequence=107.578124
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=80 node=N7875 type=control1 q_typed_reliable_context=1.788949 sequence=109.367072
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=81 node=N555 type=control1 q_typed_reliable_context=1.343534 sequence=110.710606
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=82 node=N7886 type=control1 q_typed_reliable_context=1.288001 sequence=111.998607
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=83 node=N7887 type=control1 q_typed_reliable_context=1.454576 sequence=113.453184
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=84 node=N7888 type=control1 q_typed_reliable_context=1.621309 sequence=115.074493
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=85 node=N7889 type=control1 q_typed_reliable_context=1.591182 sequence=116.665675
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=86 node=N7890 type=control1 q_typed_reliable_context=1.077619 sequence=117.743294
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=87 node=N556 type=control1 q_typed_reliable_context=0.982977 sequence=118.726271
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=88 node=N4585 type=control0 q_typed_reliable_context=0.744842 sequence=119.471113
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=89 node=N7722 type=control0 q_typed_reliable_context=1.385849 sequence=120.856962
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=90 node=N4578 type=control0 q_typed_reliable_context=1.319429 sequence=122.176391
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=91 node=N1411 type=control0 q_typed_reliable_context=1.736899 sequence=123.913290
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.546873 sequence=125.460162
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=93 node=N7723 type=control0 q_typed_reliable_context=1.398839 sequence=126.859002
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=94 node=N3722 type=control0 q_typed_reliable_context=0.978235 sequence=127.837237
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=95 node=N7725 type=control0 q_typed_reliable_context=1.577769 sequence=129.415006
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=96 node=N7846 type=control0 q_typed_reliable_context=1.703864 sequence=131.118869
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=97 node=N3827 type=control0 q_typed_reliable_context=1.467099 sequence=132.585968
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=98 node=N7408 type=control0 q_typed_reliable_context=1.602926 sequence=134.188895
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=99 node=N7541 type=control0 q_typed_reliable_context=1.584132 sequence=135.773027
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=100 node=N510 type=control1 q_typed_reliable_context=1.654820 sequence=137.427847
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=101 node=N713 type=observe q_typed_reliable_context=2.124618 sequence=139.552465
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=102 node=N3820 type=control0 q_typed_reliable_context=0.912861 sequence=140.465326
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=103 node=N610 type=control1 q_typed_reliable_context=1.107432 sequence=141.572758
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.157056 sequence=142.729813
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=105 node=N620 type=control1 q_typed_reliable_context=1.118313 sequence=143.848126
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_reliable_context=1.449705 sequence=145.297831
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=107 node=N3799 type=control0 q_typed_reliable_context=2.815296 sequence=148.113127
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=108 node=N2106 type=observe q_typed_reliable_context=2.746882 sequence=150.860009
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=109 node=N3792 type=control0 q_typed_reliable_context=1.469458 sequence=152.329467
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_reliable_context=1.548747 sequence=153.878214
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=111 node=N3785 type=control0 q_typed_reliable_context=1.649419 sequence=155.527633
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=112 node=N614 type=control1 q_typed_reliable_context=1.646391 sequence=157.174024
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=113 node=N3903 type=control0 q_typed_reliable_context=1.531822 sequence=158.705846
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=114 node=N638 type=control1 q_typed_reliable_context=1.749729 sequence=160.455574
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=115 node=N3896 type=control0 q_typed_reliable_context=1.905130 sequence=162.360704
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=116 node=N4564 type=control0 q_typed_reliable_context=1.877645 sequence=164.238349
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=117 node=N7721 type=control0 q_typed_reliable_context=2.268542 sequence=166.506892
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=118 node=N4557 type=control0 q_typed_reliable_context=3.402797 sequence=169.909689
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=119 node=N3681 type=control0 q_typed_reliable_context=2.963752 sequence=172.873440
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=120 node=N7820 type=control0 q_typed_reliable_context=3.080549 sequence=175.953990
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=121 node=N7870 type=control1 q_typed_reliable_context=2.975651 sequence=178.929641
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=122 node=N645 type=control1 q_typed_reliable_context=4.049889 sequence=182.979530
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=123 node=N7853 type=control0 q_typed_reliable_context=3.355888 sequence=186.335419
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=124 node=N2040 type=observe q_typed_reliable_context=3.731966 sequence=190.067385
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=125 node=N7847 type=control0 q_typed_reliable_context=4.316420 sequence=194.383805
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=126 node=N7736 type=control0 q_typed_reliable_context=4.517929 sequence=198.901734
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=127 node=N7532 type=observe q_typed_reliable_context=5.522302 sequence=204.424037
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=128 node=N3410 type=control1 q_typed_reliable_context=4.253090 sequence=208.677127
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=129 node=N2580 type=control1 q_typed_reliable_context=4.023902 sequence=212.701029
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=130 node=N7518 type=observe q_typed_reliable_context=4.686293 sequence=217.387322
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=131 node=N7537 type=observe q_typed_reliable_context=2.866775 sequence=220.254097
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=132 node=N7534 type=observe q_typed_reliable_context=1.896541 sequence=222.150638
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=133 node=N785 type=observe q_typed_reliable_context=1.510245 sequence=223.660883
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=134 node=N7535 type=observe q_typed_reliable_context=1.900003 sequence=225.560886
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=135 node=N636 type=control1 q_typed_reliable_context=1.386296 sequence=226.947182
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=1.387873 sequence=228.335055
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=137 node=N642 type=control1 q_typed_reliable_context=1.004948 sequence=229.340004
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=138 node=N630 type=control1 q_typed_reliable_context=0.989810 sequence=230.329813
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=139 node=N3180 type=control1 q_typed_reliable_context=0.683433 sequence=231.013246
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=140 node=N7424 type=control1 q_typed_reliable_context=1.167496 sequence=232.180742
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=141 node=N649 type=control1 q_typed_reliable_context=1.303262 sequence=233.484004
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=142 node=N1607 type=control1 q_typed_reliable_context=1.703947 sequence=235.187951
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=143 node=N7453 type=observe q_typed_reliable_context=1.736449 sequence=236.924400
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=144 node=N647 type=control1 q_typed_reliable_context=1.329454 sequence=238.253854
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=145 node=N3525 type=control1 q_typed_reliable_context=1.334227 sequence=239.588081
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=146 node=N7624 type=observe q_typed_reliable_context=0.753089 sequence=240.341170
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=147 node=N3295 type=control1 q_typed_reliable_context=1.400239 sequence=241.741408
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=148 node=N1586 type=control1 q_typed_reliable_context=1.519845 sequence=243.261254
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=149 node=N5878 type=observe q_typed_reliable_context=1.373601 sequence=244.634855
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=150 node=N7500 type=observe q_typed_reliable_context=1.587878 sequence=246.222733
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=151 node=N7627 type=observe q_typed_reliable_context=1.634540 sequence=247.857273
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=152 node=N694 type=observe q_typed_reliable_context=1.048442 sequence=248.905714
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=153 node=N7465 type=observe q_typed_reliable_context=1.074373 sequence=249.980087
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=154 node=N5876 type=observe q_typed_reliable_context=1.622607 sequence=251.602694
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=155 node=N5867 type=observe q_typed_reliable_context=1.437315 sequence=253.040009
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=156 node=N2102 type=observe q_typed_reliable_context=1.370364 sequence=254.410373
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=157 node=N7679 type=observe q_typed_reliable_context=3.278657 sequence=257.689030
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=158 node=N7436 type=observe q_typed_reliable_context=2.966552 sequence=260.655581
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=159 node=N5627 type=observe q_typed_reliable_context=2.842428 sequence=263.498009
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=160 node=N6948 type=observe q_typed_reliable_context=2.820436 sequence=266.318445
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=161 node=N578 type=observe q_typed_reliable_context=0.384449 sequence=266.702895
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=162 node=N4521 type=observe q_typed_reliable_context=2.498936 sequence=269.201831
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=163 node=N6534 type=observe q_typed_reliable_context=1.120866 sequence=270.322697
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=164 node=N2149 type=observe q_typed_reliable_context=2.158553 sequence=272.481250
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=165 node=N5617 type=observe q_typed_reliable_context=1.636543 sequence=274.117793
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=166 node=N5740 type=observe q_typed_reliable_context=1.383750 sequence=275.501543
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=167 node=N5874 type=observe q_typed_reliable_context=1.401951 sequence=276.903494
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=168 node=N712 type=observe q_typed_reliable_context=1.856922 sequence=278.760416
[b15-r6-adaptive-refine/m0.00325] [plan iscas99__b15_1] [plan] step=169 node=N722 type=observe q_typed_reliable_context=1.542472 sequence=280.302888
