[gmean] 2026-07-16T13:44:00 out_dir=autoresearch/improve-260716-1344/round1_b15/union_d002
[gmean] 2026-07-16T13:44:00 budgets=iscas99__b15_1:278
[gmean] 2026-07-16T13:44:00 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0
[gmean] 2026-07-16T13:44:00 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_lcb
[plan iscas99__b15_1] [plan] step=54 node=N6666 type=observe q_pred_lcb=-0.282115 sequence=-9.825886
[plan iscas99__b15_1] [plan] step=55 node=N2243 type=observe q_pred_lcb=-0.298486 sequence=-10.129372
[plan iscas99__b15_1] [plan] step=56 node=N2256 type=observe q_pred_lcb=-0.383986 sequence=-10.518357
[plan iscas99__b15_1] [plan] step=57 node=N2209 type=observe q_pred_lcb=-0.483811 sequence=-11.006168
[plan iscas99__b15_1] [plan] step=58 node=N2214 type=observe q_pred_lcb=-0.536840 sequence=-11.547008
[plan iscas99__b15_1] [plan] step=59 node=N2222 type=observe q_pred_lcb=-0.577703 sequence=-12.128712
[plan iscas99__b15_1] [plan] step=60 node=N5300 type=observe q_pred_lcb=-0.603790 sequence=-12.742501
[plan iscas99__b15_1] [plan] step=61 node=N2218 type=observe q_pred_lcb=-0.510078 sequence=-13.259246
[plan iscas99__b15_1] [plan] step=62 node=N2153 type=observe q_pred_lcb=-0.508029 sequence=-13.772275
[plan iscas99__b15_1] [plan] step=63 node=N7402 type=observe q_pred_lcb=-0.554142 sequence=-14.333083
[plan iscas99__b15_1] [plan] step=64 node=N2210 type=observe q_pred_lcb=-0.533888 sequence=-14.871971
[plan iscas99__b15_1] [plan] step=65 node=N2223 type=observe q_pred_lcb=-0.590531 sequence=-15.469169
[plan iscas99__b15_1] [plan] step=66 node=N2206 type=observe q_pred_lcb=-0.610790 sequence=-16.084960
[plan iscas99__b15_1] [plan] step=67 node=N2201 type=observe q_pred_lcb=-0.623815 sequence=-16.712774
[plan iscas99__b15_1] [plan] step=68 node=N2205 type=observe q_pred_lcb=-0.624585 sequence=-17.344026
[plan iscas99__b15_1] [plan] step=69 node=N2255 type=observe q_pred_lcb=-0.619901 sequence=-17.970594
[plan iscas99__b15_1] [plan] step=70 node=N2185 type=observe q_pred_lcb=-0.625209 sequence=-18.600803
[plan iscas99__b15_1] [plan] step=71 node=N2157 type=observe q_pred_lcb=-0.600673 sequence=-19.206475
[plan iscas99__b15_1] [plan] step=72 node=N2173 type=observe q_pred_lcb=-0.629790 sequence=-19.841265
[plan iscas99__b15_1] [plan] step=73 node=N2265 type=observe q_pred_lcb=-0.665058 sequence=-20.512991
[plan iscas99__b15_1] [plan] step=74 node=N2268 type=observe q_pred_lcb=-0.663465 sequence=-21.180456
[plan iscas99__b15_1] [plan] step=75 node=N2251 type=observe q_pred_lcb=-0.664750 sequence=-21.849206
[plan iscas99__b15_1] [plan] step=76 node=N2169 type=observe q_pred_lcb=-0.619626 sequence=-22.473832
[plan iscas99__b15_1] [plan] step=77 node=N2161 type=observe q_pred_lcb=-0.640230 sequence=-23.119061
[plan iscas99__b15_1] [plan] step=78 node=N2177 type=observe q_pred_lcb=-0.604373 sequence=-23.728434
[plan iscas99__b15_1] [plan] step=79 node=N2149 type=observe q_pred_lcb=-0.578332 sequence=-24.311766
[plan iscas99__b15_1] [plan] step=80 node=N2165 type=observe q_pred_lcb=-0.556308 sequence=-24.873074
[plan iscas99__b15_1] [plan] step=81 node=N2247 type=observe q_pred_lcb=-0.695399 sequence=-25.572473
[plan iscas99__b15_1] [plan] step=82 node=N2267 type=observe q_pred_lcb=-0.692901 sequence=-26.272041
[plan iscas99__b15_1] [plan] step=83 node=N2261 type=observe q_pred_lcb=-0.721283 sequence=-26.993324
[plan iscas99__b15_1] [plan] step=84 node=N2155 type=observe q_pred_lcb=-0.734802 sequence=-27.732126
[plan iscas99__b15_1] [plan] step=85 node=N2263 type=observe q_pred_lcb=-0.753055 sequence=-28.489181
[plan iscas99__b15_1] [plan] step=86 node=N2253 type=observe q_pred_lcb=-0.767647 sequence=-29.261828
[plan iscas99__b15_1] [plan] step=87 node=N2226 type=observe q_pred_lcb=-0.774042 sequence=-30.040870
[plan iscas99__b15_1] [plan] step=88 node=N5334 type=observe q_pred_lcb=-0.850937 sequence=-30.901808
[plan iscas99__b15_1] [plan] step=89 node=N5866 type=observe q_pred_lcb=-0.815483 sequence=-31.717291
[plan iscas99__b15_1] [plan] step=90 node=N5740 type=observe q_pred_lcb=-0.900594 sequence=-32.624552
[plan iscas99__b15_1] [plan] step=91 node=N5867 type=observe q_pred_lcb=-0.647447 sequence=-33.278666
[plan iscas99__b15_1] [plan] step=92 node=N2159 type=observe q_pred_lcb=-0.498776 sequence=-33.781442
[plan iscas99__b15_1] [plan] step=93 node=N2175 type=observe q_pred_lcb=-0.586930 sequence=-34.372372
[plan iscas99__b15_1] [plan] step=94 node=N5143 type=observe q_pred_lcb=-0.735572 sequence=-35.117943
[plan iscas99__b15_1] [plan] step=95 node=N2171 type=observe q_pred_lcb=-0.453054 sequence=-35.574997
[plan iscas99__b15_1] [plan] step=96 node=N2163 type=observe q_pred_lcb=-0.571696 sequence=-36.150693
[plan iscas99__b15_1] [plan] step=97 node=N2179 type=observe q_pred_lcb=-0.566253 sequence=-36.720946
[plan iscas99__b15_1] [plan] step=98 node=N2151 type=observe q_pred_lcb=-0.555257 sequence=-37.280203
[plan iscas99__b15_1] [plan] step=99 node=N2167 type=observe q_pred_lcb=-0.565609 sequence=-37.849812
[plan iscas99__b15_1] [plan] step=100 node=N2211 type=observe q_pred_lcb=-0.623615 sequence=-38.483427
[plan iscas99__b15_1] [plan] step=101 node=N5251 type=observe q_pred_lcb=-0.753827 sequence=-39.247254
[plan iscas99__b15_1] [plan] step=102 node=N5422 type=observe q_pred_lcb=-0.784840 sequence=-40.038761
[plan iscas99__b15_1] [plan] step=103 node=N5738 type=observe q_pred_lcb=-0.777190 sequence=-40.825951
[plan iscas99__b15_1] [plan] step=104 node=N2340 type=observe q_pred_lcb=-0.772263 sequence=-41.603214
[plan iscas99__b15_1] [plan] step=105 node=N8480 type=observe q_pred_lcb=-0.757209 sequence=-42.360423
[plan iscas99__b15_1] [plan] step=106 node=N5473 type=observe q_pred_lcb=-0.769889 sequence=-43.136979
[plan iscas99__b15_1] [plan] step=107 node=N5439 type=observe q_pred_lcb=-0.783391 sequence=-43.927037
[plan iscas99__b15_1] [plan] step=108 node=N2101 type=observe q_pred_lcb=-0.351089 sequence=-44.278126
[plan iscas99__b15_1] [plan] step=109 node=N5077 type=observe q_pred_lcb=-0.733193 sequence=-45.021319
[plan iscas99__b15_1] [plan] step=110 node=N5356 type=observe q_pred_lcb=-0.766523 sequence=-45.797841
[plan iscas99__b15_1] [plan] step=111 node=N8451 type=observe q_pred_lcb=-0.777164 sequence=-46.575006
[plan iscas99__b15_1] [plan] step=112 node=N5283 type=observe q_pred_lcb=-0.773828 sequence=-47.358834
[plan iscas99__b15_1] [plan] step=113 node=N2102 type=observe q_pred_lcb=-0.323300 sequence=-47.682134
[plan iscas99__b15_1] [plan] step=114 node=N7499 type=observe q_pred_lcb=-0.722365 sequence=-48.404499
[plan iscas99__b15_1] [plan] step=115 node=N5735 type=observe q_pred_lcb=-0.735091 sequence=-49.149590
[plan iscas99__b15_1] [plan] step=116 node=N2156 type=observe q_pred_lcb=-0.524840 sequence=-49.681097
[plan iscas99__b15_1] [plan] step=117 node=N5046 type=observe q_pred_lcb=-0.688565 sequence=-50.379662
[plan iscas99__b15_1] [plan] step=118 node=N5234 type=observe q_pred_lcb=-0.732897 sequence=-51.122559
[plan iscas99__b15_1] [plan] step=119 node=N5317 type=observe q_pred_lcb=-0.738584 sequence=-51.871144
[plan iscas99__b15_1] [plan] step=120 node=N5111 type=observe q_pred_lcb=-0.736466 sequence=-52.617610
[plan iscas99__b15_1] [plan] step=121 node=N8482 type=observe q_pred_lcb=-0.734233 sequence=-53.351842
[plan iscas99__b15_1] [plan] step=122 node=N5202 type=observe q_pred_lcb=-0.731187 sequence=-54.093030
[plan iscas99__b15_1] [plan] step=123 node=N2106 type=observe q_pred_lcb=-0.279613 sequence=-54.376643
[plan iscas99__b15_1] [plan] step=124 node=N5028 type=observe q_pred_lcb=-0.676094 sequence=-55.062737
[plan iscas99__b15_1] [plan] step=125 node=N2249 type=observe q_pred_lcb=-0.410141 sequence=-55.479544
[plan iscas99__b15_1] [plan] step=126 node=N5094 type=observe q_pred_lcb=-0.670483 sequence=-56.160027
[plan iscas99__b15_1] [plan] step=127 node=N2160 type=observe q_pred_lcb=-0.352437 sequence=-56.519131
[plan iscas99__b15_1] [plan] step=128 node=N2245 type=observe q_pred_lcb=-0.441474 sequence=-56.967271
[plan iscas99__b15_1] [plan] step=129 node=N2176 type=observe q_pred_lcb=-0.481697 sequence=-57.455635
[plan iscas99__b15_1] [plan] step=130 node=N2172 type=observe q_pred_lcb=-0.512327 sequence=-57.974629
[plan iscas99__b15_1] [plan] step=131 node=N2164 type=observe q_pred_lcb=-0.531334 sequence=-58.512630
[plan iscas99__b15_1] [plan] step=132 node=N5160 type=observe q_pred_lcb=-0.728402 sequence=-59.251031
[plan iscas99__b15_1] [plan] step=133 node=N2180 type=observe q_pred_lcb=-0.382449 sequence=-59.640147
[plan iscas99__b15_1] [plan] step=134 node=N2152 type=observe q_pred_lcb=-0.487630 sequence=-60.134444
[plan iscas99__b15_1] [plan] step=135 node=N2168 type=observe q_pred_lcb=-0.498250 sequence=-60.639360
[plan iscas99__b15_1] [plan] step=136 node=N8465 type=observe q_pred_lcb=-0.762351 sequence=-61.401711
[plan iscas99__b15_1] [plan] step=137 node=N7804 type=observe q_pred_lcb=-0.794018 sequence=-62.195729
[plan iscas99__b15_1] [plan] step=138 node=N7805 type=observe q_pred_lcb=-0.800037 sequence=-62.995765
[plan iscas99__b15_1] [plan] step=139 node=N7803 type=observe q_pred_lcb=-0.807966 sequence=-63.803731
[plan iscas99__b15_1] [plan] step=140 node=N7672 type=observe q_pred_lcb=-0.806835 sequence=-64.610566
[plan iscas99__b15_1] [plan] step=141 node=N8109 type=observe q_pred_lcb=-0.802101 sequence=-65.412667
[plan iscas99__b15_1] [plan] step=142 node=N7969 type=observe q_pred_lcb=-0.796453 sequence=-66.209119
[plan iscas99__b15_1] [plan] step=143 node=N7945 type=observe q_pred_lcb=-0.791381 sequence=-67.000500
[plan iscas99__b15_1] [plan] step=144 node=N7990 type=observe q_pred_lcb=-0.787699 sequence=-67.788200
[plan iscas99__b15_1] [plan] step=145 node=N7993 type=observe q_pred_lcb=-0.784611 sequence=-68.572811
[plan iscas99__b15_1] [plan] step=146 node=N7996 type=observe q_pred_lcb=-0.782820 sequence=-69.355630
[plan iscas99__b15_1] [plan] step=147 node=N8002 type=observe q_pred_lcb=-0.738674 sequence=-70.094304
[plan iscas99__b15_1] [plan] step=148 node=N7942 type=observe q_pred_lcb=-0.772186 sequence=-70.866490
[plan iscas99__b15_1] [plan] step=149 node=N2246 type=observe q_pred_lcb=-0.429047 sequence=-71.300537
[plan iscas99__b15_1] [plan] step=150 node=N7966 type=observe q_pred_lcb=-0.761635 sequence=-72.062172
[plan iscas99__b15_1] [plan] step=151 node=N7957 type=observe q_pred_lcb=-0.782946 sequence=-72.845119
[plan iscas99__b15_1] [plan] step=152 node=N7948 type=observe q_pred_lcb=-0.786946 sequence=-73.632065
[plan iscas99__b15_1] [plan] step=153 node=N7960 type=observe q_pred_lcb=-0.789367 sequence=-74.421432
[plan iscas99__b15_1] [plan] step=154 node=N7951 type=observe q_pred_lcb=-0.793221 sequence=-75.214653
[plan iscas99__b15_1] [plan] step=155 node=N7939 type=observe q_pred_lcb=-0.797017 sequence=-76.011671
[plan iscas99__b15_1] [plan] step=156 node=N7963 type=observe q_pred_lcb=-0.800234 sequence=-76.811905
[plan iscas99__b15_1] [plan] step=157 node=N7999 type=observe q_pred_lcb=-0.802681 sequence=-77.614586
[plan iscas99__b15_1] [plan] step=158 node=N7954 type=observe q_pred_lcb=-0.804535 sequence=-78.419121
[plan iscas99__b15_1] [plan] step=159 node=N8111 type=observe q_pred_lcb=-0.804787 sequence=-79.227908
[plan iscas99__b15_1] [plan] step=160 node=N8113 type=observe q_pred_lcb=-0.805406 sequence=-80.037314
[plan iscas99__b15_1] [plan] step=161 node=N8453 type=observe q_pred_lcb=-0.761844 sequence=-80.803158
[plan iscas99__b15_1] [plan] step=162 node=N7675 type=observe q_pred_lcb=-0.792250 sequence=-81.599408
[plan iscas99__b15_1] [plan] step=163 node=N7669 type=observe q_pred_lcb=-0.790259 sequence=-82.393667
[plan iscas99__b15_1] [plan] step=164 node=N8455 type=observe q_pred_lcb=-0.794272 sequence=-83.191939
[plan iscas99__b15_1] [plan] step=165 node=N5288 type=observe q_pred_lcb=-0.796553 sequence=-83.992491
[plan iscas99__b15_1] [plan] step=166 node=N7984 type=observe q_pred_lcb=-0.798486 sequence=-84.794977
[plan iscas99__b15_1] [plan] step=167 node=N7678 type=observe q_pred_lcb=-0.802395 sequence=-85.601372
[plan iscas99__b15_1] [plan] step=168 node=N5878 type=observe q_pred_lcb=-0.804395 sequence=-86.405767
[plan iscas99__b15_1] [plan] step=169 node=N7981 type=observe q_pred_lcb=-0.798227 sequence=-87.207994
[plan iscas99__b15_1] [plan] step=170 node=N7987 type=observe q_pred_lcb=-0.785648 sequence=-87.997642
[plan iscas99__b15_1] [plan] step=171 node=N5285 type=observe q_pred_lcb=-0.784558 sequence=-88.788867
[plan iscas99__b15_1] [plan] step=172 node=N7978 type=observe q_pred_lcb=-0.797289 sequence=-89.590156
[plan iscas99__b15_1] [plan] step=173 node=N5198 type=observe q_pred_lcb=-0.796667 sequence=-90.391823
[plan iscas99__b15_1] [plan] step=174 node=N5293 type=observe q_pred_lcb=-0.796136 sequence=-91.194625
[plan iscas99__b15_1] [plan] step=175 node=N5297 type=observe q_pred_lcb=-0.796111 sequence=-91.997402
[plan iscas99__b15_1] [plan] step=176 node=N7972 type=observe q_pred_lcb=-0.799139 sequence=-92.800542
[plan iscas99__b15_1] [plan] step=177 node=N5191 type=observe q_pred_lcb=-0.798228 sequence=-93.605436
[plan iscas99__b15_1] [plan] step=178 node=N7975 type=observe q_pred_lcb=-0.801279 sequence=-94.410715
[plan iscas99__b15_1] [plan] step=179 node=N5195 type=observe q_pred_lcb=-0.800457 sequence=-95.217838
[plan iscas99__b15_1] [plan] step=180 node=N5187 type=observe q_pred_lcb=-0.798937 sequence=-96.023442
[plan iscas99__b15_1] [plan] step=181 node=N5874 type=observe q_pred_lcb=-0.801855 sequence=-96.825297
[plan iscas99__b15_1] [plan] step=182 node=N5876 type=observe q_pred_lcb=-0.798786 sequence=-97.624083
[plan iscas99__b15_1] [plan] step=183 node=N5292 type=observe q_pred_lcb=-0.788190 sequence=-98.422273
[plan iscas99__b15_1] [plan] step=184 node=N5194 type=observe q_pred_lcb=-0.785658 sequence=-99.217931
[plan iscas99__b15_1] [plan] step=185 node=N5296 type=observe q_pred_lcb=-0.788099 sequence=-100.016030
[plan iscas99__b15_1] [plan] step=186 node=N5190 type=observe q_pred_lcb=-0.790381 sequence=-100.816412
[plan iscas99__b15_1] [plan] step=187 node=N5236 type=observe q_pred_lcb=-0.792571 sequence=-101.615650
[plan iscas99__b15_1] [plan] step=188 node=N5243 type=observe q_pred_lcb=-0.793824 sequence=-102.419474
[plan iscas99__b15_1] [plan] step=189 node=N5239 type=observe q_pred_lcb=-0.794506 sequence=-103.223980
[plan iscas99__b15_1] [plan] step=190 node=N5240 type=observe q_pred_lcb=-0.794917 sequence=-104.025563
[plan iscas99__b15_1] [plan] step=191 node=N5247 type=observe q_pred_lcb=-0.795312 sequence=-104.830875
[plan iscas99__b15_1] [plan] step=192 node=N5284 type=observe q_pred_lcb=-0.796369 sequence=-105.637244
[plan iscas99__b15_1] [plan] step=193 node=N5244 type=observe q_pred_lcb=-0.795334 sequence=-106.439245
[plan iscas99__b15_1] [plan] step=194 node=N5186 type=observe q_pred_lcb=-0.800192 sequence=-107.249437
[plan iscas99__b15_1] [plan] step=195 node=N5235 type=observe q_pred_lcb=-0.800847 sequence=-108.060284
[plan iscas99__b15_1] [plan] step=196 node=N5248 type=observe q_pred_lcb=-0.800536 sequence=-108.867486
[plan iscas99__b15_1] [plan] step=197 node=N685 type=observe q_pred_lcb=-0.865239 sequence=-109.732725
[plan iscas99__b15_1] [plan] step=198 node=N708 type=observe q_pred_lcb=-0.925859 sequence=-110.665251
[plan iscas99__b15_1] [plan] step=199 node=N7922 type=observe q_pred_lcb=-0.936763 sequence=-111.602014
[plan iscas99__b15_1] [plan] step=200 node=N7452 type=observe q_pred_lcb=-0.999733 sequence=-112.601747
[plan iscas99__b15_1] [plan] step=201 node=N5218 type=observe q_pred_lcb=-0.905017 sequence=-113.516764
[plan iscas99__b15_1] [plan] step=202 node=N5226 type=observe q_pred_lcb=-0.874275 sequence=-114.401039
[plan iscas99__b15_1] [plan] step=203 node=N5230 type=observe q_pred_lcb=-0.853966 sequence=-115.260005
[plan iscas99__b15_1] [plan] step=204 node=N5219 type=observe q_pred_lcb=-0.839027 sequence=-116.105699
[plan iscas99__b15_1] [plan] step=205 node=N7802 type=observe q_pred_lcb=-0.933476 sequence=-117.043175
[plan iscas99__b15_1] [plan] step=206 node=N5200 type=observe q_pred_lcb=-0.950047 sequence=-117.997222
[plan iscas99__b15_1] [plan] step=207 node=N5287 type=observe q_pred_lcb=-0.933582 sequence=-118.935805
[plan iscas99__b15_1] [plan] step=208 node=N5238 type=observe q_pred_lcb=-0.894008 sequence=-119.834812
[plan iscas99__b15_1] [plan] step=209 node=N5227 type=observe q_pred_lcb=-0.767043 sequence=-120.608522
[plan iscas99__b15_1] [plan] step=210 node=N5221 type=observe q_pred_lcb=-0.875637 sequence=-121.489159
[plan iscas99__b15_1] [plan] step=211 node=N5189 type=observe q_pred_lcb=-0.867217 sequence=-122.361376
[plan iscas99__b15_1] [plan] step=212 node=N5232 type=observe q_pred_lcb=-0.861568 sequence=-123.226944
[plan iscas99__b15_1] [plan] step=213 node=N5318 type=observe q_pred_lcb=-0.745421 sequence=-123.982365
[plan iscas99__b15_1] [plan] step=214 node=N5322 type=observe q_pred_lcb=-0.733418 sequence=-124.725784
[plan iscas99__b15_1] [plan] step=215 node=N5326 type=observe q_pred_lcb=-0.743123 sequence=-125.478907
[plan iscas99__b15_1] [plan] step=216 node=N5330 type=observe q_pred_lcb=-0.757028 sequence=-126.240935
[plan iscas99__b15_1] [plan] step=217 node=N6661 type=observe q_pred_lcb=-0.895625 sequence=-127.136560
[plan iscas99__b15_1] [plan] step=218 node=N7506 type=observe q_pred_lcb=-0.929286 sequence=-128.072513
[plan iscas99__b15_1] [plan] step=219 node=N5224 type=observe q_pred_lcb=-0.938293 sequence=-129.015806
[plan iscas99__b15_1] [plan] step=220 node=N6667 type=observe q_pred_lcb=-0.927851 sequence=-129.947657
[plan iscas99__b15_1] [plan] step=221 node=N5319 type=observe q_pred_lcb=-0.796991 sequence=-130.751315
[plan iscas99__b15_1] [plan] step=222 node=N7806 type=observe q_pred_lcb=-0.918558 sequence=-131.673873
[plan iscas99__b15_1] [plan] step=223 node=N5192 type=observe q_pred_lcb=-0.944059 sequence=-132.622932
[plan iscas99__b15_1] [plan] step=224 node=N5323 type=observe q_pred_lcb=-0.808885 sequence=-133.438484
[plan iscas99__b15_1] [plan] step=225 node=N7807 type=observe q_pred_lcb=-0.913528 sequence=-134.356012
[plan iscas99__b15_1] [plan] step=226 node=N5321 type=observe q_pred_lcb=-0.934445 sequence=-135.295456
[plan iscas99__b15_1] [plan] step=227 node=N5327 type=observe q_pred_lcb=-0.794269 sequence=-136.096392
[plan iscas99__b15_1] [plan] step=228 node=N6673 type=observe q_pred_lcb=-0.900498 sequence=-137.006889
[plan iscas99__b15_1] [plan] step=229 node=N5197 type=observe q_pred_lcb=-0.927989 sequence=-137.939879
[plan iscas99__b15_1] [plan] step=230 node=N5332 type=observe q_pred_lcb=-0.920624 sequence=-138.864503
[plan iscas99__b15_1] [plan] step=231 node=N1347 type=observe q_pred_lcb=-0.897665 sequence=-139.762168
[plan iscas99__b15_1] [plan] step=232 node=N5324 type=observe q_pred_lcb=-0.953933 sequence=-140.721101
[plan iscas99__b15_1] [plan] step=233 node=N1346 type=observe q_pred_lcb=-0.928593 sequence=-141.653694
[plan iscas99__b15_1] [plan] step=234 node=N2270 type=observe q_pred_lcb=-0.545407 sequence=-142.204101
[plan iscas99__b15_1] [plan] step=235 node=N2258 type=observe q_pred_lcb=-0.587620 sequence=-142.796721
[plan iscas99__b15_1] [plan] step=236 node=N2154 type=observe q_pred_lcb=-0.631198 sequence=-143.432918
[plan iscas99__b15_1] [plan] step=237 node=N1348 type=observe q_pred_lcb=-0.912782 sequence=-144.345700
[plan iscas99__b15_1] [plan] step=238 node=N2266 type=observe q_pred_lcb=-0.621786 sequence=-144.972486
[plan iscas99__b15_1] [plan] step=239 node=N2262 type=observe q_pred_lcb=-0.728467 sequence=-145.705953
[plan iscas99__b15_1] [plan] step=240 node=N8475 type=observe q_pred_lcb=-0.824579 sequence=-146.535532
