[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist/c80_range_m0p001
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c80__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [gmean] 2026-07-21T10:55:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=58 node=N3813 type=control0 q_typed_residual_context=1.915109 sequence=92.173160
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=59 node=N2350 type=control0 q_typed_residual_context=2.010732 sequence=94.183892
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=60 node=N504 type=control1 q_typed_residual_context=2.879254 sequence=97.063147
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=61 node=N3799 type=control0 q_typed_residual_context=2.712608 sequence=99.775755
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=62 node=N3792 type=control0 q_typed_residual_context=2.825749 sequence=102.601504
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=63 node=N3785 type=control0 q_typed_residual_context=3.106351 sequence=105.707854
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=64 node=N3701 type=control0 q_typed_residual_context=2.656379 sequence=108.364233
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=65 node=N3841 type=control0 q_typed_residual_context=2.361031 sequence=110.725264
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=66 node=N3889 type=control0 q_typed_residual_context=2.250094 sequence=112.975358
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=67 node=N3882 type=control0 q_typed_residual_context=2.284028 sequence=115.259386
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=68 node=N3896 type=control0 q_typed_residual_context=2.145446 sequence=117.404832
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=69 node=N4606 type=control0 q_typed_residual_context=2.118219 sequence=119.523051
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=70 node=N3756 type=control0 q_typed_residual_context=2.088984 sequence=121.612035
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=71 node=N3742 type=control0 q_typed_residual_context=2.279197 sequence=123.891232
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=72 node=N3903 type=control0 q_typed_residual_context=2.342160 sequence=126.233392
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=73 node=N1874 type=observe q_typed_residual_context=2.791592 sequence=129.024985
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=74 node=N4557 type=control0 q_typed_residual_context=2.376181 sequence=131.401166
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=75 node=N4520 type=control0 q_typed_residual_context=2.379760 sequence=133.780926
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=76 node=N1539 type=control0 q_typed_residual_context=2.276280 sequence=136.057206
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=77 node=N7725 type=control0 q_typed_residual_context=2.870016 sequence=138.927221
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=78 node=N4578 type=control0 q_typed_residual_context=3.482828 sequence=142.410050
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=79 node=N7803 type=observe q_typed_residual_context=3.147424 sequence=145.557474
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_residual_context=2.786751 sequence=148.344224
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=81 node=N7804 type=observe q_typed_residual_context=2.631081 sequence=150.975305
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_residual_context=2.539613 sequence=153.514918
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=83 node=N7805 type=observe q_typed_residual_context=3.236887 sequence=156.751805
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=84 node=N3805 type=control0 q_typed_residual_context=2.200010 sequence=158.951814
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=85 node=N4628 type=control0 q_typed_residual_context=2.948357 sequence=161.900171
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=86 node=N1390 type=control0 q_typed_residual_context=2.416288 sequence=164.316459
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=87 node=N2042 type=observe q_typed_residual_context=1.635975 sequence=165.952434
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=88 node=N3681 type=control0 q_typed_residual_context=1.629558 sequence=167.581993
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=89 node=N7408 type=control0 q_typed_residual_context=1.415511 sequence=168.997504
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=90 node=N7541 type=control0 q_typed_residual_context=1.685677 sequence=170.683181
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=91 node=N7421 type=control1 q_typed_residual_context=1.845953 sequence=172.529134
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=92 node=N7872 type=control1 q_typed_residual_context=1.305419 sequence=173.834553
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=93 node=N7526 type=control1 q_typed_residual_context=0.869353 sequence=174.703906
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=94 node=N7532 type=observe q_typed_residual_context=1.099388 sequence=175.803293
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=95 node=N513 type=control1 q_typed_residual_context=2.195674 sequence=177.998967
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=96 node=N7736 type=control0 q_typed_residual_context=1.196566 sequence=179.195533
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=97 node=N7512 type=observe q_typed_residual_context=1.698699 sequence=180.894232
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=98 node=N7534 type=observe q_typed_residual_context=1.012675 sequence=181.906907
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=99 node=N785 type=observe q_typed_residual_context=1.664395 sequence=183.571301
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=100 node=N7535 type=observe q_typed_residual_context=2.191044 sequence=185.762346
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=101 node=N7537 type=observe q_typed_residual_context=1.518648 sequence=187.280994
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=102 node=N7518 type=observe q_typed_residual_context=0.908624 sequence=188.189618
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=103 node=N516 type=control1 q_typed_residual_context=1.864768 sequence=190.054387
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=104 node=N555 type=control1 q_typed_residual_context=2.178072 sequence=192.232459
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=105 node=N898 type=observe q_typed_residual_context=1.653776 sequence=193.886235
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=106 node=N7807 type=observe q_typed_residual_context=2.171440 sequence=196.057675
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=107 node=N6538 type=observe q_typed_residual_context=1.099196 sequence=197.156871
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=108 node=N6952 type=observe q_typed_residual_context=1.634212 sequence=198.791083
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=109 node=N7370 type=control1 q_typed_residual_context=1.544842 sequence=200.335925
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=110 node=N7802 type=observe q_typed_residual_context=1.941228 sequence=202.277153
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=111 node=N510 type=control1 q_typed_residual_context=2.050859 sequence=204.328012
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=112 node=N7735 type=control0 q_typed_residual_context=0.859813 sequence=205.187825
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=113 node=N2580 type=control1 q_typed_residual_context=1.014755 sequence=206.202580
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=114 node=N520 type=control1 q_typed_residual_context=1.385524 sequence=207.588103
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=115 node=N7465 type=observe q_typed_residual_context=1.030312 sequence=208.618415
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=116 node=N7734 type=control0 q_typed_residual_context=0.966382 sequence=209.584797
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=117 node=N7733 type=control0 q_typed_residual_context=0.877532 sequence=210.462330
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=118 node=N556 type=control1 q_typed_residual_context=2.072512 sequence=212.534842
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=119 node=N700 type=observe q_typed_residual_context=2.415430 sequence=214.950272
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=120 node=N6948 type=observe q_typed_residual_context=0.683447 sequence=215.633718
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=121 node=N638 type=control1 q_typed_residual_context=1.481502 sequence=217.115221
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=122 node=N7732 type=control0 q_typed_residual_context=0.828435 sequence=217.943656
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=123 node=N645 type=control1 q_typed_residual_context=1.317658 sequence=219.261314
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=124 node=N7731 type=control0 q_typed_residual_context=0.670641 sequence=219.931955
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=125 node=N7730 type=control0 q_typed_residual_context=0.562389 sequence=220.494344
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=126 node=N614 type=control1 q_typed_residual_context=1.233910 sequence=221.728254
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=127 node=N7729 type=control0 q_typed_residual_context=0.734829 sequence=222.463083
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=128 node=N786 type=observe q_typed_residual_context=1.121854 sequence=223.584937
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=129 node=N7728 type=control0 q_typed_residual_context=0.735969 sequence=224.320906
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=130 node=N634 type=control1 q_typed_residual_context=1.455866 sequence=225.776772
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=131 node=N7727 type=control0 q_typed_residual_context=1.146470 sequence=226.923242
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=132 node=N610 type=control1 q_typed_residual_context=1.937552 sequence=228.860794
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=133 node=N7726 type=control0 q_typed_residual_context=2.416283 sequence=231.277077
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=134 node=N7517 type=observe q_typed_residual_context=1.192873 sequence=232.469950
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=135 node=N620 type=control1 q_typed_residual_context=1.392151 sequence=233.862102
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=136 node=N7854 type=control0 q_typed_residual_context=2.136054 sequence=235.998155
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=137 node=N636 type=control1 q_typed_residual_context=1.371211 sequence=237.369367
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=138 node=N7853 type=control0 q_typed_residual_context=2.475595 sequence=239.844961
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=139 node=N649 type=control1 q_typed_residual_context=1.216908 sequence=241.061870
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=140 node=N7852 type=control0 q_typed_residual_context=2.027527 sequence=243.089397
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=141 node=N1607 type=control1 q_typed_residual_context=1.785301 sequence=244.874698
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=142 node=N7847 type=control0 q_typed_residual_context=1.466394 sequence=246.341092
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=143 node=N1586 type=control1 q_typed_residual_context=1.701562 sequence=248.042654
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=144 node=N3525 type=control1 q_typed_residual_context=1.374482 sequence=249.417136
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=145 node=N7820 type=control0 q_typed_residual_context=1.434858 sequence=250.851994
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=146 node=N7442 type=control0 q_typed_residual_context=2.203256 sequence=253.055251
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=147 node=N647 type=control1 q_typed_residual_context=1.495078 sequence=254.550328
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=148 node=N3295 type=control1 q_typed_residual_context=1.232706 sequence=255.783034
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=149 node=N7424 type=control1 q_typed_residual_context=0.989172 sequence=256.772206
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=150 node=N7603 type=observe q_typed_residual_context=1.496007 sequence=258.268213
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=151 node=N3467 type=control1 q_typed_residual_context=1.306141 sequence=259.574354
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=152 node=N3410 type=control1 q_typed_residual_context=1.407053 sequence=260.981408
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=153 node=N6932 type=observe q_typed_residual_context=1.182203 sequence=262.163610
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=154 node=N616 type=control1 q_typed_residual_context=0.916469 sequence=263.080079
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=155 node=N3180 type=control1 q_typed_residual_context=1.041201 sequence=264.121280
[b15-r6-adaptive/cone_toplist/c80/range/0.001] [plan iscas99__b15_1] [plan] step=156 node=N630 type=control1 q_typed_residual_context=1.119137 sequence=265.240417
