[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/incumbent/c64_iqr_m0p002
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 budgets=iscas99__b15_1:278
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_residual_context=1.116699 sequence=16.451179
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_residual_context=1.334888 sequence=17.786067
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=10 node=N564 type=control1 q_typed_residual_context=1.249148 sequence=19.035214
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_residual_context=1.264156 sequence=20.299370
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_residual_context=1.557099 sequence=21.856469
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_residual_context=1.431627 sequence=23.288096
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_residual_context=1.072020 sequence=24.360116
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.816226 sequence=27.176342
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=16 node=N496 type=control1 q_typed_residual_context=2.427793 sequence=29.604136
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=17 node=N5723 type=control0 q_typed_residual_context=1.098440 sequence=30.702575
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=4.297093 sequence=34.999668
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=1.505164 sequence=36.504832
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=3.596690 sequence=40.101522
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_residual_context=2.991333 sequence=43.092856
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_residual_context=2.032155 sequence=45.125011
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=2.088374 sequence=47.213385
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_residual_context=1.547609 sequence=48.760994
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=25 node=N1532 type=observe q_typed_residual_context=1.810778 sequence=50.571772
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=1.753407 sequence=52.325179
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=27 node=N7516 type=observe q_typed_residual_context=0.864393 sequence=53.189572
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=28 node=N576 type=observe q_typed_residual_context=1.684389 sequence=54.873960
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=1.432807 sequence=56.306768
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=0.255979 sequence=56.562746
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=31 node=N4698 type=control0 q_typed_residual_context=2.349073 sequence=58.911820
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_residual_context=0.306751 sequence=59.218570
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=33 node=N7413 type=control1 q_typed_residual_context=0.454630 sequence=59.673200
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=34 node=N4691 type=control0 q_typed_residual_context=1.770133 sequence=61.443333
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=0.254590 sequence=61.697923
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=36 node=N4684 type=control0 q_typed_residual_context=2.431475 sequence=64.129398
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=37 node=N4670 type=control0 q_typed_residual_context=2.837350 sequence=66.966749
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=38 node=N4656 type=control0 q_typed_residual_context=2.547895 sequence=69.514644
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=39 node=N4649 type=control0 q_typed_residual_context=2.741510 sequence=72.256154
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=40 node=N713 type=observe q_typed_residual_context=2.952986 sequence=75.209140
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=41 node=N4663 type=control0 q_typed_residual_context=3.021488 sequence=78.230628
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_residual_context=6.526867 sequence=84.757495
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=43 node=N8470 type=observe q_typed_residual_context=4.244642 sequence=89.002138
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=44 node=N4635 type=control0 q_typed_residual_context=6.220527 sequence=95.222665
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_residual_context=3.357689 sequence=98.580354
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_residual_context=3.341638 sequence=101.921992
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=47 node=N7889 type=control1 q_typed_residual_context=0.531098 sequence=102.453090
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=48 node=N7887 type=control1 q_typed_residual_context=0.549664 sequence=103.002754
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=49 node=N7888 type=control1 q_typed_residual_context=0.809201 sequence=103.811955
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_residual_context=1.893156 sequence=105.705111
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=51 node=N7885 type=control1 q_typed_residual_context=0.536920 sequence=106.242031
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=52 node=N3911 type=control0 q_typed_residual_context=0.832733 sequence=107.074764
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_residual_context=0.955902 sequence=108.030666
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=54 node=N3904 type=control0 q_typed_residual_context=0.830550 sequence=108.861215
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=55 node=N4716 type=control0 q_typed_residual_context=0.893197 sequence=109.754412
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_residual_context=0.845833 sequence=110.600245
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=57 node=N3897 type=control0 q_typed_residual_context=0.864006 sequence=111.464251
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=58 node=N3862 type=control0 q_typed_residual_context=0.969117 sequence=112.433369
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_residual_context=1.042579 sequence=113.475948
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=60 node=N3827 type=control0 q_typed_residual_context=1.087924 sequence=114.563872
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=61 node=N3701 type=control0 q_typed_residual_context=0.959625 sequence=115.523496
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=62 node=N3820 type=control0 q_typed_residual_context=1.112008 sequence=116.635504
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=63 node=N3813 type=control0 q_typed_residual_context=1.146610 sequence=117.782114
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=64 node=N3799 type=control0 q_typed_residual_context=1.122848 sequence=118.904961
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=65 node=N4606 type=control0 q_typed_residual_context=1.102798 sequence=120.007759
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=66 node=N4585 type=control0 q_typed_residual_context=1.063821 sequence=121.071580
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=67 node=N2083 type=observe q_typed_residual_context=1.000573 sequence=122.072153
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=68 node=N7506 type=observe q_typed_residual_context=1.419800 sequence=123.491953
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=69 node=N4578 type=control0 q_typed_residual_context=0.919602 sequence=124.411556
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=70 node=N2350 type=control0 q_typed_residual_context=1.024285 sequence=125.435840
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=71 node=N4564 type=control0 q_typed_residual_context=0.987869 sequence=126.423710
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=72 node=N7724 type=control0 q_typed_residual_context=1.162970 sequence=127.586679
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=0.985925 sequence=128.572604
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=74 node=N7722 type=control0 q_typed_residual_context=0.890304 sequence=129.462908
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=75 node=N519 type=control1 q_typed_residual_context=1.409833 sequence=130.872741
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_residual_context=1.122536 sequence=131.995277
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=77 node=N504 type=control1 q_typed_residual_context=1.039230 sequence=133.034507
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=78 node=N2044 type=observe q_typed_residual_context=1.028608 sequence=134.063115
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=79 node=N899 type=observe q_typed_residual_context=0.789506 sequence=134.852621
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=80 node=N513 type=control1 q_typed_residual_context=1.673026 sequence=136.525647
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=81 node=N2042 type=observe q_typed_residual_context=1.096991 sequence=137.622638
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=82 node=N7854 type=control0 q_typed_residual_context=0.861748 sequence=138.484386
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=83 node=N7721 type=control0 q_typed_residual_context=1.195179 sequence=139.679565
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=84 node=N7532 type=observe q_typed_residual_context=0.960348 sequence=140.639913
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=85 node=N556 type=control1 q_typed_residual_context=1.537243 sequence=142.177156
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_residual_context=0.797983 sequence=142.975140
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=87 node=N520 type=control1 q_typed_residual_context=1.340069 sequence=144.315209
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=88 node=N555 type=control1 q_typed_residual_context=1.729419 sequence=146.044628
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=0.854343 sequence=146.898971
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=90 node=N7886 type=control1 q_typed_residual_context=1.105609 sequence=148.004580
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=91 node=N7723 type=control0 q_typed_residual_context=1.373127 sequence=149.377707
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_residual_context=1.735735 sequence=151.113442
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=93 node=N7883 type=control1 q_typed_residual_context=2.297557 sequence=153.410999
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=94 node=N7884 type=control1 q_typed_residual_context=1.663962 sequence=155.074962
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=95 node=N7725 type=control0 q_typed_residual_context=1.419276 sequence=156.494238
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=96 node=N7882 type=control1 q_typed_residual_context=2.522157 sequence=159.016394
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=97 node=N7726 type=control0 q_typed_residual_context=1.002020 sequence=160.018414
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=98 node=N7846 type=control0 q_typed_residual_context=2.848900 sequence=162.867314
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_residual_context=1.472936 sequence=164.340250
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_residual_context=2.298084 sequence=166.638333
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=101 node=N7590 type=control1 q_typed_residual_context=4.117596 sequence=170.755929
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=102 node=N510 type=control1 q_typed_residual_context=1.936156 sequence=172.692085
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=103 node=N3792 type=control0 q_typed_residual_context=2.781569 sequence=175.473654
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=104 node=N704 type=observe q_typed_residual_context=3.604292 sequence=179.077946
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=105 node=N3785 type=control0 q_typed_residual_context=1.376132 sequence=180.454078
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=106 node=N3722 type=control0 q_typed_residual_context=1.412989 sequence=181.867067
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=107 node=N4557 type=control0 q_typed_residual_context=1.830996 sequence=183.698063
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=108 node=N1411 type=control0 q_typed_residual_context=1.984103 sequence=185.682166
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=109 node=N3903 type=control0 q_typed_residual_context=1.348426 sequence=187.030592
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=110 node=N3896 type=control0 q_typed_residual_context=1.228878 sequence=188.259469
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=1.185151 sequence=189.444621
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=112 node=N3889 type=control0 q_typed_residual_context=1.327922 sequence=190.772543
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=113 node=N610 type=control1 q_typed_residual_context=1.303708 sequence=192.076250
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=114 node=N3882 type=control0 q_typed_residual_context=1.494234 sequence=193.570484
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=115 node=N620 type=control1 q_typed_residual_context=1.568660 sequence=195.139144
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=116 node=N3805 type=control0 q_typed_residual_context=1.686912 sequence=196.826056
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=117 node=N634 type=control1 q_typed_residual_context=1.650739 sequence=198.476795
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_residual_context=1.585657 sequence=200.062452
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=119 node=N638 type=control1 q_typed_residual_context=1.584626 sequence=201.647078
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=120 node=N723 type=observe q_typed_residual_context=2.528048 sequence=204.175125
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=121 node=N7852 type=control0 q_typed_residual_context=2.075181 sequence=206.250306
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=122 node=N3681 type=control0 q_typed_residual_context=2.432517 sequence=208.682824
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=123 node=N7853 type=control0 q_typed_residual_context=2.540474 sequence=211.223298
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=124 node=N7820 type=control0 q_typed_residual_context=4.963684 sequence=216.186982
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=125 node=N7370 type=control1 q_typed_residual_context=2.910100 sequence=219.097082
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=126 node=N616 type=control1 q_typed_residual_context=6.372106 sequence=225.469188
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=127 node=N7870 type=control1 q_typed_residual_context=4.787270 sequence=230.256458
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=128 node=N3410 type=control1 q_typed_residual_context=3.326606 sequence=233.583065
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=129 node=N7847 type=control0 q_typed_residual_context=3.005568 sequence=236.588633
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=130 node=N636 type=control1 q_typed_residual_context=2.046257 sequence=238.634890
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=131 node=N7518 type=observe q_typed_residual_context=3.283017 sequence=241.917907
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=132 node=N645 type=control1 q_typed_residual_context=2.394630 sequence=244.312538
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=133 node=N2580 type=control1 q_typed_residual_context=4.043504 sequence=248.356042
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=134 node=N7537 type=observe q_typed_residual_context=2.634789 sequence=250.990830
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=135 node=N642 type=control1 q_typed_residual_context=1.767188 sequence=252.758019
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=136 node=N630 type=control1 q_typed_residual_context=1.862268 sequence=254.620287
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=137 node=N649 type=control1 q_typed_residual_context=1.756895 sequence=256.377182
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=138 node=N7535 type=observe q_typed_residual_context=1.314964 sequence=257.692146
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=139 node=N3525 type=control1 q_typed_residual_context=0.960626 sequence=258.652771
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=140 node=N7534 type=observe q_typed_residual_context=1.294203 sequence=259.946974
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=141 node=N1607 type=control1 q_typed_residual_context=1.027627 sequence=260.974601
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=142 node=N647 type=control1 q_typed_residual_context=1.147554 sequence=262.122156
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=143 node=N7424 type=control1 q_typed_residual_context=0.683418 sequence=262.805573
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=144 node=N1552 type=observe q_typed_residual_context=0.728357 sequence=263.533930
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=145 node=N785 type=observe q_typed_residual_context=0.864295 sequence=264.398226
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=146 node=N5867 type=observe q_typed_residual_context=0.488618 sequence=264.886844
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=147 node=N1586 type=control1 q_typed_residual_context=1.887596 sequence=266.774440
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=148 node=N2040 type=observe q_typed_residual_context=2.153487 sequence=268.927927
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=149 node=N694 type=observe q_typed_residual_context=2.808844 sequence=271.736771
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_residual_context=2.447783 sequence=274.184555
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=151 node=N7627 type=observe q_typed_residual_context=4.108753 sequence=278.293308
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=152 node=N7465 type=observe q_typed_residual_context=1.687519 sequence=279.980826
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=153 node=N7679 type=observe q_typed_residual_context=1.952738 sequence=281.933564
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=154 node=N6948 type=observe q_typed_residual_context=1.929544 sequence=283.863108
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=155 node=N5627 type=observe q_typed_residual_context=3.937999 sequence=287.801108
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=156 node=N7436 type=observe q_typed_residual_context=3.400176 sequence=291.201284
