[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=37 node=N7413 type=control1 q_typed_reliable_context=0.334610 sequence=57.530577
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=38 node=N4663 type=control0 q_typed_reliable_context=1.699156 sequence=59.229734
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=1.182228 sequence=60.411962
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=40 node=N713 type=observe q_typed_reliable_context=1.629844 sequence=62.041806
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_reliable_context=2.008389 sequence=64.050195
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_reliable_context=3.778154 sequence=67.828349
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=43 node=N8470 type=observe q_typed_reliable_context=3.450337 sequence=71.278687
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=44 node=N4649 type=control0 q_typed_reliable_context=2.051898 sequence=73.330585
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=45 node=N4635 type=control0 q_typed_reliable_context=1.585236 sequence=74.915820
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=46 node=N7881 type=control1 q_typed_reliable_context=0.553966 sequence=75.469787
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=47 node=N7882 type=control1 q_typed_reliable_context=0.625947 sequence=76.095733
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=48 node=N7883 type=control1 q_typed_reliable_context=0.605729 sequence=76.701463
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=49 node=N7884 type=control1 q_typed_reliable_context=0.723500 sequence=77.424963
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=50 node=N724 type=observe q_typed_reliable_context=2.145655 sequence=79.570618
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=51 node=N4705 type=control0 q_typed_reliable_context=1.439779 sequence=81.010398
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=52 node=N4698 type=control0 q_typed_reliable_context=1.247784 sequence=82.258182
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=1.177031 sequence=83.435213
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_reliable_context=0.822652 sequence=84.257865
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=55 node=N4585 type=control0 q_typed_reliable_context=0.819812 sequence=85.077676
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=56 node=N3904 type=control0 q_typed_reliable_context=0.835291 sequence=85.912967
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=57 node=N3897 type=control0 q_typed_reliable_context=0.836860 sequence=86.749827
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=58 node=N3862 type=control0 q_typed_reliable_context=0.859284 sequence=87.609111
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=59 node=N3855 type=control0 q_typed_reliable_context=0.869105 sequence=88.478217
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=60 node=N3848 type=control0 q_typed_reliable_context=0.894427 sequence=89.372643
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=61 node=N3701 type=control0 q_typed_reliable_context=0.916811 sequence=90.289454
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.017542 sequence=91.306996
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=0.949225 sequence=92.256221
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=64 node=N5603 type=control0 q_typed_reliable_context=1.037517 sequence=93.293738
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=65 node=N7506 type=observe q_typed_reliable_context=1.821378 sequence=95.115116
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=66 node=N3805 type=control0 q_typed_reliable_context=0.908740 sequence=96.023856
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=67 node=N4716 type=control0 q_typed_reliable_context=0.929809 sequence=96.953665
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=68 node=N2083 type=observe q_typed_reliable_context=1.049953 sequence=98.003618
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=69 node=N519 type=control1 q_typed_reliable_context=1.000543 sequence=99.004162
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=70 node=N2044 type=observe q_typed_reliable_context=0.939684 sequence=99.943846
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=71 node=N4606 type=control0 q_typed_reliable_context=0.933851 sequence=100.877697
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=72 node=N7471 type=control0 q_typed_reliable_context=0.968631 sequence=101.846328
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=73 node=N504 type=control1 q_typed_reliable_context=1.413317 sequence=103.259645
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=74 node=N2042 type=observe q_typed_reliable_context=0.885530 sequence=104.145174
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=75 node=N513 type=control1 q_typed_reliable_context=1.314668 sequence=105.459842
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=76 node=N899 type=observe q_typed_reliable_context=0.980066 sequence=106.439908
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=77 node=N520 type=control1 q_typed_reliable_context=1.512734 sequence=107.952642
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=78 node=N7724 type=control0 q_typed_reliable_context=0.917217 sequence=108.869859
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=79 node=N7722 type=control0 q_typed_reliable_context=1.158529 sequence=110.028388
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=80 node=N4578 type=control0 q_typed_reliable_context=1.377187 sequence=111.405575
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=81 node=N1539 type=control0 q_typed_reliable_context=1.290741 sequence=112.696316
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=82 node=N7590 type=control1 q_typed_reliable_context=0.757838 sequence=113.454154
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=83 node=N516 type=control1 q_typed_reliable_context=2.369624 sequence=115.823779
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.540871 sequence=117.364650
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=85 node=N556 type=control1 q_typed_reliable_context=0.946958 sequence=118.311608
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=0.991172 sequence=119.302780
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.205717 sequence=120.508497
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.341959 sequence=121.850456
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=1.212881 sequence=123.063337
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=1.059760 sequence=124.123097
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.227373 sequence=125.350470
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=92 node=N7537 type=observe q_typed_reliable_context=0.752185 sequence=126.102655
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=93 node=N3903 type=control0 q_typed_reliable_context=0.821756 sequence=126.924411
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=94 node=N3896 type=control0 q_typed_reliable_context=1.253426 sequence=128.177837
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=95 node=N4520 type=control0 q_typed_reliable_context=1.563429 sequence=129.741266
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=96 node=N7721 type=control0 q_typed_reliable_context=2.423119 sequence=132.164385
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=97 node=N4564 type=control0 q_typed_reliable_context=1.539200 sequence=133.703585
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=98 node=N704 type=observe q_typed_reliable_context=2.453982 sequence=136.157567
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=99 node=N507 type=control1 q_typed_reliable_context=1.573539 sequence=137.731106
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=100 node=N3827 type=control0 q_typed_reliable_context=1.413948 sequence=139.145054
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_reliable_context=1.521838 sequence=140.666892
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_reliable_context=1.813080 sequence=142.479972
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_reliable_context=1.516581 sequence=143.996553
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=104 node=N7723 type=control0 q_typed_reliable_context=1.635831 sequence=145.632384
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=105 node=N510 type=control1 q_typed_reliable_context=1.353028 sequence=146.985412
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=106 node=N614 type=control1 q_typed_reliable_context=1.115649 sequence=148.101061
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=107 node=N634 type=control1 q_typed_reliable_context=1.142069 sequence=149.243130
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=108 node=N7846 type=control0 q_typed_reliable_context=1.565740 sequence=150.808870
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=109 node=N3820 type=control0 q_typed_reliable_context=3.313024 sequence=154.121894
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=110 node=N2106 type=observe q_typed_reliable_context=3.692425 sequence=157.814320
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=111 node=N610 type=control1 q_typed_reliable_context=2.333656 sequence=160.147976
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=112 node=N620 type=control1 q_typed_reliable_context=3.413809 sequence=163.561785
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=113 node=N3813 type=control0 q_typed_reliable_context=3.157918 sequence=166.719704
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=114 node=N638 type=control1 q_typed_reliable_context=2.483716 sequence=169.203419
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=115 node=N3799 type=control0 q_typed_reliable_context=2.801088 sequence=172.004508
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=116 node=N7820 type=control0 q_typed_reliable_context=3.858969 sequence=175.863476
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=3.050633 sequence=178.914109
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=118 node=N3792 type=control0 q_typed_reliable_context=3.181848 sequence=182.095957
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=119 node=N7852 type=control0 q_typed_reliable_context=2.860791 sequence=184.956748
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=120 node=N3785 type=control0 q_typed_reliable_context=2.222638 sequence=187.179387
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=121 node=N7847 type=control0 q_typed_reliable_context=2.084100 sequence=189.263487
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=122 node=N7370 type=control1 q_typed_reliable_context=2.518485 sequence=191.781972
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=123 node=N3682 type=control0 q_typed_reliable_context=4.427762 sequence=196.209733
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=4.137486 sequence=200.347219
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=125 node=N7854 type=control0 q_typed_reliable_context=2.412406 sequence=202.759625
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=126 node=N7853 type=control0 q_typed_reliable_context=2.016520 sequence=204.776145
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=127 node=N2580 type=control1 q_typed_reliable_context=1.501603 sequence=206.277747
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=128 node=N645 type=control1 q_typed_reliable_context=1.910581 sequence=208.188328
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=129 node=N7518 type=observe q_typed_reliable_context=1.656358 sequence=209.844686
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=130 node=N2040 type=observe q_typed_reliable_context=1.518471 sequence=211.363158
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=131 node=N7534 type=observe q_typed_reliable_context=2.129967 sequence=213.493125
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=132 node=N7535 type=observe q_typed_reliable_context=1.733092 sequence=215.226216
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=133 node=N785 type=observe q_typed_reliable_context=1.846786 sequence=217.073002
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=134 node=N7532 type=observe q_typed_reliable_context=2.022941 sequence=219.095943
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=135 node=N616 type=control1 q_typed_reliable_context=2.069120 sequence=221.165063
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=136 node=N636 type=control1 q_typed_reliable_context=2.109043 sequence=223.274106
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=137 node=N1552 type=observe q_typed_reliable_context=0.952866 sequence=224.226972
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=138 node=N7424 type=control1 q_typed_reliable_context=1.573606 sequence=225.800578
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.319548 sequence=227.120126
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.317329 sequence=230.437456
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=141 node=N649 type=control1 q_typed_reliable_context=5.599393 sequence=236.036848
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=142 node=N630 type=control1 q_typed_reliable_context=5.684044 sequence=241.720893
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=143 node=N7421 type=control1 q_typed_reliable_context=5.559129 sequence=247.280021
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=144 node=N642 type=control1 q_typed_reliable_context=1.814479 sequence=249.094500
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=145 node=N7402 type=observe q_typed_reliable_context=1.455311 sequence=250.549812
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=146 node=N1607 type=control1 q_typed_reliable_context=1.738290 sequence=252.288102
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=147 node=N647 type=control1 q_typed_reliable_context=6.053720 sequence=258.341822
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=148 node=N1586 type=control1 q_typed_reliable_context=6.100657 sequence=264.442478
