[b15-r6-adaptive/incumbent/c64/range/0.003] [gmean] 2026-07-21T10:48:23 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/incumbent/c64_range_m0p003
[b15-r6-adaptive/incumbent/c64/range/0.003] [gmean] 2026-07-21T10:48:23 budgets=iscas99__b15_1:278
[b15-r6-adaptive/incumbent/c64/range/0.003] [gmean] 2026-07-21T10:48:23 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/incumbent/c64/range/0.003] [gmean] 2026-07-21T10:48:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=0.985925 sequence=128.572604
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=74 node=N519 type=control1 q_typed_residual_context=1.165915 sequence=129.738519
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=75 node=N504 type=control1 q_typed_residual_context=0.987029 sequence=130.725548
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=76 node=N2044 type=observe q_typed_residual_context=1.016822 sequence=131.742370
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=77 node=N520 type=control1 q_typed_residual_context=1.110035 sequence=132.852405
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=78 node=N516 type=control1 q_typed_residual_context=1.465474 sequence=134.317880
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=79 node=N7854 type=control0 q_typed_residual_context=1.163745 sequence=135.481624
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=80 node=N2042 type=observe q_typed_residual_context=1.038620 sequence=136.520244
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=81 node=N899 type=observe q_typed_residual_context=0.853923 sequence=137.374167
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=82 node=N513 type=control1 q_typed_residual_context=1.943137 sequence=139.317304
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=83 node=N7721 type=control0 q_typed_residual_context=1.078728 sequence=140.396032
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_residual_context=1.587406 sequence=141.983438
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=85 node=N1539 type=control0 q_typed_residual_context=0.864434 sequence=142.847872
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=86 node=N7722 type=control0 q_typed_residual_context=0.916903 sequence=143.764775
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=87 node=N556 type=control1 q_typed_residual_context=1.776976 sequence=145.541751
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=88 node=N507 type=control1 q_typed_residual_context=1.208397 sequence=146.750148
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=0.876735 sequence=147.626883
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_residual_context=1.124196 sequence=148.751079
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=91 node=N7725 type=control0 q_typed_residual_context=1.696492 sequence=150.447571
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=92 node=N7886 type=control1 q_typed_residual_context=1.422345 sequence=151.869916
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=93 node=N7884 type=control1 q_typed_residual_context=1.527001 sequence=153.396918
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=94 node=N7882 type=control1 q_typed_residual_context=1.428572 sequence=154.825489
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=95 node=N3722 type=control0 q_typed_residual_context=1.032244 sequence=155.857733
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=96 node=N7883 type=control1 q_typed_residual_context=2.698795 sequence=158.556528
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=97 node=N7846 type=control0 q_typed_residual_context=4.316319 sequence=162.872848
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=98 node=N7408 type=control0 q_typed_residual_context=3.521068 sequence=166.393916
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=99 node=N7726 type=control0 q_typed_residual_context=3.954250 sequence=170.348165
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_residual_context=1.213650 sequence=171.561815
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=101 node=N704 type=observe q_typed_residual_context=1.536218 sequence=173.098033
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=102 node=N510 type=control1 q_typed_residual_context=1.284986 sequence=174.383019
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=103 node=N3792 type=control0 q_typed_residual_context=1.085881 sequence=175.468900
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=104 node=N7847 type=control0 q_typed_residual_context=1.413675 sequence=176.882574
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=105 node=N620 type=control1 q_typed_residual_context=1.119475 sequence=178.002049
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=106 node=N3785 type=control0 q_typed_residual_context=1.565034 sequence=179.567083
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_residual_context=1.449720 sequence=181.016803
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=108 node=N4557 type=control0 q_typed_residual_context=1.984577 sequence=183.001380
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=109 node=N634 type=control1 q_typed_residual_context=1.552322 sequence=184.553702
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=110 node=N4520 type=control0 q_typed_residual_context=1.540446 sequence=186.094148
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=1.309533 sequence=187.403681
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=112 node=N3903 type=control0 q_typed_residual_context=1.306114 sequence=188.709795
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=113 node=N3896 type=control0 q_typed_residual_context=1.423104 sequence=190.132900
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=114 node=N638 type=control1 q_typed_residual_context=1.347375 sequence=191.480275
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=115 node=N3889 type=control0 q_typed_residual_context=1.379347 sequence=192.859622
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=116 node=N7820 type=control0 q_typed_residual_context=1.163190 sequence=194.022811
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=117 node=N7870 type=control1 q_typed_residual_context=1.551489 sequence=195.574300
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=118 node=N1411 type=control0 q_typed_residual_context=1.819613 sequence=197.393913
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=119 node=N3882 type=control0 q_typed_residual_context=2.337760 sequence=199.731674
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=120 node=N3805 type=control0 q_typed_residual_context=2.075505 sequence=201.807179
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=121 node=N722 type=observe q_typed_residual_context=3.966904 sequence=205.774083
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=122 node=N7853 type=control0 q_typed_residual_context=2.056047 sequence=207.830130
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=123 node=N645 type=control1 q_typed_residual_context=3.155461 sequence=210.985590
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=124 node=N3682 type=control0 q_typed_residual_context=2.506068 sequence=213.491658
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=125 node=N7852 type=control0 q_typed_residual_context=4.168252 sequence=217.659910
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=126 node=N7370 type=control1 q_typed_residual_context=2.228154 sequence=219.888064
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=127 node=N636 type=control1 q_typed_residual_context=6.199841 sequence=226.087905
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=128 node=N7518 type=observe q_typed_residual_context=2.388449 sequence=228.476354
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=129 node=N2040 type=observe q_typed_residual_context=1.545249 sequence=230.021603
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=130 node=N616 type=control1 q_typed_residual_context=2.225270 sequence=232.246872
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=131 node=N7537 type=observe q_typed_residual_context=1.986612 sequence=234.233485
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=132 node=N7534 type=observe q_typed_residual_context=2.119192 sequence=236.352677
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=133 node=N7535 type=observe q_typed_residual_context=2.711255 sequence=239.063932
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=134 node=N7532 type=observe q_typed_residual_context=3.202980 sequence=242.266912
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=135 node=N3295 type=control1 q_typed_residual_context=1.839276 sequence=244.106188
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=136 node=N3410 type=control1 q_typed_residual_context=3.305037 sequence=247.411224
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=137 node=N785 type=observe q_typed_residual_context=1.907618 sequence=249.318842
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=138 node=N7424 type=control1 q_typed_residual_context=2.881737 sequence=252.200579
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=139 node=N3180 type=control1 q_typed_residual_context=1.437485 sequence=253.638064
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=140 node=N630 type=control1 q_typed_residual_context=2.452624 sequence=256.090688
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=141 node=N642 type=control1 q_typed_residual_context=2.276425 sequence=258.367114
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_residual_context=2.601395 sequence=260.968509
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=143 node=N1552 type=observe q_typed_residual_context=1.424740 sequence=262.393249
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=144 node=N2580 type=control1 q_typed_residual_context=2.631493 sequence=265.024742
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=145 node=N3525 type=control1 q_typed_residual_context=1.838072 sequence=266.862815
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=146 node=N3467 type=control1 q_typed_residual_context=1.685989 sequence=268.548803
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=147 node=N647 type=control1 q_typed_residual_context=2.742135 sequence=271.290938
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=148 node=N1586 type=control1 q_typed_residual_context=3.150487 sequence=274.441425
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=149 node=N1607 type=control1 q_typed_residual_context=2.495327 sequence=276.936751
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=150 node=N2721 type=control1 q_typed_residual_context=3.790771 sequence=280.727522
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=151 node=N2652 type=control1 q_typed_residual_context=3.753448 sequence=284.480970
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=152 node=N2894 type=control1 q_typed_residual_context=4.982200 sequence=289.463171
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=153 node=N2952 type=control1 q_typed_residual_context=5.158298 sequence=294.621468
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=154 node=N7454 type=observe q_typed_residual_context=1.911110 sequence=296.532579
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=155 node=N7453 type=observe q_typed_residual_context=1.462540 sequence=297.995119
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=156 node=N2157 type=observe q_typed_residual_context=2.544926 sequence=300.540045
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=157 node=N7402 type=observe q_typed_residual_context=1.543445 sequence=302.083490
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=158 node=N578 type=observe q_typed_residual_context=1.443625 sequence=303.527114
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=159 node=N5867 type=observe q_typed_residual_context=1.258287 sequence=304.785402
[b15-r6-adaptive/incumbent/c64/range/0.003] [plan iscas99__b15_1] [plan] step=160 node=N7624 type=observe q_typed_residual_context=1.759044 sequence=306.544446
