step,node,type,planner,candidate_strategy
201,N3436,observe,portfolio,weighted_round_robin
202,N30921,control0,portfolio,weighted_round_robin
203,N29456,control0,portfolio,weighted_round_robin
204,N8811,observe,portfolio,weighted_round_robin
205,N1985,observe,portfolio,weighted_round_robin
206,N8815,observe,portfolio,weighted_round_robin
207,N8810,observe,portfolio,weighted_round_robin
208,N8812,observe,portfolio,weighted_round_robin
209,N3347,observe,portfolio,weighted_round_robin
210,N9514,observe,portfolio,weighted_round_robin
211,N7411,observe,portfolio,weighted_round_robin
212,N27365,control1,portfolio,weighted_round_robin
213,N3324,observe,portfolio,weighted_round_robin
214,N19835,observe,portfolio,weighted_round_robin
215,N7469,observe,portfolio,weighted_round_robin
216,N9041,observe,portfolio,weighted_round_robin
217,N5342,observe,portfolio,weighted_round_robin
218,N9601,observe,portfolio,weighted_round_robin
219,N7692,observe,portfolio,weighted_round_robin
220,N3957,observe,portfolio,weighted_round_robin
221,N3470,observe,portfolio,weighted_round_robin
222,N29355,control1,portfolio,weighted_round_robin
223,N8836,observe,portfolio,weighted_round_robin
224,N2891,observe,portfolio,weighted_round_robin
225,N5461,observe,portfolio,weighted_round_robin
226,N3903,observe,portfolio,weighted_round_robin
227,N3890,observe,portfolio,weighted_round_robin
228,N9593,observe,portfolio,weighted_round_robin
229,N5485,observe,portfolio,weighted_round_robin
230,N1982,observe,portfolio,weighted_round_robin
231,N13515,observe,portfolio,weighted_round_robin
232,N2041,control1,portfolio,weighted_round_robin
233,N3394,observe,portfolio,weighted_round_robin
234,N29575,control1,portfolio,weighted_round_robin
235,N24568,control0,portfolio,weighted_round_robin
236,N8937,observe,portfolio,weighted_round_robin
237,N7641,observe,portfolio,weighted_round_robin
238,N13513,observe,portfolio,weighted_round_robin
239,N29496,control1,portfolio,weighted_round_robin
240,N29386,control1,portfolio,weighted_round_robin
241,N3332,observe,portfolio,weighted_round_robin
242,N29387,control1,portfolio,weighted_round_robin
243,N7729,control1,portfolio,weighted_round_robin
244,N13800,control1,portfolio,weighted_round_robin
245,N5486,observe,portfolio,weighted_round_robin
246,N8083,observe,portfolio,weighted_round_robin
247,N8824,observe,portfolio,weighted_round_robin
248,N2030,control1,portfolio,weighted_round_robin
249,N5341,observe,portfolio,weighted_round_robin
250,N13589,observe,portfolio,weighted_round_robin
251,N13517,observe,portfolio,weighted_round_robin
252,N8821,observe,portfolio,weighted_round_robin
253,N5582,observe,portfolio,weighted_round_robin
254,N9505,observe,portfolio,weighted_round_robin
255,N2037,control1,portfolio,weighted_round_robin
256,N13062,observe,portfolio,weighted_round_robin
257,N5750,observe,portfolio,weighted_round_robin
258,N22040,control1,portfolio,weighted_round_robin
259,N13593,observe,portfolio,weighted_round_robin
260,N7712,control1,portfolio,weighted_round_robin
261,N5894,observe,portfolio,weighted_round_robin
262,N13561,observe,portfolio,weighted_round_robin
263,N13547,observe,portfolio,weighted_round_robin
264,N8144,observe,portfolio,weighted_round_robin
265,N5966,observe,portfolio,weighted_round_robin
266,N7639,observe,portfolio,weighted_round_robin
267,N8833,observe,portfolio,weighted_round_robin
268,N8808,observe,portfolio,weighted_round_robin
269,N5581,observe,portfolio,weighted_round_robin
270,N6002,observe,portfolio,weighted_round_robin
271,N12243,observe,portfolio,weighted_round_robin
272,N13579,observe,portfolio,weighted_round_robin
273,N5749,observe,portfolio,weighted_round_robin
274,N3765,observe,portfolio,weighted_round_robin
275,N3323,observe,portfolio,weighted_round_robin
276,N13066,observe,portfolio,weighted_round_robin
277,N5318,observe,portfolio,weighted_round_robin
278,N3429,observe,portfolio,weighted_round_robin
279,N12332,observe,portfolio,weighted_round_robin
280,N13785,control1,portfolio,weighted_round_robin
281,N5414,observe,portfolio,weighted_round_robin
282,N8813,observe,portfolio,weighted_round_robin
283,N12683,observe,portfolio,weighted_round_robin
284,N7727,control1,portfolio,weighted_round_robin
285,N5534,observe,portfolio,weighted_round_robin
286,N8809,observe,portfolio,weighted_round_robin
287,N7671,observe,portfolio,weighted_round_robin
288,N7673,observe,portfolio,weighted_round_robin
289,N5606,observe,portfolio,weighted_round_robin
290,N12339,observe,portfolio,weighted_round_robin
291,N12464,observe,portfolio,weighted_round_robin
292,N12604,observe,portfolio,weighted_round_robin
293,N5654,observe,portfolio,weighted_round_robin
294,N13801,control1,portfolio,weighted_round_robin
295,N3437,observe,portfolio,weighted_round_robin
296,N12368,observe,portfolio,weighted_round_robin
297,N5702,observe,portfolio,weighted_round_robin
298,N2078,control1,portfolio,weighted_round_robin
299,N7520,observe,portfolio,weighted_round_robin
300,N2036,control1,portfolio,weighted_round_robin
301,N5774,observe,portfolio,weighted_round_robin
302,N7270,observe,portfolio,weighted_round_robin
303,N13913,control1,portfolio,weighted_round_robin
304,N12399,observe,portfolio,weighted_round_robin
305,N5798,observe,portfolio,weighted_round_robin
306,N7726,control1,portfolio,weighted_round_robin
307,N12214,observe,portfolio,weighted_round_robin
308,N3319,observe,portfolio,weighted_round_robin
309,N5846,observe,portfolio,weighted_round_robin
310,N3777,observe,portfolio,weighted_round_robin
311,N7445,observe,portfolio,weighted_round_robin
312,N7448,observe,portfolio,weighted_round_robin
313,N5918,observe,portfolio,weighted_round_robin
314,N12447,observe,portfolio,weighted_round_robin
315,N12615,observe,portfolio,weighted_round_robin
316,N9610,observe,portfolio,weighted_round_robin
317,N5990,observe,portfolio,weighted_round_robin
318,N12293,observe,portfolio,weighted_round_robin
319,N12259,observe,portfolio,weighted_round_robin
320,N12335,observe,portfolio,weighted_round_robin
321,N5533,observe,portfolio,weighted_round_robin
322,N2696,observe,portfolio,weighted_round_robin
323,N12709,observe,portfolio,weighted_round_robin
324,N5930,observe,portfolio,weighted_round_robin
325,N5605,observe,portfolio,weighted_round_robin
326,N13921,control1,portfolio,weighted_round_robin
327,N5978,observe,portfolio,weighted_round_robin
328,N5882,observe,portfolio,weighted_round_robin
329,N5653,observe,portfolio,weighted_round_robin
330,N7766,control1,portfolio,weighted_round_robin
331,N5858,observe,portfolio,weighted_round_robin
332,N5906,observe,portfolio,weighted_round_robin
333,N5701,observe,portfolio,weighted_round_robin
334,N5954,observe,portfolio,weighted_round_robin
335,N12387,observe,portfolio,weighted_round_robin
336,N9595,observe,portfolio,weighted_round_robin
337,N5773,observe,portfolio,weighted_round_robin
338,N19864,observe,portfolio,weighted_round_robin
339,N19878,observe,portfolio,weighted_round_robin
340,N7635,observe,portfolio,weighted_round_robin
341,N5797,observe,portfolio,weighted_round_robin
342,N13428,observe,portfolio,weighted_round_robin
343,N3318,observe,portfolio,weighted_round_robin
344,N9603,observe,portfolio,weighted_round_robin
345,N5413,observe,portfolio,weighted_round_robin
346,N9551,observe,portfolio,weighted_round_robin
347,N9531,observe,portfolio,weighted_round_robin
348,N9543,observe,portfolio,weighted_round_robin
349,N5317,observe,portfolio,weighted_round_robin
350,N9599,observe,portfolio,weighted_round_robin
351,N9597,observe,portfolio,weighted_round_robin
352,N19837,observe,portfolio,weighted_round_robin
353,N5438,observe,portfolio,weighted_round_robin
354,N9511,observe,portfolio,weighted_round_robin
355,N3810,observe,portfolio,weighted_round_robin
356,N31044,control0,portfolio,weighted_round_robin
357,N5390,observe,portfolio,weighted_round_robin
358,N19843,observe,portfolio,weighted_round_robin
359,N3845,observe,portfolio,weighted_round_robin
360,N3821,observe,portfolio,weighted_round_robin
361,N5462,observe,portfolio,weighted_round_robin
362,N9712,observe,portfolio,weighted_round_robin
363,N9555,observe,portfolio,weighted_round_robin
364,N2076,control1,portfolio,weighted_round_robin
365,N5822,observe,portfolio,weighted_round_robin
366,N3854,observe,portfolio,weighted_round_robin
367,N8903,observe,portfolio,weighted_round_robin
368,N3817,observe,portfolio,weighted_round_robin
369,N5942,observe,portfolio,weighted_round_robin
370,N13836,control1,portfolio,weighted_round_robin
371,N3832,observe,portfolio,weighted_round_robin
372,N3829,observe,portfolio,weighted_round_robin
373,N5629,observe,portfolio,weighted_round_robin
374,N2029,control1,portfolio,weighted_round_robin
375,N7528,observe,portfolio,weighted_round_robin
376,N9608,observe,portfolio,weighted_round_robin
377,N5677,observe,portfolio,weighted_round_robin
378,N2256,observe,portfolio,weighted_round_robin
379,N2074,control1,portfolio,weighted_round_robin
380,N2698,observe,portfolio,weighted_round_robin
381,N5821,observe,portfolio,weighted_round_robin
382,N2693,observe,portfolio,weighted_round_robin
383,N1986,control1,portfolio,weighted_round_robin
384,N3793,observe,portfolio,weighted_round_robin
385,N5678,observe,portfolio,weighted_round_robin
386,N7944,observe,portfolio,weighted_round_robin
387,N7365,observe,portfolio,weighted_round_robin
388,N12303,observe,portfolio,weighted_round_robin
389,N5389,observe,portfolio,weighted_round_robin
390,N12581,observe,portfolio,weighted_round_robin
391,N3794,observe,portfolio,weighted_round_robin
392,N12291,observe,portfolio,weighted_round_robin
393,N5726,observe,portfolio,weighted_round_robin
394,N25713,observe,portfolio,weighted_round_robin
395,N7537,observe,portfolio,weighted_round_robin
396,N12371,observe,portfolio,weighted_round_robin
397,N5510,observe,portfolio,weighted_round_robin
398,N13837,control1,portfolio,weighted_round_robin
399,N7480,observe,portfolio,weighted_round_robin
400,N12547,observe,portfolio,weighted_round_robin
401,N5558,observe,portfolio,weighted_round_robin
402,N12323,observe,portfolio,weighted_round_robin
403,N25756,observe,portfolio,weighted_round_robin
404,N3798,observe,portfolio,weighted_round_robin
405,N5870,observe,portfolio,weighted_round_robin
406,N25224,observe,portfolio,weighted_round_robin
407,N7711,control1,portfolio,weighted_round_robin
408,N3805,observe,portfolio,weighted_round_robin
409,N5725,observe,portfolio,weighted_round_robin
410,N9639,observe,portfolio,weighted_round_robin
411,N7285,observe,portfolio,weighted_round_robin
412,N7548,observe,portfolio,weighted_round_robin
413,N5509,observe,portfolio,weighted_round_robin
414,N12300,observe,portfolio,weighted_round_robin
415,N7932,observe,portfolio,weighted_round_robin
416,N2711,observe,portfolio,weighted_round_robin
417,N5557,observe,portfolio,weighted_round_robin
418,N25720,observe,portfolio,weighted_round_robin
419,N19836,observe,portfolio,weighted_round_robin
420,N10956,observe,portfolio,weighted_round_robin
421,N5869,observe,portfolio,weighted_round_robin
422,N25742,observe,portfolio,weighted_round_robin
423,N12451,observe,portfolio,weighted_round_robin
424,N7496,observe,portfolio,weighted_round_robin
425,N5437,observe,portfolio,weighted_round_robin
426,N12227,observe,portfolio,weighted_round_robin
427,N27250,observe,portfolio,weighted_round_robin
428,N7333,observe,portfolio,weighted_round_robin
429,N6013,observe,portfolio,weighted_round_robin
430,N12255,observe,portfolio,weighted_round_robin
431,N5157,observe,portfolio,weighted_round_robin
432,N9605,observe,portfolio,weighted_round_robin
433,N5941,observe,portfolio,weighted_round_robin
434,N19834,observe,portfolio,weighted_round_robin
435,N9591,observe,portfolio,weighted_round_robin
436,N12355,observe,portfolio,weighted_round_robin
437,N5630,observe,portfolio,weighted_round_robin
438,N25244,observe,portfolio,weighted_round_robin
439,N12649,observe,portfolio,weighted_round_robin
440,N12657,observe,portfolio,weighted_round_robin
441,N5366,observe,portfolio,weighted_round_robin
442,N19842,observe,portfolio,weighted_round_robin
443,N7432,observe,portfolio,weighted_round_robin
444,N7349,observe,portfolio,weighted_round_robin
445,N5365,observe,portfolio,weighted_round_robin
446,N12268,observe,portfolio,weighted_round_robin
447,N12211,observe,portfolio,weighted_round_robin
448,N20546,control1,portfolio,weighted_round_robin
449,N1992,observe,portfolio,weighted_round_robin
450,N7765,control1,portfolio,weighted_round_robin
451,N13797,control1,portfolio,weighted_round_robin
452,N1987,control1,portfolio,weighted_round_robin
453,N5294,observe,portfolio,weighted_round_robin
454,N27607,control1,portfolio,weighted_round_robin
455,N31050,control0,portfolio,weighted_round_robin
456,N8004,observe,portfolio,weighted_round_robin
457,N3888,observe,portfolio,weighted_round_robin
458,N26507,control1,portfolio,weighted_round_robin
459,N7759,control1,portfolio,weighted_round_robin
460,N29406,control1,portfolio,weighted_round_robin
461,N5293,observe,portfolio,weighted_round_robin
462,N7690,control1,portfolio,weighted_round_robin
463,N30925,control0,portfolio,weighted_round_robin
464,N25715,observe,portfolio,weighted_round_robin
465,N5845,observe,portfolio,weighted_round_robin
466,N22049,observe,portfolio,weighted_round_robin
467,N12717,observe,portfolio,weighted_round_robin
468,N12403,observe,portfolio,weighted_round_robin
469,N5917,observe,portfolio,weighted_round_robin
470,N7464,observe,portfolio,weighted_round_robin
471,N30926,control0,portfolio,weighted_round_robin
472,N27564,control0,portfolio,weighted_round_robin
473,N6014,observe,portfolio,weighted_round_robin
474,N27576,control0,portfolio,weighted_round_robin
475,N27589,control0,portfolio,weighted_round_robin
476,N27585,control0,portfolio,weighted_round_robin
477,N5989,observe,portfolio,weighted_round_robin
478,N27574,control0,portfolio,weighted_round_robin
479,N26792,control0,portfolio,weighted_round_robin
480,N26769,control0,portfolio,weighted_round_robin
481,N5893,observe,portfolio,weighted_round_robin
482,N26786,control0,portfolio,weighted_round_robin
483,N26794,control0,portfolio,weighted_round_robin
484,N27551,control0,portfolio,weighted_round_robin
485,N5965,observe,portfolio,weighted_round_robin
486,N26790,control0,portfolio,weighted_round_robin
487,N12513,observe,portfolio,weighted_round_robin
488,N8128,observe,portfolio,weighted_round_robin
489,N3826,observe,portfolio,weighted_round_robin
490,N7397,observe,portfolio,weighted_round_robin
491,N9624,observe,portfolio,weighted_round_robin
492,N12252,observe,portfolio,weighted_round_robin
493,N5270,observe,portfolio,weighted_round_robin
494,N6026,observe,portfolio,weighted_round_robin
495,N29408,control1,portfolio,weighted_round_robin
496,N26788,control0,portfolio,weighted_round_robin
497,N5269,observe,portfolio,weighted_round_robin
498,N26796,control0,portfolio,weighted_round_robin
499,N12275,observe,portfolio,weighted_round_robin
500,N29409,control1,portfolio,weighted_round_robin
501,N3517,observe,portfolio,weighted_round_robin
502,N26784,control0,portfolio,weighted_round_robin
503,N26771,control0,portfolio,weighted_round_robin
504,N26782,control0,portfolio,weighted_round_robin
505,N3355,observe,portfolio,weighted_round_robin
506,N30924,control0,portfolio,weighted_round_robin
507,N26773,control0,portfolio,weighted_round_robin
508,N2025,control1,portfolio,weighted_round_robin
509,N3379,observe,portfolio,weighted_round_robin
510,N26775,control0,portfolio,weighted_round_robin
511,N30934,control0,portfolio,weighted_round_robin
512,N26654,control0,portfolio,weighted_round_robin
513,N3363,observe,portfolio,weighted_round_robin
514,N30933,control0,portfolio,weighted_round_robin
515,N29390,control0,portfolio,weighted_round_robin
516,N30932,control0,portfolio,weighted_round_robin
517,N3371,observe,portfolio,weighted_round_robin
518,N31075,control1,portfolio,weighted_round_robin
519,N7725,control1,portfolio,weighted_round_robin
520,N7718,control1,portfolio,weighted_round_robin
521,N3507,observe,portfolio,weighted_round_robin
522,N31045,control0,portfolio,weighted_round_robin
523,N30931,control0,portfolio,weighted_round_robin
524,N30930,control0,portfolio,weighted_round_robin
525,N3393,observe,portfolio,weighted_round_robin
526,N29579,control1,portfolio,weighted_round_robin
527,N30929,control0,portfolio,weighted_round_robin
528,N19870,observe,portfolio,weighted_round_robin
529,N3575,observe,portfolio,weighted_round_robin
530,N25712,observe,portfolio,weighted_round_robin
531,N7512,observe,portfolio,weighted_round_robin
532,N25232,observe,portfolio,weighted_round_robin
533,N3421,observe,portfolio,weighted_round_robin
534,N7381,observe,portfolio,weighted_round_robin
535,N12271,observe,portfolio,weighted_round_robin
536,N13454,observe,portfolio,weighted_round_robin
537,N3469,observe,portfolio,weighted_round_robin
538,N24576,observe,portfolio,weighted_round_robin
539,N13794,control1,portfolio,weighted_round_robin
540,N12562,observe,portfolio,weighted_round_robin
541,N3526,observe,portfolio,weighted_round_robin
542,N8121,observe,portfolio,weighted_round_robin
543,N25714,observe,portfolio,weighted_round_robin
544,N7195,observe,portfolio,weighted_round_robin
545,N3553,observe,portfolio,weighted_round_robin
546,N12319,observe,portfolio,weighted_round_robin
547,N7301,observe,portfolio,weighted_round_robin
548,N27509,control0,portfolio,weighted_round_robin
549,N3407,observe,portfolio,weighted_round_robin
550,N12209,observe,portfolio,weighted_round_robin
551,N12504,observe,portfolio,weighted_round_robin
552,N25721,observe,portfolio,weighted_round_robin
553,N3427,observe,portfolio,weighted_round_robin
554,N7147,observe,portfolio,weighted_round_robin
555,N12236,observe,portfolio,weighted_round_robin
556,N2038,control1,portfolio,weighted_round_robin
557,N3444,observe,portfolio,weighted_round_robin
558,N12553,observe,portfolio,weighted_round_robin
559,N8124,observe,portfolio,weighted_round_robin
560,N7179,observe,portfolio,weighted_round_robin
561,N3457,observe,portfolio,weighted_round_robin
562,N12284,observe,portfolio,weighted_round_robin
563,N22042,observe,portfolio,weighted_round_robin
564,N12168,observe,portfolio,weighted_round_robin
565,N3477,observe,portfolio,weighted_round_robin
566,N12273,observe,portfolio,weighted_round_robin
567,N12289,observe,portfolio,weighted_round_robin
568,N12528,observe,portfolio,weighted_round_robin
569,N7937,observe,portfolio,weighted_round_robin
570,N7163,observe,portfolio,weighted_round_robin
571,N12287,observe,portfolio,weighted_round_robin
572,N2023,observe,portfolio,weighted_round_robin
573,N3485,observe,portfolio,weighted_round_robin
574,N8125,observe,portfolio,weighted_round_robin
575,N25748,observe,portfolio,weighted_round_robin
576,N12257,observe,portfolio,weighted_round_robin
577,N27273,observe,portfolio,weighted_round_robin
578,N12524,observe,portfolio,weighted_round_robin
579,N9578,observe,portfolio,weighted_round_robin
580,N7211,observe,portfolio,weighted_round_robin
581,N7936,observe,portfolio,weighted_round_robin
582,N12316,observe,portfolio,weighted_round_robin
583,N5738,observe,portfolio,weighted_round_robin
584,N5690,observe,portfolio,weighted_round_robin
585,N3505,observe,portfolio,weighted_round_robin
586,N12660,observe,portfolio,weighted_round_robin
587,N8132,observe,portfolio,weighted_round_robin
588,N30928,control0,portfolio,weighted_round_robin
589,N19325,observe,portfolio,weighted_round_robin
590,N30927,control0,portfolio,weighted_round_robin
591,N31073,control1,portfolio,weighted_round_robin
592,N7992,observe,portfolio,weighted_round_robin
593,N19332,observe,portfolio,weighted_round_robin
594,N7721,control1,portfolio,weighted_round_robin
595,N7227,observe,portfolio,weighted_round_robin
596,N9525,observe,portfolio,weighted_round_robin
597,N19335,observe,portfolio,weighted_round_robin
598,N12239,observe,portfolio,weighted_round_robin
599,N12519,observe,portfolio,weighted_round_robin
600,N2262,observe,portfolio,weighted_round_robin
601,N19333,observe,portfolio,weighted_round_robin
602,N12616,observe,portfolio,weighted_round_robin
603,N3351,observe,portfolio,weighted_round_robin
604,N8133,observe,portfolio,weighted_round_robin
605,N19334,observe,portfolio,weighted_round_robin
606,N3383,observe,portfolio,weighted_round_robin
607,N3343,observe,portfolio,weighted_round_robin
