[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/epoch_012/q_typed_trust_context/alpha_0p10_decay_16
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_trust_context
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_trust_context=7.847518 sequence=116.278431
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_trust_context=2.924233 sequence=119.202664
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_trust_context=6.123002 sequence=125.325666
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_trust_context=4.754734 sequence=130.080400
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_trust_context=6.225000 sequence=136.305400
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_trust_context=5.895000 sequence=142.200400
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_trust_context=4.124782 sequence=146.325182
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_trust_context=6.378231 sequence=152.703413
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_trust_context=0.889893 sequence=153.593307
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_trust_context=1.187095 sequence=154.780401
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_trust_context=1.641267 sequence=156.421668
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_trust_context=2.039823 sequence=158.461491
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4585 type=control0 q_typed_trust_context=0.824204 sequence=159.285695
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_trust_context=0.989058 sequence=160.274753
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_trust_context=1.070257 sequence=161.345010
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_trust_context=0.960834 sequence=162.305844
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_trust_context=1.589504 sequence=163.895349
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_trust_context=0.889653 sequence=164.785001
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_trust_context=1.195157 sequence=165.980158
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_trust_context=1.408535 sequence=167.388694
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_trust_context=1.442308 sequence=168.831001
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_trust_context=1.381728 sequence=170.212729
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_trust_context=1.319629 sequence=171.532358
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_trust_context=1.183665 sequence=172.716023
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_trust_context=0.998133 sequence=173.714156
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_trust_context=1.206181 sequence=174.920337
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N3882 type=control0 q_typed_trust_context=1.146535 sequence=176.066872
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_trust_context=1.239562 sequence=177.306434
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_trust_context=1.207955 sequence=178.514389
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4578 type=control0 q_typed_trust_context=1.200417 sequence=179.714806
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4606 type=control0 q_typed_trust_context=1.288829 sequence=181.003636
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_trust_context=1.222849 sequence=182.226485
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_trust_context=1.120366 sequence=183.346851
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_trust_context=1.046518 sequence=184.393368
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_trust_context=1.135937 sequence=185.529305
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_trust_context=1.255253 sequence=186.784558
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_trust_context=1.292726 sequence=188.077283
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_trust_context=2.754327 sequence=190.831610
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_trust_context=2.185493 sequence=193.017103
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_trust_context=1.780168 sequence=194.797272
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_trust_context=1.803202 sequence=196.600474
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_trust_context=2.420626 sequence=199.021100
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_trust_context=1.955811 sequence=200.976911
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_trust_context=2.658288 sequence=203.635199
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_trust_context=2.965282 sequence=206.600481
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_trust_context=1.580761 sequence=208.181242
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_trust_context=1.347684 sequence=209.528926
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_trust_context=1.986659 sequence=211.515585
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_trust_context=2.048361 sequence=213.563945
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_trust_context=2.094209 sequence=215.658154
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_trust_context=1.952693 sequence=217.610847
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_trust_context=1.873547 sequence=219.484395
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_trust_context=1.691880 sequence=221.176275
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_trust_context=2.256715 sequence=223.432990
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_trust_context=1.655538 sequence=225.088528
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_trust_context=1.140618 sequence=226.229146
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_trust_context=1.486787 sequence=227.715933
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_trust_context=1.011034 sequence=228.726967
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_trust_context=0.938906 sequence=229.665873
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_trust_context=1.631073 sequence=231.296947
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_trust_context=2.835652 sequence=234.132599
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_trust_context=1.500221 sequence=235.632819
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_trust_context=1.838943 sequence=237.471762
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_trust_context=4.854193 sequence=242.325955
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_trust_context=1.482195 sequence=243.808150
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_trust_context=1.505051 sequence=245.313200
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_trust_context=2.431885 sequence=247.745086
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7725 type=control0 q_typed_trust_context=2.054947 sequence=249.800032
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7588 type=control1 q_typed_trust_context=1.265159 sequence=251.065191
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_trust_context=1.941830 sequence=253.007021
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N3841 type=control0 q_typed_trust_context=1.921333 sequence=254.928355
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_trust_context=2.928740 sequence=257.857095
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_trust_context=2.019080 sequence=259.876175
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_trust_context=2.358814 sequence=262.234988
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_trust_context=5.426331 sequence=267.661320
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N7853 type=control0 q_typed_trust_context=2.808606 sequence=270.469926
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N578 type=observe q_typed_trust_context=1.953966 sequence=272.423892
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N7541 type=control0 q_typed_trust_context=1.191312 sequence=273.615204
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N5876 type=observe q_typed_trust_context=0.873674 sequence=274.488878
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_trust_context=1.323661 sequence=275.812539
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N3827 type=control0 q_typed_trust_context=1.836551 sequence=277.649090
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N7627 type=observe q_typed_trust_context=2.142870 sequence=279.791960
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N2157 type=observe q_typed_trust_context=3.048869 sequence=282.840829
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N3820 type=control0 q_typed_trust_context=1.865684 sequence=284.706513
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7402 type=observe q_typed_trust_context=1.663588 sequence=286.370101
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N7679 type=observe q_typed_trust_context=1.762743 sequence=288.132844
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N3813 type=control0 q_typed_trust_context=2.245643 sequence=290.378487
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N556 type=control1 q_typed_trust_context=2.212373 sequence=292.590860
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N555 type=control1 q_typed_trust_context=2.043672 sequence=294.634532
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N520 type=control1 q_typed_trust_context=2.172527 sequence=296.807059
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N614 type=control1 q_typed_trust_context=2.288668 sequence=299.095727
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N2083 type=observe q_typed_trust_context=1.543111 sequence=300.638839
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N3799 type=control0 q_typed_trust_context=1.513180 sequence=302.152019
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N5356 type=observe q_typed_trust_context=1.187518 sequence=303.339536
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N694 type=observe q_typed_trust_context=2.505924 sequence=305.845461
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N638 type=control1 q_typed_trust_context=1.715559 sequence=307.561020
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N620 type=control1 q_typed_trust_context=2.647325 sequence=310.208345
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N610 type=control1 q_typed_trust_context=4.010212 sequence=314.218557
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N645 type=control1 q_typed_trust_context=5.293520 sequence=319.512077
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N3792 type=control0 q_typed_trust_context=5.665299 sequence=325.177375
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N3785 type=control0 q_typed_trust_context=2.360927 sequence=327.538302
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N6674 type=observe q_typed_trust_context=2.207940 sequence=329.746242
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N4520 type=control0 q_typed_trust_context=1.591977 sequence=331.338219
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=134 node=N616 type=control1 q_typed_trust_context=1.968989 sequence=333.307207
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=135 node=N2106 type=observe q_typed_trust_context=1.569276 sequence=334.876483
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=136 node=N636 type=control1 q_typed_trust_context=1.425382 sequence=336.301865
[b15-round6/cone_toplist/epoch_012/q_typed_trust_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=137 node=N7401 type=observe q_typed_trust_context=1.433525 sequence=337.735391
