[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/epoch_012/q_typed_reliable_context/alpha_0p10_decay_16
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_reliable_context=1.956871 sequence=34.608881
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_reliable_context=4.843794 sequence=39.452675
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_reliable_context=6.337130 sequence=45.789806
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_reliable_context=5.877612 sequence=51.667418
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=2.842919 sequence=54.510337
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_reliable_context=7.188485 sequence=61.698822
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_reliable_context=5.318508 sequence=67.017330
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_reliable_context=6.390000 sequence=73.407330
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_reliable_context=3.467914 sequence=76.875244
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.605784 sequence=78.481028
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_reliable_context=4.448306 sequence=82.929334
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_reliable_context=6.087642 sequence=89.016976
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_reliable_context=4.059140 sequence=93.076116
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=0.919036 sequence=93.995152
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.357815 sequence=102.352967
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=0.422345 sequence=102.775312
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=6.109098 sequence=108.884409
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_reliable_context=3.605871 sequence=112.490281
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_reliable_context=1.252207 sequence=113.742488
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_reliable_context=0.789368 sequence=114.531856
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=2.315029 sequence=116.846885
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_reliable_context=0.937023 sequence=117.783907
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=3.068553 sequence=120.852460
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N3889 type=control0 q_typed_reliable_context=0.876220 sequence=121.728680
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N3882 type=control0 q_typed_reliable_context=1.004767 sequence=122.733447
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N3805 type=control0 q_typed_reliable_context=0.990072 sequence=123.723519
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_reliable_context=1.706535 sequence=125.430054
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_reliable_context=1.143848 sequence=126.573902
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_reliable_context=2.133563 sequence=128.707465
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_reliable_context=1.996111 sequence=130.703575
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_reliable_context=1.816033 sequence=132.519608
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_reliable_context=2.005433 sequence=134.525041
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_reliable_context=3.006415 sequence=137.531457
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_reliable_context=1.538716 sequence=139.070173
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_reliable_context=1.391745 sequence=140.461918
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_reliable_context=2.083059 sequence=142.544977
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_reliable_context=1.998314 sequence=144.543290
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_reliable_context=0.953285 sequence=145.496576
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_reliable_context=2.061078 sequence=147.557653
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_reliable_context=1.814067 sequence=149.371721
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N724 type=observe q_typed_reliable_context=1.573498 sequence=150.945219
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_reliable_context=1.812825 sequence=152.758044
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N7888 type=control1 q_typed_reliable_context=1.096705 sequence=153.854749
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_reliable_context=1.148085 sequence=155.002834
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_reliable_context=1.815982 sequence=156.818816
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_reliable_context=1.731905 sequence=158.550722
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N2079 type=observe q_typed_reliable_context=1.094814 sequence=159.645535
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N694 type=observe q_typed_reliable_context=2.097608 sequence=161.743143
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N7881 type=control1 q_typed_reliable_context=1.400687 sequence=163.143831
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N3855 type=control0 q_typed_reliable_context=1.759019 sequence=164.902850
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N3848 type=control0 q_typed_reliable_context=1.477146 sequence=166.379995
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N3827 type=control0 q_typed_reliable_context=1.634490 sequence=168.014486
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N3820 type=control0 q_typed_reliable_context=2.179246 sequence=170.193732
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N3813 type=control0 q_typed_reliable_context=2.443371 sequence=172.637103
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3799 type=control0 q_typed_reliable_context=2.784706 sequence=175.421809
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N3792 type=control0 q_typed_reliable_context=2.748327 sequence=178.170136
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3785 type=control0 q_typed_reliable_context=2.786850 sequence=180.956985
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_reliable_context=2.884901 sequence=183.841886
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7471 type=control0 q_typed_reliable_context=2.599271 sequence=186.441158
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7889 type=control1 q_typed_reliable_context=2.617318 sequence=189.058476
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N7891 type=control1 q_typed_reliable_context=3.014972 sequence=192.073448
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N4585 type=control0 q_typed_reliable_context=3.915710 sequence=195.989158
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=3.088642 sequence=199.077799
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_reliable_context=2.992032 sequence=202.069831
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N3897 type=control0 q_typed_reliable_context=3.145358 sequence=205.215189
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3904 type=control0 q_typed_reliable_context=3.276177 sequence=208.491365
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_reliable_context=2.783060 sequence=211.274426
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_reliable_context=2.304868 sequence=213.579294
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N4606 type=control0 q_typed_reliable_context=2.546453 sequence=216.125747
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_reliable_context=2.511601 sequence=218.637348
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_reliable_context=3.275475 sequence=221.912823
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_reliable_context=1.914203 sequence=223.827026
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7724 type=control0 q_typed_reliable_context=1.849632 sequence=225.676659
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_reliable_context=2.362670 sequence=228.039329
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N722 type=observe q_typed_reliable_context=2.863425 sequence=230.902754
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N713 type=observe q_typed_reliable_context=5.130639 sequence=236.033393
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N3681 type=control0 q_typed_reliable_context=3.069627 sequence=239.103020
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N7723 type=control0 q_typed_reliable_context=3.388930 sequence=242.491950
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_reliable_context=6.126278 sequence=248.618228
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7408 type=control0 q_typed_reliable_context=4.079589 sequence=252.697817
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N513 type=control1 q_typed_reliable_context=3.985727 sequence=256.683544
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_reliable_context=3.395523 sequence=260.079067
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N4520 type=control0 q_typed_reliable_context=3.662327 sequence=263.741393
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N520 type=control1 q_typed_reliable_context=4.018332 sequence=267.759726
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N516 type=control1 q_typed_reliable_context=3.160436 sequence=270.920162
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7890 type=control1 q_typed_reliable_context=1.938257 sequence=272.858419
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7887 type=control1 q_typed_reliable_context=4.216704 sequence=277.075124
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7725 type=control0 q_typed_reliable_context=3.911817 sequence=280.986940
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N7587 type=control1 q_typed_reliable_context=4.691904 sequence=285.678844
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N556 type=control1 q_typed_reliable_context=5.748342 sequence=291.427186
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N2340 type=observe q_typed_reliable_context=4.370246 sequence=295.797432
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N555 type=control1 q_typed_reliable_context=5.176295 sequence=300.973727
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N7588 type=control1 q_typed_reliable_context=2.016832 sequence=302.990559
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3124 type=control1 q_typed_reliable_context=3.938033 sequence=306.928592
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N7627 type=observe q_typed_reliable_context=5.284068 sequence=312.212660
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N7401 type=observe q_typed_reliable_context=4.874536 sequence=317.087196
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N2102 type=observe q_typed_reliable_context=2.887325 sequence=319.974521
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7872 type=control1 q_typed_reliable_context=2.360600 sequence=322.335120
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7875 type=control1 q_typed_reliable_context=0.903491 sequence=323.238611
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N1411 type=control0 q_typed_reliable_context=2.847870 sequence=326.086481
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N7421 type=control1 q_typed_reliable_context=1.070975 sequence=327.157456
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N634 type=control1 q_typed_reliable_context=1.457918 sequence=328.615373
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N578 type=observe q_typed_reliable_context=2.065682 sequence=330.681056
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N7871 type=control1 q_typed_reliable_context=1.454867 sequence=332.135923
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N510 type=control1 q_typed_reliable_context=2.343062 sequence=334.478985
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N3352 type=control1 q_typed_reliable_context=2.143061 sequence=336.622046
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N8017 type=control0 q_typed_reliable_context=2.404399 sequence=339.026446
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N5603 type=observe q_typed_reliable_context=1.085284 sequence=340.111730
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N7679 type=observe q_typed_reliable_context=1.164312 sequence=341.276041
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N7370 type=control1 q_typed_reliable_context=1.394492 sequence=342.670534
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N2157 type=observe q_typed_reliable_context=6.023916 sequence=348.694450
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N620 type=control1 q_typed_reliable_context=5.678980 sequence=354.373430
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N638 type=control1 q_typed_reliable_context=6.163233 sequence=360.536663
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N614 type=control1 q_typed_reliable_context=6.673763 sequence=367.210426
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N610 type=control1 q_typed_reliable_context=3.096075 sequence=370.306502
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N2580 type=control1 q_typed_reliable_context=5.638300 sequence=375.944802
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N3410 type=control1 q_typed_reliable_context=3.302225 sequence=379.247027
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=134 node=N7877 type=control1 q_typed_reliable_context=2.404483 sequence=381.651510
