[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T10:09:50 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.103734 sequence=30.294625
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.761937 sequence=33.056562
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.838948 sequence=34.895510
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.716153 sequence=39.611663
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.608586 sequence=44.220249
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.297749 sequence=49.517999
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.806442 sequence=54.324441
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.186365 sequence=58.510806
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.741979 sequence=65.252785
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.117309 sequence=71.370094
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.966673 sequence=77.336767
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.721285 sequence=83.058052
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.911480 sequence=89.969532
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.503184 sequence=95.472717
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.383210 sequence=99.855927
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.354280 sequence=104.210206
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.394321 sequence=108.604527
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.832182 sequence=116.436710
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.909826 sequence=119.346536
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.136535 sequence=125.483071
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.748379 sequence=130.231451
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.236943 sequence=136.468394
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.906220 sequence=142.374614
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.132885 sequence=146.507499
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.368353 sequence=152.875851
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.892451 sequence=153.768302
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.180934 sequence=154.949236
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.636885 sequence=156.586120
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.035677 sequence=158.621797
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4606 type=control0 q_typed_residual_context=0.821988 sequence=159.443786
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.987463 sequence=160.431248
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.068072 sequence=161.499321
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.958585 sequence=162.457906
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.586876 sequence=164.044782
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889484 sequence=164.934266
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.192797 sequence=166.127062
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.412021 sequence=167.539083
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.444678 sequence=168.983762
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.377578 sequence=170.361340
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.322011 sequence=171.683350
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.180142 sequence=172.863492
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.997799 sequence=173.861291
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.133165 sequence=174.994457
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.136961 sequence=176.131418
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.239466 sequence=177.370884
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_residual_context=1.207759 sequence=178.578642
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.201448 sequence=179.780091
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4578 type=control0 q_typed_residual_context=1.323026 sequence=181.103117
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.223615 sequence=182.326732
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_residual_context=1.165529 sequence=183.492262
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4712 type=control0 q_typed_residual_context=1.045506 sequence=184.537768
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4716 type=control0 q_typed_residual_context=1.068889 sequence=185.606657
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_residual_context=1.254651 sequence=186.861309
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.334854 sequence=188.196163
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.823428 sequence=191.019592
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_residual_context=1.982294 sequence=193.001885
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.888257 sequence=194.890143
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.884881 sequence=196.775024
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.435328 sequence=199.210352
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.954329 sequence=201.164681
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.648972 sequence=203.813653
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.973794 sequence=206.787446
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.576722 sequence=208.364169
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.334364 sequence=209.698533
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.968042 sequence=211.666575
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.085351 sequence=213.751926
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.088654 sequence=215.840581
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.961364 sequence=217.801945
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.854815 sequence=219.656760
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.711395 sequence=221.368155
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.280133 sequence=223.648288
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N3855 type=control0 q_typed_residual_context=1.674870 sequence=225.323158
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.533761 sequence=226.856919
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_residual_context=1.747058 sequence=228.603977
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N504 type=control1 q_typed_residual_context=1.257129 sequence=229.861106
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N516 type=control1 q_typed_residual_context=1.370409 sequence=231.231515
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N5603 type=observe q_typed_residual_context=2.429997 sequence=233.661512
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=1.339021 sequence=235.000533
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N7721 type=control0 q_typed_residual_context=1.414242 sequence=236.414774
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N7421 type=control1 q_typed_residual_context=1.731606 sequence=238.146380
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N2083 type=observe q_typed_residual_context=1.569888 sequence=239.716269
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7590 type=control1 q_typed_residual_context=1.374634 sequence=241.090903
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7588 type=control1 q_typed_residual_context=2.008006 sequence=243.098909
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N3848 type=control0 q_typed_residual_context=1.527837 sequence=244.626746
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N4520 type=control0 q_typed_residual_context=2.979260 sequence=247.606006
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7723 type=control0 q_typed_residual_context=4.692436 sequence=252.298442
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7725 type=control0 q_typed_residual_context=3.907301 sequence=256.205743
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N1411 type=control0 q_typed_residual_context=2.013140 sequence=258.218883
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_residual_context=3.934224 sequence=262.153107
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=1.726467 sequence=263.879573
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_residual_context=1.543705 sequence=265.423278
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=1.822799 sequence=267.246077
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_residual_context=2.639696 sequence=269.885773
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N578 type=observe q_typed_residual_context=1.305198 sequence=271.190971
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N7853 type=control0 q_typed_residual_context=3.121618 sequence=274.312589
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N3840 type=control0 q_typed_residual_context=1.758735 sequence=276.071324
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N7454 type=observe q_typed_residual_context=1.146144 sequence=277.217468
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N2157 type=observe q_typed_residual_context=4.652711 sequence=281.870179
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N7402 type=observe q_typed_residual_context=2.420817 sequence=284.290996
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N3827 type=control0 q_typed_residual_context=3.184550 sequence=287.475546
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N2102 type=observe q_typed_residual_context=1.850080 sequence=289.325626
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N513 type=control1 q_typed_residual_context=1.285981 sequence=290.611606
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N5876 type=observe q_typed_residual_context=1.594783 sequence=292.206389
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N3682 type=control0 q_typed_residual_context=1.912230 sequence=294.118619
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N510 type=control1 q_typed_residual_context=1.678292 sequence=295.796911
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N7679 type=observe q_typed_residual_context=2.118691 sequence=297.915602
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N3820 type=control0 q_typed_residual_context=1.715589 sequence=299.631191
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N556 type=control1 q_typed_residual_context=1.511895 sequence=301.143086
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N555 type=control1 q_typed_residual_context=1.403849 sequence=302.546935
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N6674 type=observe q_typed_residual_context=1.902786 sequence=304.449721
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N714 type=observe q_typed_residual_context=1.672659 sequence=306.122380
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N634 type=control1 q_typed_residual_context=1.369102 sequence=307.491482
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N520 type=control1 q_typed_residual_context=1.292555 sequence=308.784037
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N638 type=control1 q_typed_residual_context=1.793778 sequence=310.577815
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N620 type=control1 q_typed_residual_context=2.502981 sequence=313.080796
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N614 type=control1 q_typed_residual_context=2.768447 sequence=315.849243
[b15-round6/cone_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N610 type=control1 q_typed_residual_context=2.116496 sequence=317.965739
