[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_rank/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 budgets=iscas99__b15_1:278
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.292847 sequence=49.529165
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.806442 sequence=54.335607
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.186365 sequence=58.521972
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.745507 sequence=65.267479
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.118319 sequence=71.385798
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.966673 sequence=77.352471
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.709344 sequence=83.061816
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.907074 sequence=89.968890
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.496441 sequence=95.465330
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.389430 sequence=99.854761
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.354280 sequence=104.209040
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.393997 sequence=108.603037
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.835935 sequence=116.438973
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.914238 sequence=119.353210
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.136467 sequence=125.489677
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.747530 sequence=130.237207
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.236646 sequence=136.473853
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.906220 sequence=142.380073
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.134574 sequence=146.514647
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.369510 sequence=152.884156
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.892039 sequence=153.776196
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.178423 sequence=154.954618
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.633059 sequence=156.587677
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.032112 sequence=158.619789
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4585 type=control0 q_typed_residual_context=0.820975 sequence=159.440764
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.982253 sequence=160.423017
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.063865 sequence=161.486881
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.954829 sequence=162.441710
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.583863 sequence=164.025573
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889649 sequence=164.915222
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.190814 sequence=166.106036
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.411917 sequence=167.517953
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.445299 sequence=168.963252
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.377600 sequence=170.340852
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.322915 sequence=171.663767
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.180022 sequence=172.843790
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.997901 sequence=173.841691
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.203954 sequence=175.045645
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.146218 sequence=176.191863
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.239251 sequence=177.431113
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_residual_context=1.207859 sequence=178.638973
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4578 type=control0 q_typed_residual_context=1.200364 sequence=179.839337
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4606 type=control0 q_typed_residual_context=1.288752 sequence=181.128089
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.221749 sequence=182.349838
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_residual_context=1.120019 sequence=183.469857
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4698 type=control0 q_typed_residual_context=1.045525 sequence=184.515382
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4716 type=control0 q_typed_residual_context=1.073783 sequence=185.589165
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N4712 type=control0 q_typed_residual_context=1.254344 sequence=186.843509
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.292099 sequence=188.135608
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.755711 sequence=190.891319
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_residual_context=2.185077 sequence=193.076396
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.781384 sequence=194.857780
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.803176 sequence=196.660956
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.435883 sequence=199.096839
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.963311 sequence=201.060150
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.657941 sequence=203.718091
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.965231 sequence=206.683322
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.580647 sequence=208.263969
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.347586 sequence=209.611555
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.986631 sequence=211.598186
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.101562 sequence=213.699748
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.107098 sequence=215.806845
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.952198 sequence=217.759043
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.873453 sequence=219.632497
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.692054 sequence=221.324551
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.255923 sequence=223.580474
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.676120 sequence=225.256594
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.140164 sequence=226.396758
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.486349 sequence=227.883107
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_residual_context=1.010916 sequence=228.894023
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=0.938889 sequence=229.832912
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_residual_context=1.630924 sequence=231.463836
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=2.834237 sequence=234.298074
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_residual_context=1.500140 sequence=235.798213
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_residual_context=1.834363 sequence=237.632576
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=4.845343 sequence=242.477920
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_residual_context=1.523875 sequence=244.001795
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_residual_context=1.505854 sequence=245.507649
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.432617 sequence=247.940265
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7588 type=control1 q_typed_residual_context=1.952222 sequence=249.892487
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N556 type=control1 q_typed_residual_context=1.536765 sequence=251.429252
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_residual_context=2.836858 sequence=254.266110
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N7725 type=control0 q_typed_residual_context=1.928884 sequence=256.194995
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_residual_context=2.023571 sequence=258.218566
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=1.770584 sequence=259.989150
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_residual_context=1.452620 sequence=261.441770
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=1.588921 sequence=263.030691
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_residual_context=2.512954 sequence=265.543645
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_residual_context=2.188144 sequence=267.731789
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N578 type=observe q_typed_residual_context=2.003836 sequence=269.735624
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N3841 type=control0 q_typed_residual_context=1.169230 sequence=270.904855
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N5876 type=observe q_typed_residual_context=0.740080 sequence=271.644935
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N4520 type=control0 q_typed_residual_context=1.759624 sequence=273.404559
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N3827 type=control0 q_typed_residual_context=1.671023 sequence=275.075582
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N7627 type=observe q_typed_residual_context=1.488968 sequence=276.564550
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N2157 type=observe q_typed_residual_context=4.055236 sequence=280.619786
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N3820 type=control0 q_typed_residual_context=1.700859 sequence=282.320645
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N7402 type=observe q_typed_residual_context=1.915476 sequence=284.236121
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N555 type=control1 q_typed_residual_context=1.644345 sequence=285.880467
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N7679 type=observe q_typed_residual_context=1.624301 sequence=287.504768
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N3813 type=control0 q_typed_residual_context=1.747771 sequence=289.252539
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N634 type=control1 q_typed_residual_context=1.202225 sequence=290.454764
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N520 type=control1 q_typed_residual_context=1.069250 sequence=291.524014
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N638 type=control1 q_typed_residual_context=0.848727 sequence=292.372741
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N620 type=control1 q_typed_residual_context=0.970249 sequence=293.342990
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N2083 type=observe q_typed_residual_context=1.415569 sequence=294.758558
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N614 type=control1 q_typed_residual_context=1.682607 sequence=296.441166
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N610 type=control1 q_typed_residual_context=1.684139 sequence=298.125305
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N3799 type=control0 q_typed_residual_context=1.666884 sequence=299.792189
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N5356 type=observe q_typed_residual_context=1.161663 sequence=300.953851
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N694 type=observe q_typed_residual_context=2.589369 sequence=303.543221
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N645 type=control1 q_typed_residual_context=1.762802 sequence=305.306023
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N3792 type=control0 q_typed_residual_context=1.389078 sequence=306.695102
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N7421 type=control1 q_typed_residual_context=1.404091 sequence=308.099193
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_residual_context=1.749045 sequence=309.848238
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_residual_context=2.150129 sequence=311.998367
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=135 node=N6533 type=observe q_typed_residual_context=1.457763 sequence=313.456130
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=136 node=N723 type=observe q_typed_residual_context=1.785171 sequence=315.241302
