[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [gmean] 2026-07-21T10:06:39 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/epoch_012/q_typed_residual_context/alpha_0p05_decay_16
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [gmean] 2026-07-21T10:06:39 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [gmean] 2026-07-21T10:06:39 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [gmean] 2026-07-21T10:06:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.277453 sequence=27.098507
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.114471 sequence=30.212979
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.773304 sequence=32.986283
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.819253 sequence=34.805536
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.705258 sequence=39.510795
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.590561 sequence=44.101356
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.285039 sequence=49.386395
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.791193 sequence=54.177588
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.172040 sequence=58.349627
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.753635 sequence=65.103262
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.121174 sequence=71.224436
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.978549 sequence=77.202985
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.710180 sequence=82.913166
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.917554 sequence=89.830720
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.493458 sequence=95.324178
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.392459 sequence=99.716637
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.362968 sequence=104.079605
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.397660 sequence=108.477265
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.839850 sequence=116.317116
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.918734 sequence=119.235849
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.129769 sequence=125.365618
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.750941 sequence=130.116559
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.230972 sequence=136.347531
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.900610 sequence=142.248140
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.130052 sequence=146.378192
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.373281 sequence=152.751473
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.890992 sequence=153.642465
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.184779 sequence=154.827243
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.639450 sequence=156.466693
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.037933 sequence=158.504626
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=43 node=N4606 type=control0 q_typed_residual_context=0.822870 sequence=159.327497
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.987594 sequence=160.315091
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.067858 sequence=161.382949
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.958329 sequence=162.341277
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.586800 sequence=163.928077
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889641 sequence=164.817718
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.193413 sequence=166.011131
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.410265 sequence=167.421396
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.442384 sequence=168.863780
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.378759 sequence=170.242539
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.320101 sequence=171.562640
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.181243 sequence=172.743883
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.997936 sequence=173.741819
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.134097 sequence=174.875916
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.136943 sequence=176.012859
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_residual_context=1.239519 sequence=177.252378
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_residual_context=1.207810 sequence=178.460188
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.201863 sequence=179.662051
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=61 node=N4557 type=control0 q_typed_residual_context=1.323509 sequence=180.985561
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.248753 sequence=182.234313
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=63 node=N4578 type=control0 q_typed_residual_context=1.188656 sequence=183.422970
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.051587 sequence=184.474557
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=65 node=N4698 type=control0 q_typed_residual_context=1.061518 sequence=185.536075
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=66 node=N4712 type=control0 q_typed_residual_context=1.253419 sequence=186.789494
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.334989 sequence=188.124483
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.822571 sequence=190.947054
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=69 node=N4564 type=control0 q_typed_residual_context=1.989284 sequence=192.936338
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.886348 sequence=194.822685
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.938390 sequence=196.761075
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.336816 sequence=199.097891
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.948830 sequence=201.046722
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.649056 sequence=203.695778
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.963261 sequence=206.659039
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.553705 sequence=208.212744
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.297444 sequence=209.510188
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.928383 sequence=211.438571
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.028722 sequence=213.467293
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.072070 sequence=215.539363
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.961487 sequence=217.500849
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.854940 sequence=219.355790
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.711301 sequence=221.067090
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.272126 sequence=223.339216
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.653473 sequence=224.992689
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.140474 sequence=226.133163
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.574933 sequence=227.708096
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_residual_context=1.012344 sequence=228.720440
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=0.941845 sequence=229.662286
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_residual_context=1.633352 sequence=231.295638
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=2.825769 sequence=234.121407
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_residual_context=1.503361 sequence=235.624768
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_residual_context=1.843663 sequence=237.468431
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=4.820994 sequence=242.289425
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_residual_context=1.519826 sequence=243.809252
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=96 node=N1411 type=control0 q_typed_residual_context=1.499755 sequence=245.309006
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.428872 sequence=247.737878
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=98 node=N7588 type=control1 q_typed_residual_context=2.044121 sequence=249.781999
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=99 node=N3840 type=control0 q_typed_residual_context=1.276584 sequence=251.058583
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=100 node=N7408 type=control0 q_typed_residual_context=2.803424 sequence=253.862006
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_residual_context=2.446202 sequence=256.308208
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_residual_context=2.376101 sequence=258.684309
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_residual_context=2.082606 sequence=260.766915
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_residual_context=1.562324 sequence=262.329239
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=2.164979 sequence=264.494218
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=106 node=N2340 type=observe q_typed_residual_context=2.977635 sequence=267.471853
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=107 node=N2157 type=observe q_typed_residual_context=5.900595 sequence=273.372448
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=108 node=N3827 type=control0 q_typed_residual_context=1.550718 sequence=274.923166
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=109 node=N7401 type=observe q_typed_residual_context=2.017673 sequence=276.940839
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=110 node=N3820 type=control0 q_typed_residual_context=1.570113 sequence=278.510952
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=111 node=N2102 type=observe q_typed_residual_context=1.571047 sequence=280.081999
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=112 node=N634 type=control1 q_typed_residual_context=1.388764 sequence=281.470763
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=113 node=N3813 type=control0 q_typed_residual_context=1.447816 sequence=282.918579
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=114 node=N7679 type=observe q_typed_residual_context=2.029635 sequence=284.948214
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=115 node=N3799 type=control0 q_typed_residual_context=2.357689 sequence=287.305903
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=116 node=N556 type=control1 q_typed_residual_context=3.198853 sequence=290.504755
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=117 node=N7627 type=observe q_typed_residual_context=2.260239 sequence=292.764994
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=118 node=N694 type=observe q_typed_residual_context=2.932239 sequence=295.697233
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=119 node=N555 type=control1 q_typed_residual_context=2.294274 sequence=297.991506
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=120 node=N520 type=control1 q_typed_residual_context=2.831477 sequence=300.822983
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=121 node=N614 type=control1 q_typed_residual_context=5.612867 sequence=306.435850
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=122 node=N620 type=control1 q_typed_residual_context=3.354227 sequence=309.790078
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=123 node=N638 type=control1 q_typed_residual_context=3.519064 sequence=313.309142
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=124 node=N610 type=control1 q_typed_residual_context=4.537914 sequence=317.847056
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=125 node=N3792 type=control0 q_typed_residual_context=4.425065 sequence=322.272121
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=126 node=N3785 type=control0 q_typed_residual_context=2.014286 sequence=324.286407
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=127 node=N6674 type=observe q_typed_residual_context=5.007600 sequence=329.294007
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=128 node=N4520 type=control0 q_typed_residual_context=2.588384 sequence=331.882391
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=129 node=N5356 type=observe q_typed_residual_context=1.842174 sequence=333.724566
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=130 node=N7402 type=observe q_typed_residual_context=1.652875 sequence=335.377441
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=131 node=N3681 type=control0 q_typed_residual_context=1.703281 sequence=337.080722
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=132 node=N5878 type=observe q_typed_residual_context=2.662228 sequence=339.742950
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=133 node=N712 type=observe q_typed_residual_context=2.566547 sequence=342.309497
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=134 node=N7614 type=observe q_typed_residual_context=3.176097 sequence=345.485593
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=135 node=N7421 type=control1 q_typed_residual_context=2.913355 sequence=348.398948
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=136 node=N7820 type=control0 q_typed_residual_context=1.497692 sequence=349.896640
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=137 node=N7590 type=control1 q_typed_residual_context=1.063601 sequence=350.960241
