[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T10:12:59 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist_sa/epoch_012/q_typed_residual_context/alpha_0p02_decay_16
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T10:12:59 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T10:12:59 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T10:12:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.044080 sequence=17.846599
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.942819 sequence=18.789418
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124269 sequence=19.913687
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.289713 sequence=22.203400
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.596498 sequence=23.799899
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.270592 sequence=27.070491
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.122382 sequence=30.192872
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.785810 sequence=32.978683
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.807557 sequence=34.786240
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.696890 sequence=39.483130
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.585330 sequence=44.068459
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.279199 sequence=49.347658
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.782043 sequence=54.129701
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.163445 sequence=58.293146
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.761709 sequence=65.054855
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.124151 sequence=71.179006
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.985675 sequence=77.164681
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.703487 sequence=82.868167
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.924615 sequence=89.792782
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.487551 sequence=95.280333
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.398553 sequence=99.678886
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.368926 sequence=104.047812
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.400030 sequence=108.447842
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.845031 sequence=116.292873
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.921403 sequence=119.214276
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.125709 sequence=125.339984
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.753133 sequence=130.093117
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.227389 sequence=136.320506
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.897244 sequence=142.217750
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.125760 sequence=146.343510
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.376251 sequence=152.719761
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.890332 sequence=153.610093
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.186189 sequence=154.796282
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.640534 sequence=156.436817
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.039090 sequence=158.475907
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=43 node=N4606 type=control0 q_typed_residual_context=0.823547 sequence=159.299454
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.989058 sequence=160.288512
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.069153 sequence=161.357665
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.959648 sequence=162.317313
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.588255 sequence=163.905568
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889588 sequence=164.795156
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.194568 sequence=165.989724
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.409145 sequence=167.398869
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.441656 sequence=168.840525
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.379792 sequence=170.220317
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.319047 sequence=171.539364
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.181916 sequence=172.721280
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.997951 sequence=173.719231
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.135307 sequence=174.854538
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.137015 sequence=175.991553
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.239534 sequence=177.231087
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_residual_context=1.207872 sequence=178.438959
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.201726 sequence=179.640685
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=61 node=N4578 type=control0 q_typed_residual_context=1.323411 sequence=180.964096
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.224563 sequence=182.188659
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_residual_context=1.165849 sequence=183.354508
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.046485 sequence=184.400993
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_residual_context=1.071136 sequence=185.472129
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_residual_context=1.255422 sequence=186.727551
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.335267 sequence=188.062818
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.822034 sequence=190.884852
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_residual_context=1.982526 sequence=192.867378
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.888169 sequence=194.755546
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.885015 sequence=196.640561
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.419898 sequence=199.060459
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.948807 sequence=201.009266
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.649038 sequence=203.658305
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.973920 sequence=206.632225
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.576758 sequence=208.208983
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.334527 sequence=209.543510
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.968186 sequence=211.511696
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.035795 sequence=213.547491
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.075821 sequence=215.623313
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.961541 sequence=217.584854
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.854936 sequence=219.439790
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.711258 sequence=221.151048
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.280669 sequence=223.431717
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.654815 sequence=225.086532
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.140515 sequence=226.227048
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.575199 sequence=227.802246
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_residual_context=0.949876 sequence=228.752122
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=0.942032 sequence=229.694155
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_residual_context=1.633337 sequence=231.327492
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=2.825634 sequence=234.153127
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_residual_context=1.500769 sequence=235.653896
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_residual_context=1.843840 sequence=237.497736
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=4.828925 sequence=242.326662
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_residual_context=1.524507 sequence=243.851168
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_residual_context=1.503910 sequence=245.355079
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.438830 sequence=247.793909
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=98 node=N7588 type=control1 q_typed_residual_context=1.956772 sequence=249.750681
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=99 node=N556 type=control1 q_typed_residual_context=1.364285 sequence=251.114966
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_residual_context=3.209570 sequence=254.324537
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=101 node=N7725 type=control0 q_typed_residual_context=2.098865 sequence=256.423402
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_residual_context=2.035611 sequence=258.459012
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=1.994516 sequence=260.453529
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_residual_context=1.453222 sequence=261.906751
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=1.579591 sequence=263.486341
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_residual_context=2.509213 sequence=265.995555
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_residual_context=2.203703 sequence=268.199257
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=108 node=N578 type=observe q_typed_residual_context=2.227617 sequence=270.426874
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=109 node=N3841 type=control0 q_typed_residual_context=1.179610 sequence=271.606484
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=110 node=N5876 type=observe q_typed_residual_context=1.101570 sequence=272.708054
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=111 node=N3827 type=control0 q_typed_residual_context=1.696163 sequence=274.404218
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=112 node=N3820 type=control0 q_typed_residual_context=1.558077 sequence=275.962294
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=113 node=N7454 type=observe q_typed_residual_context=1.159749 sequence=277.122043
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=114 node=N2157 type=observe q_typed_residual_context=4.873674 sequence=281.995717
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=115 node=N7402 type=observe q_typed_residual_context=1.627455 sequence=283.623172
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=116 node=N555 type=control1 q_typed_residual_context=1.415499 sequence=285.038671
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=117 node=N7679 type=observe q_typed_residual_context=1.508491 sequence=286.547162
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=118 node=N520 type=control1 q_typed_residual_context=1.555416 sequence=288.102578
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=119 node=N634 type=control1 q_typed_residual_context=1.123224 sequence=289.225802
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=120 node=N3813 type=control0 q_typed_residual_context=1.487422 sequence=290.713224
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=121 node=N610 type=control1 q_typed_residual_context=1.476858 sequence=292.190082
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=122 node=N638 type=control1 q_typed_residual_context=1.474889 sequence=293.664971
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=123 node=N620 type=control1 q_typed_residual_context=1.505512 sequence=295.170483
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=124 node=N614 type=control1 q_typed_residual_context=1.414274 sequence=296.584758
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=125 node=N3799 type=control0 q_typed_residual_context=1.329737 sequence=297.914495
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=126 node=N2083 type=observe q_typed_residual_context=1.247081 sequence=299.161576
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=127 node=N3792 type=control0 q_typed_residual_context=1.459556 sequence=300.621132
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=128 node=N5356 type=observe q_typed_residual_context=1.180606 sequence=301.801738
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=129 node=N694 type=observe q_typed_residual_context=1.938817 sequence=303.740556
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=130 node=N645 type=control1 q_typed_residual_context=0.936603 sequence=304.677159
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=131 node=N6674 type=observe q_typed_residual_context=1.593956 sequence=306.271115
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=132 node=N3785 type=control0 q_typed_residual_context=1.438820 sequence=307.709935
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=133 node=N1411 type=control0 q_typed_residual_context=1.039718 sequence=308.749653
