[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_rank/best_final_horizon/q_typed_reliable_context/alpha_0p10_decay_16
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 budgets=iscas99__b15_1:278
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T09:54:17 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_reliable_context=1.033173 sequence=18.032882
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_reliable_context=1.069766 sequence=19.102649
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_reliable_context=1.155792 sequence=20.258441
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=2.535033 sequence=22.793474
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_reliable_context=1.145822 sequence=23.939296
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_reliable_context=1.239495 sequence=25.178791
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_reliable_context=1.515886 sequence=26.694678
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_reliable_context=2.865582 sequence=29.560260
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_reliable_context=3.089199 sequence=32.649459
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_reliable_context=1.956032 sequence=34.605491
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_reliable_context=4.843981 sequence=39.449472
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_reliable_context=6.337276 sequence=45.786747
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_reliable_context=5.877504 sequence=51.664251
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=2.842767 sequence=54.507018
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_reliable_context=7.188539 sequence=61.695557
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_reliable_context=5.318661 sequence=67.014218
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_reliable_context=6.390000 sequence=73.404218
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_reliable_context=3.467885 sequence=76.872103
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.604984 sequence=78.477087
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_reliable_context=4.448347 sequence=82.925434
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_reliable_context=6.087182 sequence=89.012616
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_reliable_context=4.058764 sequence=93.071380
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=0.919726 sequence=93.991106
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.357846 sequence=102.348953
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=0.419926 sequence=102.768878
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=6.108489 sequence=108.877368
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_reliable_context=3.604127 sequence=112.481494
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_reliable_context=1.247520 sequence=113.729014
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_reliable_context=0.789103 sequence=114.518117
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=2.315898 sequence=116.834015
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_reliable_context=0.937062 sequence=117.771077
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=3.068478 sequence=120.839555
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N3889 type=control0 q_typed_reliable_context=0.876215 sequence=121.715769
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N3882 type=control0 q_typed_reliable_context=1.004756 sequence=122.720526
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N3805 type=control0 q_typed_reliable_context=0.990072 sequence=123.710598
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_reliable_context=1.706395 sequence=125.416993
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_reliable_context=1.143719 sequence=126.560712
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_reliable_context=2.133855 sequence=128.694567
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_reliable_context=1.996091 sequence=130.690658
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_reliable_context=1.816042 sequence=132.506699
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_reliable_context=2.005467 sequence=134.512167
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_reliable_context=3.006468 sequence=137.518634
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_reliable_context=1.538670 sequence=139.057304
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_reliable_context=1.391771 sequence=140.449075
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_reliable_context=2.083065 sequence=142.532140
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_reliable_context=1.998315 sequence=144.530454
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_reliable_context=0.953273 sequence=145.483728
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_reliable_context=2.061117 sequence=147.544845
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_reliable_context=1.814094 sequence=149.358939
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N724 type=observe q_typed_reliable_context=1.573477 sequence=150.932416
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_reliable_context=1.812835 sequence=152.745251
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N7888 type=control1 q_typed_reliable_context=1.096649 sequence=153.841900
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_reliable_context=1.148036 sequence=154.989936
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_reliable_context=1.815927 sequence=156.805863
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_reliable_context=1.731823 sequence=158.537686
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N3855 type=control0 q_typed_reliable_context=1.095080 sequence=159.632766
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_reliable_context=1.367224 sequence=160.999990
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N7889 type=control1 q_typed_reliable_context=1.698774 sequence=162.698764
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N713 type=observe q_typed_reliable_context=2.670787 sequence=165.369552
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N3848 type=control0 q_typed_reliable_context=1.597897 sequence=166.967449
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N3827 type=control0 q_typed_reliable_context=1.873804 sequence=168.841253
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N3820 type=control0 q_typed_reliable_context=2.098290 sequence=170.939544
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N3813 type=control0 q_typed_reliable_context=2.196464 sequence=173.136008
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3799 type=control0 q_typed_reliable_context=2.334765 sequence=175.470772
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N3792 type=control0 q_typed_reliable_context=2.388498 sequence=177.859270
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3785 type=control0 q_typed_reliable_context=2.530350 sequence=180.389621
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_reliable_context=2.782016 sequence=183.171636
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7881 type=control1 q_typed_reliable_context=2.332960 sequence=185.504596
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7887 type=control1 q_typed_reliable_context=3.430668 sequence=188.935264
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N4585 type=control0 q_typed_reliable_context=3.583732 sequence=192.518996
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7890 type=control1 q_typed_reliable_context=2.559275 sequence=195.078271
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=3.593511 sequence=198.671781
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_reliable_context=2.988852 sequence=201.660633
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N3897 type=control0 q_typed_reliable_context=2.938081 sequence=204.598714
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3904 type=control0 q_typed_reliable_context=3.040822 sequence=207.639535
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_reliable_context=2.654653 sequence=210.294188
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_reliable_context=2.475880 sequence=212.770068
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N4606 type=control0 q_typed_reliable_context=2.710711 sequence=215.480778
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_reliable_context=2.677694 sequence=218.158473
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_reliable_context=3.307882 sequence=221.466355
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_reliable_context=2.095546 sequence=223.561901
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7724 type=control0 q_typed_reliable_context=2.003517 sequence=225.565417
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_reliable_context=2.558290 sequence=228.123707
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7891 type=control1 q_typed_reliable_context=1.973707 sequence=230.097414
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N2079 type=observe q_typed_reliable_context=2.340729 sequence=232.438144
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N722 type=observe q_typed_reliable_context=3.628052 sequence=236.066195
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N3681 type=control0 q_typed_reliable_context=4.409314 sequence=240.475510
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_reliable_context=5.422989 sequence=245.898498
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_reliable_context=4.637438 sequence=250.535936
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7408 type=control0 q_typed_reliable_context=3.938921 sequence=254.474857
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_reliable_context=3.218213 sequence=257.693070
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7723 type=control0 q_typed_reliable_context=3.276823 sequence=260.969894
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N516 type=control1 q_typed_reliable_context=5.027270 sequence=265.997164
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N520 type=control1 q_typed_reliable_context=3.846763 sequence=269.843927
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_reliable_context=3.537665 sequence=273.381592
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7875 type=control1 q_typed_reliable_context=4.562494 sequence=277.944085
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7587 type=control1 q_typed_reliable_context=3.929244 sequence=281.873329
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N555 type=control1 q_typed_reliable_context=6.501041 sequence=288.374370
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N2340 type=observe q_typed_reliable_context=3.757238 sequence=292.131608
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_reliable_context=6.765359 sequence=298.896967
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N7370 type=control1 q_typed_reliable_context=3.449077 sequence=302.346044
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N513 type=control1 q_typed_reliable_context=4.406841 sequence=306.752885
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3124 type=control1 q_typed_reliable_context=3.477842 sequence=310.230726
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_reliable_context=4.058358 sequence=314.289084
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N1533 type=control1 q_typed_reliable_context=4.771679 sequence=319.060763
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_reliable_context=3.863511 sequence=322.924274
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7872 type=control1 q_typed_reliable_context=3.134644 sequence=326.058918
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7588 type=control1 q_typed_reliable_context=5.210617 sequence=331.269535
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N5603 type=observe q_typed_reliable_context=1.661642 sequence=332.931177
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N694 type=observe q_typed_reliable_context=4.073103 sequence=337.004280
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N7421 type=control1 q_typed_reliable_context=5.613861 sequence=342.618141
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N7401 type=observe q_typed_reliable_context=2.973941 sequence=345.592082
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N2102 type=observe q_typed_reliable_context=6.986518 sequence=352.578600
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N7454 type=observe q_typed_reliable_context=1.890489 sequence=354.469089
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N7871 type=control1 q_typed_reliable_context=1.284273 sequence=355.753362
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N1411 type=control0 q_typed_reliable_context=3.047504 sequence=358.800866
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N3352 type=control1 q_typed_reliable_context=1.496371 sequence=360.297237
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N578 type=observe q_typed_reliable_context=1.022943 sequence=361.320180
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N6533 type=observe q_typed_reliable_context=1.841352 sequence=363.161532
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N706 type=observe q_typed_reliable_context=1.287903 sequence=364.449435
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N2106 type=observe q_typed_reliable_context=1.485699 sequence=365.935133
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2580 type=control1 q_typed_reliable_context=1.740063 sequence=367.675197
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N7402 type=observe q_typed_reliable_context=1.580602 sequence=369.255799
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N771 type=observe q_typed_reliable_context=0.095023 sequence=369.350822
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N638 type=control1 q_typed_reliable_context=1.293933 sequence=370.644755
[b15-round6/cone_rank/best_final_horizon/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N620 type=control1 q_typed_reliable_context=2.407979 sequence=373.052734
