[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/best_final_horizon/q_typed_trust_context/alpha_0p05_decay_16
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_trust_context
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_trust_context=5.895000 sequence=142.200400
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_trust_context=4.124782 sequence=146.325182
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_trust_context=6.378231 sequence=152.703413
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_trust_context=0.889893 sequence=153.593307
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_trust_context=1.187095 sequence=154.780401
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_trust_context=1.641267 sequence=156.421668
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_trust_context=2.039823 sequence=158.461491
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=43 node=N4606 type=control0 q_typed_trust_context=0.824034 sequence=159.285525
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_trust_context=0.989926 sequence=160.275451
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_trust_context=1.069914 sequence=161.345365
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_trust_context=0.960416 sequence=162.305781
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_trust_context=1.589213 sequence=163.894994
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_trust_context=0.889642 sequence=164.784636
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_trust_context=1.195252 sequence=165.979888
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_trust_context=1.408358 sequence=167.388246
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_trust_context=1.441214 sequence=168.829460
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_trust_context=1.380124 sequence=170.209584
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_trust_context=1.318467 sequence=171.528051
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_trust_context=1.182122 sequence=172.710173
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_trust_context=0.998017 sequence=173.708190
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_trust_context=1.135704 sequence=174.843894
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_trust_context=1.137092 sequence=175.980986
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_trust_context=1.239619 sequence=177.220605
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_trust_context=1.207908 sequence=178.428513
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_trust_context=1.202027 sequence=179.630539
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=61 node=N4564 type=control0 q_typed_trust_context=1.323502 sequence=180.954042
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_trust_context=1.260040 sequence=182.214082
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=63 node=N4578 type=control0 q_typed_trust_context=1.188749 sequence=183.402830
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_trust_context=1.051984 sequence=184.454814
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_trust_context=1.062053 sequence=185.516867
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_trust_context=1.253914 sequence=186.770781
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_trust_context=1.335455 sequence=188.106236
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_trust_context=2.821776 sequence=190.928012
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_trust_context=1.989407 sequence=192.917420
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_trust_context=1.888060 sequence=194.805480
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_trust_context=1.964310 sequence=196.769790
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_trust_context=2.744466 sequence=199.514257
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_trust_context=1.948801 sequence=201.463057
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_trust_context=2.649069 sequence=204.112127
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_trust_context=3.018791 sequence=207.130917
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_trust_context=1.576718 sequence=208.707636
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_trust_context=1.354334 sequence=210.061969
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_trust_context=2.077482 sequence=212.139451
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_trust_context=2.087157 sequence=214.226608
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_trust_context=2.099505 sequence=216.326114
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_trust_context=1.961585 sequence=218.287699
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_trust_context=1.858677 sequence=220.146376
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_trust_context=1.711258 sequence=221.857634
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_trust_context=2.332624 sequence=224.190257
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_trust_context=1.653648 sequence=225.843906
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_trust_context=1.140523 sequence=226.984429
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_trust_context=1.575056 sequence=228.559485
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_trust_context=1.012408 sequence=229.571892
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_trust_context=0.941941 sequence=230.513833
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_trust_context=1.633303 sequence=232.147137
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_trust_context=2.825839 sequence=234.972975
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_trust_context=1.497436 sequence=236.470411
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_trust_context=1.844274 sequence=238.314685
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_trust_context=4.828699 sequence=243.143384
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_trust_context=1.523787 sequence=244.667172
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_trust_context=1.503693 sequence=246.170865
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_trust_context=2.438812 sequence=248.609677
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=98 node=N7588 type=control1 q_typed_trust_context=1.957049 sequence=250.566726
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=99 node=N556 type=control1 q_typed_trust_context=1.364207 sequence=251.930933
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_trust_context=3.209834 sequence=255.140767
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=101 node=N7725 type=control0 q_typed_trust_context=2.089002 sequence=257.229769
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_trust_context=2.035397 sequence=259.265166
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_trust_context=1.993533 sequence=261.258699
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_trust_context=1.453981 sequence=262.712680
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_trust_context=1.579420 sequence=264.292100
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_trust_context=2.509200 sequence=266.801300
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_trust_context=2.213714 sequence=269.015014
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=108 node=N578 type=observe q_typed_trust_context=2.219728 sequence=271.234741
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=109 node=N3841 type=control0 q_typed_trust_context=1.179766 sequence=272.414508
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=110 node=N5876 type=observe q_typed_trust_context=1.102955 sequence=273.517463
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=111 node=N3827 type=control0 q_typed_trust_context=1.697839 sequence=275.215301
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=112 node=N3820 type=control0 q_typed_trust_context=1.641029 sequence=276.856330
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=113 node=N7454 type=observe q_typed_trust_context=1.164437 sequence=278.020767
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=114 node=N2157 type=observe q_typed_trust_context=4.878081 sequence=282.898848
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=115 node=N7402 type=observe q_typed_trust_context=1.627274 sequence=284.526121
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=116 node=N555 type=control1 q_typed_trust_context=1.415561 sequence=285.941682
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=117 node=N7679 type=observe q_typed_trust_context=1.509232 sequence=287.450914
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=118 node=N520 type=control1 q_typed_trust_context=1.558330 sequence=289.009243
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=119 node=N634 type=control1 q_typed_trust_context=1.123570 sequence=290.132813
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=120 node=N3813 type=control0 q_typed_trust_context=1.486989 sequence=291.619802
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=121 node=N638 type=control1 q_typed_trust_context=1.476713 sequence=293.096515
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=122 node=N620 type=control1 q_typed_trust_context=1.477139 sequence=294.573654
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=123 node=N610 type=control1 q_typed_trust_context=1.505879 sequence=296.079533
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=124 node=N614 type=control1 q_typed_trust_context=1.414256 sequence=297.493790
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=125 node=N3792 type=control0 q_typed_trust_context=1.330507 sequence=298.824296
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=126 node=N2083 type=observe q_typed_trust_context=1.249348 sequence=300.073644
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=127 node=N3799 type=control0 q_typed_trust_context=1.456877 sequence=301.530521
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=128 node=N5356 type=observe q_typed_trust_context=1.184769 sequence=302.715290
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=129 node=N694 type=observe q_typed_trust_context=1.937978 sequence=304.653268
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=130 node=N645 type=control1 q_typed_trust_context=0.937953 sequence=305.591221
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=131 node=N6674 type=observe q_typed_trust_context=1.596596 sequence=307.187817
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=132 node=N3785 type=control0 q_typed_trust_context=1.433818 sequence=308.621635
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_trust_context=1.039658 sequence=309.661293
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=134 node=N7421 type=control1 q_typed_trust_context=0.988112 sequence=310.649405
