[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_balanced/decay_128
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.319222 sequence=47.005894
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.899469 sequence=53.905362
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.212914 sequence=59.118276
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.789809 sequence=64.908085
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.780389 sequence=71.688474
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.129294 sequence=77.817768
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.295442 sequence=80.113210
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.193255 sequence=86.306465
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.533624 sequence=93.840088
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.951099 sequence=101.791188
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.907339 sequence=104.698527
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=4.258436 sequence=108.956963
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=6.713745 sequence=115.670708
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.779107 sequence=124.449814
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=4.840345 sequence=129.290160
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=7.952122 sequence=137.242282
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=34 node=N576 type=observe q_typed_residual_context=6.688798 sequence=143.931080
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=3.165355 sequence=147.096436
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_residual_context=0.806434 sequence=147.902869
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=37 node=N2044 type=observe q_typed_residual_context=1.564075 sequence=149.466945
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.237876 sequence=155.704821
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.853198 sequence=156.558019
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.515206 sequence=162.073225
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=41 node=N3904 type=control0 q_typed_residual_context=0.847437 sequence=162.920662
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=42 node=N4656 type=control0 q_typed_residual_context=4.340710 sequence=167.261372
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=43 node=N7882 type=control1 q_typed_residual_context=1.997380 sequence=169.258752
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=2.132408 sequence=171.391160
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.337214 sequence=172.728374
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=46 node=N3897 type=control0 q_typed_residual_context=0.982160 sequence=173.710534
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_residual_context=2.130584 sequence=175.841117
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_residual_context=1.684781 sequence=177.525898
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_residual_context=1.484079 sequence=179.009977
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_residual_context=1.985197 sequence=180.995174
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=51 node=N3862 type=control0 q_typed_residual_context=0.959153 sequence=181.954328
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=52 node=N724 type=observe q_typed_residual_context=1.903587 sequence=183.857914
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_residual_context=2.163251 sequence=186.021165
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=54 node=N704 type=observe q_typed_residual_context=1.582966 sequence=187.604132
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=2.052265 sequence=189.656397
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=56 node=N7887 type=control1 q_typed_residual_context=0.973478 sequence=190.629875
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_residual_context=0.962081 sequence=191.591956
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.627218 sequence=193.219174
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_residual_context=1.047256 sequence=194.266431
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_residual_context=1.718776 sequence=195.985206
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_residual_context=1.551500 sequence=197.536706
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=62 node=N3827 type=control0 q_typed_residual_context=1.131539 sequence=198.668245
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.462618 sequence=200.130863
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.254010 sequence=201.384873
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=65 node=N3820 type=control0 q_typed_residual_context=1.109920 sequence=202.494793
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=66 node=N3813 type=control0 q_typed_residual_context=1.321214 sequence=203.816007
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=67 node=N3799 type=control0 q_typed_residual_context=1.806637 sequence=205.622644
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=68 node=N3792 type=control0 q_typed_residual_context=1.278270 sequence=206.900914
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=69 node=N3785 type=control0 q_typed_residual_context=1.610934 sequence=208.511848
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=70 node=N3889 type=control0 q_typed_residual_context=1.839899 sequence=210.351747
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=71 node=N3805 type=control0 q_typed_residual_context=2.020697 sequence=212.372445
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=72 node=N3882 type=control0 q_typed_residual_context=2.000372 sequence=214.372816
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=73 node=N3742 type=control0 q_typed_residual_context=1.958560 sequence=216.331377
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=74 node=N4585 type=control0 q_typed_residual_context=1.991947 sequence=218.323323
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=75 node=N2350 type=control0 q_typed_residual_context=2.046434 sequence=220.369757
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=76 node=N722 type=observe q_typed_residual_context=2.589746 sequence=222.959503
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=77 node=N4557 type=control0 q_typed_residual_context=3.668274 sequence=226.627778
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=78 node=N7854 type=control0 q_typed_residual_context=3.193908 sequence=229.821685
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_residual_context=3.959349 sequence=233.781034
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=80 node=N4606 type=control0 q_typed_residual_context=3.547078 sequence=237.328112
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=81 node=N4564 type=control0 q_typed_residual_context=2.984337 sequence=240.312450
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=82 node=N1539 type=control0 q_typed_residual_context=2.819362 sequence=243.131812
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_residual_context=3.354002 sequence=246.485814
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=3.351957 sequence=249.837771
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=3.435962 sequence=253.273733
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=86 node=N3903 type=control0 q_typed_residual_context=2.936985 sequence=256.210718
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=87 node=N4520 type=control0 q_typed_residual_context=3.463415 sequence=259.674133
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=88 node=N2040 type=observe q_typed_residual_context=3.258339 sequence=262.932472
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=89 node=N3896 type=control0 q_typed_residual_context=3.950401 sequence=266.882873
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_residual_context=3.852132 sequence=270.735004
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=91 node=N504 type=control1 q_typed_residual_context=3.479507 sequence=274.214511
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=92 node=N7725 type=control0 q_typed_residual_context=3.680026 sequence=277.894537
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_residual_context=4.290567 sequence=282.185104
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=94 node=N7370 type=control1 q_typed_residual_context=2.924960 sequence=285.110064
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=95 node=N516 type=control1 q_typed_residual_context=4.330570 sequence=289.440633
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=96 node=N7890 type=control1 q_typed_residual_context=1.880017 sequence=291.320651
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=97 node=N3840 type=control0 q_typed_residual_context=2.449205 sequence=293.769855
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=98 node=N7886 type=control1 q_typed_residual_context=2.219829 sequence=295.989684
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=99 node=N7846 type=control0 q_typed_residual_context=3.383239 sequence=299.372924
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=100 node=N7408 type=control0 q_typed_residual_context=3.317514 sequence=302.690438
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=101 node=N7885 type=control1 q_typed_residual_context=2.674128 sequence=305.364565
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=102 node=N7847 type=control0 q_typed_residual_context=4.891440 sequence=310.256006
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_residual_context=3.800382 sequence=314.056388
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_residual_context=6.119281 sequence=320.175669
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=105 node=N7853 type=control0 q_typed_residual_context=4.147925 sequence=324.323594
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=106 node=N2580 type=control1 q_typed_residual_context=4.029754 sequence=328.353348
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=107 node=N7820 type=control0 q_typed_residual_context=6.235695 sequence=334.589043
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=108 node=N7888 type=control1 q_typed_residual_context=4.600134 sequence=339.189177
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=109 node=N3681 type=control0 q_typed_residual_context=4.956895 sequence=344.146072
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=110 node=N7889 type=control1 q_typed_residual_context=4.390243 sequence=348.536315
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=111 node=N513 type=control1 q_typed_residual_context=4.364864 sequence=352.901179
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=112 node=N2083 type=observe q_typed_residual_context=3.110396 sequence=356.011576
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=113 node=N7543 type=control0 q_typed_residual_context=3.635087 sequence=359.646663
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=114 node=N634 type=control1 q_typed_residual_context=4.249312 sequence=363.895974
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=115 node=N614 type=control1 q_typed_residual_context=3.934144 sequence=367.830118
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=116 node=N556 type=control1 q_typed_residual_context=4.513947 sequence=372.344066
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=117 node=N7588 type=control1 q_typed_residual_context=1.327315 sequence=373.671381
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=118 node=N7590 type=control1 q_typed_residual_context=1.447202 sequence=375.118583
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=119 node=N578 type=observe q_typed_residual_context=1.102327 sequence=376.220910
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=120 node=N510 type=control1 q_typed_residual_context=1.694142 sequence=377.915052
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=121 node=N620 type=control1 q_typed_residual_context=1.216879 sequence=379.131931
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=122 node=N610 type=control1 q_typed_residual_context=1.735514 sequence=380.867445
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=123 node=N638 type=control1 q_typed_residual_context=1.609864 sequence=382.477309
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=124 node=N5876 type=observe q_typed_residual_context=1.123539 sequence=383.600848
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=125 node=N2157 type=observe q_typed_residual_context=3.982988 sequence=387.583835
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=126 node=N555 type=control1 q_typed_residual_context=2.286436 sequence=389.870272
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=127 node=N7401 type=observe q_typed_residual_context=2.050514 sequence=391.920785
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=128 node=N7627 type=observe q_typed_residual_context=2.068532 sequence=393.989318
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=129 node=N5740 type=observe q_typed_residual_context=3.858732 sequence=397.848050
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=130 node=N7679 type=observe q_typed_residual_context=1.386805 sequence=399.234855
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=131 node=N7413 type=control1 q_typed_residual_context=4.798763 sequence=404.033618
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=132 node=N645 type=control1 q_typed_residual_context=2.407046 sequence=406.440663
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_residual_context=2.198477 sequence=408.639140
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=134 node=N694 type=observe q_typed_residual_context=3.263786 sequence=411.902927
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=135 node=N636 type=control1 q_typed_residual_context=1.520784 sequence=413.423711
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=136 node=N3410 type=control1 q_typed_residual_context=2.107489 sequence=415.531200
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=137 node=N3180 type=control1 q_typed_residual_context=0.862196 sequence=416.393396
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=138 node=N3295 type=control1 q_typed_residual_context=0.864708 sequence=417.258104
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=139 node=N6674 type=observe q_typed_residual_context=0.895876 sequence=418.153980
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=140 node=N7424 type=control1 q_typed_residual_context=1.019616 sequence=419.173595
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_residual_context=0.955306 sequence=420.128901
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=142 node=N5356 type=observe q_typed_residual_context=0.959307 sequence=421.088208
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=143 node=N7402 type=observe q_typed_residual_context=1.180267 sequence=422.268475
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=144 node=N2149 type=observe q_typed_residual_context=1.756118 sequence=424.024593
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=145 node=N642 type=control1 q_typed_residual_context=1.071182 sequence=425.095775
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=146 node=N649 type=control1 q_typed_residual_context=1.436399 sequence=426.532174
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=147 node=N5878 type=observe q_typed_residual_context=1.748978 sequence=428.281152
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=148 node=N2102 type=observe q_typed_residual_context=1.327139 sequence=429.608290
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=149 node=N7614 type=observe q_typed_residual_context=1.187676 sequence=430.795966
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=150 node=N712 type=observe q_typed_residual_context=2.099609 sequence=432.895575
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=151 node=N5874 type=observe q_typed_residual_context=1.321281 sequence=434.216856
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=152 node=N7721 type=control0 q_typed_residual_context=4.406278 sequence=438.623134
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=153 node=N1607 type=control1 q_typed_residual_context=1.946088 sequence=440.569223
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=154 node=N1411 type=control0 q_typed_residual_context=1.458133 sequence=442.027356
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=155 node=N3525 type=control1 q_typed_residual_context=1.610512 sequence=443.637867
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=156 node=N647 type=control1 q_typed_residual_context=1.159248 sequence=444.797116
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=157 node=N1586 type=control1 q_typed_residual_context=1.984351 sequence=446.781466
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=158 node=N3467 type=control1 q_typed_residual_context=2.117905 sequence=448.899371
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=159 node=N7421 type=control1 q_typed_residual_context=1.120209 sequence=450.019580
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=160 node=N2652 type=control1 q_typed_residual_context=1.075245 sequence=451.094825
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=161 node=N2106 type=observe q_typed_residual_context=0.973161 sequence=452.067987
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_residual_context=1.100446 sequence=453.168433
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=163 node=N6534 type=observe q_typed_residual_context=0.878431 sequence=454.046864
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=164 node=N715 type=observe q_typed_residual_context=1.163929 sequence=455.210793
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=165 node=N723 type=observe q_typed_residual_context=1.187046 sequence=456.397839
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=166 node=N714 type=observe q_typed_residual_context=1.386555 sequence=457.784394
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=167 node=N7454 type=observe q_typed_residual_context=1.110919 sequence=458.895313
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=168 node=N2721 type=control1 q_typed_residual_context=1.018096 sequence=459.913409
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=169 node=N2894 type=control1 q_typed_residual_context=0.954546 sequence=460.867956
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=170 node=N2952 type=control1 q_typed_residual_context=0.828935 sequence=461.696891
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=171 node=N7436 type=observe q_typed_residual_context=0.767848 sequence=462.464739
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=172 node=N5473 type=observe q_typed_residual_context=0.897454 sequence=463.362192
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=173 node=N2779 type=control1 q_typed_residual_context=0.936406 sequence=464.298598
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=174 node=N758 type=observe q_typed_residual_context=0.764306 sequence=465.062904
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=175 node=N705 type=observe q_typed_residual_context=2.459047 sequence=467.521950
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=176 node=N725 type=observe q_typed_residual_context=3.136190 sequence=470.658140
