[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_return/decay_0
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_return/decay_0] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.340555 sequence=33.345708
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.319867 sequence=35.665575
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=17 node=N1372 type=observe q_typed_residual_context=5.172650 sequence=40.838225
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=8.017523 sequence=48.855748
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=7.622327 sequence=56.478075
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=8.679437 sequence=65.157512
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=21 node=N1532 type=observe q_typed_residual_context=6.380881 sequence=71.538393
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=22 node=N2082 type=observe q_typed_residual_context=6.400215 sequence=77.938608
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_residual_context=6.477401 sequence=84.416009
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.641776 sequence=87.057785
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=6.823786 sequence=93.881571
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=26 node=N7516 type=observe q_typed_residual_context=6.304952 sequence=100.186523
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.187366 sequence=107.373889
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=3.883650 sequence=111.257539
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=5.788793 sequence=117.046332
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=3.520000 sequence=120.566332
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=6.953573 sequence=127.519905
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.920676 sequence=130.440581
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=5.499999 sequence=135.940580
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_residual_context=1.291688 sequence=137.232268
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_residual_context=1.136471 sequence=138.368739
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_residual_context=1.759493 sequence=140.128232
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=6.490000 sequence=146.618232
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=38 node=N7413 type=control1 q_typed_residual_context=0.925044 sequence=147.543276
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.859079 sequence=148.402355
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=40 node=N3904 type=control0 q_typed_residual_context=0.852901 sequence=149.255256
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=3.611421 sequence=152.866677
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=42 node=N3911 type=control0 q_typed_residual_context=0.848659 sequence=153.715336
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=43 node=N3756 type=control0 q_typed_residual_context=0.893374 sequence=154.608710
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=1.096070 sequence=155.704780
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=45 node=N4585 type=control0 q_typed_residual_context=0.991784 sequence=156.696563
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_residual_context=2.014159 sequence=158.710722
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=47 node=N713 type=observe q_typed_residual_context=1.615943 sequence=160.326665
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=48 node=N724 type=observe q_typed_residual_context=2.471221 sequence=162.797886
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=49 node=N4670 type=control0 q_typed_residual_context=2.794136 sequence=165.592022
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=50 node=N704 type=observe q_typed_residual_context=1.115442 sequence=166.707464
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=51 node=N7885 type=control1 q_typed_residual_context=0.988773 sequence=167.696237
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=2.176859 sequence=169.873095
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_residual_context=0.944835 sequence=170.817931
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=54 node=N4684 type=control0 q_typed_residual_context=1.631965 sequence=172.449896
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=1.552380 sequence=174.002275
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_residual_context=1.211105 sequence=175.213381
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=0.913689 sequence=176.127070
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_residual_context=1.087116 sequence=177.214186
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=59 node=N3862 type=control0 q_typed_residual_context=0.965927 sequence=178.180112
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=60 node=N4712 type=control0 q_typed_residual_context=1.201919 sequence=179.382032
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=61 node=N4716 type=control0 q_typed_residual_context=1.210417 sequence=180.592449
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=62 node=N3855 type=control0 q_typed_residual_context=1.087712 sequence=181.680161
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=63 node=N3848 type=control0 q_typed_residual_context=1.059756 sequence=182.739917
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.103119 sequence=183.843036
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=65 node=N3827 type=control0 q_typed_residual_context=1.234285 sequence=185.077321
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=66 node=N3820 type=control0 q_typed_residual_context=1.255786 sequence=186.333106
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=67 node=N3813 type=control0 q_typed_residual_context=1.821838 sequence=188.154944
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=68 node=N3882 type=control0 q_typed_residual_context=1.855976 sequence=190.010920
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=69 node=N722 type=observe q_typed_residual_context=2.603235 sequence=192.614156
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=70 node=N3799 type=control0 q_typed_residual_context=3.874277 sequence=196.488433
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=71 node=N3792 type=control0 q_typed_residual_context=3.872453 sequence=200.360886
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=72 node=N4578 type=control0 q_typed_residual_context=4.511177 sequence=204.872063
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=73 node=N4564 type=control0 q_typed_residual_context=3.958501 sequence=208.830565
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=74 node=N7854 type=control0 q_typed_residual_context=3.586692 sequence=212.417257
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=75 node=N4557 type=control0 q_typed_residual_context=4.554415 sequence=216.971672
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=76 node=N4606 type=control0 q_typed_residual_context=5.327833 sequence=222.299505
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=77 node=N1539 type=control0 q_typed_residual_context=3.795441 sequence=226.094946
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_residual_context=6.182455 sequence=232.277402
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=79 node=N7724 type=control0 q_typed_residual_context=5.376376 sequence=237.653778
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=80 node=N7721 type=control0 q_typed_residual_context=5.793633 sequence=243.447411
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=81 node=N3903 type=control0 q_typed_residual_context=3.791043 sequence=247.238454
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=82 node=N3896 type=control0 q_typed_residual_context=2.012035 sequence=249.250490
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=83 node=N3840 type=control0 q_typed_residual_context=1.953390 sequence=251.203880
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=84 node=N4520 type=control0 q_typed_residual_context=3.097291 sequence=254.301171
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=85 node=N7725 type=control0 q_typed_residual_context=3.354594 sequence=257.655764
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=86 node=N7723 type=control0 q_typed_residual_context=2.367958 sequence=260.023723
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_residual_context=2.309024 sequence=262.332746
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=88 node=N513 type=control1 q_typed_residual_context=3.732102 sequence=266.064848
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=89 node=N504 type=control1 q_typed_residual_context=2.903090 sequence=268.967938
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=90 node=N7370 type=control1 q_typed_residual_context=2.641900 sequence=271.609838
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=91 node=N7881 type=control1 q_typed_residual_context=2.810877 sequence=274.420715
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=92 node=N7882 type=control1 q_typed_residual_context=2.831202 sequence=277.251916
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=93 node=N516 type=control1 q_typed_residual_context=2.755119 sequence=280.007036
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=94 node=N3805 type=control0 q_typed_residual_context=1.595340 sequence=281.602376
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=95 node=N7890 type=control1 q_typed_residual_context=1.262571 sequence=282.864947
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=96 node=N7891 type=control1 q_typed_residual_context=1.391768 sequence=284.256715
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=97 node=N7888 type=control1 q_typed_residual_context=1.031717 sequence=285.288432
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=98 node=N7889 type=control1 q_typed_residual_context=1.485481 sequence=286.773912
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=99 node=N7846 type=control0 q_typed_residual_context=3.159346 sequence=289.933259
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=100 node=N7408 type=control0 q_typed_residual_context=2.880465 sequence=292.813724
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=101 node=N7887 type=control1 q_typed_residual_context=1.732935 sequence=294.546659
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=102 node=N7884 type=control1 q_typed_residual_context=2.482500 sequence=297.029159
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=103 node=N1533 type=control1 q_typed_residual_context=2.237235 sequence=299.266394
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=104 node=N7886 type=control1 q_typed_residual_context=2.260514 sequence=301.526908
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=105 node=N7852 type=control0 q_typed_residual_context=4.827097 sequence=306.354004
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=106 node=N7541 type=control0 q_typed_residual_context=4.690602 sequence=311.044606
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_residual_context=8.508026 sequence=319.552632
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=108 node=N7820 type=control0 q_typed_residual_context=7.722641 sequence=327.275272
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=109 node=N7847 type=control0 q_typed_residual_context=5.476428 sequence=332.751701
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=110 node=N8003 type=control0 q_typed_residual_context=6.220449 sequence=338.972150
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=111 node=N8005 type=control0 q_typed_residual_context=1.457724 sequence=340.429873
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=112 node=N578 type=observe q_typed_residual_context=2.016299 sequence=342.446172
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=113 node=N3785 type=control0 q_typed_residual_context=2.307106 sequence=344.753279
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=114 node=N3681 type=control0 q_typed_residual_context=1.471190 sequence=346.224468
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=115 node=N5603 type=observe q_typed_residual_context=1.066868 sequence=347.291336
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=116 node=N556 type=control1 q_typed_residual_context=1.388494 sequence=348.679830
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=117 node=N2083 type=observe q_typed_residual_context=0.832478 sequence=349.512308
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=118 node=N555 type=control1 q_typed_residual_context=1.239497 sequence=350.751805
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=119 node=N520 type=control1 q_typed_residual_context=0.891332 sequence=351.643137
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=120 node=N5876 type=observe q_typed_residual_context=0.489520 sequence=352.132657
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=121 node=N694 type=observe q_typed_residual_context=2.970880 sequence=355.103537
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=122 node=N7627 type=observe q_typed_residual_context=1.629049 sequence=356.732586
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=123 node=N7401 type=observe q_typed_residual_context=1.370395 sequence=358.102981
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=124 node=N7679 type=observe q_typed_residual_context=2.265439 sequence=360.368420
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=125 node=N634 type=control1 q_typed_residual_context=1.426364 sequence=361.794785
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=126 node=N5356 type=observe q_typed_residual_context=1.026245 sequence=362.821030
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=127 node=N614 type=control1 q_typed_residual_context=1.569531 sequence=364.390561
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=128 node=N2157 type=observe q_typed_residual_context=2.268357 sequence=366.658918
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=129 node=N610 type=control1 q_typed_residual_context=1.267774 sequence=367.926692
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=130 node=N620 type=control1 q_typed_residual_context=1.183830 sequence=369.110522
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=131 node=N7588 type=control1 q_typed_residual_context=1.000082 sequence=370.110605
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=132 node=N3410 type=control1 q_typed_residual_context=0.776294 sequence=370.886898
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=133 node=N638 type=control1 q_typed_residual_context=1.298676 sequence=372.185574
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=134 node=N3180 type=control1 q_typed_residual_context=0.767472 sequence=372.953046
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=135 node=N6674 type=observe q_typed_residual_context=1.128502 sequence=374.081548
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=136 node=N7424 type=control1 q_typed_residual_context=1.032041 sequence=375.113589
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=137 node=N3237 type=control1 q_typed_residual_context=0.952830 sequence=376.066419
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=138 node=N1411 type=control0 q_typed_residual_context=0.941221 sequence=377.007640
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=139 node=N645 type=control1 q_typed_residual_context=0.931331 sequence=377.938970
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=140 node=N5740 type=observe q_typed_residual_context=0.916496 sequence=378.855466
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=141 node=N7402 type=observe q_typed_residual_context=1.021864 sequence=379.877330
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=142 node=N2149 type=observe q_typed_residual_context=1.394288 sequence=381.271619
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=143 node=N5878 type=observe q_typed_residual_context=0.989115 sequence=382.260733
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=144 node=N616 type=control1 q_typed_residual_context=1.191535 sequence=383.452268
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=145 node=N7614 type=observe q_typed_residual_context=1.664363 sequence=385.116631
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=146 node=N636 type=control1 q_typed_residual_context=1.142870 sequence=386.259500
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=147 node=N5473 type=observe q_typed_residual_context=1.547723 sequence=387.807224
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=148 node=N712 type=observe q_typed_residual_context=2.095261 sequence=389.902484
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=149 node=N7543 type=control0 q_typed_residual_context=1.170581 sequence=391.073065
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=150 node=N5874 type=observe q_typed_residual_context=1.285326 sequence=392.358390
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=151 node=N630 type=control1 q_typed_residual_context=1.135121 sequence=393.493511
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=152 node=N642 type=control1 q_typed_residual_context=1.311939 sequence=394.805450
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=153 node=N649 type=control1 q_typed_residual_context=1.057041 sequence=395.862491
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=154 node=N2102 type=observe q_typed_residual_context=0.908230 sequence=396.770721
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=155 node=N3467 type=control1 q_typed_residual_context=0.887317 sequence=397.658037
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=156 node=N7385 type=observe q_typed_residual_context=0.840840 sequence=398.498877
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=157 node=N3525 type=control1 q_typed_residual_context=0.787983 sequence=399.286859
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_residual_context=1.070830 sequence=400.357689
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=159 node=N647 type=control1 q_typed_residual_context=0.947822 sequence=401.305511
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=160 node=N1586 type=control1 q_typed_residual_context=1.199033 sequence=402.504544
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=161 node=N3295 type=control1 q_typed_residual_context=0.789601 sequence=403.294145
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=162 node=N6531 type=observe q_typed_residual_context=0.812718 sequence=404.106863
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=163 node=N714 type=observe q_typed_residual_context=1.189519 sequence=405.296381
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=164 node=N723 type=observe q_typed_residual_context=1.346258 sequence=406.642639
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=165 node=N715 type=observe q_typed_residual_context=1.471541 sequence=408.114179
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=166 node=N2580 type=control1 q_typed_residual_context=1.009565 sequence=409.123745
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=167 node=N7454 type=observe q_typed_residual_context=0.904759 sequence=410.028504
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=168 node=N2106 type=observe q_typed_residual_context=0.909856 sequence=410.938359
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=169 node=N2652 type=control1 q_typed_residual_context=1.085739 sequence=412.024098
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=170 node=N2721 type=control1 q_typed_residual_context=0.863730 sequence=412.887828
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=171 node=N7436 type=observe q_typed_residual_context=0.870519 sequence=413.758347
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=172 node=N703 type=observe q_typed_residual_context=1.452948 sequence=415.211295
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=173 node=N2894 type=control1 q_typed_residual_context=1.059144 sequence=416.270439
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=174 node=N2952 type=control1 q_typed_residual_context=0.862127 sequence=417.132566
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=175 node=N6678 type=observe q_typed_residual_context=0.657277 sequence=417.789843
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=176 node=N7405 type=observe q_typed_residual_context=0.590635 sequence=418.380479
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=177 node=N725 type=observe q_typed_residual_context=1.602000 sequence=419.982479
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=178 node=N705 type=observe q_typed_residual_context=1.854877 sequence=421.837355
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=179 node=N2779 type=control1 q_typed_residual_context=1.560245 sequence=423.397600
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=180 node=N5422 type=observe q_typed_residual_context=1.610293 sequence=425.007893
[b15-round3/long32_return/decay_0] [plan iscas99__b15_1] [plan] step=181 node=N7414 type=control1 q_typed_residual_context=1.987953 sequence=426.995846
