[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_marginal/decay_32
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 budgets=iscas99__b15_1:278
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_marginal/decay_32] [gmean] 2026-07-20T21:09:54 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.312026 sequence=33.234410
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.282445 sequence=35.516856
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.150844 sequence=40.667700
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.288213 sequence=46.955914
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.870688 sequence=53.826601
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.181773 sequence=59.008375
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.749567 sequence=64.757941
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.751590 sequence=71.509531
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.095366 sequence=77.604897
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.394485 sequence=79.999382
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.144510 sequence=86.143892
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.472625 sequence=93.616517
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.943601 sequence=101.560118
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.869393 sequence=104.429511
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=4.220118 sequence=108.649629
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=6.674260 sequence=115.323889
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.739161 sequence=124.063050
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=4.758710 sequence=128.821760
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=7.912376 sequence=136.734136
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=34 node=N576 type=observe q_typed_residual_context=6.730475 sequence=143.464611
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=3.054107 sequence=146.518718
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_residual_context=0.811635 sequence=147.330353
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=37 node=N2044 type=observe q_typed_residual_context=1.474712 sequence=148.805064
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.200322 sequence=155.005387
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.855082 sequence=155.860469
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.441866 sequence=161.302335
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=41 node=N3904 type=control0 q_typed_residual_context=0.832561 sequence=162.134896
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=42 node=N4656 type=control0 q_typed_residual_context=4.292739 sequence=166.427635
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=43 node=N7882 type=control1 q_typed_residual_context=1.925374 sequence=168.353009
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=2.076593 sequence=170.429602
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.286918 sequence=171.716521
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=46 node=N3897 type=control0 q_typed_residual_context=0.994935 sequence=172.711456
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_residual_context=2.109104 sequence=174.820559
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_residual_context=1.658359 sequence=176.478919
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_residual_context=1.437683 sequence=177.916602
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_residual_context=1.940827 sequence=179.857429
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=51 node=N3862 type=control0 q_typed_residual_context=0.955747 sequence=180.813176
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=52 node=N724 type=observe q_typed_residual_context=1.854157 sequence=182.667333
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_residual_context=2.113230 sequence=184.780563
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=54 node=N704 type=observe q_typed_residual_context=1.532223 sequence=186.312786
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=1.999041 sequence=188.311827
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=56 node=N7887 type=control1 q_typed_residual_context=0.922889 sequence=189.234716
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_residual_context=0.932465 sequence=190.167180
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.596383 sequence=191.763564
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_residual_context=1.018402 sequence=192.781965
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_residual_context=1.686707 sequence=194.468673
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_residual_context=1.528023 sequence=195.996696
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=62 node=N3827 type=control0 q_typed_residual_context=1.100919 sequence=197.097615
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.450823 sequence=198.548437
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.207853 sequence=199.756291
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=65 node=N3820 type=control0 q_typed_residual_context=1.116395 sequence=200.872685
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=66 node=N3813 type=control0 q_typed_residual_context=1.329195 sequence=202.201880
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=67 node=N3799 type=control0 q_typed_residual_context=1.819372 sequence=204.021253
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=68 node=N3792 type=control0 q_typed_residual_context=1.295442 sequence=205.316695
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=69 node=N3785 type=control0 q_typed_residual_context=1.631495 sequence=206.948190
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=70 node=N3889 type=control0 q_typed_residual_context=1.855266 sequence=208.803456
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=71 node=N3805 type=control0 q_typed_residual_context=2.039516 sequence=210.842972
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=72 node=N3882 type=control0 q_typed_residual_context=2.017032 sequence=212.860004
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=73 node=N3756 type=control0 q_typed_residual_context=1.971780 sequence=214.831784
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=74 node=N4585 type=control0 q_typed_residual_context=1.999194 sequence=216.830978
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=75 node=N2350 type=control0 q_typed_residual_context=2.030017 sequence=218.860995
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=76 node=N722 type=observe q_typed_residual_context=2.543688 sequence=221.404684
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=77 node=N4557 type=control0 q_typed_residual_context=3.665921 sequence=225.070604
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=78 node=N7854 type=control0 q_typed_residual_context=3.182209 sequence=228.252813
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_residual_context=3.984688 sequence=232.237501
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=80 node=N4606 type=control0 q_typed_residual_context=3.567869 sequence=235.805370
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=81 node=N4564 type=control0 q_typed_residual_context=3.001253 sequence=238.806623
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=82 node=N1539 type=control0 q_typed_residual_context=2.792015 sequence=241.598638
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_residual_context=3.327881 sequence=244.926519
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=3.326134 sequence=248.252653
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=3.431019 sequence=251.683672
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=86 node=N3903 type=control0 q_typed_residual_context=2.961751 sequence=254.645423
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=87 node=N4520 type=control0 q_typed_residual_context=3.484387 sequence=258.129809
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=88 node=N2040 type=observe q_typed_residual_context=3.223255 sequence=261.353065
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=89 node=N3896 type=control0 q_typed_residual_context=3.966244 sequence=265.319309
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_residual_context=3.818550 sequence=269.137859
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=91 node=N504 type=control1 q_typed_residual_context=3.503369 sequence=272.641228
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=92 node=N7725 type=control0 q_typed_residual_context=3.645020 sequence=276.286248
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_residual_context=4.326784 sequence=280.613032
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=94 node=N7370 type=control1 q_typed_residual_context=2.882072 sequence=283.495104
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=95 node=N516 type=control1 q_typed_residual_context=4.287870 sequence=287.782974
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=96 node=N7890 type=control1 q_typed_residual_context=1.875666 sequence=289.658640
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=97 node=N3840 type=control0 q_typed_residual_context=2.463490 sequence=292.122130
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=98 node=N7888 type=control1 q_typed_residual_context=2.218697 sequence=294.340827
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=99 node=N7846 type=control0 q_typed_residual_context=3.580593 sequence=297.921420
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=100 node=N7889 type=control1 q_typed_residual_context=3.607431 sequence=301.528851
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_residual_context=3.168810 sequence=304.697661
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=102 node=N7847 type=control0 q_typed_residual_context=5.096377 sequence=309.794039
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_residual_context=4.416882 sequence=314.210920
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_residual_context=5.460421 sequence=319.671341
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=105 node=N7820 type=control0 q_typed_residual_context=3.837674 sequence=323.509015
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=106 node=N7886 type=control1 q_typed_residual_context=2.845102 sequence=326.354118
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_residual_context=5.767761 sequence=332.121878
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=108 node=N7543 type=control0 q_typed_residual_context=4.522978 sequence=336.644857
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=109 node=N3682 type=control0 q_typed_residual_context=6.453598 sequence=343.098454
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=110 node=N7885 type=control1 q_typed_residual_context=6.405579 sequence=349.504034
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=3.493300 sequence=352.997333
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=112 node=N513 type=control1 q_typed_residual_context=3.702707 sequence=356.700040
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=113 node=N7588 type=control1 q_typed_residual_context=2.493924 sequence=359.193965
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=114 node=N578 type=observe q_typed_residual_context=1.816107 sequence=361.010072
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=115 node=N556 type=control1 q_typed_residual_context=1.177301 sequence=362.187373
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=116 node=N2083 type=observe q_typed_residual_context=1.366885 sequence=363.554258
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=117 node=N510 type=control1 q_typed_residual_context=2.150335 sequence=365.704593
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=118 node=N7413 type=control1 q_typed_residual_context=1.068080 sequence=366.772673
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=119 node=N5876 type=observe q_typed_residual_context=0.729040 sequence=367.501713
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=120 node=N694 type=observe q_typed_residual_context=2.005842 sequence=369.507555
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=121 node=N555 type=control1 q_typed_residual_context=1.898157 sequence=371.405712
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=122 node=N7401 type=observe q_typed_residual_context=2.667999 sequence=374.073711
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=123 node=N2102 type=observe q_typed_residual_context=4.678296 sequence=378.752007
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=124 node=N2580 type=control1 q_typed_residual_context=1.343578 sequence=380.095585
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=125 node=N634 type=control1 q_typed_residual_context=0.972117 sequence=381.067702
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=126 node=N7454 type=observe q_typed_residual_context=1.797359 sequence=382.865061
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=127 node=N638 type=control1 q_typed_residual_context=1.142759 sequence=384.007819
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=128 node=N6533 type=observe q_typed_residual_context=1.481898 sequence=385.489718
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=129 node=N715 type=observe q_typed_residual_context=0.885839 sequence=386.375557
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=130 node=N5356 type=observe q_typed_residual_context=1.052761 sequence=387.428318
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=131 node=N620 type=control1 q_typed_residual_context=1.022749 sequence=388.451067
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=132 node=N7402 type=observe q_typed_residual_context=2.738030 sequence=391.189097
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=133 node=N3410 type=control1 q_typed_residual_context=1.685731 sequence=392.874828
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=134 node=N7679 type=observe q_typed_residual_context=1.762008 sequence=394.636835
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=135 node=N2157 type=observe q_typed_residual_context=1.626337 sequence=396.263172
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=136 node=N610 type=control1 q_typed_residual_context=2.344804 sequence=398.607977
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=137 node=N645 type=control1 q_typed_residual_context=5.310858 sequence=403.918835
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=138 node=N2106 type=observe q_typed_residual_context=5.709007 sequence=409.627842
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=139 node=N7421 type=control1 q_typed_residual_context=5.575393 sequence=415.203235
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=140 node=N7614 type=observe q_typed_residual_context=0.806896 sequence=416.010131
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=141 node=N1411 type=control0 q_typed_residual_context=0.739754 sequence=416.749885
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=142 node=N7721 type=control0 q_typed_residual_context=0.986098 sequence=417.735982
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=143 node=N3237 type=control1 q_typed_residual_context=1.279092 sequence=419.015074
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=144 node=N5878 type=observe q_typed_residual_context=0.592727 sequence=419.607801
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=145 node=N2149 type=observe q_typed_residual_context=2.167160 sequence=421.774961
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=146 node=N636 type=control1 q_typed_residual_context=1.474817 sequence=423.249778
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=147 node=N616 type=control1 q_typed_residual_context=3.137182 sequence=426.386960
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=148 node=N5874 type=observe q_typed_residual_context=2.876794 sequence=429.263755
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=149 node=N7385 type=observe q_typed_residual_context=1.028682 sequence=430.292436
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=150 node=N630 type=control1 q_typed_residual_context=1.171024 sequence=431.463460
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=151 node=N642 type=control1 q_typed_residual_context=2.495457 sequence=433.958917
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=152 node=N649 type=control1 q_typed_residual_context=4.091106 sequence=438.050023
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=153 node=N3180 type=control1 q_typed_residual_context=3.784035 sequence=441.834058
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=154 node=N3525 type=control1 q_typed_residual_context=1.379410 sequence=443.213468
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=155 node=N1607 type=control1 q_typed_residual_context=1.192056 sequence=444.405524
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=156 node=N647 type=control1 q_typed_residual_context=1.193972 sequence=445.599496
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=157 node=N3295 type=control1 q_typed_residual_context=1.110704 sequence=446.710201
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=158 node=N3467 type=control1 q_typed_residual_context=0.907344 sequence=447.617545
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=159 node=N1586 type=control1 q_typed_residual_context=0.897955 sequence=448.515500
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=160 node=N6534 type=observe q_typed_residual_context=0.788802 sequence=449.304302
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=161 node=N723 type=observe q_typed_residual_context=1.018933 sequence=450.323235
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=162 node=N714 type=observe q_typed_residual_context=4.257754 sequence=454.580990
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=163 node=N5740 type=observe q_typed_residual_context=1.075993 sequence=455.656983
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=164 node=N712 type=observe q_typed_residual_context=1.295179 sequence=456.952162
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=165 node=N7424 type=control1 q_typed_residual_context=0.896940 sequence=457.849102
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=166 node=N7627 type=observe q_typed_residual_context=1.071899 sequence=458.921001
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=167 node=N2652 type=control1 q_typed_residual_context=1.253829 sequence=460.174830
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=168 node=N2721 type=control1 q_typed_residual_context=0.905176 sequence=461.080006
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=169 node=N2894 type=control1 q_typed_residual_context=0.895689 sequence=461.975695
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=170 node=N2952 type=control1 q_typed_residual_context=0.887136 sequence=462.862831
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=171 node=N7436 type=observe q_typed_residual_context=1.011462 sequence=463.874293
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=172 node=N5473 type=observe q_typed_residual_context=0.860963 sequence=464.735256
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=173 node=N2779 type=control1 q_typed_residual_context=1.058378 sequence=465.793634
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=174 node=N7414 type=control1 q_typed_residual_context=0.747536 sequence=466.541169
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=175 node=N7873 type=control1 q_typed_residual_context=0.870320 sequence=467.411490
[b15-round3/long32_marginal/decay_32] [plan iscas99__b15_1] [plan] step=176 node=N771 type=observe q_typed_residual_context=1.245635 sequence=468.657124
