[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 out_dir=autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 budgets=iscas99__b15_1:278
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_context
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=41 node=N7513 type=control1 q_pred_context=8.487565 sequence=318.067532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=42 node=N7880 type=control1 q_pred_context=8.040000 sequence=326.107532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=43 node=N1372 type=observe q_pred_context=7.380000 sequence=333.487532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=44 node=N2083 type=observe q_pred_context=5.730000 sequence=339.217532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=45 node=N1532 type=observe q_pred_context=8.040000 sequence=347.257532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=46 node=N7411 type=control1 q_pred_context=3.420000 sequence=350.677532
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=47 node=N6538 type=observe q_pred_context=3.678299 sequence=354.355832
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=48 node=N7370 type=control1 q_pred_context=8.237375 sequence=362.593207
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=49 node=N7413 type=control1 q_pred_context=3.420000 sequence=366.013207
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=50 node=N504 type=control1 q_pred_context=8.353375 sequence=374.366582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=51 node=N2008 type=observe q_pred_context=5.070000 sequence=379.436582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=52 node=N2082 type=observe q_pred_context=2.760000 sequence=382.196582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=53 node=N2056 type=observe q_pred_context=2.760000 sequence=384.956582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=54 node=N557 type=control1 q_pred_context=3.420000 sequence=388.376582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=55 node=N2580 type=control1 q_pred_context=8.040000 sequence=396.416582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=56 node=N2058 type=observe q_pred_context=2.760000 sequence=399.176582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=57 node=N2060 type=observe q_pred_context=2.760000 sequence=401.936582
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=58 node=N2062 type=observe q_pred_context=2.536892 sequence=404.473475
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=59 node=N2064 type=observe q_pred_context=2.535705 sequence=407.009179
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=60 node=N2066 type=observe q_pred_context=2.573344 sequence=409.582524
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=61 node=N4628 type=observe q_pred_context=5.423005 sequence=415.005529
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=62 node=N713 type=observe q_pred_context=8.450300 sequence=423.455828
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=63 node=N724 type=observe q_pred_context=8.700000 sequence=432.155828
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=64 node=N5867 type=observe q_pred_context=5.485611 sequence=437.641440
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=65 node=N5046 type=observe q_pred_context=8.040000 sequence=445.681440
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=66 node=N2101 type=observe q_pred_context=8.507323 sequence=454.188762
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=67 node=N7875 type=control1 q_pred_context=7.694496 sequence=461.883258
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=68 node=N771 type=observe q_pred_context=2.760000 sequence=464.643258
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=69 node=N752 type=observe q_pred_context=2.760000 sequence=467.403258
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=70 node=N4621 type=observe q_pred_context=5.730000 sequence=473.133258
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=71 node=N7613 type=observe q_pred_context=8.650893 sequence=481.784151
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=72 node=N578 type=observe q_pred_context=8.700000 sequence=490.484151
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=73 node=N694 type=observe q_pred_context=8.497702 sequence=498.981853
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=74 node=N7401 type=observe q_pred_context=8.700000 sequence=507.681853
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=75 node=N2102 type=observe q_pred_context=8.700000 sequence=516.381853
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=76 node=N5876 type=observe q_pred_context=8.040000 sequence=524.421853
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=77 node=N2157 type=observe q_pred_context=8.700000 sequence=533.121853
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=78 node=N763 type=observe q_pred_context=8.176558 sequence=541.298411
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=79 node=N2106 type=observe q_pred_context=7.815208 sequence=549.113619
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=80 node=N7402 type=observe q_pred_context=7.809880 sequence=556.923500
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=81 node=N5878 type=observe q_pred_context=7.730911 sequence=564.654411
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=82 node=N2149 type=observe q_pred_context=7.806396 sequence=572.460807
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=83 node=N7679 type=observe q_pred_context=5.730000 sequence=578.190807
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=84 node=N7627 type=observe q_pred_context=5.478528 sequence=583.669335
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=85 node=N5356 type=observe q_pred_context=8.477761 sequence=592.147096
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=86 node=N4585 type=control0 q_pred_context=3.871508 sequence=596.018604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=87 node=N2072 type=observe q_pred_context=2.760000 sequence=598.778604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=88 node=N754 type=observe q_pred_context=2.760000 sequence=601.538604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=89 node=N715 type=observe q_pred_context=8.040000 sequence=609.578604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=90 node=N7385 type=observe q_pred_context=8.040000 sequence=617.618604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=91 node=N722 type=observe q_pred_context=8.700000 sequence=626.318604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=92 node=N714 type=observe q_pred_context=8.700000 sequence=635.018604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=93 node=N2068 type=observe q_pred_context=2.760000 sequence=637.778604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=94 node=N2054 type=observe q_pred_context=2.760000 sequence=640.538604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=95 node=N2052 type=observe q_pred_context=2.760000 sequence=643.298604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=96 node=N765 type=observe q_pred_context=5.730000 sequence=649.028604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=97 node=N725 type=observe q_pred_context=8.700000 sequence=657.728604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=98 node=N712 type=observe q_pred_context=8.700000 sequence=666.428604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=99 node=N7436 type=observe q_pred_context=8.700000 sequence=675.128604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=100 node=N723 type=observe q_pred_context=8.700000 sequence=683.828604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=101 node=N7454 type=observe q_pred_context=2.760000 sequence=686.588604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=102 node=N703 type=observe q_pred_context=8.700000 sequence=695.288604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=103 node=N5740 type=observe q_pred_context=5.730000 sequence=701.018604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=104 node=N764 type=observe q_pred_context=5.730000 sequence=706.748604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=105 node=N706 type=observe q_pred_context=8.700000 sequence=715.448604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=106 node=N5473 type=observe q_pred_context=5.730000 sequence=721.178604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=107 node=N705 type=observe q_pred_context=8.700000 sequence=729.878604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=108 node=N7439 type=observe q_pred_context=8.700000 sequence=738.578604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=109 node=N5422 type=observe q_pred_context=5.730000 sequence=744.308604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=110 node=N679 type=observe q_pred_context=8.700000 sequence=753.008604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=111 node=N5456 type=observe q_pred_context=5.730000 sequence=758.738604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=112 node=N2151 type=observe q_pred_context=8.700000 sequence=767.438604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=113 node=N759 type=observe q_pred_context=5.730000 sequence=773.168604
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=114 node=N7432 type=observe q_pred_context=8.440511 sequence=781.609115
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=115 node=N758 type=observe q_pred_context=5.730000 sequence=787.339115
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=116 node=N5202 type=observe q_pred_context=8.700000 sequence=796.039115
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=117 node=N719 type=observe q_pred_context=8.700000 sequence=804.739115
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=118 node=N756 type=observe q_pred_context=5.450053 sequence=810.189168
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=119 node=N734 type=observe q_pred_context=8.700000 sequence=818.889168
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=120 node=N708 type=observe q_pred_context=8.700000 sequence=827.589168
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=121 node=N7382 type=observe q_pred_context=6.708064 sequence=834.297232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=122 node=N699 type=observe q_pred_context=8.700000 sequence=842.997232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=123 node=N1351 type=observe q_pred_context=8.040000 sequence=851.037232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=124 node=N2159 type=observe q_pred_context=8.700000 sequence=859.737232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=125 node=N5390 type=observe q_pred_context=8.040000 sequence=867.777232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=126 node=N5373 type=observe q_pred_context=8.040000 sequence=875.817232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=127 node=N2314 type=control1 q_pred_context=8.365489 sequence=884.182721
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=128 node=N7590 type=control1 q_pred_context=8.365302 sequence=892.548023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=129 node=N7380 type=observe q_pred_context=8.040000 sequence=900.588023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=130 node=N686 type=observe q_pred_context=8.700000 sequence=909.288023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=131 node=N6675 type=observe q_pred_context=8.700000 sequence=917.988023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=132 node=N684 type=observe q_pred_context=8.700000 sequence=926.688023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=133 node=N729 type=observe q_pred_context=8.040000 sequence=934.728023
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=134 node=N7421 type=control1 q_pred_context=8.160698 sequence=942.888721
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=135 node=N1533 type=control1 q_pred_context=8.040000 sequence=950.928721
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=136 node=N7588 type=control1 q_pred_context=7.445639 sequence=958.374360
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=137 node=N7383 type=observe q_pred_context=8.040000 sequence=966.414360
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=138 node=N689 type=observe q_pred_context=8.700000 sequence=975.114360
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=139 node=N6677 type=observe q_pred_context=8.310344 sequence=983.424704
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=140 node=N5735 type=observe q_pred_context=8.040000 sequence=991.464704
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=141 node=N2271 type=observe q_pred_context=8.510849 sequence=999.975552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=142 node=N5439 type=observe q_pred_context=8.040000 sequence=1008.015552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=143 node=N5334 type=observe q_pred_context=8.040000 sequence=1016.055552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=144 node=N7409 type=observe q_pred_context=8.040000 sequence=1024.095552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=145 node=N5111 type=observe q_pred_context=8.040000 sequence=1032.135552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=146 node=N2259 type=observe q_pred_context=8.700000 sequence=1040.835552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=147 node=N6678 type=observe q_pred_context=8.700000 sequence=1049.535552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=148 node=N632 type=control1 q_pred_context=8.040000 sequence=1057.575552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=149 node=N737 type=control1 q_pred_context=8.040000 sequence=1065.615552
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=150 node=N7870 type=control1 q_pred_context=8.157097 sequence=1073.772650
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=151 node=N7379 type=observe q_pred_context=8.040000 sequence=1081.812650
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=152 node=N695 type=observe q_pred_context=8.700000 sequence=1090.512650
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=153 node=N2267 type=observe q_pred_context=8.407457 sequence=1098.920106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=154 node=N640 type=control1 q_pred_context=6.813587 sequence=1105.733693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=155 node=N519 type=control1 q_pred_context=8.040000 sequence=1113.773693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=156 node=N516 type=control1 q_pred_context=8.040000 sequence=1121.813693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=157 node=N513 type=control1 q_pred_context=8.040000 sequence=1129.853693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=158 node=N507 type=control1 q_pred_context=8.040000 sequence=1137.893693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=159 node=N753 type=observe q_pred_context=5.730000 sequence=1143.623693
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=160 node=N696 type=observe q_pred_context=8.639343 sequence=1152.263035
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=161 node=N2243 type=observe q_pred_context=8.075070 sequence=1160.338106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=162 node=N7381 type=observe q_pred_context=5.730000 sequence=1166.068106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=163 node=N697 type=observe q_pred_context=8.700000 sequence=1174.768106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=164 node=N2263 type=observe q_pred_context=8.700000 sequence=1183.468106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=165 node=N5160 type=observe q_pred_context=5.730000 sequence=1189.198106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=166 node=N6685 type=observe q_pred_context=8.700000 sequence=1197.898106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=167 node=N2251 type=observe q_pred_context=8.700000 sequence=1206.598106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=168 node=N7443 type=observe q_pred_context=8.040000 sequence=1214.638106
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=169 node=N2247 type=observe q_pred_context=8.537323 sequence=1223.175429
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=170 node=N2216 type=observe q_pred_context=8.660121 sequence=1231.835550
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=171 node=N5094 type=observe q_pred_context=5.730000 sequence=1237.565550
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=172 node=N6682 type=observe q_pred_context=8.465746 sequence=1246.031295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=173 node=N1352 type=observe q_pred_context=8.040000 sequence=1254.071295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=174 node=N680 type=observe q_pred_context=8.700000 sequence=1262.771295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=175 node=N7408 type=observe q_pred_context=8.040000 sequence=1270.811295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=176 node=N732 type=observe q_pred_context=8.700000 sequence=1279.511295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=177 node=N2218 type=observe q_pred_context=8.700000 sequence=1288.211295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=178 node=N6668 type=observe q_pred_context=8.700000 sequence=1296.911295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=179 node=N2185 type=observe q_pred_context=8.040000 sequence=1304.951295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=180 node=N2255 type=observe q_pred_context=8.040000 sequence=1312.991295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=181 node=N2203 type=observe q_pred_context=8.040000 sequence=1321.031295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=182 node=N4900 type=observe q_pred_context=8.040000 sequence=1329.071295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=183 node=N717 type=observe q_pred_context=8.040000 sequence=1337.111295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=184 node=N2205 type=observe q_pred_context=8.040000 sequence=1345.151295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=185 node=N6660 type=observe q_pred_context=8.040000 sequence=1353.191295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=186 node=N733 type=observe q_pred_context=8.040000 sequence=1361.231295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=187 node=N2201 type=observe q_pred_context=8.040000 sequence=1369.271295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=188 node=N7452 type=observe q_pred_context=5.730000 sequence=1375.001295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=189 node=N735 type=observe q_pred_context=8.040000 sequence=1383.041295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=190 node=N2226 type=observe q_pred_context=8.040000 sequence=1391.081295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=191 node=N6658 type=observe q_pred_context=8.040000 sequence=1399.121295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=192 node=N2212 type=observe q_pred_context=8.040000 sequence=1407.161295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=193 node=N2214 type=observe q_pred_context=8.040000 sequence=1415.201295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=194 node=N6656 type=observe q_pred_context=8.040000 sequence=1423.241295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=195 node=N2220 type=observe q_pred_context=8.040000 sequence=1431.281295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=196 node=N1348 type=observe q_pred_context=8.040000 sequence=1439.321295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=197 node=N2222 type=observe q_pred_context=8.040000 sequence=1447.361295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=198 node=N1347 type=observe q_pred_context=8.040000 sequence=1455.401295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=199 node=N2207 type=observe q_pred_context=8.040000 sequence=1463.441295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=200 node=N6537 type=observe q_pred_context=5.730000 sequence=1469.171295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=201 node=N2050 type=observe q_pred_context=5.730000 sequence=1474.901295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=202 node=N4716 type=control0 q_pred_context=8.040000 sequence=1482.941295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=203 node=N6657 type=observe q_pred_context=5.730000 sequence=1488.671295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=204 node=N730 type=observe q_pred_context=8.040000 sequence=1496.711295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=205 node=N4774 type=observe q_pred_context=5.730000 sequence=1502.441295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=206 node=N2209 type=observe q_pred_context=8.040000 sequence=1510.481295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=207 node=N685 type=observe q_pred_context=8.040000 sequence=1518.521295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=208 node=N4790 type=observe q_pred_context=5.730000 sequence=1524.251295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=209 node=N4758 type=observe q_pred_context=8.040000 sequence=1532.291295
