[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 out_dir=autoresearch/loop-260720-0945/typed_winner_round1_five/b20_C
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 budgets=iscas99__b20:616
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five/b20_C] [gmean] 2026-07-20T16:08:06 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_pred_context
[typed-five/b20_C] [plan iscas99__b20] [plan] step=67 node=N3484 type=control0 q_pred_context=2.502444 sequence=243.680728
[typed-five/b20_C] [plan iscas99__b20] [plan] step=68 node=N5778 type=control0 q_pred_context=1.986979 sequence=245.667707
[typed-five/b20_C] [plan iscas99__b20] [plan] step=69 node=N5784 type=control0 q_pred_context=1.201889 sequence=246.869596
[typed-five/b20_C] [plan iscas99__b20] [plan] step=70 node=N4168 type=control0 q_pred_context=1.232937 sequence=248.102533
[typed-five/b20_C] [plan iscas99__b20] [plan] step=71 node=N4171 type=control0 q_pred_context=1.167175 sequence=249.269708
[typed-five/b20_C] [plan iscas99__b20] [plan] step=72 node=N3524 type=observe q_pred_context=1.168265 sequence=250.437973
[typed-five/b20_C] [plan iscas99__b20] [plan] step=73 node=N3528 type=observe q_pred_context=1.089684 sequence=251.527657
[typed-five/b20_C] [plan iscas99__b20] [plan] step=74 node=N962 type=observe q_pred_context=1.084975 sequence=252.612632
[typed-five/b20_C] [plan iscas99__b20] [plan] step=75 node=N4565 type=observe q_pred_context=3.315285 sequence=255.927917
[typed-five/b20_C] [plan iscas99__b20] [plan] step=76 node=N4130 type=control0 q_pred_context=1.147955 sequence=257.075872
[typed-five/b20_C] [plan iscas99__b20] [plan] step=77 node=N4167 type=observe q_pred_context=0.951713 sequence=258.027585
[typed-five/b20_C] [plan iscas99__b20] [plan] step=78 node=N1240 type=observe q_pred_context=1.480654 sequence=259.508239
[typed-five/b20_C] [plan iscas99__b20] [plan] step=79 node=N4132 type=observe q_pred_context=2.599792 sequence=262.108031
[typed-five/b20_C] [plan iscas99__b20] [plan] step=80 node=N1671 type=observe q_pred_context=5.072449 sequence=267.180480
[typed-five/b20_C] [plan iscas99__b20] [plan] step=81 node=N4804 type=observe q_pred_context=4.104761 sequence=271.285241
[typed-five/b20_C] [plan iscas99__b20] [plan] step=82 node=N16688 type=control1 q_pred_context=5.573569 sequence=276.858811
[typed-five/b20_C] [plan iscas99__b20] [plan] step=83 node=N1759 type=control1 q_pred_context=3.715680 sequence=280.574490
[typed-five/b20_C] [plan iscas99__b20] [plan] step=84 node=N4163 type=observe q_pred_context=1.313842 sequence=281.888332
[typed-five/b20_C] [plan iscas99__b20] [plan] step=85 node=N4182 type=observe q_pred_context=1.476139 sequence=283.364471
[typed-five/b20_C] [plan iscas99__b20] [plan] step=86 node=N8754 type=control0 q_pred_context=1.250353 sequence=284.614824
[typed-five/b20_C] [plan iscas99__b20] [plan] step=87 node=N3409 type=observe q_pred_context=7.788252 sequence=292.403076
[typed-five/b20_C] [plan iscas99__b20] [plan] step=88 node=N8752 type=control0 q_pred_context=1.500430 sequence=293.903506
[typed-five/b20_C] [plan iscas99__b20] [plan] step=89 node=N8718 type=control1 q_pred_context=1.088562 sequence=294.992068
[typed-five/b20_C] [plan iscas99__b20] [plan] step=90 node=N4562 type=observe q_pred_context=0.722915 sequence=295.714984
[typed-five/b20_C] [plan iscas99__b20] [plan] step=91 node=N857 type=observe q_pred_context=0.942937 sequence=296.657920
[typed-five/b20_C] [plan iscas99__b20] [plan] step=92 node=N4559 type=observe q_pred_context=1.024690 sequence=297.682610
[typed-five/b20_C] [plan iscas99__b20] [plan] step=93 node=N4183 type=observe q_pred_context=1.076936 sequence=298.759546
[typed-five/b20_C] [plan iscas99__b20] [plan] step=94 node=N4131 type=observe q_pred_context=1.960107 sequence=300.719652
[typed-five/b20_C] [plan iscas99__b20] [plan] step=95 node=N4164 type=observe q_pred_context=1.408756 sequence=302.128408
[typed-five/b20_C] [plan iscas99__b20] [plan] step=96 node=N4558 type=observe q_pred_context=1.176048 sequence=303.304456
[typed-five/b20_C] [plan iscas99__b20] [plan] step=97 node=N4165 type=observe q_pred_context=1.274685 sequence=304.579142
[typed-five/b20_C] [plan iscas99__b20] [plan] step=98 node=N4560 type=observe q_pred_context=1.615582 sequence=306.194724
[typed-five/b20_C] [plan iscas99__b20] [plan] step=99 node=N4621 type=observe q_pred_context=1.734257 sequence=307.928980
[typed-five/b20_C] [plan iscas99__b20] [plan] step=100 node=N1699 type=observe q_pred_context=5.848814 sequence=313.777794
[typed-five/b20_C] [plan iscas99__b20] [plan] step=101 node=N12531 type=observe q_pred_context=3.016141 sequence=316.793935
[typed-five/b20_C] [plan iscas99__b20] [plan] step=102 node=N1669 type=observe q_pred_context=5.318757 sequence=322.112692
[typed-five/b20_C] [plan iscas99__b20] [plan] step=103 node=N12623 type=observe q_pred_context=7.351026 sequence=329.463718
[typed-five/b20_C] [plan iscas99__b20] [plan] step=104 node=N6945 type=observe q_pred_context=7.865095 sequence=337.328813
[typed-five/b20_C] [plan iscas99__b20] [plan] step=105 node=N12540 type=observe q_pred_context=6.193028 sequence=343.521841
[typed-five/b20_C] [plan iscas99__b20] [plan] step=106 node=N1432 type=observe q_pred_context=1.622005 sequence=345.143846
[typed-five/b20_C] [plan iscas99__b20] [plan] step=107 node=N12535 type=observe q_pred_context=1.037595 sequence=346.181441
[typed-five/b20_C] [plan iscas99__b20] [plan] step=108 node=N4615 type=observe q_pred_context=1.200277 sequence=347.381719
[typed-five/b20_C] [plan iscas99__b20] [plan] step=109 node=N1673 type=observe q_pred_context=6.944120 sequence=354.325839
[typed-five/b20_C] [plan iscas99__b20] [plan] step=110 node=N1437 type=observe q_pred_context=1.344912 sequence=355.670751
[typed-five/b20_C] [plan iscas99__b20] [plan] step=111 node=N12506 type=observe q_pred_context=4.083138 sequence=359.753889
[typed-five/b20_C] [plan iscas99__b20] [plan] step=112 node=N1697 type=observe q_pred_context=6.945096 sequence=366.698986
[typed-five/b20_C] [plan iscas99__b20] [plan] step=113 node=N6927 type=observe q_pred_context=4.315315 sequence=371.014301
[typed-five/b20_C] [plan iscas99__b20] [plan] step=114 node=N2533 type=observe q_pred_context=1.656671 sequence=372.670972
[typed-five/b20_C] [plan iscas99__b20] [plan] step=115 node=N1696 type=observe q_pred_context=6.420144 sequence=379.091116
[typed-five/b20_C] [plan iscas99__b20] [plan] step=116 node=N3884 type=observe q_pred_context=4.943317 sequence=384.034434
[typed-five/b20_C] [plan iscas99__b20] [plan] step=117 node=N1698 type=observe q_pred_context=2.965709 sequence=387.000142
[typed-five/b20_C] [plan iscas99__b20] [plan] step=118 node=N2896 type=observe q_pred_context=2.542309 sequence=389.542451
[typed-five/b20_C] [plan iscas99__b20] [plan] step=119 node=N1700 type=observe q_pred_context=6.016261 sequence=395.558712
[typed-five/b20_C] [plan iscas99__b20] [plan] step=120 node=N4812 type=observe q_pred_context=1.537579 sequence=397.096292
[typed-five/b20_C] [plan iscas99__b20] [plan] step=121 node=N1701 type=observe q_pred_context=6.727861 sequence=403.824153
[typed-five/b20_C] [plan iscas99__b20] [plan] step=122 node=N3916 type=observe q_pred_context=6.749784 sequence=410.573937
[typed-five/b20_C] [plan iscas99__b20] [plan] step=123 node=N1702 type=observe q_pred_context=6.171968 sequence=416.745905
[typed-five/b20_C] [plan iscas99__b20] [plan] step=124 node=N849 type=observe q_pred_context=2.936542 sequence=419.682446
[typed-five/b20_C] [plan iscas99__b20] [plan] step=125 node=N851 type=observe q_pred_context=1.477188 sequence=421.159634
[typed-five/b20_C] [plan iscas99__b20] [plan] step=126 node=N847 type=observe q_pred_context=1.842565 sequence=423.002199
[typed-five/b20_C] [plan iscas99__b20] [plan] step=127 node=N1021 type=observe q_pred_context=1.687250 sequence=424.689449
[typed-five/b20_C] [plan iscas99__b20] [plan] step=128 node=N5081 type=observe q_pred_context=1.077922 sequence=425.767371
[typed-five/b20_C] [plan iscas99__b20] [plan] step=129 node=N1930 type=observe q_pred_context=1.113923 sequence=426.881294
[typed-five/b20_C] [plan iscas99__b20] [plan] step=130 node=N3937 type=observe q_pred_context=6.778767 sequence=433.660061
[typed-five/b20_C] [plan iscas99__b20] [plan] step=131 node=N1715 type=observe q_pred_context=5.550062 sequence=439.210123
[typed-five/b20_C] [plan iscas99__b20] [plan] step=132 node=N3940 type=observe q_pred_context=7.139218 sequence=446.349341
[typed-five/b20_C] [plan iscas99__b20] [plan] step=133 node=N1716 type=observe q_pred_context=4.958520 sequence=451.307860
[typed-five/b20_C] [plan iscas99__b20] [plan] step=134 node=N854 type=observe q_pred_context=1.682602 sequence=452.990462
[typed-five/b20_C] [plan iscas99__b20] [plan] step=135 node=N8756 type=control0 q_pred_context=1.612573 sequence=454.603035
[typed-five/b20_C] [plan iscas99__b20] [plan] step=136 node=N8758 type=control0 q_pred_context=1.294093 sequence=455.897128
[typed-five/b20_C] [plan iscas99__b20] [plan] step=137 node=N14300 type=control1 q_pred_context=1.205095 sequence=457.102223
[typed-five/b20_C] [plan iscas99__b20] [plan] step=138 node=N5075 type=observe q_pred_context=1.252078 sequence=458.354302
[typed-five/b20_C] [plan iscas99__b20] [plan] step=139 node=N1944 type=observe q_pred_context=1.307123 sequence=459.661425
[typed-five/b20_C] [plan iscas99__b20] [plan] step=140 node=N1717 type=observe q_pred_context=2.687463 sequence=462.348888
[typed-five/b20_C] [plan iscas99__b20] [plan] step=141 node=N3946 type=observe q_pred_context=2.712351 sequence=465.061239
[typed-five/b20_C] [plan iscas99__b20] [plan] step=142 node=N1938 type=observe q_pred_context=1.009222 sequence=466.070460
[typed-five/b20_C] [plan iscas99__b20] [plan] step=143 node=N1714 type=observe q_pred_context=2.835911 sequence=468.906371
[typed-five/b20_C] [plan iscas99__b20] [plan] step=144 node=N3949 type=observe q_pred_context=2.955551 sequence=471.861921
[typed-five/b20_C] [plan iscas99__b20] [plan] step=145 node=N1711 type=observe q_pred_context=3.314958 sequence=475.176880
[typed-five/b20_C] [plan iscas99__b20] [plan] step=146 node=N5052 type=observe q_pred_context=1.112457 sequence=476.289337
[typed-five/b20_C] [plan iscas99__b20] [plan] step=147 node=N1929 type=observe q_pred_context=1.060623 sequence=477.349960
[typed-five/b20_C] [plan iscas99__b20] [plan] step=148 node=N3922 type=observe q_pred_context=2.107580 sequence=479.457540
[typed-five/b20_C] [plan iscas99__b20] [plan] step=149 node=N1718 type=observe q_pred_context=5.010628 sequence=484.468169
[typed-five/b20_C] [plan iscas99__b20] [plan] step=150 node=N1932 type=observe q_pred_context=1.741491 sequence=486.209660
[typed-five/b20_C] [plan iscas99__b20] [plan] step=151 node=N3931 type=observe q_pred_context=3.788248 sequence=489.997908
[typed-five/b20_C] [plan iscas99__b20] [plan] step=152 node=N3928 type=observe q_pred_context=3.846177 sequence=493.844084
[typed-five/b20_C] [plan iscas99__b20] [plan] step=153 node=N1713 type=observe q_pred_context=2.751201 sequence=496.595286
[typed-five/b20_C] [plan iscas99__b20] [plan] step=154 node=N1712 type=observe q_pred_context=4.052027 sequence=500.647313
[typed-five/b20_C] [plan iscas99__b20] [plan] step=155 node=N4338 type=observe q_pred_context=1.736636 sequence=502.383949
[typed-five/b20_C] [plan iscas99__b20] [plan] step=156 node=N1940 type=observe q_pred_context=0.986039 sequence=503.369988
[typed-five/b20_C] [plan iscas99__b20] [plan] step=157 node=N3955 type=observe q_pred_context=2.179919 sequence=505.549907
[typed-five/b20_C] [plan iscas99__b20] [plan] step=158 node=N1704 type=observe q_pred_context=3.860285 sequence=509.410192
[typed-five/b20_C] [plan iscas99__b20] [plan] step=159 node=N1703 type=observe q_pred_context=4.169487 sequence=513.579679
[typed-five/b20_C] [plan iscas99__b20] [plan] step=160 node=N12509 type=observe q_pred_context=1.695060 sequence=515.274739
[typed-five/b20_C] [plan iscas99__b20] [plan] step=161 node=N3919 type=observe q_pred_context=4.443499 sequence=519.718238
[typed-five/b20_C] [plan iscas99__b20] [plan] step=162 node=N1719 type=observe q_pred_context=1.651888 sequence=521.370126
[typed-five/b20_C] [plan iscas99__b20] [plan] step=163 node=N3925 type=observe q_pred_context=6.800791 sequence=528.170917
[typed-five/b20_C] [plan iscas99__b20] [plan] step=164 node=N3934 type=observe q_pred_context=5.555848 sequence=533.726765
[typed-five/b20_C] [plan iscas99__b20] [plan] step=165 node=N1926 type=observe q_pred_context=0.975518 sequence=534.702283
[typed-five/b20_C] [plan iscas99__b20] [plan] step=166 node=N3952 type=observe q_pred_context=5.327542 sequence=540.029825
[typed-five/b20_C] [plan iscas99__b20] [plan] step=167 node=N3958 type=observe q_pred_context=4.347571 sequence=544.377396
[typed-five/b20_C] [plan iscas99__b20] [plan] step=168 node=N12537 type=observe q_pred_context=4.740120 sequence=549.117516
[typed-five/b20_C] [plan iscas99__b20] [plan] step=169 node=N12626 type=observe q_pred_context=1.889344 sequence=551.006860
[typed-five/b20_C] [plan iscas99__b20] [plan] step=170 node=N3943 type=observe q_pred_context=5.212461 sequence=556.219321
[typed-five/b20_C] [plan iscas99__b20] [plan] step=171 node=N1923 type=observe q_pred_context=1.013530 sequence=557.232851
[typed-five/b20_C] [plan iscas99__b20] [plan] step=172 node=N3964 type=observe q_pred_context=4.384602 sequence=561.617453
[typed-five/b20_C] [plan iscas99__b20] [plan] step=173 node=N12446 type=observe q_pred_context=4.770627 sequence=566.388081
[typed-five/b20_C] [plan iscas99__b20] [plan] step=174 node=N12533 type=observe q_pred_context=3.934873 sequence=570.322954
[typed-five/b20_C] [plan iscas99__b20] [plan] step=175 node=N1781 type=control1 q_pred_context=2.549668 sequence=572.872622
[typed-five/b20_C] [plan iscas99__b20] [plan] step=176 node=N10831 type=observe q_pred_context=2.019128 sequence=574.891750
[typed-five/b20_C] [plan iscas99__b20] [plan] step=177 node=N3961 type=observe q_pred_context=7.356569 sequence=582.248319
[typed-five/b20_C] [plan iscas99__b20] [plan] step=178 node=N1918 type=observe q_pred_context=2.040342 sequence=584.288661
[typed-five/b20_C] [plan iscas99__b20] [plan] step=179 node=N3973 type=observe q_pred_context=5.522986 sequence=589.811646
[typed-five/b20_C] [plan iscas99__b20] [plan] step=180 node=N12534 type=observe q_pred_context=3.479579 sequence=593.291226
[typed-five/b20_C] [plan iscas99__b20] [plan] step=181 node=N3970 type=observe q_pred_context=4.507513 sequence=597.798739
[typed-five/b20_C] [plan iscas99__b20] [plan] step=182 node=N1915 type=observe q_pred_context=0.912349 sequence=598.711088
[typed-five/b20_C] [plan iscas99__b20] [plan] step=183 node=N928 type=observe q_pred_context=4.080951 sequence=602.792039
[typed-five/b20_C] [plan iscas99__b20] [plan] step=184 node=N3967 type=observe q_pred_context=3.655344 sequence=606.447383
[typed-five/b20_C] [plan iscas99__b20] [plan] step=185 node=N1421 type=observe q_pred_context=1.562071 sequence=608.009453
[typed-five/b20_C] [plan iscas99__b20] [plan] step=186 node=N3887 type=observe q_pred_context=4.023636 sequence=612.033089
[typed-five/b20_C] [plan iscas99__b20] [plan] step=187 node=N8762 type=control0 q_pred_context=0.867203 sequence=612.900292
[typed-five/b20_C] [plan iscas99__b20] [plan] step=188 node=N12520 type=observe q_pred_context=1.339748 sequence=614.240040
[typed-five/b20_C] [plan iscas99__b20] [plan] step=189 node=N16681 type=observe q_pred_context=4.709515 sequence=618.949555
[typed-five/b20_C] [plan iscas99__b20] [plan] step=190 node=N3890 type=observe q_pred_context=4.801299 sequence=623.750854
[typed-five/b20_C] [plan iscas99__b20] [plan] step=191 node=N6964 type=control0 q_pred_context=0.825697 sequence=624.576551
[typed-five/b20_C] [plan iscas99__b20] [plan] step=192 node=N16597 type=observe q_pred_context=0.823732 sequence=625.400283
[typed-five/b20_C] [plan iscas99__b20] [plan] step=193 node=N16592 type=observe q_pred_context=1.105803 sequence=626.506086
[typed-five/b20_C] [plan iscas99__b20] [plan] step=194 node=N14298 type=observe q_pred_context=1.146495 sequence=627.652581
[typed-five/b20_C] [plan iscas99__b20] [plan] step=195 node=N961 type=observe q_pred_context=0.932791 sequence=628.585372
[typed-five/b20_C] [plan iscas99__b20] [plan] step=196 node=N3902 type=observe q_pred_context=5.278230 sequence=633.863602
[typed-five/b20_C] [plan iscas99__b20] [plan] step=197 node=N8750 type=control0 q_pred_context=0.773352 sequence=634.636954
[typed-five/b20_C] [plan iscas99__b20] [plan] step=198 node=N925 type=observe q_pred_context=0.804832 sequence=635.441786
[typed-five/b20_C] [plan iscas99__b20] [plan] step=199 node=N3899 type=observe q_pred_context=4.388452 sequence=639.830238
[typed-five/b20_C] [plan iscas99__b20] [plan] step=200 node=N926 type=observe q_pred_context=0.928756 sequence=640.758994
[typed-five/b20_C] [plan iscas99__b20] [plan] step=201 node=N3896 type=observe q_pred_context=4.881199 sequence=645.640193
[typed-five/b20_C] [plan iscas99__b20] [plan] step=202 node=N923 type=observe q_pred_context=0.933807 sequence=646.574000
[typed-five/b20_C] [plan iscas99__b20] [plan] step=203 node=N3893 type=observe q_pred_context=4.971297 sequence=651.545297
[typed-five/b20_C] [plan iscas99__b20] [plan] step=204 node=N924 type=observe q_pred_context=0.929569 sequence=652.474866
[typed-five/b20_C] [plan iscas99__b20] [plan] step=205 node=N1401 type=observe q_pred_context=0.744942 sequence=653.219808
[typed-five/b20_C] [plan iscas99__b20] [plan] step=206 node=N4337 type=observe q_pred_context=0.757311 sequence=653.977120
[typed-five/b20_C] [plan iscas99__b20] [plan] step=207 node=N1399 type=observe q_pred_context=0.833526 sequence=654.810646
[typed-five/b20_C] [plan iscas99__b20] [plan] step=208 node=N1398 type=observe q_pred_context=0.855725 sequence=655.666371
[typed-five/b20_C] [plan iscas99__b20] [plan] step=209 node=N3914 type=observe q_pred_context=4.857301 sequence=660.523672
[typed-five/b20_C] [plan iscas99__b20] [plan] step=210 node=N1413 type=observe q_pred_context=1.435794 sequence=661.959466
[typed-five/b20_C] [plan iscas99__b20] [plan] step=211 node=N1415 type=observe q_pred_context=1.578132 sequence=663.537597
[typed-five/b20_C] [plan iscas99__b20] [plan] step=212 node=N2506 type=observe q_pred_context=4.211230 sequence=667.748828
[typed-five/b20_C] [plan iscas99__b20] [plan] step=213 node=N1417 type=observe q_pred_context=1.551386 sequence=669.300213
[typed-five/b20_C] [plan iscas99__b20] [plan] step=214 node=N2431 type=observe q_pred_context=4.535172 sequence=673.835386
[typed-five/b20_C] [plan iscas99__b20] [plan] step=215 node=N1418 type=observe q_pred_context=1.707344 sequence=675.542730
[typed-five/b20_C] [plan iscas99__b20] [plan] step=216 node=N1419 type=observe q_pred_context=1.455752 sequence=676.998482
[typed-five/b20_C] [plan iscas99__b20] [plan] step=217 node=N2412 type=observe q_pred_context=4.402211 sequence=681.400692
