[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/marginal_only/cone_toplist_sa/epoch_012/alpha_0p20_decay_16
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 budgets=iscas99__b15_1:278
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=7.148880 sequence=129.259103
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_reliable_context=3.915000 sequence=133.174103
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_reliable_context=0.987440 sequence=134.161543
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_reliable_context=1.695034 sequence=135.856577
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=6.235299 sequence=142.091876
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=38 node=N3813 type=control0 q_typed_reliable_context=0.830502 sequence=142.922378
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=39 node=N3911 type=control0 q_typed_reliable_context=0.784866 sequence=143.707244
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_reliable_context=0.898656 sequence=144.605900
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_reliable_context=1.698705 sequence=146.304605
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=42 node=N3701 type=control0 q_typed_reliable_context=0.849828 sequence=147.154433
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=43 node=N3904 type=control0 q_typed_reliable_context=0.850359 sequence=148.004791
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=44 node=N4656 type=control0 q_typed_reliable_context=2.534298 sequence=150.539090
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=45 node=N7883 type=control1 q_typed_reliable_context=2.208471 sequence=152.747561
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=46 node=N7884 type=control1 q_typed_reliable_context=2.314529 sequence=155.062090
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=47 node=N4663 type=control0 q_typed_reliable_context=3.860858 sequence=158.922948
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=48 node=N713 type=observe q_typed_reliable_context=3.787359 sequence=162.710307
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=49 node=N724 type=observe q_typed_reliable_context=4.989509 sequence=167.699816
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=50 node=N4670 type=control0 q_typed_reliable_context=5.447044 sequence=173.146860
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=51 node=N704 type=observe q_typed_reliable_context=3.924140 sequence=177.071000
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=52 node=N7886 type=control1 q_typed_reliable_context=2.762880 sequence=179.833880
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=53 node=N4677 type=control0 q_typed_reliable_context=4.031655 sequence=183.865535
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=54 node=N7882 type=control1 q_typed_reliable_context=1.783169 sequence=185.648703
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=55 node=N3897 type=control0 q_typed_reliable_context=0.907614 sequence=186.556317
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_reliable_context=2.244658 sequence=188.800975
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_reliable_context=2.003132 sequence=190.804107
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=58 node=N7888 type=control1 q_typed_reliable_context=1.351347 sequence=192.155454
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_reliable_context=2.052735 sequence=194.208188
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=60 node=N7885 type=control1 q_typed_reliable_context=1.363464 sequence=195.571653
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=61 node=N7890 type=control1 q_typed_reliable_context=1.469637 sequence=197.041290
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_reliable_context=1.822976 sequence=198.864266
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=63 node=N3862 type=control0 q_typed_reliable_context=0.995126 sequence=199.859392
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=64 node=N4712 type=control0 q_typed_reliable_context=1.397112 sequence=201.256504
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=65 node=N4564 type=control0 q_typed_reliable_context=1.015634 sequence=202.272138
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.583186 sequence=203.855323
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=67 node=N7471 type=control0 q_typed_reliable_context=1.111075 sequence=204.966398
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_reliable_context=2.184767 sequence=207.151165
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=69 node=N7887 type=control1 q_typed_reliable_context=1.972183 sequence=209.123349
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=70 node=N7889 type=control1 q_typed_reliable_context=1.794469 sequence=210.917818
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=71 node=N578 type=observe q_typed_reliable_context=2.030566 sequence=212.948383
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=72 node=N4606 type=control0 q_typed_reliable_context=3.252930 sequence=216.201313
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=73 node=N8048 type=control0 q_typed_reliable_context=3.536036 sequence=219.737349
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=74 node=N4578 type=control0 q_typed_reliable_context=4.415338 sequence=224.152687
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=75 node=N3855 type=control0 q_typed_reliable_context=3.595825 sequence=227.748512
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=76 node=N3848 type=control0 q_typed_reliable_context=3.580113 sequence=231.328625
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=77 node=N519 type=control1 q_typed_reliable_context=7.036526 sequence=238.365151
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=78 node=N3827 type=control0 q_typed_reliable_context=4.275705 sequence=242.640856
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=79 node=N7370 type=control1 q_typed_reliable_context=4.473579 sequence=247.114435
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=80 node=N3820 type=control0 q_typed_reliable_context=3.011509 sequence=250.125944
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=81 node=N7724 type=control0 q_typed_reliable_context=5.711693 sequence=255.837637
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=82 node=N7854 type=control0 q_typed_reliable_context=4.930572 sequence=260.768208
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_reliable_context=3.268578 sequence=264.036786
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=84 node=N504 type=control1 q_typed_reliable_context=5.241537 sequence=269.278323
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=85 node=N7923 type=control0 q_typed_reliable_context=4.214128 sequence=273.492451
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=86 node=N7722 type=control0 q_typed_reliable_context=2.726357 sequence=276.218808
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=87 node=N3799 type=control0 q_typed_reliable_context=2.984538 sequence=279.203346
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=88 node=N3792 type=control0 q_typed_reliable_context=2.633918 sequence=281.837264
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=89 node=N3785 type=control0 q_typed_reliable_context=2.952727 sequence=284.789991
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=90 node=N3722 type=control0 q_typed_reliable_context=3.284415 sequence=288.074406
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=91 node=N3903 type=control0 q_typed_reliable_context=3.261009 sequence=291.335415
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=92 node=N3896 type=control0 q_typed_reliable_context=3.070678 sequence=294.406093
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=93 node=N1539 type=control0 q_typed_reliable_context=2.373577 sequence=296.779670
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=94 node=N516 type=control1 q_typed_reliable_context=3.834650 sequence=300.614319
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=95 node=N520 type=control1 q_typed_reliable_context=1.974907 sequence=302.589226
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=96 node=N3889 type=control0 q_typed_reliable_context=1.995588 sequence=304.584815
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=97 node=N4557 type=control0 q_typed_reliable_context=1.797216 sequence=306.382031
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=98 node=N4585 type=control0 q_typed_reliable_context=2.690308 sequence=309.072339
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=99 node=N4520 type=control0 q_typed_reliable_context=3.657527 sequence=312.729866
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=100 node=N3882 type=control0 q_typed_reliable_context=5.834057 sequence=318.563923
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=101 node=N3805 type=control0 q_typed_reliable_context=4.980192 sequence=323.544115
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=102 node=N7408 type=control0 q_typed_reliable_context=4.784763 sequence=328.328879
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_reliable_context=3.366022 sequence=331.694901
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=104 node=N7847 type=control0 q_typed_reliable_context=3.524350 sequence=335.219251
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=105 node=N7852 type=control0 q_typed_reliable_context=6.219920 sequence=341.439171
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=106 node=N7853 type=control0 q_typed_reliable_context=5.417951 sequence=346.857122
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=107 node=N7846 type=control0 q_typed_reliable_context=5.372209 sequence=352.229331
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=108 node=N7725 type=control0 q_typed_reliable_context=3.773208 sequence=356.002540
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=109 node=N7723 type=control0 q_typed_reliable_context=4.689418 sequence=360.691958
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=110 node=N3681 type=control0 q_typed_reliable_context=5.174446 sequence=365.866404
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=111 node=N2580 type=control1 q_typed_reliable_context=4.669251 sequence=370.535655
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=112 node=N1533 type=control1 q_typed_reliable_context=3.276056 sequence=373.811711
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=113 node=N8003 type=control0 q_typed_reliable_context=6.940319 sequence=380.752031
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=114 node=N513 type=control1 q_typed_reliable_context=3.465347 sequence=384.217378
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=115 node=N8005 type=control0 q_typed_reliable_context=3.117436 sequence=387.334814
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=116 node=N556 type=control1 q_typed_reliable_context=3.423599 sequence=390.758413
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=117 node=N7588 type=control1 q_typed_reliable_context=2.396071 sequence=393.154483
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=118 node=N555 type=control1 q_typed_reliable_context=3.752822 sequence=396.907305
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=119 node=N2340 type=observe q_typed_reliable_context=2.213622 sequence=399.120927
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=120 node=N694 type=observe q_typed_reliable_context=3.927485 sequence=403.048411
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=121 node=N7401 type=observe q_typed_reliable_context=2.804164 sequence=405.852575
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=122 node=N634 type=control1 q_typed_reliable_context=1.957344 sequence=407.809919
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=123 node=N614 type=control1 q_typed_reliable_context=4.593773 sequence=412.403692
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=124 node=N3180 type=control1 q_typed_reliable_context=6.491842 sequence=418.895534
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=125 node=N7413 type=control1 q_typed_reliable_context=2.260760 sequence=421.156294
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=126 node=N2102 type=observe q_typed_reliable_context=3.950956 sequence=425.107250
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=127 node=N620 type=control1 q_typed_reliable_context=3.624609 sequence=428.731859
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=128 node=N610 type=control1 q_typed_reliable_context=2.520260 sequence=431.252119
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=129 node=N3410 type=control1 q_typed_reliable_context=5.729300 sequence=436.981419
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=130 node=N638 type=control1 q_typed_reliable_context=2.970103 sequence=439.951522
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=131 node=N7679 type=observe q_typed_reliable_context=2.417914 sequence=442.369435
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=132 node=N7454 type=observe q_typed_reliable_context=2.080064 sequence=444.449500
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=133 node=N2157 type=observe q_typed_reliable_context=5.025453 sequence=449.474953
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=134 node=N6534 type=observe q_typed_reliable_context=2.314641 sequence=451.789594
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=135 node=N2106 type=observe q_typed_reliable_context=2.093917 sequence=453.883511
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=136 node=N7385 type=observe q_typed_reliable_context=1.801998 sequence=455.685508
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.497111 sequence=457.182619
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=138 node=N5738 type=observe q_typed_reliable_context=1.549427 sequence=458.732046
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=139 node=N3237 type=control1 q_typed_reliable_context=0.417983 sequence=459.150029
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=140 node=N7614 type=observe q_typed_reliable_context=1.982183 sequence=461.132212
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=141 node=N7543 type=control0 q_typed_reliable_context=1.030951 sequence=462.163164
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=142 node=N645 type=control1 q_typed_reliable_context=1.515897 sequence=463.679061
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=143 node=N616 type=control1 q_typed_reliable_context=1.808245 sequence=465.487306
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=144 node=N3295 type=control1 q_typed_reliable_context=2.337184 sequence=467.824490
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=145 node=N636 type=control1 q_typed_reliable_context=1.890576 sequence=469.715066
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=146 node=N630 type=control1 q_typed_reliable_context=4.532716 sequence=474.247783
