[v4_derived_hard_reduction_hybrid gpu5] [2026-07-04T16:17:42+08:00] start name=v4_derived_hard_reduction_hybrid gpu=5 score_field=derived_hard_reduction_hybrid_pred checkpoint=runs/mainline_accuracy_improve_v4_reduction_sign/best.pt
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 out_dir=autoresearch/improve-260704-1035/b21_world_rerank_hard_scores/v4_derived_hard_reduction_hybrid
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 budgets=iscas99__b21:628
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 variant_start id=greedy__cumulative__derived_hard_reduction_hybrid_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=derived_hard_reduction_hybrid_pred
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=40 node=N24081 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=41 node=N21946 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=42 node=N21039 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=43 node=N21048 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=44 node=N14782 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=45 node=N8745 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=46 node=N8687 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=47 node=N8682 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=48 node=N8677 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=49 node=N14400 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=50 node=N8662 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=51 node=N8667 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=52 node=N21945 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=53 node=N21936 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=54 node=N21038 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=55 node=N21047 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=56 node=N22420 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=57 node=N22433 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=58 node=N22446 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=59 node=N23208 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=60 node=N22605 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=61 node=N22470 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=62 node=N22482 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=63 node=N22458 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=64 node=N8815 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=65 node=N22419 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=66 node=N22432 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=67 node=N22469 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=68 node=N22481 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=69 node=N22445 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=70 node=N22457 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=71 node=N8644 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=72 node=N14471 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=73 node=N34078 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=74 node=N38449 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=75 node=N38458 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=76 node=N38467 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=77 node=N38482 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=78 node=N38491 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=79 node=N38500 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=80 node=N38578 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=81 node=N38593 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=82 node=N38608 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=83 node=N38623 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=84 node=N4683 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=85 node=N4684 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=86 node=N4685 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=87 node=N4688 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=88 node=N4689 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=89 node=N4690 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=90 node=N1241 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=91 node=N1433 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=92 node=N1434 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=93 node=N1435 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=94 node=N1438 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=95 node=N1439 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=96 node=N1440 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=97 node=N38515 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=98 node=N38524 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=99 node=N38533 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=100 node=N38548 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=101 node=N38563 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=102 node=N4490 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=103 node=N29792 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=104 node=N38638 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=105 node=N8692 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=106 node=__buf_split_19583 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=107 node=N29800 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=108 node=N38443 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=109 node=N38452 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=110 node=N38461 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=111 node=N38470 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=112 node=N38476 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=113 node=N38485 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=114 node=N38494 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=115 node=N38503 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=116 node=N38572 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=117 node=N38581 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=118 node=N38587 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=119 node=N38596 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=120 node=N38602 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=121 node=N38611 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=122 node=N38617 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=123 node=N38626 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=124 node=N38509 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=125 node=N38518 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=126 node=N38527 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=127 node=N38536 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=128 node=N38542 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=129 node=N38551 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=130 node=N38557 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=131 node=N38566 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=132 node=N14728 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=133 node=N38446 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=134 node=N38455 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=135 node=N38464 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=136 node=N38473 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=137 node=N38479 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=138 node=N38488 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=139 node=N38497 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=140 node=N38506 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=141 node=N38632 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=142 node=N38641 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=143 node=N38575 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=144 node=N38584 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=145 node=N38590 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=146 node=N38599 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=147 node=N38605 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=148 node=N38614 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=149 node=N38620 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=150 node=N38629 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=151 node=N38512 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=152 node=N38521 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
