[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/epoch_012/a0p40_h1_c2
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [gmean] 2026-07-21T05:01:51 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=7.992893 sequence=82.677036
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N5723 type=control0 q_typed_reliable_context=4.636813 sequence=87.313849
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N7516 type=observe q_typed_reliable_context=6.390000 sequence=93.703849
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=8.026975 sequence=101.730824
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_reliable_context=4.250239 sequence=105.981063
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_reliable_context=3.311810 sequence=109.292873
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=6.390000 sequence=115.682873
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2044 type=observe q_typed_reliable_context=4.837026 sequence=120.519899
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N578 type=observe q_typed_reliable_context=7.382683 sequence=127.902582
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N583 type=control1 q_typed_reliable_context=7.616331 sequence=135.518913
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N2042 type=observe q_typed_reliable_context=4.421128 sequence=139.940041
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N1532 type=observe q_typed_reliable_context=4.855722 sequence=144.795764
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N7411 type=control1 q_typed_reliable_context=4.905000 sequence=149.700764
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_reliable_context=8.700000 sequence=158.400764
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N7891 type=control1 q_typed_reliable_context=0.991931 sequence=159.392695
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N3701 type=control0 q_typed_reliable_context=0.909206 sequence=160.301901
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_reliable_context=0.928914 sequence=161.230814
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_reliable_context=1.873950 sequence=163.104764
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N4656 type=control0 q_typed_reliable_context=5.798262 sequence=168.903026
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N3911 type=control0 q_typed_reliable_context=0.850256 sequence=169.753282
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_reliable_context=1.270123 sequence=171.023405
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_reliable_context=1.001997 sequence=172.025402
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N3904 type=control0 q_typed_reliable_context=0.848649 sequence=172.874050
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_reliable_context=3.589362 sequence=176.463413
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_reliable_context=3.153179 sequence=179.616591
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=50 node=N4670 type=control0 q_typed_reliable_context=4.604671 sequence=184.221263
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=51 node=N2101 type=observe q_typed_reliable_context=4.910309 sequence=189.131572
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=52 node=N3897 type=control0 q_typed_reliable_context=0.819325 sequence=189.950897
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_reliable_context=4.532002 sequence=194.482899
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_reliable_context=3.706068 sequence=198.188967
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_reliable_context=2.713751 sequence=200.902718
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.849778 sequence=201.752496
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_reliable_context=2.832677 sequence=204.585173
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_reliable_context=2.779812 sequence=207.364985
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=59 node=N3855 type=control0 q_typed_reliable_context=1.087062 sequence=208.452048
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_reliable_context=2.921788 sequence=211.373836
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=61 node=N3848 type=control0 q_typed_reliable_context=1.069834 sequence=212.443670
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_reliable_context=2.503447 sequence=214.947116
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_reliable_context=2.325258 sequence=217.272375
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=64 node=N3827 type=control0 q_typed_reliable_context=1.061057 sequence=218.333432
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=65 node=N7471 type=control0 q_typed_reliable_context=1.476530 sequence=219.809962
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=66 node=N3889 type=control0 q_typed_reliable_context=1.056951 sequence=220.866913
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=67 node=N2102 type=observe q_typed_reliable_context=1.068810 sequence=221.935723
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=68 node=N1437 type=observe q_typed_reliable_context=1.723558 sequence=223.659281
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=69 node=N3882 type=control0 q_typed_reliable_context=1.791721 sequence=225.451002
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=70 node=N3820 type=control0 q_typed_reliable_context=1.783542 sequence=227.234544
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=71 node=N3813 type=control0 q_typed_reliable_context=1.767772 sequence=229.002316
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=72 node=N3805 type=control0 q_typed_reliable_context=1.740028 sequence=230.742344
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=73 node=N3799 type=control0 q_typed_reliable_context=1.830523 sequence=232.572866
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=74 node=N2340 type=observe q_typed_reliable_context=2.746282 sequence=235.319148
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=75 node=N7587 type=control1 q_typed_reliable_context=2.524297 sequence=237.843445
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=76 node=N7923 type=control0 q_typed_reliable_context=1.834327 sequence=239.677771
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=77 node=N7724 type=control0 q_typed_reliable_context=2.425136 sequence=242.102907
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=78 node=N519 type=control1 q_typed_reliable_context=3.424726 sequence=245.527633
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=79 node=N7370 type=control1 q_typed_reliable_context=3.520610 sequence=249.048242
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=80 node=N3841 type=control0 q_typed_reliable_context=2.703030 sequence=251.751272
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=81 node=N513 type=control1 q_typed_reliable_context=4.606557 sequence=256.357830
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=2.877278 sequence=259.235107
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=83 node=N7722 type=control0 q_typed_reliable_context=2.201821 sequence=261.436928
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=84 node=N504 type=control1 q_typed_reliable_context=4.482135 sequence=265.919063
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=85 node=N7875 type=control1 q_typed_reliable_context=2.319069 sequence=268.238132
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=86 node=N3681 type=control0 q_typed_reliable_context=5.065846 sequence=273.303978
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=87 node=N2580 type=control1 q_typed_reliable_context=3.429069 sequence=276.733047
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=88 node=N520 type=control1 q_typed_reliable_context=5.512960 sequence=282.246007
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=89 node=N4564 type=control0 q_typed_reliable_context=2.171877 sequence=284.417884
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=90 node=N4520 type=control0 q_typed_reliable_context=2.238001 sequence=286.655884
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=91 node=N3903 type=control0 q_typed_reliable_context=2.206554 sequence=288.862438
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=92 node=N7723 type=control0 q_typed_reliable_context=2.741411 sequence=291.603849
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=93 node=N516 type=control1 q_typed_reliable_context=5.359666 sequence=296.963515
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=94 node=N7725 type=control0 q_typed_reliable_context=2.557921 sequence=299.521436
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=95 node=N1533 type=control1 q_typed_reliable_context=3.316673 sequence=302.838108
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=96 node=N7614 type=observe q_typed_reliable_context=2.714677 sequence=305.552786
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=97 node=N694 type=observe q_typed_reliable_context=3.213704 sequence=308.766490
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=98 node=N555 type=control1 q_typed_reliable_context=3.601840 sequence=312.368330
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=99 node=N7402 type=observe q_typed_reliable_context=3.609672 sequence=315.978002
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=100 node=N556 type=control1 q_typed_reliable_context=3.221314 sequence=319.199316
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=101 node=N2106 type=observe q_typed_reliable_context=2.576395 sequence=321.775711
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=102 node=N4606 type=control0 q_typed_reliable_context=2.664438 sequence=324.440149
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=103 node=N4578 type=control0 q_typed_reliable_context=2.787753 sequence=327.227902
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=104 node=N4557 type=control0 q_typed_reliable_context=2.518318 sequence=329.746220
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=105 node=N3896 type=control0 q_typed_reliable_context=2.487072 sequence=332.233292
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=106 node=N7846 type=control0 q_typed_reliable_context=5.641742 sequence=337.875034
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=107 node=N3792 type=control0 q_typed_reliable_context=2.342116 sequence=340.217150
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=108 node=N3785 type=control0 q_typed_reliable_context=3.090073 sequence=343.307223
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=109 node=N3722 type=control0 q_typed_reliable_context=3.040121 sequence=346.347344
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=110 node=N7541 type=control0 q_typed_reliable_context=2.909015 sequence=349.256359
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=111 node=N7408 type=control0 q_typed_reliable_context=2.798777 sequence=352.055136
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=112 node=N7679 type=observe q_typed_reliable_context=1.938949 sequence=353.994085
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=113 node=N7847 type=control0 q_typed_reliable_context=1.651147 sequence=355.645232
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=114 node=N8003 type=control0 q_typed_reliable_context=2.609231 sequence=358.254463
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=115 node=N8005 type=control0 q_typed_reliable_context=2.533724 sequence=360.788187
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=116 node=N7735 type=control0 q_typed_reliable_context=2.302349 sequence=363.090536
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=117 node=N7734 type=control0 q_typed_reliable_context=1.865007 sequence=364.955543
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=118 node=N614 type=control1 q_typed_reliable_context=2.828198 sequence=367.783741
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=119 node=N3124 type=control1 q_typed_reliable_context=3.166477 sequence=370.950219
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=120 node=N634 type=control1 q_typed_reliable_context=3.302294 sequence=374.252513
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=121 node=N3180 type=control1 q_typed_reliable_context=2.978801 sequence=377.231314
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=122 node=N3352 type=control1 q_typed_reliable_context=3.146879 sequence=380.378193
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=123 node=N7733 type=control0 q_typed_reliable_context=2.361747 sequence=382.739940
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=124 node=N610 type=control1 q_typed_reliable_context=3.023031 sequence=385.762971
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=125 node=N620 type=control1 q_typed_reliable_context=3.931641 sequence=389.694611
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=126 node=N3410 type=control1 q_typed_reliable_context=3.742212 sequence=393.436823
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=127 node=N638 type=control1 q_typed_reliable_context=4.347365 sequence=397.784188
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=128 node=N7732 type=control0 q_typed_reliable_context=2.998434 sequence=400.782622
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=129 node=N7424 type=control1 q_typed_reliable_context=4.155822 sequence=404.938443
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=130 node=N7731 type=control0 q_typed_reliable_context=5.069920 sequence=410.008364
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=131 node=N7877 type=control1 q_typed_reliable_context=3.807206 sequence=413.815570
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=132 node=N2157 type=observe q_typed_reliable_context=6.395081 sequence=420.210651
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=133 node=N7879 type=control1 q_typed_reliable_context=6.268242 sequence=426.478894
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=134 node=N645 type=control1 q_typed_reliable_context=6.185265 sequence=432.664158
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=135 node=N7820 type=control0 q_typed_reliable_context=5.075210 sequence=437.739368
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=136 node=N7881 type=control1 q_typed_reliable_context=5.584927 sequence=443.324295
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=137 node=N616 type=control1 q_typed_reliable_context=5.739872 sequence=449.064167
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=138 node=N636 type=control1 q_typed_reliable_context=6.822362 sequence=455.886529
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=139 node=N7421 type=control1 q_typed_reliable_context=4.084081 sequence=459.970610
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=140 node=N7590 type=control1 q_typed_reliable_context=3.632952 sequence=463.603562
[b15-reliable/prefix_cql_sa/epoch_012/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=141 node=N7588 type=control1 q_typed_reliable_context=2.191167 sequence=465.794729
