[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T05:04:46 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T05:04:46 budgets=iscas99__b15_1:278
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T05:04:46 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T05:04:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218367 sequence=18.385826
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_reliable_context=1.201416 sequence=19.587242
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.405941 sequence=20.993183
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.179407 sequence=22.172590
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.022725 sequence=23.195315
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=4.178596 sequence=27.373911
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.435274 sequence=29.809185
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.247583 sequence=33.056768
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_reliable_context=2.220799 sequence=35.277567
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_reliable_context=5.108224 sequence=40.385791
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_reliable_context=6.231659 sequence=46.617450
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_reliable_context=6.812587 sequence=53.430037
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_reliable_context=5.126709 sequence=58.556746
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=5.704274 sequence=64.261020
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_reliable_context=6.732920 sequence=70.993940
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_reliable_context=6.045086 sequence=77.039026
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_reliable_context=2.374751 sequence=79.413777
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_reliable_context=6.110352 sequence=85.524128
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=7.451366 sequence=92.975494
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=7.905968 sequence=100.881463
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_reliable_context=2.826357 sequence=103.707819
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_reliable_context=4.178083 sequence=107.885903
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_reliable_context=6.634018 sequence=114.519921
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.700000 sequence=123.219921
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=4.761854 sequence=127.981776
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=7.874242 sequence=135.856018
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N576 type=observe q_typed_reliable_context=6.766072 sequence=142.622090
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_reliable_context=3.088683 sequence=145.710773
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_reliable_context=0.806415 sequence=146.517188
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N2044 type=observe q_typed_reliable_context=1.488591 sequence=148.005779
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_reliable_context=6.192824 sequence=154.198603
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_reliable_context=0.851562 sequence=155.050166
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_reliable_context=5.441471 sequence=160.491637
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N3904 type=control0 q_typed_reliable_context=0.828223 sequence=161.319860
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N4656 type=control0 q_typed_reliable_context=4.282349 sequence=165.602209
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N7882 type=control1 q_typed_reliable_context=1.925353 sequence=167.527561
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_reliable_context=2.076570 sequence=169.604131
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_reliable_context=1.286912 sequence=170.891043
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N3897 type=control0 q_typed_reliable_context=0.981212 sequence=171.872255
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_reliable_context=2.102274 sequence=173.974529
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_reliable_context=1.652449 sequence=175.626978
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_reliable_context=1.415350 sequence=177.042328
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_reliable_context=1.933393 sequence=178.975721
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=51 node=N3862 type=control0 q_typed_reliable_context=0.943021 sequence=179.918743
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=52 node=N724 type=observe q_typed_reliable_context=1.836450 sequence=181.755193
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_reliable_context=2.102793 sequence=183.857986
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=54 node=N704 type=observe q_typed_reliable_context=1.516870 sequence=185.374856
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_reliable_context=1.986684 sequence=187.361540
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=56 node=N7887 type=control1 q_typed_reliable_context=0.920056 sequence=188.281596
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.924698 sequence=189.206293
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_reliable_context=1.585328 sequence=190.791622
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_reliable_context=1.010714 sequence=191.802336
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_reliable_context=1.673528 sequence=193.475863
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_reliable_context=1.517826 sequence=194.993690
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=62 node=N3827 type=control0 q_typed_reliable_context=1.093806 sequence=196.087496
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_reliable_context=1.442460 sequence=197.529955
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_reliable_context=1.193875 sequence=198.723830
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=65 node=N3820 type=control0 q_typed_reliable_context=1.108994 sequence=199.832824
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=66 node=N3813 type=control0 q_typed_reliable_context=1.321602 sequence=201.154426
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=67 node=N3799 type=control0 q_typed_reliable_context=1.811266 sequence=202.965692
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=68 node=N3792 type=control0 q_typed_reliable_context=1.287156 sequence=204.252848
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=69 node=N3785 type=control0 q_typed_reliable_context=1.623358 sequence=205.876206
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=70 node=N3889 type=control0 q_typed_reliable_context=1.847952 sequence=207.724158
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=71 node=N3882 type=control0 q_typed_reliable_context=2.030813 sequence=209.754971
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=72 node=N3805 type=control0 q_typed_reliable_context=2.008352 sequence=211.763323
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=73 node=N3742 type=control0 q_typed_reliable_context=1.963525 sequence=213.726848
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=74 node=N4585 type=control0 q_typed_reliable_context=1.991940 sequence=215.718788
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=75 node=N2350 type=control0 q_typed_reliable_context=2.025634 sequence=217.744422
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=76 node=N722 type=observe q_typed_reliable_context=2.534086 sequence=220.278508
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=77 node=N4557 type=control0 q_typed_reliable_context=3.657853 sequence=223.936361
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=78 node=N7854 type=control0 q_typed_reliable_context=3.185699 sequence=227.122061
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=3.979112 sequence=231.101172
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=80 node=N4606 type=control0 q_typed_reliable_context=3.563410 sequence=234.664582
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=81 node=N4564 type=control0 q_typed_reliable_context=2.997072 sequence=237.661654
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=82 node=N1539 type=control0 q_typed_reliable_context=2.787128 sequence=240.448782
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_reliable_context=3.322579 sequence=243.771361
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_reliable_context=3.321292 sequence=247.092654
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_reliable_context=3.429713 sequence=250.522366
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=86 node=N3903 type=control0 q_typed_reliable_context=2.956351 sequence=253.478717
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=87 node=N4520 type=control0 q_typed_reliable_context=3.479638 sequence=256.958355
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=88 node=N2040 type=observe q_typed_reliable_context=3.222678 sequence=260.181033
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=89 node=N3896 type=control0 q_typed_reliable_context=3.961862 sequence=264.142895
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_reliable_context=3.814635 sequence=267.957530
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=91 node=N504 type=control1 q_typed_reliable_context=3.503241 sequence=271.460771
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=92 node=N7725 type=control0 q_typed_reliable_context=3.639241 sequence=275.100012
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_reliable_context=4.326084 sequence=279.426096
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=94 node=N7370 type=control1 q_typed_reliable_context=2.876586 sequence=282.302682
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=95 node=N516 type=control1 q_typed_reliable_context=4.282586 sequence=286.585268
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=96 node=N7890 type=control1 q_typed_reliable_context=1.875470 sequence=288.460738
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=97 node=N3840 type=control0 q_typed_reliable_context=2.458382 sequence=290.919119
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=98 node=N7888 type=control1 q_typed_reliable_context=2.221741 sequence=293.140860
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=99 node=N7846 type=control0 q_typed_reliable_context=3.582778 sequence=296.723638
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=100 node=N7889 type=control1 q_typed_reliable_context=3.611907 sequence=300.335545
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_reliable_context=3.166199 sequence=303.501744
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=102 node=N7847 type=control0 q_typed_reliable_context=5.100700 sequence=308.602444
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_reliable_context=4.418588 sequence=313.021032
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_reliable_context=5.462679 sequence=318.483711
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=105 node=N7820 type=control0 q_typed_reliable_context=3.841524 sequence=322.325236
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=106 node=N7886 type=control1 q_typed_reliable_context=2.847782 sequence=325.173018
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_reliable_context=5.770850 sequence=330.943868
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=108 node=N7543 type=control0 q_typed_reliable_context=4.526356 sequence=335.470224
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=109 node=N3682 type=control0 q_typed_reliable_context=6.453434 sequence=341.923658
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=110 node=N7885 type=control1 q_typed_reliable_context=6.408670 sequence=348.332328
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_reliable_context=3.493756 sequence=351.826084
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=112 node=N513 type=control1 q_typed_reliable_context=3.702972 sequence=355.529057
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=113 node=N7588 type=control1 q_typed_reliable_context=2.496936 sequence=358.025993
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=114 node=N578 type=observe q_typed_reliable_context=1.815012 sequence=359.841005
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=115 node=N556 type=control1 q_typed_reliable_context=1.176881 sequence=361.017886
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=116 node=N2083 type=observe q_typed_reliable_context=1.365566 sequence=362.383452
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=117 node=N510 type=control1 q_typed_reliable_context=2.149127 sequence=364.532578
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=118 node=N7413 type=control1 q_typed_reliable_context=1.067023 sequence=365.599601
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=119 node=N7627 type=observe q_typed_reliable_context=0.726554 sequence=366.326155
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=120 node=N2157 type=observe q_typed_reliable_context=3.247091 sequence=369.573246
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=121 node=N555 type=control1 q_typed_reliable_context=2.324729 sequence=371.897975
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=122 node=N1411 type=control0 q_typed_reliable_context=7.144504 sequence=379.042479
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=123 node=N7402 type=observe q_typed_reliable_context=1.424527 sequence=380.467006
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=124 node=N2102 type=observe q_typed_reliable_context=1.179642 sequence=381.646649
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=125 node=N3410 type=control1 q_typed_reliable_context=1.277983 sequence=382.924632
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=126 node=N7679 type=observe q_typed_reliable_context=0.930798 sequence=383.855429
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=127 node=N634 type=control1 q_typed_reliable_context=1.113968 sequence=384.969397
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=128 node=N638 type=control1 q_typed_reliable_context=1.779301 sequence=386.748698
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=129 node=N620 type=control1 q_typed_reliable_context=2.382990 sequence=389.131687
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=130 node=N610 type=control1 q_typed_reliable_context=1.377130 sequence=390.508817
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=131 node=N5878 type=observe q_typed_reliable_context=1.192696 sequence=391.701514
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=132 node=N7424 type=control1 q_typed_reliable_context=2.409575 sequence=394.111088
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=133 node=N645 type=control1 q_typed_reliable_context=2.152345 sequence=396.263433
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=134 node=N616 type=control1 q_typed_reliable_context=1.503702 sequence=397.767135
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=135 node=N694 type=observe q_typed_reliable_context=2.932550 sequence=400.699685
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=136 node=N636 type=control1 q_typed_reliable_context=1.099542 sequence=401.799227
