[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p10_h1_c2
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_reliable_context=1.145822 sequence=23.952370
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_reliable_context=1.239495 sequence=25.191865
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_reliable_context=1.515886 sequence=26.707751
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_reliable_context=2.865582 sequence=29.573334
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_reliable_context=3.089199 sequence=32.662533
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_reliable_context=1.956032 sequence=34.618564
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_reliable_context=4.843981 sequence=39.462545
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_reliable_context=6.337276 sequence=45.799821
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_reliable_context=5.877504 sequence=51.677325
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_reliable_context=2.842767 sequence=54.520092
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_reliable_context=7.188539 sequence=61.708631
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_reliable_context=5.318661 sequence=67.027292
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_reliable_context=6.390000 sequence=73.417292
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_reliable_context=3.467885 sequence=76.885177
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.604984 sequence=78.490161
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_reliable_context=4.448347 sequence=82.938508
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_reliable_context=6.087182 sequence=89.025690
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_reliable_context=4.058764 sequence=93.084454
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=0.919726 sequence=94.004180
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.357846 sequence=102.362026
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=0.419926 sequence=102.781952
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=6.108489 sequence=108.890441
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_reliable_context=3.604127 sequence=112.494568
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_reliable_context=1.247520 sequence=113.742088
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_reliable_context=0.789103 sequence=114.531191
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=2.315898 sequence=116.847089
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_reliable_context=0.937062 sequence=117.784151
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=3.068478 sequence=120.852628
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N3889 type=control0 q_typed_reliable_context=0.876215 sequence=121.728843
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N3882 type=control0 q_typed_reliable_context=1.004756 sequence=122.733599
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N3805 type=control0 q_typed_reliable_context=0.990072 sequence=123.723671
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_reliable_context=1.706395 sequence=125.430067
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_reliable_context=1.143719 sequence=126.573785
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_reliable_context=2.133855 sequence=128.707640
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_reliable_context=1.996085 sequence=130.703725
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_reliable_context=1.816042 sequence=132.519767
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_reliable_context=2.005467 sequence=134.525234
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_reliable_context=3.006468 sequence=137.531702
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_reliable_context=1.538670 sequence=139.070371
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_reliable_context=1.391771 sequence=140.462142
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_reliable_context=2.083065 sequence=142.545207
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_reliable_context=1.998315 sequence=144.543521
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_reliable_context=0.953273 sequence=145.496795
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_reliable_context=2.061117 sequence=147.557912
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_reliable_context=1.814094 sequence=149.372006
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=57 node=N724 type=observe q_typed_reliable_context=1.573477 sequence=150.945483
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_reliable_context=1.812835 sequence=152.758318
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=59 node=N7888 type=control1 q_typed_reliable_context=1.096649 sequence=153.854968
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_reliable_context=1.148036 sequence=155.003003
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_reliable_context=1.815927 sequence=156.818930
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_reliable_context=1.731823 sequence=158.550753
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=63 node=N3855 type=control0 q_typed_reliable_context=1.095080 sequence=159.645833
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_reliable_context=1.367224 sequence=161.013058
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=65 node=N7889 type=control1 q_typed_reliable_context=1.698774 sequence=162.711832
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=66 node=N713 type=observe q_typed_reliable_context=2.670787 sequence=165.382619
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=67 node=N3848 type=control0 q_typed_reliable_context=1.597897 sequence=166.980516
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=68 node=N3827 type=control0 q_typed_reliable_context=1.873798 sequence=168.854314
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=69 node=N3820 type=control0 q_typed_reliable_context=2.098286 sequence=170.952601
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=70 node=N3813 type=control0 q_typed_reliable_context=2.196461 sequence=173.149062
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=71 node=N3799 type=control0 q_typed_reliable_context=2.334765 sequence=175.483826
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=72 node=N3792 type=control0 q_typed_reliable_context=2.388498 sequence=177.872325
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=73 node=N3785 type=control0 q_typed_reliable_context=2.530350 sequence=180.402675
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_reliable_context=2.782016 sequence=183.184690
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=75 node=N7881 type=control1 q_typed_reliable_context=2.332960 sequence=185.517650
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=76 node=N7887 type=control1 q_typed_reliable_context=3.430668 sequence=188.948318
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=77 node=N4585 type=control0 q_typed_reliable_context=3.583732 sequence=192.532050
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=78 node=N7890 type=control1 q_typed_reliable_context=2.559275 sequence=195.091325
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=3.593511 sequence=198.684835
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_reliable_context=2.988844 sequence=201.673679
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=81 node=N3897 type=control0 q_typed_reliable_context=2.938081 sequence=204.611760
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=82 node=N3904 type=control0 q_typed_reliable_context=3.040822 sequence=207.652582
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_reliable_context=2.654653 sequence=210.307234
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_reliable_context=2.475880 sequence=212.783114
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=85 node=N4606 type=control0 q_typed_reliable_context=2.710711 sequence=215.493825
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_reliable_context=2.677694 sequence=218.171519
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_reliable_context=3.307882 sequence=221.479401
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_reliable_context=2.095546 sequence=223.574947
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=89 node=N7724 type=control0 q_typed_reliable_context=2.003517 sequence=225.578464
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_reliable_context=2.558290 sequence=228.136753
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=91 node=N7891 type=control1 q_typed_reliable_context=1.973707 sequence=230.110460
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=92 node=N2079 type=observe q_typed_reliable_context=2.340729 sequence=232.451190
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=93 node=N722 type=observe q_typed_reliable_context=3.628052 sequence=236.079242
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=94 node=N3681 type=control0 q_typed_reliable_context=4.409314 sequence=240.488556
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_reliable_context=5.422989 sequence=245.911545
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_reliable_context=4.637438 sequence=250.548982
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=97 node=N7408 type=control0 q_typed_reliable_context=3.938921 sequence=254.487904
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_reliable_context=3.218213 sequence=257.706117
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=99 node=N7723 type=control0 q_typed_reliable_context=3.276823 sequence=260.982940
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=100 node=N516 type=control1 q_typed_reliable_context=5.027270 sequence=266.010210
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=101 node=N520 type=control1 q_typed_reliable_context=3.846763 sequence=269.856973
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_reliable_context=3.537665 sequence=273.394638
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=103 node=N7875 type=control1 q_typed_reliable_context=4.562494 sequence=277.957132
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=104 node=N7587 type=control1 q_typed_reliable_context=3.929244 sequence=281.886375
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=105 node=N555 type=control1 q_typed_reliable_context=6.501041 sequence=288.387417
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=106 node=N2340 type=observe q_typed_reliable_context=3.757238 sequence=292.144655
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_reliable_context=6.765359 sequence=298.910014
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=108 node=N7370 type=control1 q_typed_reliable_context=3.449077 sequence=302.359090
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=109 node=N513 type=control1 q_typed_reliable_context=4.406841 sequence=306.765931
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=110 node=N3124 type=control1 q_typed_reliable_context=3.477842 sequence=310.243773
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_reliable_context=4.058358 sequence=314.302131
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=112 node=N1533 type=control1 q_typed_reliable_context=4.771679 sequence=319.073810
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_reliable_context=3.863511 sequence=322.937321
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=114 node=N7872 type=control1 q_typed_reliable_context=3.134644 sequence=326.071964
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=115 node=N7588 type=control1 q_typed_reliable_context=5.210617 sequence=331.282582
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=116 node=N5603 type=observe q_typed_reliable_context=1.661642 sequence=332.944224
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=117 node=N694 type=observe q_typed_reliable_context=4.073103 sequence=337.017326
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=118 node=N7421 type=control1 q_typed_reliable_context=5.613861 sequence=342.631187
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=119 node=N7401 type=observe q_typed_reliable_context=2.973941 sequence=345.605128
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=120 node=N2102 type=observe q_typed_reliable_context=6.986518 sequence=352.591646
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=121 node=N7454 type=observe q_typed_reliable_context=1.890489 sequence=354.482135
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=122 node=N7871 type=control1 q_typed_reliable_context=1.284273 sequence=355.766408
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=123 node=N1411 type=control0 q_typed_reliable_context=3.047504 sequence=358.813912
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=124 node=N3352 type=control1 q_typed_reliable_context=1.496371 sequence=360.310283
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=125 node=N578 type=observe q_typed_reliable_context=1.022943 sequence=361.333226
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=126 node=N6533 type=observe q_typed_reliable_context=1.841352 sequence=363.174578
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=127 node=N706 type=observe q_typed_reliable_context=1.287903 sequence=364.462481
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=128 node=N2106 type=observe q_typed_reliable_context=1.485699 sequence=365.948180
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=129 node=N2580 type=control1 q_typed_reliable_context=1.740063 sequence=367.688243
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=130 node=N7402 type=observe q_typed_reliable_context=1.580602 sequence=369.268845
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=131 node=N771 type=observe q_typed_reliable_context=0.095023 sequence=369.363868
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=132 node=N638 type=control1 q_typed_reliable_context=1.293932 sequence=370.657800
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=133 node=N620 type=control1 q_typed_reliable_context=2.407979 sequence=373.065779
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=134 node=N7847 type=control0 q_typed_reliable_context=5.716584 sequence=378.782363
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=135 node=N3410 type=control1 q_typed_reliable_context=2.635079 sequence=381.417441
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=136 node=N610 type=control1 q_typed_reliable_context=2.152114 sequence=383.569556
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=137 node=N3180 type=control1 q_typed_reliable_context=2.729847 sequence=386.299403
