[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_toplist_sa/epoch_012/a0p10_h1_c2
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 budgets=iscas99__b15_1:278
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [gmean] 2026-07-21T05:10:47 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N576 type=observe q_typed_reliable_context=6.766072 sequence=142.495967
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_reliable_context=3.088683 sequence=145.584649
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_reliable_context=0.806415 sequence=146.391064
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N2044 type=observe q_typed_reliable_context=1.488591 sequence=147.879655
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_reliable_context=6.192824 sequence=154.072480
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_reliable_context=0.851562 sequence=154.924042
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_reliable_context=5.441471 sequence=160.365513
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N3904 type=control0 q_typed_reliable_context=0.828223 sequence=161.193736
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N4656 type=control0 q_typed_reliable_context=4.282349 sequence=165.476085
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N7882 type=control1 q_typed_reliable_context=1.925353 sequence=167.401438
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_reliable_context=2.076570 sequence=169.478008
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_reliable_context=1.286912 sequence=170.764920
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N3897 type=control0 q_typed_reliable_context=0.981212 sequence=171.746132
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_reliable_context=2.102274 sequence=173.848406
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_reliable_context=1.652449 sequence=175.500855
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_reliable_context=1.415350 sequence=176.916205
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_reliable_context=1.933393 sequence=178.849598
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=51 node=N3862 type=control0 q_typed_reliable_context=0.943021 sequence=179.792619
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=52 node=N724 type=observe q_typed_reliable_context=1.836450 sequence=181.629069
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_reliable_context=2.102793 sequence=183.731862
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=54 node=N704 type=observe q_typed_reliable_context=1.516870 sequence=185.248733
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_reliable_context=1.986684 sequence=187.235416
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=56 node=N7887 type=control1 q_typed_reliable_context=0.920056 sequence=188.155472
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.924698 sequence=189.080170
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_reliable_context=1.585328 sequence=190.665498
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_reliable_context=1.010714 sequence=191.676212
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_reliable_context=1.673528 sequence=193.349740
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_reliable_context=1.517826 sequence=194.867566
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=62 node=N3827 type=control0 q_typed_reliable_context=1.093806 sequence=195.961372
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_reliable_context=1.442460 sequence=197.403832
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_reliable_context=1.193875 sequence=198.597706
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=65 node=N3820 type=control0 q_typed_reliable_context=1.108994 sequence=199.706701
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=66 node=N3813 type=control0 q_typed_reliable_context=1.321602 sequence=201.028302
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=67 node=N3799 type=control0 q_typed_reliable_context=1.811266 sequence=202.839569
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=68 node=N3792 type=control0 q_typed_reliable_context=1.287156 sequence=204.126725
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=69 node=N3785 type=control0 q_typed_reliable_context=1.623358 sequence=205.750083
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=70 node=N3889 type=control0 q_typed_reliable_context=1.847952 sequence=207.598035
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=71 node=N3882 type=control0 q_typed_reliable_context=2.030813 sequence=209.628847
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=72 node=N3805 type=control0 q_typed_reliable_context=2.008352 sequence=211.637199
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=73 node=N3742 type=control0 q_typed_reliable_context=1.963525 sequence=213.600724
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=74 node=N4585 type=control0 q_typed_reliable_context=1.991940 sequence=215.592664
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=75 node=N2350 type=control0 q_typed_reliable_context=2.025634 sequence=217.618299
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=76 node=N722 type=observe q_typed_reliable_context=2.534086 sequence=220.152385
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=77 node=N4557 type=control0 q_typed_reliable_context=3.657853 sequence=223.810238
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=78 node=N7854 type=control0 q_typed_reliable_context=3.185699 sequence=226.995937
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=3.979112 sequence=230.975049
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=80 node=N4606 type=control0 q_typed_reliable_context=3.563410 sequence=234.538459
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=81 node=N4564 type=control0 q_typed_reliable_context=2.997072 sequence=237.535531
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=82 node=N1539 type=control0 q_typed_reliable_context=2.787128 sequence=240.322658
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_reliable_context=3.322579 sequence=243.645238
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_reliable_context=3.321292 sequence=246.966530
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_reliable_context=3.429713 sequence=250.396243
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=86 node=N3903 type=control0 q_typed_reliable_context=2.956351 sequence=253.352594
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=87 node=N4520 type=control0 q_typed_reliable_context=3.479638 sequence=256.832231
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=88 node=N2040 type=observe q_typed_reliable_context=3.222678 sequence=260.054910
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=89 node=N3896 type=control0 q_typed_reliable_context=3.961862 sequence=264.016771
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_reliable_context=3.814635 sequence=267.831407
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=91 node=N504 type=control1 q_typed_reliable_context=3.503241 sequence=271.334648
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=92 node=N7725 type=control0 q_typed_reliable_context=3.639241 sequence=274.973889
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_reliable_context=4.326084 sequence=279.299973
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=94 node=N7370 type=control1 q_typed_reliable_context=2.876586 sequence=282.176559
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=95 node=N516 type=control1 q_typed_reliable_context=4.282586 sequence=286.459144
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=96 node=N7890 type=control1 q_typed_reliable_context=1.875470 sequence=288.334614
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=97 node=N3840 type=control0 q_typed_reliable_context=2.458382 sequence=290.792996
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=98 node=N7888 type=control1 q_typed_reliable_context=2.221741 sequence=293.014737
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=99 node=N7846 type=control0 q_typed_reliable_context=3.582778 sequence=296.597515
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=100 node=N7889 type=control1 q_typed_reliable_context=3.611907 sequence=300.209422
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_reliable_context=3.166199 sequence=303.375620
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=102 node=N7847 type=control0 q_typed_reliable_context=5.100700 sequence=308.476320
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_reliable_context=4.418588 sequence=312.894909
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_reliable_context=5.462679 sequence=318.357588
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=105 node=N7820 type=control0 q_typed_reliable_context=3.841524 sequence=322.199112
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=106 node=N7886 type=control1 q_typed_reliable_context=2.847782 sequence=325.046895
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=107 node=N7853 type=control0 q_typed_reliable_context=5.770850 sequence=330.817744
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=108 node=N7543 type=control0 q_typed_reliable_context=4.526356 sequence=335.344101
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=109 node=N3682 type=control0 q_typed_reliable_context=6.453434 sequence=341.797535
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=110 node=N7885 type=control1 q_typed_reliable_context=6.408670 sequence=348.206205
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_reliable_context=3.493756 sequence=351.699961
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=112 node=N513 type=control1 q_typed_reliable_context=3.702972 sequence=355.402933
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=113 node=N7588 type=control1 q_typed_reliable_context=2.496936 sequence=357.899870
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=114 node=N578 type=observe q_typed_reliable_context=1.815012 sequence=359.714881
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=115 node=N556 type=control1 q_typed_reliable_context=1.176881 sequence=360.891763
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=116 node=N2083 type=observe q_typed_reliable_context=1.365566 sequence=362.257328
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=117 node=N510 type=control1 q_typed_reliable_context=2.149127 sequence=364.406455
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=118 node=N7413 type=control1 q_typed_reliable_context=1.067023 sequence=365.473478
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=119 node=N7627 type=observe q_typed_reliable_context=0.726554 sequence=366.200031
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=120 node=N2157 type=observe q_typed_reliable_context=3.247091 sequence=369.447122
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=121 node=N555 type=control1 q_typed_reliable_context=2.324729 sequence=371.771851
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=122 node=N1411 type=control0 q_typed_reliable_context=7.144504 sequence=378.916355
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=123 node=N7402 type=observe q_typed_reliable_context=1.424527 sequence=380.340883
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=124 node=N2102 type=observe q_typed_reliable_context=1.179642 sequence=381.520525
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=125 node=N3410 type=control1 q_typed_reliable_context=1.277983 sequence=382.798508
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=126 node=N7679 type=observe q_typed_reliable_context=0.930798 sequence=383.729306
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=127 node=N634 type=control1 q_typed_reliable_context=1.113968 sequence=384.843273
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=128 node=N638 type=control1 q_typed_reliable_context=1.779301 sequence=386.622574
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=129 node=N620 type=control1 q_typed_reliable_context=2.382990 sequence=389.005564
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=130 node=N610 type=control1 q_typed_reliable_context=1.377130 sequence=390.382694
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=131 node=N5878 type=observe q_typed_reliable_context=1.192696 sequence=391.575390
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=132 node=N7424 type=control1 q_typed_reliable_context=2.409575 sequence=393.984965
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=133 node=N645 type=control1 q_typed_reliable_context=2.152345 sequence=396.137309
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=134 node=N616 type=control1 q_typed_reliable_context=1.503702 sequence=397.641012
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=135 node=N694 type=observe q_typed_reliable_context=2.932550 sequence=400.573562
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=136 node=N636 type=control1 q_typed_reliable_context=1.099542 sequence=401.673103
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=137 node=N3180 type=control1 q_typed_reliable_context=2.468157 sequence=404.141260
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=138 node=N2580 type=control1 q_typed_reliable_context=1.722422 sequence=405.863683
[b15-reliable/prefix_toplist_sa/epoch_012/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=139 node=N6674 type=observe q_typed_reliable_context=0.851034 sequence=406.714717
