[gmean] 2026-07-12T23:41:12 out_dir=autoresearch/exact-itc99-current-best-q-lcb-260712/b22_C
[gmean] 2026-07-12T23:41:12 budgets=iscas99__b22:915
[gmean] 2026-07-12T23:41:12 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-12T23:41:12 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_pred_lcb
[plan iscas99__b22] [plan] step=39 node=N14450 type=observe q_pred_lcb=0.310882 sequence=23.356959
[plan iscas99__b22] [plan] step=40 node=N1993 type=observe q_pred_lcb=0.386353 sequence=23.743312
[plan iscas99__b22] [plan] step=41 node=N14403 type=observe q_pred_lcb=0.323152 sequence=24.066464
[plan iscas99__b22] [plan] step=42 node=N14468 type=observe q_pred_lcb=0.268844 sequence=24.335308
[plan iscas99__b22] [plan] step=43 node=N14444 type=observe q_pred_lcb=0.349618 sequence=24.684927
[plan iscas99__b22] [plan] step=44 node=N14486 type=observe q_pred_lcb=0.379751 sequence=25.064677
[plan iscas99__b22] [plan] step=45 node=N1169 type=observe q_pred_lcb=0.410175 sequence=25.474852
[plan iscas99__b22] [plan] step=46 node=N14438 type=observe q_pred_lcb=0.359667 sequence=25.834519
[plan iscas99__b22] [plan] step=47 node=N14474 type=observe q_pred_lcb=0.402363 sequence=26.236882
[plan iscas99__b22] [plan] step=48 node=N2048 type=observe q_pred_lcb=0.455402 sequence=26.692284
[plan iscas99__b22] [plan] step=49 node=N14432 type=observe q_pred_lcb=0.349472 sequence=27.041756
[plan iscas99__b22] [plan] step=50 node=N2063 type=observe q_pred_lcb=0.364511 sequence=27.406267
[plan iscas99__b22] [plan] step=51 node=N2072 type=observe q_pred_lcb=0.441113 sequence=27.847380
[plan iscas99__b22] [plan] step=52 node=N2057 type=observe q_pred_lcb=0.286862 sequence=28.134242
[plan iscas99__b22] [plan] step=53 node=N2056 type=observe q_pred_lcb=0.202345 sequence=28.336587
[plan iscas99__b22] [plan] step=54 node=N14459 type=observe q_pred_lcb=0.136347 sequence=28.472934
[plan iscas99__b22] [plan] step=55 node=N2070 type=observe q_pred_lcb=0.229406 sequence=28.702340
[plan iscas99__b22] [plan] step=56 node=N2036 type=observe q_pred_lcb=0.185766 sequence=28.888106
[plan iscas99__b22] [plan] step=57 node=N14480 type=observe q_pred_lcb=0.113993 sequence=29.002098
[plan iscas99__b22] [plan] step=58 node=N2034 type=observe q_pred_lcb=0.243184 sequence=29.245283
[plan iscas99__b22] [plan] step=59 node=N2042 type=observe q_pred_lcb=0.178653 sequence=29.423935
[plan iscas99__b22] [plan] step=60 node=N14428 type=observe q_pred_lcb=0.101096 sequence=29.525031
[plan iscas99__b22] [plan] step=61 node=N2066 type=observe q_pred_lcb=0.238550 sequence=29.763581
[plan iscas99__b22] [plan] step=62 node=N2038 type=observe q_pred_lcb=0.160828 sequence=29.924409
[plan iscas99__b22] [plan] step=63 node=N2081 type=observe q_pred_lcb=0.153664 sequence=30.078074
[plan iscas99__b22] [plan] step=64 node=N14462 type=observe q_pred_lcb=0.039379 sequence=30.117452
[plan iscas99__b22] [plan] step=65 node=N2040 type=observe q_pred_lcb=0.206649 sequence=30.324101
[plan iscas99__b22] [plan] step=66 node=N14477 type=observe q_pred_lcb=0.108739 sequence=30.432840
[plan iscas99__b22] [plan] step=67 node=N2076 type=observe q_pred_lcb=0.268408 sequence=30.701248
[plan iscas99__b22] [plan] step=68 node=N2092 type=observe q_pred_lcb=0.271521 sequence=30.972769
[plan iscas99__b22] [plan] step=69 node=N14414 type=observe q_pred_lcb=0.147015 sequence=31.119783
[plan iscas99__b22] [plan] step=70 node=N2067 type=observe q_pred_lcb=0.225461 sequence=31.345245
[plan iscas99__b22] [plan] step=71 node=N2090 type=observe q_pred_lcb=0.099630 sequence=31.444874
[plan iscas99__b22] [plan] step=72 node=N2065 type=observe q_pred_lcb=0.242352 sequence=31.687226
[plan iscas99__b22] [plan] step=73 node=N14483 type=observe q_pred_lcb=0.114662 sequence=31.801887
[plan iscas99__b22] [plan] step=74 node=N2075 type=observe q_pred_lcb=0.242517 sequence=32.044405
[plan iscas99__b22] [plan] step=75 node=N14489 type=observe q_pred_lcb=0.122024 sequence=32.166429
[plan iscas99__b22] [plan] step=76 node=N2069 type=observe q_pred_lcb=0.260904 sequence=32.427334
[plan iscas99__b22] [plan] step=77 node=N2091 type=observe q_pred_lcb=0.111192 sequence=32.538526
[plan iscas99__b22] [plan] step=78 node=N2068 type=observe q_pred_lcb=0.293520 sequence=32.832046
[plan iscas99__b22] [plan] step=79 node=N2100 type=observe q_pred_lcb=0.133883 sequence=32.965928
[plan iscas99__b22] [plan] step=80 node=N2064 type=observe q_pred_lcb=0.306496 sequence=33.272424
[plan iscas99__b22] [plan] step=81 node=N2103 type=observe q_pred_lcb=0.320216 sequence=33.592640
[plan iscas99__b22] [plan] step=82 node=N2062 type=observe q_pred_lcb=0.104239 sequence=33.696879
[plan iscas99__b22] [plan] step=83 node=N3282 type=observe q_pred_lcb=0.002021 sequence=33.698900
[plan iscas99__b22] [plan] step=84 node=N14429 type=observe q_pred_lcb=0.106032 sequence=33.804932
[plan iscas99__b22] [plan] step=85 node=N14465 type=observe q_pred_lcb=0.160730 sequence=33.965662
[plan iscas99__b22] [plan] step=86 node=N14492 type=observe q_pred_lcb=0.205431 sequence=34.171094
[plan iscas99__b22] [plan] step=87 node=N14439 type=observe q_pred_lcb=0.235905 sequence=34.406998
[plan iscas99__b22] [plan] step=88 node=N14434 type=observe q_pred_lcb=0.261009 sequence=34.668007
[plan iscas99__b22] [plan] step=89 node=N14440 type=observe q_pred_lcb=0.282534 sequence=34.950541
[plan iscas99__b22] [plan] step=90 node=N5213 type=observe q_pred_lcb=0.334834 sequence=35.285375
[plan iscas99__b22] [plan] step=91 node=N14445 type=observe q_pred_lcb=0.173526 sequence=35.458901
[plan iscas99__b22] [plan] step=92 node=N14435 type=observe q_pred_lcb=0.238961 sequence=35.697862
[plan iscas99__b22] [plan] step=93 node=N14446 type=observe q_pred_lcb=0.265316 sequence=35.963177
[plan iscas99__b22] [plan] step=94 node=N2101 type=observe q_pred_lcb=0.306542 sequence=36.269719
[plan iscas99__b22] [plan] step=95 node=N2102 type=observe q_pred_lcb=0.186587 sequence=36.456306
[plan iscas99__b22] [plan] step=96 node=N14451 type=observe q_pred_lcb=0.109046 sequence=36.565352
[plan iscas99__b22] [plan] step=97 node=N5215 type=observe q_pred_lcb=0.175419 sequence=36.740771
[plan iscas99__b22] [plan] step=98 node=N5214 type=observe q_pred_lcb=0.092012 sequence=36.832783
[plan iscas99__b22] [plan] step=99 node=N5218 type=observe q_pred_lcb=0.048173 sequence=36.880956
[plan iscas99__b22] [plan] step=100 node=N5216 type=observe q_pred_lcb=-0.019006 sequence=36.861950
[plan iscas99__b22] [plan] step=101 node=N14441 type=observe q_pred_lcb=-0.115475 sequence=36.746475
[plan iscas99__b22] [plan] step=102 node=N5219 type=observe q_pred_lcb=0.021117 sequence=36.767592
[plan iscas99__b22] [plan] step=103 node=N4429 type=observe q_pred_lcb=-0.075690 sequence=36.691903
[plan iscas99__b22] [plan] step=104 node=N2108 type=observe q_pred_lcb=-0.010184 sequence=36.681719
[plan iscas99__b22] [plan] step=105 node=N1199 type=observe q_pred_lcb=-0.097136 sequence=36.584583
[plan iscas99__b22] [plan] step=106 node=N2109 type=observe q_pred_lcb=-0.053973 sequence=36.530610
[plan iscas99__b22] [plan] step=107 node=N14408 type=observe q_pred_lcb=-0.137782 sequence=36.392828
[plan iscas99__b22] [plan] step=108 node=N14416 type=observe q_pred_lcb=-0.082266 sequence=36.310562
[plan iscas99__b22] [plan] step=109 node=N14406 type=observe q_pred_lcb=-0.073875 sequence=36.236686
[plan iscas99__b22] [plan] step=110 node=N14443 type=observe q_pred_lcb=-0.013771 sequence=36.222915
[plan iscas99__b22] [plan] step=111 node=N14448 type=observe q_pred_lcb=0.236793 sequence=36.459709
[plan iscas99__b22] [plan] step=112 node=N14449 type=observe q_pred_lcb=0.255397 sequence=36.715106
[plan iscas99__b22] [plan] step=113 node=N5220 type=observe q_pred_lcb=0.089032 sequence=36.804138
[plan iscas99__b22] [plan] step=114 node=N5242 type=observe q_pred_lcb=0.331021 sequence=37.135159
[plan iscas99__b22] [plan] step=115 node=N5246 type=observe q_pred_lcb=0.276793 sequence=37.411951
[plan iscas99__b22] [plan] step=116 node=N5247 type=observe q_pred_lcb=0.190862 sequence=37.602814
[plan iscas99__b22] [plan] step=117 node=N5248 type=observe q_pred_lcb=0.082443 sequence=37.685257
[plan iscas99__b22] [plan] step=118 node=N5249 type=observe q_pred_lcb=-0.027390 sequence=37.657867
[plan iscas99__b22] [plan] step=119 node=N5250 type=observe q_pred_lcb=-0.112823 sequence=37.545045
[plan iscas99__b22] [plan] step=120 node=N5251 type=observe q_pred_lcb=-0.116760 sequence=37.428285
[plan iscas99__b22] [plan] step=121 node=N5252 type=observe q_pred_lcb=-0.182799 sequence=37.245486
[plan iscas99__b22] [plan] step=122 node=N5254 type=observe q_pred_lcb=-0.180133 sequence=37.065353
[plan iscas99__b22] [plan] step=123 node=N5255 type=observe q_pred_lcb=-0.251064 sequence=36.814289
[plan iscas99__b22] [plan] step=124 node=N5266 type=observe q_pred_lcb=-0.255185 sequence=36.559104
[plan iscas99__b22] [plan] step=125 node=N5267 type=observe q_pred_lcb=-0.351640 sequence=36.207464
[plan iscas99__b22] [plan] step=126 node=N5268 type=observe q_pred_lcb=-0.352200 sequence=35.855264
[plan iscas99__b22] [plan] step=127 node=N5217 type=observe q_pred_lcb=-0.350744 sequence=35.504521
[plan iscas99__b22] [plan] step=128 node=N2077 type=observe q_pred_lcb=-0.365811 sequence=35.138709
[plan iscas99__b22] [plan] step=129 node=N2079 type=observe q_pred_lcb=-0.386082 sequence=34.752628
[plan iscas99__b22] [plan] step=130 node=N2078 type=observe q_pred_lcb=-0.352006 sequence=34.400622
[plan iscas99__b22] [plan] step=131 node=N2071 type=observe q_pred_lcb=-0.318607 sequence=34.082015
[plan iscas99__b22] [plan] step=132 node=N2073 type=observe q_pred_lcb=-0.276034 sequence=33.805981
[plan iscas99__b22] [plan] step=133 node=N2080 type=observe q_pred_lcb=-0.247828 sequence=33.558153
[plan iscas99__b22] [plan] step=134 node=N5272 type=observe q_pred_lcb=-0.441084 sequence=33.117069
[plan iscas99__b22] [plan] step=135 node=N5269 type=observe q_pred_lcb=-0.456151 sequence=32.660918
[plan iscas99__b22] [plan] step=136 node=N5270 type=observe q_pred_lcb=-0.468588 sequence=32.192330
[plan iscas99__b22] [plan] step=137 node=N5275 type=observe q_pred_lcb=-0.473012 sequence=31.719318
[plan iscas99__b22] [plan] step=138 node=N5273 type=observe q_pred_lcb=-0.474270 sequence=31.245047
[plan iscas99__b22] [plan] step=139 node=N5274 type=observe q_pred_lcb=-0.477885 sequence=30.767162
[plan iscas99__b22] [plan] step=140 node=N5271 type=observe q_pred_lcb=-0.478741 sequence=30.288422
[plan iscas99__b22] [plan] step=141 node=N5278 type=observe q_pred_lcb=-0.479111 sequence=29.809310
[plan iscas99__b22] [plan] step=142 node=N5280 type=observe q_pred_lcb=-0.482304 sequence=29.327007
[plan iscas99__b22] [plan] step=143 node=N5279 type=observe q_pred_lcb=-0.546608 sequence=28.780399
[plan iscas99__b22] [plan] step=144 node=N5281 type=observe q_pred_lcb=-0.566294 sequence=28.214105
[plan iscas99__b22] [plan] step=145 node=N5276 type=observe q_pred_lcb=-0.583739 sequence=27.630366
[plan iscas99__b22] [plan] step=146 node=N5277 type=observe q_pred_lcb=-0.596786 sequence=27.033581
[plan iscas99__b22] [plan] step=147 node=N8582 type=observe q_pred_lcb=-0.691783 sequence=26.341798
[plan iscas99__b22] [plan] step=148 node=N14452 type=observe q_pred_lcb=-0.730368 sequence=25.611429
[plan iscas99__b22] [plan] step=149 node=N2074 type=observe q_pred_lcb=-0.763320 sequence=24.848109
[plan iscas99__b22] [plan] step=150 node=N5501 type=observe q_pred_lcb=-0.785673 sequence=24.062436
[plan iscas99__b22] [plan] step=151 node=N2297 type=observe q_pred_lcb=-0.772771 sequence=23.289666
[plan iscas99__b22] [plan] step=152 node=N5221 type=observe q_pred_lcb=-1.010816 sequence=22.278850
[plan iscas99__b22] [plan] step=153 node=N14457 type=observe q_pred_lcb=-0.975273 sequence=21.303577
[plan iscas99__b22] [plan] step=154 node=N3294 type=observe q_pred_lcb=-0.866986 sequence=20.436591
[plan iscas99__b22] [plan] step=155 node=N3320 type=observe q_pred_lcb=-0.839264 sequence=19.597326
[plan iscas99__b22] [plan] step=156 node=N3329 type=observe q_pred_lcb=-0.826748 sequence=18.770578
[plan iscas99__b22] [plan] step=157 node=N3347 type=observe q_pred_lcb=-0.812915 sequence=17.957663
[plan iscas99__b22] [plan] step=158 node=N3365 type=observe q_pred_lcb=-0.712819 sequence=17.244845
[plan iscas99__b22] [plan] step=159 node=N3391 type=observe q_pred_lcb=-0.790608 sequence=16.454237
[plan iscas99__b22] [plan] step=160 node=N3418 type=observe q_pred_lcb=-0.772894 sequence=15.681343
[plan iscas99__b22] [plan] step=161 node=N3427 type=observe q_pred_lcb=-0.765590 sequence=14.915753
[plan iscas99__b22] [plan] step=162 node=N3436 type=observe q_pred_lcb=-0.764842 sequence=14.150911
[plan iscas99__b22] [plan] step=163 node=N3454 type=observe q_pred_lcb=-0.639240 sequence=13.511671
[plan iscas99__b22] [plan] step=164 node=N3481 type=observe q_pred_lcb=-0.751563 sequence=12.760108
[plan iscas99__b22] [plan] step=165 node=N3499 type=observe q_pred_lcb=-0.749667 sequence=12.010440
[plan iscas99__b22] [plan] step=166 node=N3517 type=observe q_pred_lcb=-0.748469 sequence=11.261971
[plan iscas99__b22] [plan] step=167 node=N3535 type=observe q_pred_lcb=-0.750684 sequence=10.511287
[plan iscas99__b22] [plan] step=168 node=N3553 type=observe q_pred_lcb=-0.754886 sequence=9.756402
[plan iscas99__b22] [plan] step=169 node=N3400 type=observe q_pred_lcb=-0.761066 sequence=8.995335
[plan iscas99__b22] [plan] step=170 node=N4430 type=observe q_pred_lcb=-0.863064 sequence=8.132271
[plan iscas99__b22] [plan] step=171 node=N14454 type=observe q_pred_lcb=-0.784895 sequence=7.347377
[plan iscas99__b22] [plan] step=172 node=N14455 type=observe q_pred_lcb=-0.787021 sequence=6.560355
[plan iscas99__b22] [plan] step=173 node=N3508 type=observe q_pred_lcb=-0.797332 sequence=5.763023
[plan iscas99__b22] [plan] step=174 node=N3338 type=observe q_pred_lcb=-0.801629 sequence=4.961394
[plan iscas99__b22] [plan] step=175 node=N3472 type=observe q_pred_lcb=-0.803808 sequence=4.157586
[plan iscas99__b22] [plan] step=176 node=N14437 type=observe q_pred_lcb=-0.908658 sequence=3.248928
[plan iscas99__b22] [plan] step=177 node=N3309 type=observe q_pred_lcb=-0.815376 sequence=2.433552
[plan iscas99__b22] [plan] step=178 node=N3356 type=observe q_pred_lcb=-0.699355 sequence=1.734197
[plan iscas99__b22] [plan] step=179 node=N3374 type=observe q_pred_lcb=-0.695611 sequence=1.038586
[plan iscas99__b22] [plan] step=180 node=N3409 type=observe q_pred_lcb=-0.693174 sequence=0.345412
[plan iscas99__b22] [plan] step=181 node=N3445 type=observe q_pred_lcb=-0.691219 sequence=-0.345808
[plan iscas99__b22] [plan] step=182 node=N3463 type=observe q_pred_lcb=-0.689603 sequence=-1.035411
[plan iscas99__b22] [plan] step=183 node=N3490 type=observe q_pred_lcb=-0.800835 sequence=-1.836245
[plan iscas99__b22] [plan] step=184 node=N3526 type=observe q_pred_lcb=-0.801047 sequence=-2.637293
[plan iscas99__b22] [plan] step=185 node=N3544 type=observe q_pred_lcb=-0.807736 sequence=-3.445028
[plan iscas99__b22] [plan] step=186 node=N14430 type=observe q_pred_lcb=-0.706571 sequence=-4.151599
[plan iscas99__b22] [plan] step=187 node=N1587 type=observe q_pred_lcb=-0.841326 sequence=-4.992925
[plan iscas99__b22] [plan] step=188 node=N14436 type=observe q_pred_lcb=-0.939055 sequence=-5.931981
[plan iscas99__b22] [plan] step=189 node=N14442 type=observe q_pred_lcb=-0.952968 sequence=-6.884949
[plan iscas99__b22] [plan] step=190 node=N2920 type=observe q_pred_lcb=-1.018334 sequence=-7.903283
[plan iscas99__b22] [plan] step=191 node=N14495 type=observe q_pred_lcb=-0.783322 sequence=-8.686605
[plan iscas99__b22] [plan] step=192 node=N3299 type=observe q_pred_lcb=-1.069568 sequence=-9.756173
[plan iscas99__b22] [plan] step=193 node=N15291 type=observe q_pred_lcb=-1.197920 sequence=-10.954093
[plan iscas99__b22] [plan] step=194 node=N5295 type=observe q_pred_lcb=-1.273000 sequence=-12.227093
[plan iscas99__b22] [plan] step=195 node=N14415 type=observe q_pred_lcb=-1.296629 sequence=-13.523722
[plan iscas99__b22] [plan] step=196 node=N14467 type=observe q_pred_lcb=-1.072242 sequence=-14.595963
[plan iscas99__b22] [plan] step=197 node=N14469 type=observe q_pred_lcb=-1.008406 sequence=-15.604369
[plan iscas99__b22] [plan] step=198 node=N14470 type=observe q_pred_lcb=-0.977357 sequence=-16.581726
[plan iscas99__b22] [plan] step=199 node=N14473 type=observe q_pred_lcb=-0.958891 sequence=-17.540617
[plan iscas99__b22] [plan] step=200 node=N14475 type=observe q_pred_lcb=-0.947057 sequence=-18.487674
[plan iscas99__b22] [plan] step=201 node=N14476 type=observe q_pred_lcb=-0.935972 sequence=-19.423645
[plan iscas99__b22] [plan] step=202 node=N14478 type=observe q_pred_lcb=-0.931883 sequence=-20.355528
[plan iscas99__b22] [plan] step=203 node=N14479 type=observe q_pred_lcb=-0.930724 sequence=-21.286252
[plan iscas99__b22] [plan] step=204 node=N14481 type=observe q_pred_lcb=-0.929359 sequence=-22.215611
[plan iscas99__b22] [plan] step=205 node=N14482 type=observe q_pred_lcb=-0.930346 sequence=-23.145957
[plan iscas99__b22] [plan] step=206 node=N14484 type=observe q_pred_lcb=-0.930717 sequence=-24.076675
[plan iscas99__b22] [plan] step=207 node=N14472 type=observe q_pred_lcb=-0.932719 sequence=-25.009393
[plan iscas99__b22] [plan] step=208 node=N3382 type=observe q_pred_lcb=-0.942037 sequence=-25.951430
[plan iscas99__b22] [plan] step=209 node=N2104 type=observe q_pred_lcb=-1.151278 sequence=-27.102709
[plan iscas99__b22] [plan] step=210 node=N26331 type=observe q_pred_lcb=-1.227198 sequence=-28.329907
[plan iscas99__b22] [plan] step=211 node=N14409 type=observe q_pred_lcb=-1.272109 sequence=-29.602016
[plan iscas99__b22] [plan] step=212 node=N3920 type=observe q_pred_lcb=-1.056933 sequence=-30.658949
[plan iscas99__b22] [plan] step=213 node=N14433 type=observe q_pred_lcb=-0.880151 sequence=-31.539100
[plan iscas99__b22] [plan] step=214 node=N1179 type=observe q_pred_lcb=-0.625126 sequence=-32.164226
[plan iscas99__b22] [plan] step=215 node=N1294 type=observe q_pred_lcb=-1.033442 sequence=-33.197668
[plan iscas99__b22] [plan] step=216 node=N1295 type=observe q_pred_lcb=-1.136284 sequence=-34.333952
[plan iscas99__b22] [plan] step=217 node=N1296 type=observe q_pred_lcb=-1.203331 sequence=-35.537284
[plan iscas99__b22] [plan] step=218 node=N1297 type=observe q_pred_lcb=-1.253444 sequence=-36.790728
[plan iscas99__b22] [plan] step=219 node=N1298 type=observe q_pred_lcb=-1.292927 sequence=-38.083655
[plan iscas99__b22] [plan] step=220 node=N1299 type=observe q_pred_lcb=-1.324167 sequence=-39.407823
[plan iscas99__b22] [plan] step=221 node=N1300 type=observe q_pred_lcb=-1.349132 sequence=-40.756954
[plan iscas99__b22] [plan] step=222 node=N14402 type=observe q_pred_lcb=-1.364187 sequence=-42.121141
[plan iscas99__b22] [plan] step=223 node=N1302 type=observe q_pred_lcb=-1.343885 sequence=-43.465026
[plan iscas99__b22] [plan] step=224 node=N1303 type=observe q_pred_lcb=-0.885163 sequence=-44.350189
[plan iscas99__b22] [plan] step=225 node=N14400 type=observe q_pred_lcb=-1.184656 sequence=-45.534845
[plan iscas99__b22] [plan] step=226 node=N14404 type=observe q_pred_lcb=-1.259928 sequence=-46.794773
[plan iscas99__b22] [plan] step=227 node=N14431 type=observe q_pred_lcb=-1.187777 sequence=-47.982551
[plan iscas99__b22] [plan] step=228 node=N14411 type=observe q_pred_lcb=-1.256713 sequence=-49.239264
[plan iscas99__b22] [plan] step=229 node=N1188 type=observe q_pred_lcb=-1.230862 sequence=-50.470126
[plan iscas99__b22] [plan] step=230 node=N5291 type=observe q_pred_lcb=-1.331706 sequence=-51.801831
[plan iscas99__b22] [plan] step=231 node=N5294 type=observe q_pred_lcb=-1.351539 sequence=-53.153370
[plan iscas99__b22] [plan] step=232 node=N2094 type=observe q_pred_lcb=-1.373159 sequence=-54.526529
[plan iscas99__b22] [plan] step=233 node=N8325 type=observe q_pred_lcb=-0.712052 sequence=-55.238581
[plan iscas99__b22] [plan] step=234 node=N2095 type=observe q_pred_lcb=-1.185903 sequence=-56.424484
[plan iscas99__b22] [plan] step=235 node=N8324 type=observe q_pred_lcb=-1.258886 sequence=-57.683371
[plan iscas99__b22] [plan] step=236 node=N8328 type=observe q_pred_lcb=-1.234389 sequence=-58.917760
[plan iscas99__b22] [plan] step=237 node=N8329 type=observe q_pred_lcb=-0.751793 sequence=-59.669553
[plan iscas99__b22] [plan] step=238 node=N8330 type=observe q_pred_lcb=-0.710624 sequence=-60.380177
[plan iscas99__b22] [plan] step=239 node=N8331 type=observe q_pred_lcb=-0.793716 sequence=-61.173893
[plan iscas99__b22] [plan] step=240 node=N4479 type=observe q_pred_lcb=-1.129909 sequence=-62.303803
[plan iscas99__b22] [plan] step=241 node=N5298 type=observe q_pred_lcb=-1.190603 sequence=-63.494406
[plan iscas99__b22] [plan] step=242 node=N8333 type=observe q_pred_lcb=-0.911988 sequence=-64.406394
[plan iscas99__b22] [plan] step=243 node=N5302 type=observe q_pred_lcb=-1.221284 sequence=-65.627678
[plan iscas99__b22] [plan] step=244 node=N8335 type=observe q_pred_lcb=-0.954674 sequence=-66.582352
[plan iscas99__b22] [plan] step=245 node=N8380 type=observe q_pred_lcb=-0.986439 sequence=-67.568791
[plan iscas99__b22] [plan] step=246 node=N8381 type=observe q_pred_lcb=-0.991828 sequence=-68.560619
[plan iscas99__b22] [plan] step=247 node=N8382 type=observe q_pred_lcb=-0.985587 sequence=-69.546206
[plan iscas99__b22] [plan] step=248 node=N8383 type=observe q_pred_lcb=-0.889715 sequence=-70.435920
[plan iscas99__b22] [plan] step=249 node=N8384 type=observe q_pred_lcb=-0.944269 sequence=-71.380190
[plan iscas99__b22] [plan] step=250 node=N8385 type=observe q_pred_lcb=-0.972711 sequence=-72.352901
[plan iscas99__b22] [plan] step=251 node=N8386 type=observe q_pred_lcb=-0.987267 sequence=-73.340168
[plan iscas99__b22] [plan] step=252 node=N8387 type=observe q_pred_lcb=-0.997871 sequence=-74.338040
[plan iscas99__b22] [plan] step=253 node=N8388 type=observe q_pred_lcb=-1.054825 sequence=-75.392865
