[b15-r8/moe_joint_within/epoch_010/a0.20] [gmean] 2026-07-21T15:25:52 out_dir=autoresearch/loop-260720-0945/model_training_round8/b15_selection/moe_joint_within/epoch_010/q_typed_reliable_context/alpha_0p20_weight_0p75
[b15-r8/moe_joint_within/epoch_010/a0.20] [gmean] 2026-07-21T15:25:52 budgets=iscas99__b15_1:278
[b15-r8/moe_joint_within/epoch_010/a0.20] [gmean] 2026-07-21T15:25:52 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r8/moe_joint_within/epoch_010/a0.20] [gmean] 2026-07-21T15:25:52 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.174490
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.173048
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.329744
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.029498
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.312233 sequence=41.341730
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866399 sequence=44.208129
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.518425 sequence=46.726555
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.809229 sequence=48.535784
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.524598 sequence=50.060382
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330602 sequence=51.390984
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.733745 sequence=52.124730
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.961867
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.898030
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.825368 sequence=54.723398
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.296575 sequence=58.019973
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.674631
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=59.033080
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=61.098191
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006402 sequence=64.104594
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.822328
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=38 node=N4635 type=control0 q_typed_reliable_context=1.562555 sequence=67.384884
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=39 node=N6537 type=observe q_typed_reliable_context=2.624901 sequence=70.009785
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=40 node=N704 type=observe q_typed_reliable_context=2.048143 sequence=72.057928
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=41 node=N8470 type=observe q_typed_reliable_context=2.030129 sequence=74.088057
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=42 node=N4691 type=control0 q_typed_reliable_context=1.697319 sequence=75.785377
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=43 node=N4670 type=control0 q_typed_reliable_context=1.719811 sequence=77.505188
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=1.335591 sequence=78.840779
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=45 node=N7881 type=control1 q_typed_reliable_context=0.658028 sequence=79.498807
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=46 node=N7882 type=control1 q_typed_reliable_context=0.741907 sequence=80.240714
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=47 node=N7883 type=control1 q_typed_reliable_context=0.745991 sequence=80.986705
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=48 node=N7884 type=control1 q_typed_reliable_context=0.782185 sequence=81.768890
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_reliable_context=1.792501 sequence=83.561390
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.633302 sequence=85.194693
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.941195 sequence=86.135888
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.946891 sequence=87.082779
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.998028 sequence=88.080808
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.945372 sequence=89.026179
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_reliable_context=0.978540 sequence=90.004719
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.994038 sequence=90.998756
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.965153 sequence=91.963910
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=58 node=N3827 type=control0 q_typed_reliable_context=0.913439 sequence=92.877349
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=59 node=N3820 type=control0 q_typed_reliable_context=0.903333 sequence=93.780682
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=60 node=N3813 type=control0 q_typed_reliable_context=0.957667 sequence=94.738348
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=61 node=N3799 type=control0 q_typed_reliable_context=1.299227 sequence=96.037575
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.273791 sequence=97.311366
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=1.132601 sequence=98.443967
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=64 node=N5603 type=control0 q_typed_reliable_context=1.097614 sequence=99.541581
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=65 node=N7506 type=observe q_typed_reliable_context=1.884415 sequence=101.425996
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=66 node=N3805 type=control0 q_typed_reliable_context=0.925093 sequence=102.351089
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=67 node=N2083 type=observe q_typed_reliable_context=0.924276 sequence=103.275364
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=68 node=N4606 type=control0 q_typed_reliable_context=0.969964 sequence=104.245328
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=69 node=N4716 type=control0 q_typed_reliable_context=1.134693 sequence=105.380021
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=70 node=N2044 type=observe q_typed_reliable_context=1.077261 sequence=106.457282
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=71 node=N519 type=control1 q_typed_reliable_context=0.927489 sequence=107.384772
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=72 node=N2042 type=observe q_typed_reliable_context=0.947652 sequence=108.332424
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=73 node=N504 type=control1 q_typed_reliable_context=1.133271 sequence=109.465695
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=74 node=N7722 type=control0 q_typed_reliable_context=1.812909 sequence=111.278604
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=75 node=N4578 type=control0 q_typed_reliable_context=1.242353 sequence=112.520957
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=76 node=N899 type=observe q_typed_reliable_context=1.805075 sequence=114.326032
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=77 node=N513 type=control1 q_typed_reliable_context=1.309619 sequence=115.635651
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=78 node=N1539 type=control0 q_typed_reliable_context=1.255500 sequence=116.891151
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=79 node=N516 type=control1 q_typed_reliable_context=1.764366 sequence=118.655518
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=80 node=N7724 type=control0 q_typed_reliable_context=1.083153 sequence=119.738671
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=81 node=N7471 type=control0 q_typed_reliable_context=1.151657 sequence=120.890328
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=82 node=N520 type=control1 q_typed_reliable_context=1.737711 sequence=122.628039
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=83 node=N5234 type=observe q_typed_reliable_context=1.064887 sequence=123.692926
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=84 node=N7875 type=control1 q_typed_reliable_context=0.958544 sequence=124.651470
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=85 node=N4520 type=control0 q_typed_reliable_context=0.775034 sequence=125.426504
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=86 node=N7820 type=control0 q_typed_reliable_context=1.234823 sequence=126.661327
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=87 node=N555 type=control1 q_typed_reliable_context=1.583228 sequence=128.244555
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=88 node=N7885 type=control1 q_typed_reliable_context=1.579670 sequence=129.824225
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=89 node=N7886 type=control1 q_typed_reliable_context=2.093165 sequence=131.917391
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=90 node=N7887 type=control1 q_typed_reliable_context=1.757867 sequence=133.675258
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=91 node=N7888 type=control1 q_typed_reliable_context=2.706808 sequence=136.382066
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=92 node=N7889 type=control1 q_typed_reliable_context=1.040689 sequence=137.422755
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=93 node=N7890 type=control1 q_typed_reliable_context=1.057556 sequence=138.480311
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=94 node=N7891 type=control1 q_typed_reliable_context=1.195781 sequence=139.676091
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=95 node=N7723 type=control0 q_typed_reliable_context=1.135109 sequence=140.811201
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=96 node=N507 type=control1 q_typed_reliable_context=0.877255 sequence=141.688456
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=97 node=N713 type=observe q_typed_reliable_context=3.457895 sequence=145.146352
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=98 node=N3701 type=control0 q_typed_reliable_context=1.770609 sequence=146.916961
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=99 node=N7541 type=control0 q_typed_reliable_context=2.672594 sequence=149.589555
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=100 node=N3792 type=control0 q_typed_reliable_context=2.105735 sequence=151.695290
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_reliable_context=2.042240 sequence=153.737530
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=102 node=N3785 type=control0 q_typed_reliable_context=1.394175 sequence=155.131705
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=103 node=N7725 type=control0 q_typed_reliable_context=1.474455 sequence=156.606160
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=104 node=N510 type=control1 q_typed_reliable_context=1.636023 sequence=158.242183
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=105 node=N7846 type=control0 q_typed_reliable_context=1.169847 sequence=159.412030
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=106 node=N556 type=control1 q_typed_reliable_context=1.862655 sequence=161.274685
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.315781 sequence=162.590465
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=108 node=N3682 type=control0 q_typed_reliable_context=2.399336 sequence=164.989802
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=2.421793 sequence=167.411595
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=110 node=N4557 type=control0 q_typed_reliable_context=2.118423 sequence=169.530018
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_reliable_context=1.760870 sequence=171.290888
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=112 node=N4585 type=control0 q_typed_reliable_context=2.021824 sequence=173.312711
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_reliable_context=1.742605 sequence=175.055317
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=3.909202 sequence=178.964519
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=2.074786 sequence=181.039305
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=116 node=N638 type=control1 q_typed_reliable_context=2.202390 sequence=183.241694
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=117 node=N3903 type=control0 q_typed_reliable_context=4.809808 sequence=188.051502
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=118 node=N3896 type=control0 q_typed_reliable_context=3.475977 sequence=191.527479
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=119 node=N7852 type=control0 q_typed_reliable_context=4.056504 sequence=195.583983
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=120 node=N7370 type=control1 q_typed_reliable_context=1.341158 sequence=196.925141
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=121 node=N7872 type=control1 q_typed_reliable_context=3.935012 sequence=200.860153
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=122 node=N2580 type=control1 q_typed_reliable_context=2.372232 sequence=203.232385
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=123 node=N7853 type=control0 q_typed_reliable_context=2.359332 sequence=205.591717
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=124 node=N7847 type=control0 q_typed_reliable_context=1.650653 sequence=207.242370
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.708034 sequence=208.950404
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=126 node=N616 type=control1 q_typed_reliable_context=2.479206 sequence=211.429610
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=127 node=N636 type=control1 q_typed_reliable_context=4.127160 sequence=215.556769
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=128 node=N7518 type=observe q_typed_reliable_context=3.184599 sequence=218.741369
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=129 node=N2040 type=observe q_typed_reliable_context=1.697224 sequence=220.438593
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=130 node=N7537 type=observe q_typed_reliable_context=1.915635 sequence=222.354227
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=131 node=N7535 type=observe q_typed_reliable_context=1.904689 sequence=224.258917
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=132 node=N7534 type=observe q_typed_reliable_context=1.820560 sequence=226.079477
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=133 node=N7532 type=observe q_typed_reliable_context=1.673819 sequence=227.753296
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=134 node=N3410 type=control1 q_typed_reliable_context=1.880392 sequence=229.633688
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=1.892919 sequence=231.526608
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=136 node=N7424 type=control1 q_typed_reliable_context=1.438699 sequence=232.965306
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=137 node=N1552 type=observe q_typed_reliable_context=0.791479 sequence=233.756786
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=138 node=N630 type=control1 q_typed_reliable_context=2.536834 sequence=236.293620
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=139 node=N642 type=control1 q_typed_reliable_context=4.891635 sequence=241.185255
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=140 node=N649 type=control1 q_typed_reliable_context=4.266843 sequence=245.452098
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=141 node=N3180 type=control1 q_typed_reliable_context=2.360735 sequence=247.812834
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=142 node=N5867 type=observe q_typed_reliable_context=1.829006 sequence=249.641839
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=143 node=N2157 type=observe q_typed_reliable_context=3.857587 sequence=253.499426
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=144 node=N3295 type=control1 q_typed_reliable_context=2.649629 sequence=256.149055
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=145 node=N3525 type=control1 q_typed_reliable_context=3.379072 sequence=259.528127
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=146 node=N3467 type=control1 q_typed_reliable_context=2.922457 sequence=262.450584
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=147 node=N7454 type=observe q_typed_reliable_context=2.963961 sequence=265.414545
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=148 node=N1586 type=control1 q_typed_reliable_context=2.677602 sequence=268.092147
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=149 node=N1607 type=control1 q_typed_reliable_context=2.221734 sequence=270.313881
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=150 node=N647 type=control1 q_typed_reliable_context=5.486272 sequence=275.800153
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=151 node=N2102 type=observe q_typed_reliable_context=4.076571 sequence=279.876725
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=152 node=N7402 type=observe q_typed_reliable_context=3.774618 sequence=283.651343
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=153 node=N7482 type=observe q_typed_reliable_context=4.231843 sequence=287.883186
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=154 node=N694 type=observe q_typed_reliable_context=3.996490 sequence=291.879676
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=155 node=N2652 type=control1 q_typed_reliable_context=3.664722 sequence=295.544398
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=156 node=N2721 type=control1 q_typed_reliable_context=3.355421 sequence=298.899819
[b15-r8/moe_joint_within/epoch_010/a0.20] [plan iscas99__b15_1] [plan] step=157 node=N7442 type=control0 q_typed_reliable_context=3.975988 sequence=302.875807
