[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_rank/alpha_0p20
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 budgets=iscas99__b15_1:278
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_rank/alpha_0p20] [gmean] 2026-07-20T19:00:33 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_residual_context=1.306618 sequence=184.345023
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_residual_context=1.382830 sequence=185.727853
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_residual_context=1.462459 sequence=187.190313
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=62 node=N3862 type=control0 q_typed_residual_context=1.604482 sequence=188.794794
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=63 node=N3848 type=control0 q_typed_residual_context=1.611415 sequence=190.406209
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=64 node=N3827 type=control0 q_typed_residual_context=1.555423 sequence=191.961632
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=65 node=N3820 type=control0 q_typed_residual_context=1.599496 sequence=193.561128
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_residual_context=1.774991 sequence=195.336119
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=67 node=N4716 type=control0 q_typed_residual_context=2.011092 sequence=197.347211
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=68 node=N3813 type=control0 q_typed_residual_context=2.145836 sequence=199.493046
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=69 node=N4712 type=control0 q_typed_residual_context=2.828994 sequence=202.322040
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=70 node=N3792 type=control0 q_typed_residual_context=2.417753 sequence=204.739793
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=71 node=N4585 type=control0 q_typed_residual_context=2.301984 sequence=207.041778
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=72 node=N4557 type=control0 q_typed_residual_context=2.289549 sequence=209.331327
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=73 node=N4606 type=control0 q_typed_residual_context=2.266651 sequence=211.597978
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=74 node=N1539 type=control0 q_typed_residual_context=1.997829 sequence=213.595807
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.637167 sequence=216.232974
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=76 node=N7724 type=control0 q_typed_residual_context=2.343888 sequence=218.576862
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=77 node=N4578 type=control0 q_typed_residual_context=1.929556 sequence=220.506418
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=78 node=N4705 type=control0 q_typed_residual_context=2.048859 sequence=222.555277
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=79 node=N722 type=observe q_typed_residual_context=2.387822 sequence=224.943098
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=80 node=N4691 type=control0 q_typed_residual_context=3.561859 sequence=228.504958
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=81 node=N4564 type=control0 q_typed_residual_context=4.089379 sequence=232.594336
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=82 node=N7722 type=control0 q_typed_residual_context=3.959559 sequence=236.553895
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=83 node=N3840 type=control0 q_typed_residual_context=3.656036 sequence=240.209931
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=84 node=N4520 type=control0 q_typed_residual_context=3.889304 sequence=244.099235
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=4.038312 sequence=248.137547
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=86 node=N7723 type=control0 q_typed_residual_context=4.494445 sequence=252.631993
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=87 node=N7725 type=control0 q_typed_residual_context=3.340454 sequence=255.972447
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=88 node=N513 type=control1 q_typed_residual_context=2.564023 sequence=258.536469
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=89 node=N504 type=control1 q_typed_residual_context=2.536534 sequence=261.073004
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=90 node=N7370 type=control1 q_typed_residual_context=2.031680 sequence=263.104683
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=91 node=N2083 type=observe q_typed_residual_context=2.199157 sequence=265.303841
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=92 node=N520 type=control1 q_typed_residual_context=4.318580 sequence=269.622421
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=93 node=N3682 type=control0 q_typed_residual_context=3.225050 sequence=272.847471
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=94 node=N3904 type=control0 q_typed_residual_context=2.694448 sequence=275.541919
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=95 node=N7887 type=control1 q_typed_residual_context=1.707950 sequence=277.249869
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=96 node=N7888 type=control1 q_typed_residual_context=2.672159 sequence=279.922028
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=97 node=N7889 type=control1 q_typed_residual_context=2.547178 sequence=282.469206
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=98 node=N7846 type=control0 q_typed_residual_context=4.708290 sequence=287.177496
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_residual_context=3.097331 sequence=290.274827
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_residual_context=3.486489 sequence=293.761316
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=101 node=N7847 type=control0 q_typed_residual_context=4.584694 sequence=298.346010
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=102 node=N7852 type=control0 q_typed_residual_context=3.118477 sequence=301.464486
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=103 node=N7820 type=control0 q_typed_residual_context=1.911287 sequence=303.375773
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=104 node=N3897 type=control0 q_typed_residual_context=2.310139 sequence=305.685912
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=105 node=N7853 type=control0 q_typed_residual_context=3.819330 sequence=309.505242
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=106 node=N7721 type=control0 q_typed_residual_context=6.255057 sequence=315.760299
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=107 node=N8003 type=control0 q_typed_residual_context=3.496927 sequence=319.257226
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=108 node=N7890 type=control1 q_typed_residual_context=3.573196 sequence=322.830422
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=109 node=N7885 type=control1 q_typed_residual_context=3.375887 sequence=326.206309
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=110 node=N7884 type=control1 q_typed_residual_context=3.642918 sequence=329.849228
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=111 node=N3785 type=control0 q_typed_residual_context=5.904454 sequence=335.753682
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=112 node=N578 type=observe q_typed_residual_context=5.360046 sequence=341.113728
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=113 node=N7590 type=control1 q_typed_residual_context=2.477905 sequence=343.591633
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=114 node=N516 type=control1 q_typed_residual_context=2.181182 sequence=345.772815
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=115 node=N555 type=control1 q_typed_residual_context=6.127402 sequence=351.900216
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=116 node=N614 type=control1 q_typed_residual_context=3.419246 sequence=355.319462
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=117 node=N634 type=control1 q_typed_residual_context=6.577424 sequence=361.896886
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=118 node=N3180 type=control1 q_typed_residual_context=4.672688 sequence=366.569574
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=119 node=N2580 type=control1 q_typed_residual_context=6.737976 sequence=373.307550
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=120 node=N7421 type=control1 q_typed_residual_context=6.816469 sequence=380.124018
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=121 node=N510 type=control1 q_typed_residual_context=2.898419 sequence=383.022437
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=122 node=N610 type=control1 q_typed_residual_context=3.208293 sequence=386.230730
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=123 node=N620 type=control1 q_typed_residual_context=3.391914 sequence=389.622644
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=124 node=N5603 type=observe q_typed_residual_context=2.122280 sequence=391.744925
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=125 node=N694 type=observe q_typed_residual_context=4.854026 sequence=396.598951
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=126 node=N556 type=control1 q_typed_residual_context=3.454427 sequence=400.053378
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=127 node=N7401 type=observe q_typed_residual_context=3.071362 sequence=403.124740
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=128 node=N638 type=control1 q_typed_residual_context=2.267698 sequence=405.392437
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=129 node=N7413 type=control1 q_typed_residual_context=1.479902 sequence=406.872340
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=130 node=N2102 type=observe q_typed_residual_context=1.511959 sequence=408.384299
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=131 node=N5876 type=observe q_typed_residual_context=2.707852 sequence=411.092151
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=132 node=N7679 type=observe q_typed_residual_context=1.422581 sequence=412.514731
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=133 node=N7424 type=control1 q_typed_residual_context=2.409251 sequence=414.923983
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=134 node=N1411 type=control0 q_typed_residual_context=2.026466 sequence=416.950449
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=135 node=N3410 type=control1 q_typed_residual_context=2.817901 sequence=419.768350
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=136 node=N7614 type=observe q_typed_residual_context=1.735639 sequence=421.503989
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=137 node=N2157 type=observe q_typed_residual_context=4.013160 sequence=425.517150
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=138 node=N645 type=control1 q_typed_residual_context=2.912113 sequence=428.429262
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=139 node=N616 type=control1 q_typed_residual_context=4.057507 sequence=432.486769
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=140 node=N636 type=control1 q_typed_residual_context=3.560924 sequence=436.047693
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=141 node=N7543 type=control0 q_typed_residual_context=2.890710 sequence=438.938404
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=142 node=N3295 type=control1 q_typed_residual_context=1.373234 sequence=440.311638
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=143 node=N2106 type=observe q_typed_residual_context=1.001367 sequence=441.313004
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=144 node=N3467 type=control1 q_typed_residual_context=1.291501 sequence=442.604505
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=145 node=N771 type=observe q_typed_residual_context=1.385008 sequence=443.989513
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=146 node=N3237 type=control1 q_typed_residual_context=0.776353 sequence=444.765867
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=147 node=N7870 type=control1 q_typed_residual_context=1.883702 sequence=446.649568
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=148 node=N6534 type=observe q_typed_residual_context=1.628760 sequence=448.278328
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=149 node=N7385 type=observe q_typed_residual_context=1.757904 sequence=450.036232
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=150 node=N712 type=observe q_typed_residual_context=1.830096 sequence=451.866328
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=151 node=N7454 type=observe q_typed_residual_context=0.508218 sequence=452.374546
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=152 node=N7588 type=control1 q_typed_residual_context=1.449560 sequence=453.824106
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=153 node=N5356 type=observe q_typed_residual_context=0.801500 sequence=454.625607
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=154 node=N6533 type=observe q_typed_residual_context=0.903420 sequence=455.529027
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_residual_context=1.731287 sequence=457.260313
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=156 node=N1607 type=control1 q_typed_residual_context=1.613396 sequence=458.873710
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_residual_context=2.301679 sequence=461.175389
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=158 node=N1586 type=control1 q_typed_residual_context=1.484824 sequence=462.660213
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=159 node=N7402 type=observe q_typed_residual_context=1.294003 sequence=463.954216
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=160 node=N723 type=observe q_typed_residual_context=1.951018 sequence=465.905234
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=161 node=N714 type=observe q_typed_residual_context=7.355674 sequence=473.260908
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=162 node=N642 type=control1 q_typed_residual_context=1.153484 sequence=474.414392
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=163 node=N5740 type=observe q_typed_residual_context=0.802384 sequence=475.216776
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=164 node=N715 type=observe q_typed_residual_context=1.017342 sequence=476.234118
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=165 node=N7627 type=observe q_typed_residual_context=0.942226 sequence=477.176344
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=166 node=N649 type=control1 q_typed_residual_context=2.622602 sequence=479.798946
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=167 node=N630 type=control1 q_typed_residual_context=2.172915 sequence=481.971861
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=168 node=N3525 type=control1 q_typed_residual_context=1.468937 sequence=483.440798
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=169 node=N2721 type=control1 q_typed_residual_context=1.248725 sequence=484.689523
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=170 node=N7436 type=observe q_typed_residual_context=2.005010 sequence=486.694534
[b15-round2/typed_rank/alpha_0p20] [plan iscas99__b15_1] [plan] step=171 node=N2952 type=control1 q_typed_residual_context=1.573462 sequence=488.267996
