[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 budgets=iscas99__b15_1:278
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=51 node=N4585 type=control0 q_typed_residual_context=1.072421 sequence=137.787463
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.903512 sequence=139.690975
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=53 node=N4670 type=control0 q_typed_residual_context=1.905502 sequence=141.596477
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=54 node=N4684 type=control0 q_typed_residual_context=1.577818 sequence=143.174296
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=1.566876 sequence=144.741172
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=56 node=N3889 type=control0 q_typed_residual_context=1.186275 sequence=145.927447
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.549514 sequence=147.476961
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.186694 sequence=148.663655
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_residual_context=1.381636 sequence=150.045290
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=60 node=N3805 type=control0 q_typed_residual_context=1.245341 sequence=151.290631
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=61 node=N4705 type=control0 q_typed_residual_context=1.401187 sequence=152.691817
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.235006 sequence=153.926824
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=63 node=N4578 type=control0 q_typed_residual_context=1.075233 sequence=155.002057
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.103495 sequence=156.105551
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=65 node=N7471 type=control0 q_typed_residual_context=1.046007 sequence=157.151558
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=66 node=N4564 type=control0 q_typed_residual_context=1.171537 sequence=158.323096
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=67 node=N3911 type=control0 q_typed_residual_context=1.141101 sequence=159.464197
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=68 node=N3862 type=control0 q_typed_residual_context=1.461288 sequence=160.925484
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=69 node=N3855 type=control0 q_typed_residual_context=1.474926 sequence=162.400411
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=70 node=N3848 type=control0 q_typed_residual_context=1.573850 sequence=163.974261
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=71 node=N4606 type=control0 q_typed_residual_context=1.632329 sequence=165.606590
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=72 node=N3701 type=control0 q_typed_residual_context=1.658475 sequence=167.265065
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=73 node=N3722 type=control0 q_typed_residual_context=1.554389 sequence=168.819454
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=74 node=N1539 type=control0 q_typed_residual_context=1.226043 sequence=170.045497
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=75 node=N3904 type=control0 q_typed_residual_context=1.393298 sequence=171.438795
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=76 node=N7724 type=control0 q_typed_residual_context=1.179889 sequence=172.618684
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=77 node=N7722 type=control0 q_typed_residual_context=1.272429 sequence=173.891113
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=78 node=N3897 type=control0 q_typed_residual_context=1.456760 sequence=175.347874
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=79 node=N722 type=observe q_typed_residual_context=2.109936 sequence=177.457810
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=80 node=N3841 type=control0 q_typed_residual_context=2.152036 sequence=179.609846
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=81 node=N3827 type=control0 q_typed_residual_context=1.911601 sequence=181.521447
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=82 node=N1411 type=control0 q_typed_residual_context=1.541471 sequence=183.062918
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=83 node=N519 type=control1 q_typed_residual_context=1.738437 sequence=184.801355
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=84 node=N7820 type=control0 q_typed_residual_context=1.431069 sequence=186.232424
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=85 node=N3820 type=control0 q_typed_residual_context=1.501486 sequence=187.733911
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=86 node=N7725 type=control0 q_typed_residual_context=2.163442 sequence=189.897353
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=87 node=N7723 type=control0 q_typed_residual_context=1.494920 sequence=191.392273
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=88 node=N504 type=control1 q_typed_residual_context=1.342741 sequence=192.735014
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=1.795734 sequence=194.530748
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=90 node=N7732 type=control0 q_typed_residual_context=1.612923 sequence=196.143671
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=91 node=N3813 type=control0 q_typed_residual_context=1.341394 sequence=197.485065
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=92 node=N7888 type=control1 q_typed_residual_context=0.932254 sequence=198.417319
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=93 node=N7889 type=control1 q_typed_residual_context=1.698452 sequence=200.115771
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=94 node=N7846 type=control0 q_typed_residual_context=2.634245 sequence=202.750016
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=95 node=N7408 type=control0 q_typed_residual_context=1.437046 sequence=204.187062
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=96 node=N7541 type=control0 q_typed_residual_context=1.530556 sequence=205.717619
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=97 node=N516 type=control1 q_typed_residual_context=2.486710 sequence=208.204329
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=98 node=N7411 type=control1 q_typed_residual_context=1.831535 sequence=210.035864
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=99 node=N3799 type=control0 q_typed_residual_context=3.495282 sequence=213.531146
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=100 node=N3792 type=control0 q_typed_residual_context=2.788929 sequence=216.320075
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=101 node=N3785 type=control0 q_typed_residual_context=3.204422 sequence=219.524496
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=102 node=N4520 type=control0 q_typed_residual_context=3.270356 sequence=222.794852
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=103 node=N7884 type=control1 q_typed_residual_context=3.510421 sequence=226.305273
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=104 node=N3682 type=control0 q_typed_residual_context=4.051893 sequence=230.357166
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=105 node=N7890 type=control1 q_typed_residual_context=3.081484 sequence=233.438650
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=106 node=N7370 type=control1 q_typed_residual_context=3.726299 sequence=237.164949
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_residual_context=4.525417 sequence=241.690366
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=108 node=N555 type=control1 q_typed_residual_context=4.768638 sequence=246.459005
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=109 node=N7590 type=control1 q_typed_residual_context=6.859939 sequence=253.318944
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=110 node=N520 type=control1 q_typed_residual_context=4.827844 sequence=258.146788
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=4.761162 sequence=262.907950
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=112 node=N7413 type=control1 q_typed_residual_context=4.667625 sequence=267.575575
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_residual_context=3.407742 sequence=270.983317
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=114 node=N3180 type=control1 q_typed_residual_context=4.587491 sequence=275.570808
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=115 node=N510 type=control1 q_typed_residual_context=3.938218 sequence=279.509026
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=116 node=N7847 type=control0 q_typed_residual_context=4.776011 sequence=284.285037
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=117 node=N7854 type=control0 q_typed_residual_context=1.485286 sequence=285.770323
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=118 node=N610 type=control1 q_typed_residual_context=3.269066 sequence=289.039389
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=119 node=N620 type=control1 q_typed_residual_context=2.758098 sequence=291.797487
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=120 node=N3410 type=control1 q_typed_residual_context=5.468796 sequence=297.266284
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=121 node=N638 type=control1 q_typed_residual_context=6.060933 sequence=303.327217
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=122 node=N578 type=observe q_typed_residual_context=5.972106 sequence=309.299323
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=123 node=N7852 type=control0 q_typed_residual_context=2.392669 sequence=311.691993
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=124 node=N2580 type=control1 q_typed_residual_context=1.057242 sequence=312.749235
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=125 node=N7424 type=control1 q_typed_residual_context=1.440456 sequence=314.189691
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=126 node=N7853 type=control0 q_typed_residual_context=1.224352 sequence=315.414043
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=127 node=N5878 type=observe q_typed_residual_context=1.053204 sequence=316.467247
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=128 node=N2153 type=observe q_typed_residual_context=3.485303 sequence=319.952551
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=129 node=N7721 type=control0 q_typed_residual_context=1.918123 sequence=321.870674
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=130 node=N645 type=control1 q_typed_residual_context=1.240959 sequence=323.111633
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=131 node=N616 type=control1 q_typed_residual_context=2.199613 sequence=325.311247
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=132 node=N636 type=control1 q_typed_residual_context=1.119421 sequence=326.430667
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=133 node=N5867 type=observe q_typed_residual_context=1.651609 sequence=328.082276
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=134 node=N1987 type=observe q_typed_residual_context=0.192048 sequence=328.274325
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=135 node=N7385 type=observe q_typed_residual_context=1.414274 sequence=329.688598
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=136 node=N7679 type=observe q_typed_residual_context=1.555100 sequence=331.243699
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=137 node=N7627 type=observe q_typed_residual_context=1.317894 sequence=332.561592
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=138 node=N5740 type=observe q_typed_residual_context=1.050209 sequence=333.611802
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=139 node=N5876 type=observe q_typed_residual_context=2.192123 sequence=335.803925
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=140 node=N694 type=observe q_typed_residual_context=2.922916 sequence=338.726841
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=141 node=N5603 type=observe q_typed_residual_context=1.568805 sequence=340.295646
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=142 node=N2102 type=observe q_typed_residual_context=2.481523 sequence=342.777168
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=143 node=N6531 type=observe q_typed_residual_context=1.881895 sequence=344.659064
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=144 node=N7401 type=observe q_typed_residual_context=5.136284 sequence=349.795348
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=145 node=N2149 type=observe q_typed_residual_context=5.787369 sequence=355.582717
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=146 node=N5356 type=observe q_typed_residual_context=5.789106 sequence=361.371823
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=147 node=N7614 type=observe q_typed_residual_context=2.776378 sequence=364.148201
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=148 node=N5874 type=observe q_typed_residual_context=2.070784 sequence=366.218984
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=149 node=N5738 type=observe q_typed_residual_context=1.471639 sequence=367.690624
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=150 node=N2106 type=observe q_typed_residual_context=1.980858 sequence=369.671482
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=151 node=N3467 type=control1 q_typed_residual_context=1.412747 sequence=371.084229
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=152 node=N630 type=control1 q_typed_residual_context=1.696284 sequence=372.780513
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=153 node=N642 type=control1 q_typed_residual_context=2.072563 sequence=374.853076
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=154 node=N649 type=control1 q_typed_residual_context=2.628298 sequence=377.481374
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=155 node=N6674 type=observe q_typed_residual_context=1.100567 sequence=378.581942
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=156 node=N7436 type=observe q_typed_residual_context=2.177544 sequence=380.759486
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=157 node=N712 type=observe q_typed_residual_context=1.874877 sequence=382.634364
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=158 node=N725 type=observe q_typed_residual_context=3.124395 sequence=385.758759
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=159 node=N2157 type=observe q_typed_residual_context=2.112787 sequence=387.871546
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=160 node=N5473 type=observe q_typed_residual_context=1.831532 sequence=389.703078
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=161 node=N714 type=observe q_typed_residual_context=2.694746 sequence=392.397824
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=162 node=N7405 type=observe q_typed_residual_context=1.154110 sequence=393.551934
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=163 node=N3525 type=control1 q_typed_residual_context=1.106033 sequence=394.657967
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=164 node=N3295 type=control1 q_typed_residual_context=0.753829 sequence=395.411796
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=165 node=N1607 type=control1 q_typed_residual_context=1.267208 sequence=396.679004
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=166 node=N647 type=control1 q_typed_residual_context=1.650822 sequence=398.329826
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=167 node=N1586 type=control1 q_typed_residual_context=2.154880 sequence=400.484706
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=168 node=N7454 type=observe q_typed_residual_context=0.790116 sequence=401.274822
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=169 node=N6538 type=observe q_typed_residual_context=0.674860 sequence=401.949682
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=170 node=N6668 type=observe q_typed_residual_context=0.800377 sequence=402.750058
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=171 node=N723 type=observe q_typed_residual_context=2.048735 sequence=404.798794
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=172 node=N705 type=observe q_typed_residual_context=5.461303 sequence=410.260096
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=173 node=N5456 type=observe q_typed_residual_context=2.490516 sequence=412.750612
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=174 node=N706 type=observe q_typed_residual_context=3.896085 sequence=416.646697
