[gmean] 2026-07-16T14:50:27 out_dir=autoresearch/improve-260716-1344/round3_b17/context_recall_c192
[gmean] 2026-07-16T14:50:27 budgets=iscas99__b17:994
[gmean] 2026-07-16T14:50:27 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c192__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-16T14:50:27 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] step=29 node=N28861 type=control0 q_pred_context=2.883639 sequence=92.434191
[plan iscas99__b17] [plan] step=30 node=N3778 type=observe q_pred_context=2.068762 sequence=94.502953
[plan iscas99__b17] [plan] step=31 node=N27568 type=control0 q_pred_context=2.357816 sequence=96.860769
[plan iscas99__b17] [plan] step=32 node=N28863 type=control0 q_pred_context=3.270328 sequence=100.131097
[plan iscas99__b17] [plan] step=33 node=N7937 type=observe q_pred_context=2.462263 sequence=102.593360
[plan iscas99__b17] [plan] step=34 node=N26769 type=control0 q_pred_context=2.318736 sequence=104.912096
[plan iscas99__b17] [plan] step=35 node=N7936 type=observe q_pred_context=2.678720 sequence=107.590816
[plan iscas99__b17] [plan] step=36 node=N7935 type=observe q_pred_context=2.849674 sequence=110.440490
[plan iscas99__b17] [plan] step=37 node=N28871 type=control0 q_pred_context=3.381581 sequence=113.822071
[plan iscas99__b17] [plan] step=38 node=N28873 type=control0 q_pred_context=3.532495 sequence=117.354566
[plan iscas99__b17] [plan] step=39 node=N28875 type=control0 q_pred_context=4.975879 sequence=122.330445
[plan iscas99__b17] [plan] step=40 node=N9778 type=control0 q_pred_context=5.015727 sequence=127.346172
[plan iscas99__b17] [plan] step=41 node=N27551 type=control0 q_pred_context=5.905253 sequence=133.251424
[plan iscas99__b17] [plan] step=42 node=N28869 type=control0 q_pred_context=5.849430 sequence=139.100854
[plan iscas99__b17] [plan] step=43 node=N7932 type=observe q_pred_context=5.761906 sequence=144.862760
[plan iscas99__b17] [plan] step=44 node=N28853 type=control0 q_pred_context=4.603233 sequence=149.465994
[plan iscas99__b17] [plan] step=45 node=N28865 type=control0 q_pred_context=5.712892 sequence=155.178886
[plan iscas99__b17] [plan] step=46 node=N31203 type=control0 q_pred_context=6.153039 sequence=161.331925
[plan iscas99__b17] [plan] step=47 node=N31207 type=control0 q_pred_context=7.917868 sequence=169.249793
[plan iscas99__b17] [plan] step=48 node=N31209 type=control0 q_pred_context=7.959842 sequence=177.209635
[plan iscas99__b17] [plan] step=49 node=N31201 type=control0 q_pred_context=7.831357 sequence=185.040992
[plan iscas99__b17] [plan] step=50 node=N27509 type=control0 q_pred_context=7.821790 sequence=192.862781
[plan iscas99__b17] [plan] step=51 node=N2723 type=control0 q_pred_context=7.860336 sequence=200.723118
[plan iscas99__b17] [plan] step=52 node=N7934 type=observe q_pred_context=7.347818 sequence=208.070936
[plan iscas99__b17] [plan] step=53 node=N31211 type=control0 q_pred_context=8.100000 sequence=216.170936
[plan iscas99__b17] [plan] step=54 node=N7933 type=observe q_pred_context=7.391706 sequence=223.562642
[plan iscas99__b17] [plan] step=55 node=N27562 type=control0 q_pred_context=7.868486 sequence=231.431128
[plan iscas99__b17] [plan] step=56 node=N31219 type=control0 q_pred_context=7.227727 sequence=238.658855
[plan iscas99__b17] [plan] step=57 node=N26654 type=control0 q_pred_context=7.333177 sequence=245.992032
[plan iscas99__b17] [plan] step=58 node=N27566 type=control0 q_pred_context=7.546781 sequence=253.538813
[plan iscas99__b17] [plan] step=59 node=N27564 type=control0 q_pred_context=8.100000 sequence=261.638813
[plan iscas99__b17] [plan] step=60 node=N27574 type=control0 q_pred_context=8.100000 sequence=269.738813
[plan iscas99__b17] [plan] step=61 node=N2858 type=control0 q_pred_context=7.754472 sequence=277.493285
[plan iscas99__b17] [plan] step=62 node=N27576 type=control0 q_pred_context=7.615147 sequence=285.108432
[plan iscas99__b17] [plan] step=63 node=N27578 type=control0 q_pred_context=7.291443 sequence=292.399875
[plan iscas99__b17] [plan] step=64 node=N31238 type=control0 q_pred_context=7.243492 sequence=299.643368
[plan iscas99__b17] [plan] step=65 node=N31242 type=control0 q_pred_context=7.178954 sequence=306.822321
[plan iscas99__b17] [plan] step=66 node=N31215 type=control0 q_pred_context=7.139683 sequence=313.962005
[plan iscas99__b17] [plan] step=67 node=N31246 type=control0 q_pred_context=7.116053 sequence=321.078057
[plan iscas99__b17] [plan] step=68 node=N27507 type=control0 q_pred_context=7.162623 sequence=328.240680
[plan iscas99__b17] [plan] step=69 node=N29578 type=control0 q_pred_context=7.154768 sequence=335.395448
[plan iscas99__b17] [plan] step=70 node=N31234 type=control0 q_pred_context=6.357953 sequence=341.753401
[plan iscas99__b17] [plan] step=71 node=N31236 type=control0 q_pred_context=6.152047 sequence=347.905449
[plan iscas99__b17] [plan] step=72 node=N31240 type=control0 q_pred_context=5.999326 sequence=353.904775
[plan iscas99__b17] [plan] step=73 node=N31244 type=control0 q_pred_context=5.582005 sequence=359.486780
[plan iscas99__b17] [plan] step=74 node=N28827 type=control0 q_pred_context=5.599120 sequence=365.085900
[plan iscas99__b17] [plan] step=75 node=N28825 type=control0 q_pred_context=4.327347 sequence=369.413247
[plan iscas99__b17] [plan] step=76 node=N31221 type=control0 q_pred_context=3.948952 sequence=373.362199
[plan iscas99__b17] [plan] step=77 node=N31225 type=control0 q_pred_context=4.135996 sequence=377.498195
[plan iscas99__b17] [plan] step=78 node=N27347 type=control1 q_pred_context=3.670466 sequence=381.168661
[plan iscas99__b17] [plan] step=79 node=N31217 type=control0 q_pred_context=2.776138 sequence=383.944799
[plan iscas99__b17] [plan] step=80 node=N31213 type=control0 q_pred_context=2.423782 sequence=386.368580
[plan iscas99__b17] [plan] step=81 node=N29418 type=control0 q_pred_context=2.224696 sequence=388.593276
[plan iscas99__b17] [plan] step=82 node=N28839 type=control0 q_pred_context=2.023678 sequence=390.616954
[plan iscas99__b17] [plan] step=83 node=N28837 type=control0 q_pred_context=2.106487 sequence=392.723441
[plan iscas99__b17] [plan] step=84 node=N28841 type=control0 q_pred_context=2.073266 sequence=394.796707
[plan iscas99__b17] [plan] step=85 node=N28835 type=control0 q_pred_context=2.006023 sequence=396.802730
[plan iscas99__b17] [plan] step=86 node=N27348 type=control1 q_pred_context=1.917160 sequence=398.719889
[plan iscas99__b17] [plan] step=87 node=N26510 type=control1 q_pred_context=1.412014 sequence=400.131904
[plan iscas99__b17] [plan] step=88 node=N27350 type=control1 q_pred_context=1.447853 sequence=401.579757
[plan iscas99__b17] [plan] step=89 node=N27352 type=control1 q_pred_context=1.552624 sequence=403.132381
[plan iscas99__b17] [plan] step=90 node=N27366 type=control1 q_pred_context=2.170270 sequence=405.302651
[plan iscas99__b17] [plan] step=91 node=N27363 type=control1 q_pred_context=2.103169 sequence=407.405820
[plan iscas99__b17] [plan] step=92 node=N26516 type=control1 q_pred_context=2.009330 sequence=409.415151
[plan iscas99__b17] [plan] step=93 node=N28743 type=control0 q_pred_context=2.031660 sequence=411.446811
[plan iscas99__b17] [plan] step=94 node=N28833 type=control0 q_pred_context=1.672571 sequence=413.119382
[plan iscas99__b17] [plan] step=95 node=N28744 type=control0 q_pred_context=1.641959 sequence=414.761341
[plan iscas99__b17] [plan] step=96 node=N28831 type=control0 q_pred_context=1.513247 sequence=416.274588
[plan iscas99__b17] [plan] step=97 node=N28745 type=control0 q_pred_context=1.617131 sequence=417.891719
[plan iscas99__b17] [plan] step=98 node=N28746 type=control0 q_pred_context=3.387445 sequence=421.279164
[plan iscas99__b17] [plan] step=99 node=N28747 type=control0 q_pred_context=3.301354 sequence=424.580518
[plan iscas99__b17] [plan] step=100 node=N27591 type=control0 q_pred_context=3.208202 sequence=427.788720
[plan iscas99__b17] [plan] step=101 node=N28748 type=control0 q_pred_context=2.986391 sequence=430.775111
[plan iscas99__b17] [plan] step=102 node=N29422 type=control0 q_pred_context=2.486117 sequence=433.261228
[plan iscas99__b17] [plan] step=103 node=N27354 type=control1 q_pred_context=2.847994 sequence=436.109222
[plan iscas99__b17] [plan] step=104 node=N28750 type=control0 q_pred_context=2.985646 sequence=439.094868
[plan iscas99__b17] [plan] step=105 node=N31223 type=control0 q_pred_context=2.959667 sequence=442.054534
[plan iscas99__b17] [plan] step=106 node=N31248 type=control0 q_pred_context=2.916960 sequence=444.971494
[plan iscas99__b17] [plan] step=107 node=N28749 type=control0 q_pred_context=2.934499 sequence=447.905994
[plan iscas99__b17] [plan] step=108 node=N28773 type=control0 q_pred_context=2.814983 sequence=450.720977
[plan iscas99__b17] [plan] step=109 node=N3856 type=observe q_pred_context=2.641139 sequence=453.362116
[plan iscas99__b17] [plan] step=110 node=N29423 type=control0 q_pred_context=2.371007 sequence=455.733123
[plan iscas99__b17] [plan] step=111 node=N28751 type=control0 q_pred_context=2.473202 sequence=458.206325
[plan iscas99__b17] [plan] step=112 node=N26504 type=control1 q_pred_context=2.546972 sequence=460.753296
[plan iscas99__b17] [plan] step=113 node=N27439 type=observe q_pred_context=2.353195 sequence=463.106491
[plan iscas99__b17] [plan] step=114 node=N29390 type=control0 q_pred_context=2.186661 sequence=465.293152
[plan iscas99__b17] [plan] step=115 node=N28829 type=control0 q_pred_context=2.336082 sequence=467.629234
[plan iscas99__b17] [plan] step=116 node=N27346 type=control1 q_pred_context=2.498433 sequence=470.127667
[plan iscas99__b17] [plan] step=117 node=N29526 type=control0 q_pred_context=2.463531 sequence=472.591198
[plan iscas99__b17] [plan] step=118 node=N29372 type=control0 q_pred_context=2.583604 sequence=475.174802
[plan iscas99__b17] [plan] step=119 node=N26505 type=control1 q_pred_context=3.284262 sequence=478.459063
[plan iscas99__b17] [plan] step=120 node=N29679 type=control0 q_pred_context=2.184690 sequence=480.643754
[plan iscas99__b17] [plan] step=121 node=N29456 type=control0 q_pred_context=2.927504 sequence=483.571257
[plan iscas99__b17] [plan] step=122 node=N26503 type=control1 q_pred_context=1.844366 sequence=485.415623
[plan iscas99__b17] [plan] step=123 node=N27359 type=control1 q_pred_context=1.870645 sequence=487.286267
[plan iscas99__b17] [plan] step=124 node=N29371 type=control0 q_pred_context=1.743619 sequence=489.029886
[plan iscas99__b17] [plan] step=125 node=N26506 type=control1 q_pred_context=1.580596 sequence=490.610483
[plan iscas99__b17] [plan] step=126 node=N30926 type=control0 q_pred_context=1.630311 sequence=492.240794
[plan iscas99__b17] [plan] step=127 node=N26502 type=control1 q_pred_context=1.616581 sequence=493.857374
[plan iscas99__b17] [plan] step=128 node=N30921 type=control0 q_pred_context=1.646450 sequence=495.503824
[plan iscas99__b17] [plan] step=129 node=N26509 type=control1 q_pred_context=1.626338 sequence=497.130161
[plan iscas99__b17] [plan] step=130 node=N30925 type=control0 q_pred_context=1.550105 sequence=498.680266
[plan iscas99__b17] [plan] step=131 node=N30927 type=control0 q_pred_context=1.686820 sequence=500.367086
[plan iscas99__b17] [plan] step=132 node=N27351 type=control1 q_pred_context=1.715578 sequence=502.082664
[plan iscas99__b17] [plan] step=133 node=N26511 type=control1 q_pred_context=1.570760 sequence=503.653423
[plan iscas99__b17] [plan] step=134 node=N19326 type=observe q_pred_context=1.303161 sequence=504.956584
[plan iscas99__b17] [plan] step=135 node=N30928 type=control0 q_pred_context=1.627626 sequence=506.584210
[plan iscas99__b17] [plan] step=136 node=N30922 type=control0 q_pred_context=1.631894 sequence=508.216104
[plan iscas99__b17] [plan] step=137 node=N30924 type=control0 q_pred_context=1.506226 sequence=509.722331
[plan iscas99__b17] [plan] step=138 node=N31051 type=control0 q_pred_context=1.549394 sequence=511.271724
[plan iscas99__b17] [plan] step=139 node=N27355 type=control1 q_pred_context=1.289670 sequence=512.561394
[plan iscas99__b17] [plan] step=140 node=N27358 type=control1 q_pred_context=1.334820 sequence=513.896214
[plan iscas99__b17] [plan] step=141 node=N30929 type=control0 q_pred_context=1.348377 sequence=515.244592
[plan iscas99__b17] [plan] step=142 node=N27349 type=control1 q_pred_context=1.345050 sequence=516.589641
[plan iscas99__b17] [plan] step=143 node=N31050 type=control0 q_pred_context=1.580726 sequence=518.170367
[plan iscas99__b17] [plan] step=144 node=N27353 type=control1 q_pred_context=1.330665 sequence=519.501032
[plan iscas99__b17] [plan] step=145 node=N30923 type=control0 q_pred_context=1.292766 sequence=520.793798
[plan iscas99__b17] [plan] step=146 node=N26518 type=control1 q_pred_context=1.352976 sequence=522.146774
[plan iscas99__b17] [plan] step=147 node=N29681 type=control0 q_pred_context=1.265255 sequence=523.412030
[plan iscas99__b17] [plan] step=148 node=N27356 type=control1 q_pred_context=1.211250 sequence=524.623279
[plan iscas99__b17] [plan] step=149 node=N27357 type=control1 q_pred_context=1.215857 sequence=525.839137
[plan iscas99__b17] [plan] step=150 node=N26513 type=control1 q_pred_context=1.203093 sequence=527.042230
[plan iscas99__b17] [plan] step=151 node=N31044 type=control0 q_pred_context=1.172558 sequence=528.214788
[plan iscas99__b17] [plan] step=152 node=N27593 type=control0 q_pred_context=1.200826 sequence=529.415614
[plan iscas99__b17] [plan] step=153 node=N31250 type=control0 q_pred_context=1.277146 sequence=530.692760
[plan iscas99__b17] [plan] step=154 node=N28877 type=control0 q_pred_context=1.225889 sequence=531.918649
[plan iscas99__b17] [plan] step=155 node=N30934 type=control0 q_pred_context=1.266971 sequence=533.185620
[plan iscas99__b17] [plan] step=156 node=N19325 type=observe q_pred_context=1.123039 sequence=534.308659
[plan iscas99__b17] [plan] step=157 node=N19340 type=observe q_pred_context=1.019662 sequence=535.328321
[plan iscas99__b17] [plan] step=158 node=N19339 type=observe q_pred_context=1.509980 sequence=536.838301
[plan iscas99__b17] [plan] step=159 node=N28843 type=control0 q_pred_context=1.723658 sequence=538.561959
[plan iscas99__b17] [plan] step=160 node=N26800 type=control0 q_pred_context=1.737071 sequence=540.299030
[plan iscas99__b17] [plan] step=161 node=N19315 type=observe q_pred_context=1.968274 sequence=542.267304
[plan iscas99__b17] [plan] step=162 node=N19338 type=observe q_pred_context=2.096896 sequence=544.364200
[plan iscas99__b17] [plan] step=163 node=N19337 type=observe q_pred_context=2.213247 sequence=546.577447
[plan iscas99__b17] [plan] step=164 node=N19336 type=observe q_pred_context=2.233741 sequence=548.811188
[plan iscas99__b17] [plan] step=165 node=N19318 type=observe q_pred_context=2.171218 sequence=550.982406
[plan iscas99__b17] [plan] step=166 node=N19317 type=observe q_pred_context=1.763204 sequence=552.745610
[plan iscas99__b17] [plan] step=167 node=N19316 type=observe q_pred_context=1.849278 sequence=554.594888
[plan iscas99__b17] [plan] step=168 node=N29439 type=observe q_pred_context=1.315442 sequence=555.910330
[plan iscas99__b17] [plan] step=169 node=N19314 type=observe q_pred_context=1.329491 sequence=557.239821
[plan iscas99__b17] [plan] step=170 node=N29683 type=control0 q_pred_context=1.532099 sequence=558.771921
[plan iscas99__b17] [plan] step=171 node=N31005 type=observe q_pred_context=1.956555 sequence=560.728476
[plan iscas99__b17] [plan] step=172 node=N31004 type=observe q_pred_context=1.736084 sequence=562.464559
[plan iscas99__b17] [plan] step=173 node=N31003 type=observe q_pred_context=1.924212 sequence=564.388771
[plan iscas99__b17] [plan] step=174 node=N29497 type=observe q_pred_context=1.521384 sequence=565.910155
[plan iscas99__b17] [plan] step=175 node=N26089 type=observe q_pred_context=1.551250 sequence=567.461405
[plan iscas99__b17] [plan] step=176 node=N31002 type=observe q_pred_context=1.577788 sequence=569.039193
[plan iscas99__b17] [plan] step=177 node=N3880 type=observe q_pred_context=1.697555 sequence=570.736749
[plan iscas99__b17] [plan] step=178 node=N19720 type=observe q_pred_context=1.783441 sequence=572.520189
[plan iscas99__b17] [plan] step=179 node=N19719 type=observe q_pred_context=1.953390 sequence=574.473580
[plan iscas99__b17] [plan] step=180 node=N22487 type=observe q_pred_context=1.879321 sequence=576.352900
[plan iscas99__b17] [plan] step=181 node=N19717 type=observe q_pred_context=1.970376 sequence=578.323276
[plan iscas99__b17] [plan] step=182 node=N19716 type=observe q_pred_context=1.947744 sequence=580.271020
[plan iscas99__b17] [plan] step=183 node=N14173 type=observe q_pred_context=1.641394 sequence=581.912414
[plan iscas99__b17] [plan] step=184 node=N26684 type=control0 q_pred_context=1.759299 sequence=583.671712
[plan iscas99__b17] [plan] step=185 node=N19715 type=observe q_pred_context=1.401997 sequence=585.073709
[plan iscas99__b17] [plan] step=186 node=N19714 type=observe q_pred_context=1.459424 sequence=586.533133
[plan iscas99__b17] [plan] step=187 node=N19713 type=observe q_pred_context=1.415421 sequence=587.948555
[plan iscas99__b17] [plan] step=188 node=N19718 type=observe q_pred_context=2.082181 sequence=590.030736
[plan iscas99__b17] [plan] step=189 node=N31121 type=control0 q_pred_context=1.980094 sequence=592.010830
[plan iscas99__b17] [plan] step=190 node=N19319 type=observe q_pred_context=1.335530 sequence=593.346360
[plan iscas99__b17] [plan] step=191 node=N13644 type=control0 q_pred_context=1.247840 sequence=594.594200
[plan iscas99__b17] [plan] step=192 node=N19321 type=observe q_pred_context=1.281021 sequence=595.875221
[plan iscas99__b17] [plan] step=193 node=N19324 type=observe q_pred_context=1.136398 sequence=597.011619
[plan iscas99__b17] [plan] step=194 node=N2891 type=observe q_pred_context=1.424424 sequence=598.436043
[plan iscas99__b17] [plan] step=195 node=N31045 type=control0 q_pred_context=1.581373 sequence=600.017416
[plan iscas99__b17] [plan] step=196 node=N29685 type=control0 q_pred_context=1.624238 sequence=601.641654
[plan iscas99__b17] [plan] step=197 node=N19320 type=observe q_pred_context=1.363925 sequence=603.005580
[plan iscas99__b17] [plan] step=198 node=N27597 type=control0 q_pred_context=2.227727 sequence=605.233307
[plan iscas99__b17] [plan] step=199 node=N19322 type=observe q_pred_context=1.477340 sequence=606.710647
[plan iscas99__b17] [plan] step=200 node=N19323 type=observe q_pred_context=1.204732 sequence=607.915378
[plan iscas99__b17] [plan] step=201 node=N2096 type=control1 q_pred_context=1.249565 sequence=609.164943
[plan iscas99__b17] [plan] step=202 node=N30930 type=control0 q_pred_context=1.190918 sequence=610.355861
[plan iscas99__b17] [plan] step=203 node=N24726 type=observe q_pred_context=1.187850 sequence=611.543711
[plan iscas99__b17] [plan] step=204 node=N29124 type=control0 q_pred_context=1.147743 sequence=612.691454
[plan iscas99__b17] [plan] step=205 node=N19331 type=observe q_pred_context=1.186641 sequence=613.878096
[plan iscas99__b17] [plan] step=206 node=N19332 type=observe q_pred_context=1.132213 sequence=615.010309
[plan iscas99__b17] [plan] step=207 node=N19334 type=observe q_pred_context=1.087722 sequence=616.098031
[plan iscas99__b17] [plan] step=208 node=N31052 type=control0 q_pred_context=1.642506 sequence=617.740537
[plan iscas99__b17] [plan] step=209 node=N28816 type=control1 q_pred_context=1.847270 sequence=619.587807
[plan iscas99__b17] [plan] step=210 node=N28153 type=observe q_pred_context=1.430289 sequence=621.018096
[plan iscas99__b17] [plan] step=211 node=N30931 type=control0 q_pred_context=1.813448 sequence=622.831545
[plan iscas99__b17] [plan] step=212 node=N27273 type=observe q_pred_context=2.453137 sequence=625.284681
[plan iscas99__b17] [plan] step=213 node=N2723 type=control1 q_pred_context=2.322774 sequence=627.607455
[plan iscas99__b17] [plan] step=214 node=N28817 type=control1 q_pred_context=2.126075 sequence=629.733530
[plan iscas99__b17] [plan] step=215 node=N28818 type=control1 q_pred_context=1.768454 sequence=631.501984
[plan iscas99__b17] [plan] step=216 node=N28819 type=control1 q_pred_context=1.687677 sequence=633.189661
[plan iscas99__b17] [plan] step=217 node=N18628 type=observe q_pred_context=1.843316 sequence=635.032977
[plan iscas99__b17] [plan] step=218 node=N28820 type=control1 q_pred_context=2.395966 sequence=637.428944
[plan iscas99__b17] [plan] step=219 node=N28821 type=control1 q_pred_context=2.188021 sequence=639.616965
[plan iscas99__b17] [plan] step=220 node=N27653 type=observe q_pred_context=1.751178 sequence=641.368143
[plan iscas99__b17] [plan] step=221 node=N2858 type=control1 q_pred_context=1.632158 sequence=643.000300
[plan iscas99__b17] [plan] step=222 node=N7950 type=observe q_pred_context=1.681821 sequence=644.682122
[plan iscas99__b17] [plan] step=223 node=N30933 type=control0 q_pred_context=1.272696 sequence=645.954817
[plan iscas99__b17] [plan] step=224 node=N31089 type=control1 q_pred_context=1.450954 sequence=647.405771
[plan iscas99__b17] [plan] step=225 node=N30932 type=control0 q_pred_context=1.324615 sequence=648.730386
[plan iscas99__b17] [plan] step=226 node=N29040 type=control0 q_pred_context=0.838656 sequence=649.569042
[plan iscas99__b17] [plan] step=227 node=N22341 type=observe q_pred_context=1.573050 sequence=651.142092
[plan iscas99__b17] [plan] step=228 node=N27250 type=observe q_pred_context=1.512169 sequence=652.654261
[plan iscas99__b17] [plan] step=229 node=N29398 type=control1 q_pred_context=1.515872 sequence=654.170132
[plan iscas99__b17] [plan] step=230 node=N29406 type=control1 q_pred_context=1.535602 sequence=655.705735
[plan iscas99__b17] [plan] step=231 node=N31080 type=control1 q_pred_context=1.586635 sequence=657.292370
[plan iscas99__b17] [plan] step=232 node=N31081 type=control1 q_pred_context=1.461207 sequence=658.753577
[plan iscas99__b17] [plan] step=233 node=N31082 type=control1 q_pred_context=1.449077 sequence=660.202654
[plan iscas99__b17] [plan] step=234 node=N31083 type=control1 q_pred_context=1.229431 sequence=661.432084
[plan iscas99__b17] [plan] step=235 node=N31078 type=control1 q_pred_context=1.528704 sequence=662.960788
[plan iscas99__b17] [plan] step=236 node=N31079 type=control1 q_pred_context=1.335809 sequence=664.296597
[plan iscas99__b17] [plan] step=237 node=N5798 type=observe q_pred_context=1.876460 sequence=666.173057
[plan iscas99__b17] [plan] step=238 node=N24724 type=observe q_pred_context=1.803212 sequence=667.976269
[plan iscas99__b17] [plan] step=239 node=N24722 type=observe q_pred_context=1.145993 sequence=669.122263
[plan iscas99__b17] [plan] step=240 node=N26298 type=observe q_pred_context=1.160192 sequence=670.282455
[plan iscas99__b17] [plan] step=241 node=N31084 type=control1 q_pred_context=1.441050 sequence=671.723505
[plan iscas99__b17] [plan] step=242 node=N24728 type=observe q_pred_context=1.223320 sequence=672.946825
[plan iscas99__b17] [plan] step=243 node=N5894 type=observe q_pred_context=1.101478 sequence=674.048303
[plan iscas99__b17] [plan] step=244 node=N26300 type=observe q_pred_context=1.595396 sequence=675.643699
[plan iscas99__b17] [plan] step=245 node=N31085 type=control1 q_pred_context=1.460272 sequence=677.103971
[plan iscas99__b17] [plan] step=246 node=N19371 type=observe q_pred_context=1.174914 sequence=678.278884
[plan iscas99__b17] [plan] step=247 node=N19727 type=observe q_pred_context=1.670677 sequence=679.949561
[plan iscas99__b17] [plan] step=248 node=N5317 type=observe q_pred_context=1.105664 sequence=681.055225
[plan iscas99__b17] [plan] step=249 node=N26299 type=observe q_pred_context=1.925921 sequence=682.981147
[plan iscas99__b17] [plan] step=250 node=N26284 type=observe q_pred_context=1.426244 sequence=684.407391
[plan iscas99__b17] [plan] step=251 node=N31088 type=control1 q_pred_context=1.196854 sequence=685.604245
[plan iscas99__b17] [plan] step=252 node=N29458 type=control0 q_pred_context=2.121601 sequence=687.725846
[plan iscas99__b17] [plan] step=253 node=N26326 type=observe q_pred_context=1.220869 sequence=688.946715
[plan iscas99__b17] [plan] step=254 node=N26283 type=observe q_pred_context=0.852273 sequence=689.798988
[plan iscas99__b17] [plan] step=255 node=N26339 type=observe q_pred_context=1.675232 sequence=691.474220
[plan iscas99__b17] [plan] step=256 node=N26333 type=observe q_pred_context=3.151034 sequence=694.625254
[plan iscas99__b17] [plan] step=257 node=N26346 type=observe q_pred_context=2.115984 sequence=696.741238
[plan iscas99__b17] [plan] step=258 node=N26332 type=observe q_pred_context=2.192298 sequence=698.933537
[plan iscas99__b17] [plan] step=259 node=N26353 type=observe q_pred_context=2.152508 sequence=701.086045
[plan iscas99__b17] [plan] step=260 node=N26354 type=observe q_pred_context=2.842581 sequence=703.928626
[plan iscas99__b17] [plan] step=261 node=N26360 type=observe q_pred_context=3.217104 sequence=707.145731
[plan iscas99__b17] [plan] step=262 node=N26361 type=observe q_pred_context=3.958210 sequence=711.103941
[plan iscas99__b17] [plan] step=263 node=N26367 type=observe q_pred_context=3.722743 sequence=714.826684
[plan iscas99__b17] [plan] step=264 node=N26347 type=observe q_pred_context=3.931255 sequence=718.757939
[plan iscas99__b17] [plan] step=265 node=N26374 type=observe q_pred_context=3.882080 sequence=722.640019
[plan iscas99__b17] [plan] step=266 node=N26368 type=observe q_pred_context=4.052439 sequence=726.692458
