step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy,original_net,recovery_status,recovery_source_gate,recovery_synthetic_branch,safe_insertable
11,N15740,observe,0.383078396320343,0.383078396320343,0.20625025033950806,0.0020625025033950807,-0.11326298862695694,0.9034774303436279,0.20625025033950806,-0.009746221825480461,-0.05530086159706116,-0.0438852533698082,30924.96875,13326.65234375,17598.31640625,30816.990234375,13286.224609375,17530.765625,0.0034916289150714874,0.0030336000490933657,0.0038384797517210245,0.34916289150714874,0.13510549813508987,-0.6971902623772621,0.20625025033950806,2.330541640520096,0.40674257278442383,0.40674257278442383,cumulative,beam,0.20625025033950806,0.0,hard_fault_cluster,,missing_mapping,,,False
12,N6730,control1,0.37989920377731323,0.37989920377731323,0.20049232244491577,0.0020049232244491576,-0.11611511558294296,0.9057081341743469,0.20049232244491577,-0.010030217468738556,-0.057797860354185104,-0.0457330048084259,30816.90234375,13286.42578125,17530.4765625,30842.9296875,13347.98046875,17494.94921875,-0.0008445801213383675,-0.004632900469005108,0.002026604488492012,-0.08445801213383675,0.1031787097454071,-0.7264716327190399,0.20049232244491577,2.5310339629650116,0.3972363620996475,0.3972363620996475,cumulative,beam,0.20049232244491577,0.0,hard_fault_cluster,R2358_U204,structural_exact,NAND,False,True
13,N7544,observe,0.3744595944881439,0.3744595944881439,0.19674403965473175,0.0019674403965473175,-0.11878220736980438,0.9077103137969971,0.19674403965473175,-0.01013336330652237,-0.059197861701250076,-0.046967312693595886,30842.9140625,13348.12109375,17494.79296875,30834.51953125,13392.4970703125,17442.021484375,0.0002721704950090498,-0.003324510995298624,0.0030164108611643314,0.027217049500904977,0.09111802279949188,-0.7372227422893047,0.19674403965473175,2.7277780026197433,0.3926801532506943,0.3926801532506943,cumulative,beam,0.19674403965473175,0.0,hard_fault_cluster,R2144_U97,structural_exact,NAND,False,True
14,N27265,observe,0.371050626039505,0.371050626039505,0.19593611359596252,0.0019593611359596252,-0.11822229623794556,0.9124704599380493,0.19593611359596252,-0.010643151588737965,-0.06177083030343056,-0.04810337722301483,30834.3203125,13392.2568359375,17442.0625,30737.4609375,13380.6484375,17356.8125,0.0031412846874445677,0.0008667992660775781,0.004887610208243132,0.31412846874445677,0.04409141466021538,-0.7872135154902935,0.19593611359596252,2.923714116215706,0.3808903694152832,0.3808903694152832,cumulative,beam,0.19593611359596252,0.0,hard_fault_cluster,,missing_mapping,,,False
15,N26891,observe,0.375153511762619,0.375153511762619,0.18495425581932068,0.0018495425581932067,-0.12199588119983673,0.9234588146209717,0.18495425581932068,-0.011231277137994766,-0.06401922553777695,-0.04859171062707901,30737.5078125,13380.8046875,17356.703125,30677.70703125,13387.0361328125,17290.669921875,0.001945531228557229,-0.0004657003446482122,0.0038044785615056753,0.1945531228557229,-0.014714643359184265,-0.8460244461894035,0.18495425581932068,3.1086683720350266,0.38724300265312195,0.38724300265312195,cumulative,beam,0.18495425581932068,0.0,hard_fault_cluster,,missing_mapping,,,False
16,N15676,observe,0.3707997798919678,0.3707997798919678,0.20228874683380127,0.0020228874683380126,-0.1298164278268814,0.9311273694038391,0.20228874683380127,-0.011257962323725224,-0.0626700222492218,-0.04695630073547363,30677.583984375,13387.111328125,17290.47265625,30429.60546875,13237.9326171875,17191.671875,0.008083377964794636,0.0111434580758214,0.005714174825698137,0.8083377964794636,0.007619883865118027,-0.8424422033131123,0.20228874683380127,3.310957118868828,0.416372686624527,0.416372686624527,cumulative,beam,0.20228874683380127,0.0,hard_fault_cluster,,missing_mapping,,,False
17,N15955,observe,0.36635085940361023,0.36635085940361023,0.2140839397907257,0.002140839397907257,-0.1349341869354248,0.938073992729187,0.2140839397907257,-0.011355424299836159,-0.06233648583292961,-0.04623071104288101,30430.85546875,13238.2568359375,17192.599609375,30258.14453125,13137.669921875,17120.474609375,0.005675520282238722,0.007598199415951967,0.00419511878862977,0.5675520282238722,0.016615502536296844,-0.8475029468536377,0.2140839397907257,3.5250410586595535,0.4147382080554962,0.4147382080554962,cumulative,beam,0.2140839397907257,0.0,hard_fault_cluster,,missing_mapping,,,False
18,N27267,observe,0.36414843797683716,0.36414843797683716,0.2006542682647705,0.002006542682647705,-0.13173730671405792,0.9406646490097046,0.2006542682647705,-0.011895719915628433,-0.06642819941043854,-0.048993565142154694,30257.052734375,13137.169921875,17119.8828125,30301.98828125,13214.5283203125,17087.4609375,-0.0014851263258606195,-0.0058885132893919945,0.0018938140710815787,-0.14851263258606195,-0.048253074288368225,-0.9042422622442245,0.2006542682647705,3.725695326924324,0.42137718200683594,0.42137718200683594,cumulative,beam,0.2006542682647705,0.0,hard_fault_cluster,,missing_mapping,,,False
19,N12521,observe,0.35861021280288696,0.35861021280288696,0.22072291374206543,0.0022072291374206545,-0.13965806365013123,0.9480822086334229,0.22072291374206543,-0.01171120721846819,-0.06408107280731201,-0.04696520417928696,30302.23046875,13214.8427734375,17087.38671875,30052.984375,13063.3955078125,16989.58984375,0.008225338533520699,0.011460390873253345,0.005723337177187204,0.8225338533520699,-0.0023155994713306427,-0.8789194412529469,0.22072291374206543,3.9464182406663895,0.4334128648042679,0.4334128648042679,cumulative,beam,0.22072291374206543,0.0,hard_fault_cluster,,missing_mapping,,,False
20,N27269,observe,0.35798001289367676,0.35798001289367676,0.2054065763950348,0.0020540657639503477,-0.13551051914691925,0.9492018222808838,0.2054065763950348,-0.012274732813239098,-0.0683068335056305,-0.04979902505874634,30052.6796875,13063.0751953125,16989.603515625,30130.888671875,13159.89453125,16970.994140625,-0.002602396300062537,-0.007411680184304714,0.0010953389573842287,-0.2602396300062537,-0.07286488264799118,-0.9388211816549301,0.2054065763950348,4.151824817061424,0.4206693172454834,0.4206693172454834,cumulative,beam,0.2054065763950348,0.0,hard_fault_cluster,,missing_mapping,,,False
21,N16384,observe,0.3468582332134247,0.3468582332134247,0.2152627408504486,0.002152627408504486,-0.1417168825864792,0.9495189785957336,0.2152627408504486,-0.011689852923154831,-0.06478123366832733,-0.047840431332588196,30131.21484375,13160.345703125,16970.869140625,29921.669921875,13034.123046875,16887.546875,0.0069544133730232716,0.009591135196387768,0.004909723065793514,0.6954413373023272,-0.004203572869300842,-0.8777898624539375,0.2152627408504486,4.367087557911873,0.43073561787605286,0.43073561787605286,cumulative,beam,0.2152627408504486,0.0,hard_fault_cluster,,missing_mapping,,,False
22,N15783,observe,0.354400634765625,0.354400634765625,0.21547287702560425,0.0021547287702560424,-0.13885419070720673,0.9546489715576172,0.21547287702560425,-0.012427808716893196,-0.06856635212898254,-0.049554139375686646,29929.224609375,13033.001953125,16896.22265625,29956.71484375,13085.484375,16871.23046875,-0.0009185080998577178,-0.0040268865413963795,0.0014791582943871617,-0.09185080998577178,-0.07265902310609818,-0.9502504095435143,0.21547287702560425,4.582560434937477,0.427030473947525,0.427030473947525,cumulative,beam,0.21547287702560425,0.0,hard_fault_cluster,,missing_mapping,,,False
23,N15703,observe,0.35556015372276306,0.35556015372276306,0.2032666802406311,0.002032666802406311,-0.13464710116386414,0.956486701965332,0.2032666802406311,-0.01252102479338646,-0.07048572599887848,-0.05141676962375641,29948.3984375,13086.234375,16862.1640625,30044.4140625,13180.8046875,16863.609375,-0.003206035355105996,-0.0072267018258571625,-8.571334910811856e-05,-0.3206035355105996,-0.0923490971326828,-0.9621641337871552,0.2032666802406311,4.785827115178108,0.4259784519672394,0.4259784519672394,cumulative,beam,0.2032666802406311,0.0,hard_fault_cluster,,missing_mapping,,,False
24,N15950,observe,0.3520585596561432,0.3520585596561432,0.22271177172660828,0.0022271177172660827,-0.14139904081821442,0.9602478742599487,0.22271177172660828,-0.012349534779787064,-0.06805507093667984,-0.04924695938825607,30045.69140625,13181.19140625,16864.5,29777.9921875,13020.9970703125,16756.99609375,0.008909737691283226,0.01215325202792883,0.006374568212777376,0.8909737691283226,-0.05199383199214935,-0.9392135664820671,0.22271177172660828,5.0085388869047165,0.4371032863855362,0.4371032863855362,cumulative,beam,0.22271177172660828,0.0,hard_fault_cluster,,missing_mapping,,,False
25,N15954,observe,0.23488849401474,0.23488849401474,0.21053391695022583,0.0021053391695022585,-0.09901571273803711,0.9222620725631714,0.21053391695022583,-0.008749621920287609,-0.0509519949555397,-0.04244226962327957,29778.0,13021.0107421875,16756.990234375,29637.1953125,12936.16015625,16701.03515625,0.004728480242192745,0.006516436114907265,0.003339208196848631,0.4728480242192745,0.2578337974846363,-0.5917631946504116,0.21053391695022583,5.219072803854942,0.45926645398139954,0.45926645398139954,cumulative,beam,0.21053391695022583,0.0,hard_fault_cluster,,missing_mapping,,,False
26,N15675,observe,0.2298010289669037,0.2298010289669037,0.2487325370311737,0.002487325370311737,-0.10148769617080688,0.9244586229324341,0.2487325370311737,-0.008769698441028595,-0.0505034402012825,-0.04185894876718521,29635.82421875,12935.6767578125,16700.146484375,29542.9375,12882.86328125,16660.07421875,0.0031342715956270695,0.004082776606082916,0.002399515826255083,0.31342715956270695,0.2962213158607483,-0.5836720541119576,0.2487325370311737,5.467805340886116,0.5296212732791901,0.5296212732791901,cumulative,beam,0.2487325370311737,0.0,hard_fault_cluster,,missing_mapping,,,False
27,N26764,observe,0.22326795756816864,0.22326795756816864,0.28088873624801636,0.0028088873624801634,-0.1033424586057663,0.9231526255607605,0.28088873624801636,-0.008790416643023491,-0.05004052817821503,-0.04125695675611496,29542.8046875,12882.572265625,16660.232421875,29538.51171875,12869.5947265625,16668.91796875,0.00014531351916957647,0.0010073716985061765,-0.0005213340627960861,0.014531351916957647,0.32499969750642776,-0.5780313238501549,0.28088873624801636,5.748694077134132,0.570671558380127,0.570671558380127,cumulative,beam,0.28088873624801636,0.0,hard_fault_cluster,,missing_mapping,,,False
28,N15957,observe,0.2314537763595581,0.2314537763595581,0.2897828221321106,0.002897828221321106,-0.11145900189876556,0.9257409572601318,0.2897828221321106,-0.008861545473337173,-0.048451315611600876,-0.03919027000665665,29540.046875,12870.3720703125,16669.673828125,29465.61328125,12831.6103515625,16634.00390625,0.0025197521317750216,0.0030117013957351446,0.0021398093085736036,0.25197521317750216,0.3293692320585251,-0.5822736024856567,0.2897828221321106,6.038476899266243,0.5289551019668579,0.5289551019668579,cumulative,beam,0.2897828221321106,0.0,hard_fault_cluster,,missing_mapping,,,False
29,N15684,observe,0.23559194803237915,0.23559194803237915,0.23917227983474731,0.002391722798347473,-0.10927973687648773,0.9257298111915588,0.23917227983474731,-0.008783746510744095,-0.0501895546913147,-0.041450753808021545,29464.458984375,12831.3125,16633.146484375,29556.828125,12915.5029296875,16641.326171875,-0.0031349342316389084,-0.006561326328665018,-0.0004917702754028141,-0.31349342316389084,0.28652743995189667,-0.587149128317833,0.23917227983474731,6.27764917910099,0.44581785798072815,0.44581785798072815,cumulative,beam,0.23917227983474731,0.0,hard_fault_cluster,,missing_mapping,,,False
30,N7694,observe,0.23942044377326965,0.23942044377326965,0.20664557814598083,0.0020664557814598083,-0.10691747069358826,0.9300013184547424,0.20664557814598083,-0.008736767806112766,-0.05123919993638992,-0.04281576722860336,29556.76171875,12915.10546875,16641.65625,29544.154296875,12934.826171875,16609.328125,0.0004265494935680181,-0.0015269486466422677,0.0019426025683060288,0.04265494935680181,0.26297011598944664,-0.5895150564610958,0.20664557814598083,6.484294757246971,0.4688403606414795,0.4688403606414795,cumulative,beam,0.20664557814598083,0.0,hard_fault_cluster,R2144_U247,structural_exact,NAND,False,True
31,N15947,observe,0.2348199486732483,0.2348199486732483,0.26219478249549866,0.0026219478249549866,-0.10970957577228546,0.9311709403991699,0.26219478249549866,-0.008799395523965359,-0.04983991011977196,-0.04099605977535248,29545.404296875,12935.5625,16609.841796875,29393.61328125,12839.94140625,16553.671875,0.0051375506445765495,0.0073921093717217445,0.0033817251678556204,0.513755064457655,0.3134261704981327,-0.5815981216728687,0.26219478249549866,6.74648953974247,0.5546804666519165,0.5546804666519165,cumulative,beam,0.26219478249549866,0.0,hard_fault_cluster,,missing_mapping,,,False
32,N15678,observe,0.23252439498901367,0.23252439498901367,0.29248568415641785,0.0029248568415641786,-0.11090973019599915,0.9335309863090515,0.29248568415641785,-0.008827390149235725,-0.04921442270278931,-0.040182650089263916,29392.23828125,12839.4951171875,16552.7421875,29341.271484375,12801.2421875,16540.029296875,0.0017340222839266062,0.0029793172143399715,0.0007680232520215213,0.17340222839266062,0.3432776555418968,-0.5762348473072052,0.29248568415641785,7.038975223898888,0.6099211871623993,0.6099211871623993,cumulative,beam,0.29248568415641785,0.0,hard_fault_cluster,,missing_mapping,,,False
33,N15951,observe,0.22997134923934937,0.22997134923934937,0.31743550300598145,0.0031743550300598142,-0.11073967814445496,0.9352949857711792,0.31743550300598145,-0.008844748139381409,-0.04882659763097763,-0.03967829793691635,29342.6484375,12801.7041015625,16540.9453125,29303.13671875,12771.232421875,16531.904296875,0.0013465627562254667,0.002380283083766699,0.0005465839640237391,0.13465627562254667,0.3682556748390198,-0.5712921917438507,0.31743550300598145,7.356410726904869,0.5664754807949066,0.5664754807949066,cumulative,beam,0.31743550300598145,0.0,hard_fault_cluster,,missing_mapping,,,False
34,N12069,control1,0.237930566072464,0.237930566072464,0.24903997778892517,0.0024903997778892516,-0.11044676601886749,0.9383562207221985,0.24903997778892517,-0.008692512288689613,-0.052227992564439774,-0.04410163313150406,29301.9375,12770.8681640625,16531.0703125,29459.76171875,12912.3828125,16547.37890625,-0.005386136006563902,-0.011081052012741566,-0.0009865419706329703,-0.5386136006563902,0.3181449696421623,-0.5724021792411804,0.24903997778892517,7.605450704693794,0.4496207535266876,0.4496207535266876,cumulative,beam,0.24903997778892517,0.0,hard_fault_cluster,,missing_mapping,,,False
35,N12084,control1,0.24150851368904114,0.24150851368904114,0.20058077573776245,0.0020058077573776247,-0.10942323505878448,0.9388927221298218,0.20058077573776245,-0.008588695898652077,-0.05454755201935768,-0.04711809754371643,29459.80078125,12912.3994140625,16547.40234375,29511.65234375,12989.55078125,16522.1015625,-0.0017600784776732326,-0.005974982865154743,0.0015289881266653538,-0.17600784776732326,0.28060390800237656,-0.5740012153983116,0.20058077573776245,7.806031480431557,0.40713755786418915,0.40713755786418915,cumulative,beam,0.20058077573776245,0.0,hard_fault_cluster,,missing_mapping,,,False
36,N7548,observe,0.3454108238220215,0.3454108238220215,0.2065567821264267,0.002065567821264267,-0.1329343318939209,0.9752261638641357,0.2065567821264267,-0.014033927582204342,-0.07837925851345062,-0.055082641541957855,29511.6484375,12989.3037109375,16522.345703125,29787.17578125,13162.173828125,16625.001953125,-0.00933622382581234,-0.013308651745319366,-0.006213176529854536,-0.933622382581234,-0.22160981222987175,-1.1079470217227936,0.2065567821264267,8.012588262557983,0.408862367272377,0.408862367272377,cumulative,beam,0.2065567821264267,0.0,hard_fault_cluster,R2144_U101,structural_exact,NOT,False,True
37,N15711,observe,0.34526944160461426,0.34526944160461426,0.20230558514595032,0.0020230558514595033,-0.13169483840465546,0.9749050140380859,0.20230558514595032,-0.013830107636749744,-0.07821250706911087,-0.055612921714782715,29787.140625,13162.4248046875,16624.71484375,29782.58203125,13187.2734375,16595.30859375,0.00015303898544516414,-0.0018878461560234427,0.0017688273219391704,0.015303898544516414,-0.2058001644909382,-1.0887081138789654,0.20230558514595032,8.214893847703934,0.3998919725418091,0.3998919725418091,cumulative,beam,0.20230558514595032,0.0,hard_fault_cluster,,missing_mapping,,,False
38,N12064,control1,0.34388095140457153,0.34388095140457153,0.19758638739585876,0.001975863873958588,-0.13364867866039276,0.9754931926727295,0.19758638739585876,-0.014471974223852158,-0.08122827857732773,-0.056787699460983276,29782.611328125,13187.271484375,16595.33984375,29710.3671875,13184.91796875,16525.44921875,0.002425715560093522,0.00017846873379312456,0.004211460705846548,0.2425715560093522,-0.2741178423166275,-1.1539275273680687,0.19758638739585876,8.412480235099792,0.3909916579723358,0.3909916579723358,cumulative,beam,0.19758638739585876,0.0,hard_fault_cluster,,missing_mapping,,,False
39,N564,control1,0.34495365619659424,0.34495365619659424,0.19340527057647705,0.0019340527057647705,-0.13334818184375763,0.9743973612785339,0.19340527057647705,-0.014346698299050331,-0.0812871977686882,-0.057297997176647186,29714.05078125,13184.765625,16529.28515625,29772.17578125,13231.3701171875,16540.8046875,-0.001956145279109478,-0.003534722840413451,-0.000696916482411325,-0.1956145279109478,-0.2668671980500221,-1.1427191719412804,0.19340527057647705,8.60588550567627,0.38303619623184204,0.38303619623184204,cumulative,beam,0.19340527057647705,0.0,hard_fault_cluster,U2431,structural_exact,AND,False,True
40,N640,control1,0.3469734489917755,0.3469734489917755,0.189630925655365,0.00189630925655365,-0.13355819880962372,0.9735599756240845,0.189630925655365,-0.014335997402668,-0.08155608177185059,-0.05764295160770416,29771.919921875,13230.638671875,16541.28125,29819.2734375,13270.22265625,16549.05078125,-0.0015905428444966674,-0.0029918423388153315,-0.0004697055264841765,-0.15905428444966674,-0.27040883898735046,-1.1428020149469376,0.189630925655365,8.795516431331635,0.37520861625671387,0.37520861625671387,cumulative,beam,0.189630925655365,0.0,hard_fault_cluster,U2507,structural_exact,AND,False,True
41,N519,control1,0.3490242660045624,0.3490242660045624,0.18557769060134888,0.0018557769060134888,-0.1329130232334137,0.9731038808822632,0.18557769060134888,-0.014408543705940247,-0.08212544769048691,-0.05803673714399338,29826.349609375,13273.623046875,16552.7265625,29866.4453125,13310.3486328125,16556.09765625,-0.0013443047646433115,-0.0027668094262480736,-0.0002036579098785296,-0.13443047646433115,-0.2821727991104126,-1.1511839777231216,0.18557769060134888,8.981094121932983,0.36335280537605286,0.36335280537605286,cumulative,beam,0.18557769060134888,0.0,hard_fault_cluster,U2386,structural_exact,AND,False,True
42,N7715,control0,0.3532215654850006,0.3532215654850006,0.1771068274974823,0.001771068274974823,-0.12936203181743622,0.9734833836555481,0.1771068274974823,-0.014510724693536758,-0.08310462534427643,-0.058793798089027405,29864.43359375,13303.9599609375,16560.474609375,29943.2109375,13384.064453125,16559.146484375,-0.0026378314942121506,-0.006021101493388414,8.019848610274494e-05,-0.26378314942121506,-0.30048225820064545,-1.1634249165654182,0.1771068274974823,9.158200949430466,0.3408707082271576,0.3408707082271576,cumulative,beam,0.1771068274974823,0.0,hard_fault_cluster,R2099_U4,structural_exact,NOT,False,True
43,N7823,observe,0.35993748903274536,0.35993748903274536,0.1637638807296753,0.001637638807296753,-0.12850326299667358,0.9821932315826416,0.1637638807296753,-0.01495036669075489,-0.08336979895830154,-0.057541996240615845,29934.333984375,13387.763671875,16546.5703125,29927.744140625,13403.80859375,16523.935546875,0.00022014332353137434,-0.0011984766460955143,0.0013679430121555924,0.022014332353137434,-0.34907955676317215,-1.2085473909974098,0.1637638807296753,9.321964830160141,0.3119017481803894,0.3119017481803894,cumulative,beam,0.1637638807296753,0.0,hard_fault_cluster,R2099_U112,structural_exact,NAND,False,True
44,N872,control1,0.36355483531951904,0.36355483531951904,0.1481378674507141,0.001481378674507141,-0.12768588960170746,0.9905974864959717,0.1481378674507141,-0.015537513419985771,-0.08487159758806229,-0.057181037962436676,29928.216796875,13403.60546875,16524.611328125,29936.33203125,13415.42578125,16520.90625,-0.000271156633971259,-0.0008818755741231143,0.00022421574976760894,-0.0271156633971259,-0.4150159880518913,-1.2690675035119057,0.1481378674507141,9.470102697610855,0.26543549448251724,0.26543549448251724,cumulative,beam,0.1481378674507141,0.0,hard_fault_cluster,U2740,structural_exact,AND,False,True
45,N767,observe,0.3740268051624298,0.3740268051624298,0.11729762703180313,0.0011729762703180313,-0.12452862411737442,1.0028893947601318,0.11729762703180313,-0.01668810471892357,-0.0876222550868988,-0.05625405162572861,29936.123046875,13415.421875,16520.701171875,29940.041015625,13436.537109375,16503.50390625,-0.00013087762636132538,-0.0015739522641524673,0.0010409525129944086,-0.013087762636132538,-0.5486234501004219,-1.3887637164443731,0.11729762703180313,9.587400324642658,0.21266895532608032,0.21266895532608032,cumulative,beam,0.11729762703180313,0.0,hard_fault_cluster,U2635,structural_exact,AND,False,True
46,N6732,control0,0.38121458888053894,0.38121458888053894,0.09442010521888733,0.0009442010521888733,-0.12221820652484894,1.0057011842727661,0.09442010521888733,-0.01744919829070568,-0.0907786637544632,-0.05716785043478012,29939.8828125,13436.76953125,16503.11328125,29995.123046875,13501.453125,16493.669921875,-0.0018450383795425296,-0.004813924431800842,0.0005722168716602027,-0.18450383795425296,-0.6447985395789146,-1.4698895066976547,0.09442010521888733,9.681820429861546,0.1970350369811058,0.1970350369811058,cumulative,beam,0.09442010521888733,0.0,hard_fault_cluster,R2358_U206,structural_exact,NAND,False,True
