* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/max_aig.bench.
test   21: 11011011111001111000100001111110000001001110101001110100100111000101111100101001011011111100111101110001111010010100011000100010000110110100000000111010110100001001011101110110000111011101101101011100101001101101100010111110110011111011101110011010100111101111000010101101000111011001000001110011110010111100100110101101100011101100001100011011101010110011000101111100101111001111100011010001100111110101000101000101111111110001101110101101010100010011011010010100100100111100010010111111110111111001010000110111 101111001111001000000110111000001010110110110010011010100111011101001000111111111011011011010001001001101111000011101011110111100   24 faults detected
test   22: 01111001111000001011101001111011101111011100000101010101100001000010001011000010010011001011000101011111111111011000101111100110110111010010010100001111101101011000110011101111010101000010111011111110100000001000010011011000010110001111111010100101111011111100111000110100010010001111101001100101000000100111010011000110110001100110011100010000000010101001010010101010111000010100110001011111101010110011110110100011000111100011100110000101100011110011000010000110101001001000000000101010010110100011111111000101 000101110110110011110011111101011111111000011111110000001111100001000001010100001010111001001001111110101111001010001010001111110   20 faults detected
test   23: 10110101110100000010010111110001111011101100000001111110001111101000001011000001010110010111110111001101101110010111111000000011010010101100010011001110010000000001100111000001000111100000101111100111011000010010011011110001010010010000011110000101100101010111101101101100000001011100010101101010011111010101110101010001001001010111101011111100001110110111011010000100111010001000011111100000110101001110010101111110000101010011011111111001100101110010010100001010110000001011011010110010010000011000100111101010 110010000000110100000111110010000101000011001111110000101010110011010001011010010111111100110001111100111001001010000010100111101   22 faults detected
test   24: 01001110010000000001100100001101010001011100010011010000111101110111101011000110011100011101101011001111011101110101100011010111010001111111001001010000001000000111000010000101110110101111010001010111111110101101000111000101010000010011101111000011001010101011000001110111111101101011110011001100100101111110001010001011001010010100000011000110111100101001110101011110111100100000111100001010001110000101011000100101101111011101001000100110111001100101001000101111110101001101100111110100111000111110110011010111 110000000100001111001111100111110000001101111111110011111010101100100101000100111111001100000101011011001110101000000100100101100   10 faults detected
test   25: 01000100011111111110010001101011100010100000001111001111000001001111000010001000110000010011000010010000111010101000011111000101101011010001010101000100111101010000111010001010001111100100000110000011011101011101000010101010101100100100001011100101001111111001001011110101111110011111000111101011000101010000110111011111001010101011101011011000110101010110000110100001010111111111111010101110001011010100011110110100110110011110011100110111101011110011010000010000000011010111111110110001000011111100001101100001 001000110011010100111011110011011100000010000010110000110100100100010001111100110010110110111000100010001000010101110100001101100    8 faults detected
test   26: 01011100111101100111011110101011101111011100100110100001110111111011011111110011001010001111010010011101100100100110101011100011010011101001110100011101000001111001101010001110000010110001111101010001011111001000000100100110100100000001101011100110010000100110101101110001011011011100110100001100111000111110100100111010110010000001000001100110110111101111011100000001001011110101110111001111010000000000111111101001101101000011111010000001110110011001111010110011100100100111001101111000111101111101111011001101 110010101100010000010111110010110111110111010011000011101010101001101011100110111110001001000101001111100100101011010101101000001   28 faults detected
test   27: 00001111111011100010110111001011100111011110101100000101000011011001010111100001111100110010101100001110001100011010010110110110111100111101011111011001000011111000001100101110100001111001111001010010000100000001100101100011000101110010010001000110011110000011110111011101111101100000101111000000011000101111110000111010011001111010110011000011100011011100111000011010001100000101011011000110010101001010010111011000101000101100000010110001111111100010000011000101000001000111100111010101001000000011111010000001 000101010011100000111010101011100110111010000101000000100111001000111001110010100010111100100010100100000100111111111100110010001    3 faults detected
test   28: 11101010100001010011111100000101100101100100110111111001110001001010000001010010001110111010101100101001111010011011010010100001110010110111001101010110110111010010101100100111000110101001110101100100110110001110101110001100100010100001011101000011000010010110100101110111001001111101011100111110101010100101101001010100010111000100000101011100001101100100000101101111000010001011110000011101010101111011011001110000110000001000111101001001100001010001101100100110001100000101011101010001011111011110110010011101 011010110111011110101110100110000001100111010010011101000001000110100010010100001010101111011101101111001000111011100001100000100    5 faults detected
test   29: 01101000111100011010011101111111000010000110000111001111101110101100011011011011011110101011100011010011100011111010100100010100010011100001001110101010001110101100110100101010110010011011001101101001011101100011111000111100000000010011111110100100100110101010111110001001001110111101000001010100011011101110010110100100000100000110000000101100111001011010111000000011001011110011100101101001000111001000111000110001000110011011111000110010111010111100011011101011000010101001100001000000110100010100110101011111 100101001110110110010001101001101101001011010001110000111110101001100010010000001001001000101110000000010110111010101110101111100   36 faults detected
test   30: 01001010100011100111100011011001110001010111010101000111010011010011000000101100100101001011010010110010011101110100101010111000000001100011000001110010111010100100110101100110101101110100110111101001111110100001011011101010111011001000000111110011110011110000001101111010101001101100100001001110110011101011000100001001110101010000111000001001100010101100100000011100100001001000101011110110110110100011111001111011010001011000011100010110001011110110101000010100111101011110001101111110111000001000101000100110 100010010110110010011011111000000110110100010100101100000100001000001000011011110000010111011010010100110111100000110000101010101    3 faults detected
test   31: 00101110001100011110101101110011010101100110100011110000111010001010010000110100011001010100000100101011000011011111010111111001000101001100001101000110011110100110010101000100000110111001011000110010111101111101010100100011100101010010101100001011110111011010010011111001001011100111101010111111000110010101010011000111100111011000010100010001000001111100000000011100101110000001000111000001010000010000010100000010000001110110110000000010110000000100001011010010101100001101111000000000111011111010010100111111 101010101100000000000000000100000001001011100100001001110011000000010001111001010100000100000100011111101010111000110011100111100   27 faults detected
test   32: 10110110011001110101010001001001000111111011100110000000110111001010001100010010010000011101001110110000001000000010111000100011000000000010011000011010010010000001111110010100101000001111111111000001001011001100010101010100110110110001101000001111000110101100010010000100110000100111000100001000000000111101110111110100100000001011000010110101110100111111110011101000011010101110001111000010100000111010010001001110001100100101110001100101101001101011001010101111100110001011101001101101101010000000000101011011 101010001101001000010000000010001100111110000000010001110101101100000010000010001011000111011010011110001100011101100111110001100    4 faults detected
test   33: 00100110011010011111010010110111111110011111100101010010101001110011101111010100011110011011011101111011010010111011101110110100010001101100010000000101011000110110110001011011000110101000110110101000111001011001011000100011000001000011110110000011001010111000100000101111001100111011110111111010011000111100011101100110110001110011100101100101111010001011000100101111111000111010001010000111101000011010010110000110010000001111011011100010000101101010010110101011001101110000100101101110100110110101100101101011 110001101001110010010101100101101111100101010011010000100111110110100111101010101110001000001011110111110110011101000100100101100    5 faults detected
test   34: 00100100000000101100100011101010100101011110111011101101111001111111001010100001101111101111001000010100010001011111110101110011110000000110110110001001011110010110001010100111100010001111011010111010111101001010110110100001110010101000100011111001011001111001111010010110011011001110111010101111100011101011011100001101000101001001011000101100000001101101101110000100001010011011110100001011111111011011001110101100000110010101111111101010001001100000001000001101011011000001101001000111111100011011001010100100 011011101101010111111100000111010100100100010011001010001101000110001101100011010100110100011001110010110111101011101101011010101    2 faults detected
test   35: 10001111110100110101010011001100001100101010010000001101011100011101100101010011101111111011110011001000011101011111100011001100011011111001000000110101100011100011000111010110100101101101010001000011000010100101011010000100001010011000010111101000110101110100001110101010110111001100001110110100100101000000001111001111000101101110111001111010010010110101011011000111001000010111100011100100010101111010100101011101011110100110110110001011110110010000110110001000101011101010101001011001101010111010010100110010 100010110101001010000111011001010001111011101000001100001010111111101001100001011001010000000011010101011001000011001100001101101    8 faults detected
test   36: 01010101111110010000001010100101110110101011100101001000001110000011100111001110100101010101011001011010001001011100101101000010100101000110011000010111010110010000001000000011011110001111110101010110001000011100110110100011110111010100101100000111011011111010011000101111101011010000101000101010100011011101100101001100010000000010010010000101001000001100111000111101100011100000101110111110101111011011010000011000011001000111101011010010111001001000010000010101010100110110001001111110011110000110001000000111 111000011100001111011111001111001000011010101101111111001010100000000010001100001010010111100101011111010110011101111011001001000   13 faults detected
test   37: 01100001100001001011101001011010010001011110001100011011101001100100110101101110001001000110001100011001000000011010010001111011000011010000111010011000110110000101011001110000110100101011011010000110000110001011111101001010110101010011111001001011001110100000001001000011101100011000100111011100110111011100001100000110011010101101110110011010110010011011100000001000100010100101010010101010010010101111000000100001111010000111000100100100011001111111001010011111101000100000100011000100011001100100010001111101 110100001010001100110011101100000111011010100100010011011110011101010100000011101100100110100101101001011010001101001000101001100   15 faults detected
test   38: 01110111011010010001000010111010001000001011001001110011010110011111000001111110111011000101100100101111111100100100000010010010101000010100000111111101100010100010100101011101001001101000011101000000100101001111111000100101101101000000011111100110001001110101111110001000100011000000001000011111001101101101111110001010011011011100100101110110011000011011010111001001011110010110001001100000101111011100000001100000011011110001001100001001010000100010001111010011111000000011100111000110101010100100011000011011 111010000010000110011100011010100000001111000111010101110110100100110101010001101110110010111010011010000000010110101101101000100    8 faults detected
test   39: 11001001001110110100010000101010011101011001001111101011001101001111100011101010011010000001101101010101000011101000010010011101101101110111101010111100101100010111110110101010100000101111111011000101110100111101001101110000001011011101001100101101011101100010001110100000100011100111011101011111001011001111001111101000101001001110101100001001010001101010011100011111010000000011001010011000010001111111010001000101010111000001011111011111110111010110111001101100011101111100110111001110111001100011000101011010 001100000000001111100001010110100101111100010101101110110111000011011110101100111011101010110110111010101010110110011010010010100    7 faults detected
test   40: 01010001101000010110011101000010010000101110100011001001101110010111011100100111100100001000111001110111100001000010000101000101110101100111111100011001111000111110001101010111010101100101111100011001111011111111111100011110010111100101001100110100110101101100101110000100001010101010111110000100000101111101111111011111111110010001001001111111111010001101000011010100110001011100000001101010100010010011010111010011001111011111010000100011011000111100010011110000001001010111010101011000000100001110011111110111 000100100111010000111010010100001110111001000011011110110101011010001010110110100011010111100111110010010110101000010001110101101   10 faults detected
test   41: 11110100101110111010110101100001011011100100100101101001111101101110101111111101100000100100001010101001110111000100101110000100010110010100011101000111101010011011111000011110110100100000000011010011001000010110001010111101010110110110100101000011001011110111001010111111101100111010110010010100011011111100111111011000001100011111100001010010010101011100001101110100000111010110011010011011101011000010011111010110011100101100010100100111010111101011110000111001000110001011011111111101001011010010010000001101 011100101100110101110110101101001100000000101110100100110000001010011111011110011011100011001001001010000110110011010111100001100    3 faults detected
test   42: 11100001011111111000110101100101010101000000100000100000111101111001010010111111010010010001100011010000111011110011001100000110011011111010110011000110101010011101110010111101101111011110110110101011001001110101001100010010001000001011100101100100100011011101010111000100101111010011101100001100111010000010111011010100111110001100010000111101001100001111011110010000010001011001001001100101101011101110011000001100011101100011101100110010110011000111100111101111110010001111001111110111010001011000001000010100 011010011100101110111100101010011011011000000011010110100110100001100000011001110000111011110111101011111011011110000001000101100    5 faults detected
test   43: 11010111000110110001111101010001111001111011000110000000110111100100000111000111000001100010111100001000010000101011100010101000010111000101100011000011000000011101001110011000001010000011110010011001111001100011110101011000100100110000111100110001110100111111001101111111000011000011111010110101001000101010111011010111111000010110011100011001100000001100011101001101111110111011011010011011110001000100111100000100110011010000101001000110011000101111110100010011101010111100101110110110100001010101111101001111 100110001000100101010001100001110010110011110000001010111001110110001001011100001110000001000011110100011001110001101001010110101    4 faults detected
test   44: 10111011111100001100110100110011000000101100110001111011011110110011010110100010010110101011010110110101001111110001110100011000101110001010110101110101100001101011111011101101010110011100010101011011010100010101011101100100100011010001010101101010101001110101100001110000011100011110000001111010110001101001101110001001101110011111010101111011111000001110001011010010100110100010110010010001100100000100110001011111100100001101100000001001001111011100010100111010000000011011100111000100100101010000100101001111 100101110100010000000100010101100101110110110010100001000110101101110011010101111010110010111001011100111100001000010101000111000    3 faults detected
test   45: 00001000101110110011111110001001001010110000101100110011100000011011010101110101001011001010101101000110111000110111010000000110001010010011010000001100100110000100011011010100111101100000000001100010000011100011010010011101010101001011101001000010010010010010011010111111110101011010010100101101101100110110110111001111110101001011001100011011011100100110000000011101111100000101011010110000001110111000100001110010011011100001010001001101010110101111101101111010101111101001101010010011100111000101110010101111 101000011110000101010001010011100111010011110100111111010100111011000101101111111101101000110101010010011011111111101000100001101    3 faults detected
test   46: 01101111010100101001010111010000111110001110010111110111101101001011001001101010000000011110100000110110010010101001011010000000000111101011001100111010111110000010011110110011010011110000011100011110000100011011000001111011110111011000101011011000110001010101010011100111011101001011111000111011110001001101100011000001000000101011110100111100011111000001101001000011110001010100110100010000100110101100111000001010001101000001111010111111111111101100101101101011100011010000001111001000110101010001000111110110 001011010111111000101111110000010110010100110100111001000100111000001111011010110001101111110011101100010001000111001111011001001    3 faults detected
test   47: 00110101101010100011000101101001110011111111011011011011010110100010101101100111011101100100001100100010101010000011110000001111110011010000100100101101000110111111101101011010100010001011110101001101001010001100000110010100001001001111011100011101110100010011101110010011010101000001111011101010100001001001010100111010100010110001100110110110100001100100001100000110001011101110000101101101111100001100101011001010101011010111011110000001101111111001000111001100000110101011010110110010111111110101011001100000 110100111100011010010001100111000101110011001110100100000101000100111011110111101110110110001011111001111110001001110010110110101    4 faults detected
test   48: 01001101111111001001000101101011011000101011001100110111000111111000110000001001011110011010000010001111110011001010100011010011000011111000001110000001011111101100000100001100001011000110000010001101110001100011011111100001110000011100011010000010110110111010001011111001001100101101000000000111101101010111000000000010111111011000110001010001000111000110001000101000001010010010110000010000000101000111001000001100110111001100101101101011011000001101001011010100110001001110000110011001100001010110111011111010 000100111010000101100111100010010000001011100111101010111010101011110100001101010110101000111011110111111011000110110101000000101    3 faults detected
test   49: 01001000011001100010100010000110111010001110111110011001000101011100001100010011011001110100100000101001111110100001001001010011100011100101010100011111100010000001100110110101010111001111111011110001001110010001011011100001000101011000100111000000100111101010101101010010110011011101001000010110110011011101110111011101011010101011101111011000110000001110101100100010011100011000101010110011101111010111000100101001000110001000000100000001111010101000110011100111011001011101001101110000111010111111011110010010 100010001100111011111101110010111101111101001010000001110000001111001010001110010111101100001101100001010101000000100000000111100    1 faults detected
test   50: 01100000100011110000001011110111100110001111010111111000110011000101010101010001111101000011010010010000001011011110010101101110011000100010010011001011000100010100111000110111011100101100001001001001000010010110001100000100111010100011011011111110110001100000001000010001111110101010100001011101011111110000111100010111001101100000101011001101101010010000101000010001000100101000110111111101111111111110000111100110011011101100010001000001010010000001001111001010010000000010100101011011110101101011010100110001 111011100011001100111101001101010010001100000000000100111000111001001100000010101100110101111110001001101111111100001000110010100    2 faults detected
test   51: 11110001001010111000010100001101111101110000101000001101100100110011000000000101110100101101010101000100011111011100110110010110111110011100110000000111011110000101100101000010010011011100001001100010101100010001011100001111010010110011111100101000101010001001100111101001110001111001011010110101100100101100110000001001000001011010000001111101100100110010100100110001010101100111010010110001000100011000010000101110111001100001100111110101010110100110111111000100011111011110001010011001110000010001111100111011 100100101000100111010101110011101110010011100110101000110010011111100001011010010000101110110101111011010010101110010101100011101    2 faults detected
test   52: 10000101110011100110001000011101010111010000000110110101111101001100001011101111100011010101111001100011000001100000111001111001010100101101100100100000010001010100111110100100111101010110010010100111100110010111001110010001000110101101011100011110010110101110001101000101011100011010101010000111100010001110010101011011001101011001101101010011110111001011101010101100001100000010000100101100101011001110010010010110111001110000010010111101001001110000000111110000011011110100010011101010110011000001101011100110 011111000000001011010110000001100000011110010001111101010101010001001111010110011001001001010000101001001110101011100000110100101    1 faults detected
test   53: 11011110100111100010111010101111000000101100101000011001100011110001011111001100111110000010001111010111010001000010100011010101111001010111000101100101101000001011110000010001110110111011010101110011011111111110100001011011101000010110100011110101100001000101000001111101000110011001000010101100100111001111010100101001001000110110110010001000110011101011111100110000000010000000001111100011010111101101011010110011100101011111101100011101011000010011001000111100101001111001001111101011101110111011110111001101 111000000011001010001000111100010111110111000001010111100011100001110101011010000110010000011101010011100011111001101101111011001    3 faults detected
test   54: 00111111111101111000011111011010011010000100100010111010000101110000100101011010001001111100111001011011111010101110001001011111101100101011000011000100110010000001011011001001110100000011110100001011110111010001110111001001110011001100000111100100000111000010011111011011101011000101000011001111100010111110111101100010100100010100011110001100010010110111000110110000010001000110000000000010101010101110101110011101100111110100010010000100010100111111111001110010010010100100110110011101111010000011101010011101 101010011001000110001110001111000100110001111111011011111001011110101101001101000100111010110100101111010010100111011110101101101    2 faults detected
test   55: 11101111110101110110101101110010110101000111001100001111010110111100110000000101101011001110111000001011010100110000011101110110001100111110100011110010111101011000000010010010110011010011010001111111100010011010100111010011000101010001001010000000101011110110110000110010100010011001111111111110011101100101010011000000110010011000010011001100011111011011000011111011101010111001000110010100111001001111000111111101110011001111111111011010000101010101100101101010110101000000110110101101110011111111111010111100 101101111111011011101011100101011000000100101100110111011011110100111001100000101001111011101110111111011010000000101010111111101    1 faults detected
test   56: 00111100001101011101110000101000001011101010110110000010111010000110100100011000111110010011001010010101100100011111000000100111001111011010110010010101101111101011101110101110100010100100010000000110110000000011100100101110010001110101110001111100111110110100110010111110111101101001011010110110011011000111101100011001110110111111011011000010000010000010111101011010101100011110010100111110011101001100001100001010111001001101111000010111010100111101110011000101110001001001001101110101000110010101101010001111 100101001101001000111011110110110101000110001111100100100000000000111111001001110010011001011010111011011000111011101010100011001    1 faults detected
test   57: 10101001010010001001100101111100100010011001001001100110001110011000100000011111101111000001101001101010011100110010010000111111010011000100110100000000101011010010110100001101100100000100101011001010000010101101000100111110000100000010100000011000010010010110011100101100011011001000010100111000110011000101101010101010001010001011111101100101100101000100011100001110110101101110110011010010010110011000110111111110001100110110011110011001010110101111001100011111110111111100000101100001100011010100011111000010 011000011011000010010001000011100001001001011000001100001101010001101100110101010011101101001001001001110000010110100110010000001    1 faults detected
test   58: 11100011011111001000001100010011101101000101101001000010001000111001100110100010010010010110001111001000011010011111110110110001100010011100100111001010001101011010000110010000100000010101000010010011010110100111110010110111101100111100010001101100111001101011000100101000100010011011101011111011001000000001010111000001110011000100100101100111111111000010010000000110000001110000100101100101111100101101010110100110111101000110010100011000010000011111111111010000101001100101100001011100001011101001011011101011 110101100101111010011110101100011011000000010000101100110001111100100010100110111001110010000001101101011100000000000101001111111    2 faults detected
test   59: 00001110010110001001110111100011111001000100011111011111001110000001110011010111111010000111000101000100001001011000000001010000110011010000010111111000110111010100011000101111010011110110000110000110001101000110101101111011111110011111000100110101001000111111010100110010001000010101111101110101101000001010011101101000011010010110100101101100010001000110111100000010011100101000110001101011100100011011000010010100110010110011011100011000100110011111110011011100000110000000101111110101100100001001001110000000 001000110111001111110011010100110100001000010100101100101011101010011111111001100001111101111101101010010011111000010100001001000    2 faults detected
test   60: 11110011011001011111001110010111000110110101010101111001110101010110001000101001110101000111000100101111111110110001111111000110111000100101011110001001101110011000111111100010001001101011101101011111001100111011011001101110010111010110010100101001100111011010010010101001010101101101100110000010100001001100010110001100001010000111100110110010001011101001011100000111001000110010100101000110000110110100110011010110011011101001011001101001101110001001101101001110110010111011111010010100101111100110011000110100 011011010111010101100010011110011111100010011111111001001100100010010110101010101000011111100000011010001011101110011011000111101    1 faults detected
