benchmark_id,sequence_id,step,net,type,insertion_sequence,delta_test_coverage,status
subckt_0020,structural:subckt_0020:00,11,__aig_not_12754,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,12,new_n5598,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,13,__aig_not_11921,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,14,__aig_not_12738,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,15,new_n5578,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,16,__aig_not_12709,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,17,__aig_and_12677,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,18,__buf_split_7496,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,19,__buf_split_7467,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,20,new_n5589,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,21,__aig_not_12747,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,22,__buf_split_7515,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,23,__buf_split_7510,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,24,new_n5587,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,25,new_n5595,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,26,__aig_not_12681,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,27,__aig_not_12710,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""},{""net"":""__aig_not_12710"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,28,__buf_split_7516,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""},{""net"":""__aig_not_12710"",""type"":""CP0""},{""net"":""__buf_split_7516"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,29,__buf_split_7488,CP0,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""},{""net"":""__aig_not_12710"",""type"":""CP0""},{""net"":""__buf_split_7516"",""type"":""CP1""},{""net"":""__buf_split_7488"",""type"":""CP0""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,30,__aig_and_12746,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""},{""net"":""__aig_not_12710"",""type"":""CP0""},{""net"":""__buf_split_7516"",""type"":""CP1""},{""net"":""__buf_split_7488"",""type"":""CP0""},{""net"":""__aig_and_12746"",""type"":""CP1""}]",0.0,ok
subckt_0020,structural:subckt_0020:00,31,__buf_split_7513,CP1,"[{""net"":""__buf_split_7025"",""type"":""CP1""},{""net"":""new_n5599"",""type"":""CP1""},{""net"":""__aig_not_12684"",""type"":""CP0""},{""net"":""new_n5600"",""type"":""CP1""},{""net"":""new_n9467"",""type"":""CP1""},{""net"":""new_n5580"",""type"":""CP1""},{""net"":""__buf_split_7027"",""type"":""CP1""},{""net"":""new_n9466"",""type"":""CP1""},{""net"":""__aig_and_12694"",""type"":""CP1""},{""net"":""new_n5596"",""type"":""CP1""},{""net"":""__aig_not_12754"",""type"":""CP0""},{""net"":""new_n5598"",""type"":""CP1""},{""net"":""__aig_not_11921"",""type"":""CP0""},{""net"":""__aig_not_12738"",""type"":""CP0""},{""net"":""new_n5578"",""type"":""CP1""},{""net"":""__aig_not_12709"",""type"":""CP0""},{""net"":""__aig_and_12677"",""type"":""CP1""},{""net"":""__buf_split_7496"",""type"":""CP1""},{""net"":""__buf_split_7467"",""type"":""CP0""},{""net"":""new_n5589"",""type"":""CP1""},{""net"":""__aig_not_12747"",""type"":""CP0""},{""net"":""__buf_split_7515"",""type"":""CP1""},{""net"":""__buf_split_7510"",""type"":""CP1""},{""net"":""new_n5587"",""type"":""CP1""},{""net"":""new_n5595"",""type"":""CP1""},{""net"":""__aig_not_12681"",""type"":""CP0""},{""net"":""__aig_not_12710"",""type"":""CP0""},{""net"":""__buf_split_7516"",""type"":""CP1""},{""net"":""__buf_split_7488"",""type"":""CP0""},{""net"":""__aig_and_12746"",""type"":""CP1""},{""net"":""__buf_split_7513"",""type"":""CP1""}]",0.0,ok
