[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_toplist_sa/best_final_horizon/old2_new1
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 budgets=iscas99__b15_1:278
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.226360 sequence=25.477711
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.531020 sequence=27.008731
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.907269 sequence=29.916000
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.128360 sequence=33.044359
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.990846 sequence=35.035205
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.878540 sequence=39.913745
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369741 sequence=46.283486
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908003 sequence=52.191489
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871417 sequence=55.062906
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.167052 sequence=62.229958
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=5.343943 sequence=67.573901
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.413752 sequence=73.987653
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_residual_context=3.447725 sequence=77.435379
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=1.600710 sequence=79.036088
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_residual_context=4.468035 sequence=83.504123
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_residual_context=6.105679 sequence=89.609802
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_residual_context=4.057722 sequence=93.667524
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.919728 sequence=94.587253
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.342511 sequence=102.929763
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=0.416243 sequence=103.346006
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=6.108170 sequence=109.454176
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_residual_context=3.598449 sequence=113.052625
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_residual_context=1.244770 sequence=114.297395
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_residual_context=0.796253 sequence=115.093648
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=2.312434 sequence=117.406082
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=38 node=N3805 type=control0 q_typed_residual_context=0.937504 sequence=118.343586
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=39 node=N3911 type=control0 q_typed_residual_context=0.838394 sequence=119.181980
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=40 node=N3896 type=control0 q_typed_residual_context=0.871374 sequence=120.053354
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=1.941560 sequence=121.994914
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=42 node=N3889 type=control0 q_typed_residual_context=1.055463 sequence=123.050377
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_residual_context=1.469451 sequence=124.519828
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=44 node=N4606 type=control0 q_typed_residual_context=0.990654 sequence=125.510482
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_residual_context=2.064285 sequence=127.574767
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_residual_context=1.827391 sequence=129.402158
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_residual_context=2.151025 sequence=131.553183
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_residual_context=1.660811 sequence=133.213994
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_residual_context=3.573170 sequence=136.787164
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_residual_context=1.518322 sequence=138.305486
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_residual_context=1.447098 sequence=139.752584
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_residual_context=2.153959 sequence=141.906543
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=2.091974 sequence=143.998517
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=54 node=N7887 type=control1 q_typed_residual_context=1.061839 sequence=145.060356
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=1.550711 sequence=146.611067
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=56 node=N724 type=observe q_typed_residual_context=1.314590 sequence=147.925657
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=57 node=N3882 type=control0 q_typed_residual_context=1.025693 sequence=148.951349
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.713970 sequence=150.665319
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=59 node=N4705 type=control0 q_typed_residual_context=1.612180 sequence=152.277499
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_residual_context=1.240357 sequence=153.517857
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_residual_context=1.870962 sequence=155.388819
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_residual_context=1.712083 sequence=157.100901
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=63 node=N3855 type=control0 q_typed_residual_context=1.191840 sequence=158.292741
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.410837 sequence=159.703577
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=65 node=N3848 type=control0 q_typed_residual_context=1.476758 sequence=161.180335
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=66 node=N713 type=observe q_typed_residual_context=2.008791 sequence=163.189126
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=67 node=N3827 type=control0 q_typed_residual_context=1.773400 sequence=164.962526
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=68 node=N3820 type=control0 q_typed_residual_context=1.846464 sequence=166.808989
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=69 node=N3813 type=control0 q_typed_residual_context=2.027428 sequence=168.836417
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=70 node=N3799 type=control0 q_typed_residual_context=2.108428 sequence=170.944845
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=71 node=N3792 type=control0 q_typed_residual_context=2.139473 sequence=173.084319
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=72 node=N3785 type=control0 q_typed_residual_context=2.250265 sequence=175.334584
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=73 node=N3722 type=control0 q_typed_residual_context=2.279436 sequence=177.614020
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=74 node=N3701 type=control0 q_typed_residual_context=2.384374 sequence=179.998394
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_residual_context=2.080871 sequence=182.079266
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=76 node=N7888 type=control1 q_typed_residual_context=1.721600 sequence=183.800866
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=77 node=N7889 type=control1 q_typed_residual_context=2.123038 sequence=185.923904
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=78 node=N4585 type=control0 q_typed_residual_context=2.083269 sequence=188.007173
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=79 node=N3841 type=control0 q_typed_residual_context=2.443414 sequence=190.450587
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=80 node=N4578 type=control0 q_typed_residual_context=2.109558 sequence=192.560146
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=81 node=N3904 type=control0 q_typed_residual_context=2.835957 sequence=195.396103
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=3.319497 sequence=198.715599
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=83 node=N4564 type=control0 q_typed_residual_context=2.464509 sequence=201.180109
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_residual_context=2.402593 sequence=203.582702
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=85 node=N7724 type=control0 q_typed_residual_context=2.170574 sequence=205.753276
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=86 node=N519 type=control1 q_typed_residual_context=3.852313 sequence=209.605590
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=87 node=N7722 type=control0 q_typed_residual_context=1.707829 sequence=211.313419
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=88 node=N3681 type=control0 q_typed_residual_context=2.077167 sequence=213.390586
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=89 node=N7587 type=control1 q_typed_residual_context=1.944613 sequence=215.335199
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_residual_context=2.431104 sequence=217.766303
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=91 node=N7846 type=control0 q_typed_residual_context=2.934828 sequence=220.701131
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=92 node=N7408 type=control0 q_typed_residual_context=1.644546 sequence=222.345676
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=93 node=N4520 type=control0 q_typed_residual_context=1.779418 sequence=224.125094
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=94 node=N7890 type=control1 q_typed_residual_context=2.045861 sequence=226.170955
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=95 node=N7891 type=control1 q_typed_residual_context=2.132301 sequence=228.303256
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=96 node=N7541 type=control0 q_typed_residual_context=2.217279 sequence=230.520535
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=97 node=N520 type=control1 q_typed_residual_context=1.966777 sequence=232.487312
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=98 node=N516 type=control1 q_typed_residual_context=2.039703 sequence=234.527016
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=99 node=N2079 type=observe q_typed_residual_context=1.231633 sequence=235.758649
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=100 node=N725 type=observe q_typed_residual_context=3.449952 sequence=239.208601
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=101 node=N7881 type=control1 q_typed_residual_context=2.599305 sequence=241.807906
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=102 node=N7723 type=control0 q_typed_residual_context=3.716671 sequence=245.524577
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=103 node=N513 type=control1 q_typed_residual_context=3.722407 sequence=249.246984
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=104 node=N7725 type=control0 q_typed_residual_context=4.038799 sequence=253.285783
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=105 node=N7875 type=control1 q_typed_residual_context=5.096022 sequence=258.381805
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=106 node=N7370 type=control1 q_typed_residual_context=6.019631 sequence=264.401436
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=107 node=N2580 type=control1 q_typed_residual_context=6.172531 sequence=270.573967
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=108 node=N5867 type=observe q_typed_residual_context=5.950478 sequence=276.524444
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=109 node=N555 type=control1 q_typed_residual_context=4.108871 sequence=280.633316
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=110 node=N7588 type=control1 q_typed_residual_context=6.469198 sequence=287.102514
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=111 node=N1411 type=control0 q_typed_residual_context=4.576466 sequence=291.678979
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=112 node=N556 type=control1 q_typed_residual_context=4.488268 sequence=296.167248
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=113 node=N3124 type=control1 q_typed_residual_context=6.450926 sequence=302.618174
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=114 node=N7820 type=control0 q_typed_residual_context=7.439993 sequence=310.058167
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=115 node=N634 type=control1 q_typed_residual_context=2.789515 sequence=312.847681
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=116 node=N7852 type=control0 q_typed_residual_context=4.922690 sequence=317.770372
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=117 node=N614 type=control1 q_typed_residual_context=2.018498 sequence=319.788870
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=118 node=N510 type=control1 q_typed_residual_context=5.389046 sequence=325.177916
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=119 node=N3352 type=control1 q_typed_residual_context=6.646510 sequence=331.824426
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=120 node=N7721 type=control0 q_typed_residual_context=2.132574 sequence=333.957000
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=121 node=N620 type=control1 q_typed_residual_context=2.644334 sequence=336.601334
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=122 node=N638 type=control1 q_typed_residual_context=2.104333 sequence=338.705667
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=123 node=N610 type=control1 q_typed_residual_context=6.030957 sequence=344.736624
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=124 node=N7421 type=control1 q_typed_residual_context=6.746504 sequence=351.483129
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=125 node=N7424 type=control1 q_typed_residual_context=1.920732 sequence=353.403861
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=126 node=N3410 type=control1 q_typed_residual_context=2.178253 sequence=355.582114
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=127 node=N7877 type=control1 q_typed_residual_context=2.216733 sequence=357.798848
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=128 node=N645 type=control1 q_typed_residual_context=1.561443 sequence=359.360291
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=129 node=N7892 type=control1 q_typed_residual_context=1.670094 sequence=361.030384
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=130 node=N616 type=control1 q_typed_residual_context=1.473533 sequence=362.503917
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=131 node=N636 type=control1 q_typed_residual_context=1.358130 sequence=363.862047
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=132 node=N578 type=observe q_typed_residual_context=1.199609 sequence=365.061656
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=133 node=N5876 type=observe q_typed_residual_context=5.857185 sequence=370.918841
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=134 node=N3180 type=control1 q_typed_residual_context=2.312425 sequence=373.231267
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=135 node=N5603 type=observe q_typed_residual_context=1.594451 sequence=374.825718
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=136 node=N2157 type=observe q_typed_residual_context=1.501726 sequence=376.327444
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=137 node=N7401 type=observe q_typed_residual_context=5.906366 sequence=382.233810
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=138 node=N3295 type=control1 q_typed_residual_context=3.573255 sequence=385.807065
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=139 node=N2102 type=observe q_typed_residual_context=3.484011 sequence=389.291076
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=140 node=N3467 type=control1 q_typed_residual_context=2.634720 sequence=391.925797
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=141 node=N7454 type=observe q_typed_residual_context=2.525865 sequence=394.451662
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=142 node=N630 type=control1 q_typed_residual_context=1.971766 sequence=396.423428
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=143 node=N6533 type=observe q_typed_residual_context=2.493877 sequence=398.917304
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=144 node=N706 type=observe q_typed_residual_context=1.978017 sequence=400.895321
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=145 node=N649 type=control1 q_typed_residual_context=2.029541 sequence=402.924861
