[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_cql_sa/epoch_012/old1_new1
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 budgets=iscas99__b15_1:278
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_residual_context=2.081394 sequence=143.033482
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=2.002191 sequence=145.035673
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_residual_context=0.955353 sequence=145.991026
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=2.059762 sequence=148.050788
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_residual_context=1.812879 sequence=149.863667
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=57 node=N724 type=observe q_typed_residual_context=1.576518 sequence=151.440185
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_residual_context=1.812540 sequence=153.252725
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=59 node=N7888 type=control1 q_typed_residual_context=1.095980 sequence=154.348705
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_residual_context=1.149367 sequence=155.498072
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_residual_context=1.815477 sequence=157.313549
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_residual_context=1.731110 sequence=159.044659
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=63 node=N3855 type=control0 q_typed_residual_context=1.096227 sequence=160.140886
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.368616 sequence=161.509503
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=65 node=N7889 type=control1 q_typed_residual_context=1.698270 sequence=163.207773
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=66 node=N713 type=observe q_typed_residual_context=2.672955 sequence=165.880728
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=67 node=N3848 type=control0 q_typed_residual_context=1.598664 sequence=167.479392
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=68 node=N3827 type=control0 q_typed_residual_context=1.874693 sequence=169.354084
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=69 node=N3820 type=control0 q_typed_residual_context=2.099219 sequence=171.453303
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=70 node=N3813 type=control0 q_typed_residual_context=2.197448 sequence=173.650751
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=71 node=N3799 type=control0 q_typed_residual_context=2.335892 sequence=175.986643
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=72 node=N3792 type=control0 q_typed_residual_context=2.389323 sequence=178.375966
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=73 node=N3785 type=control0 q_typed_residual_context=2.530974 sequence=180.906940
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_residual_context=2.782892 sequence=183.689832
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=75 node=N7881 type=control1 q_typed_residual_context=2.332654 sequence=186.022486
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=76 node=N7887 type=control1 q_typed_residual_context=3.429966 sequence=189.452452
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=77 node=N4585 type=control0 q_typed_residual_context=3.583609 sequence=193.036062
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=78 node=N7890 type=control1 q_typed_residual_context=2.558897 sequence=195.594958
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_residual_context=3.593826 sequence=199.188784
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_residual_context=2.989433 sequence=202.178218
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=81 node=N3897 type=control0 q_typed_residual_context=2.938443 sequence=205.116661
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=82 node=N3904 type=control0 q_typed_residual_context=3.041272 sequence=208.157933
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_residual_context=2.655008 sequence=210.812941
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_residual_context=2.476341 sequence=213.289282
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=85 node=N4606 type=control0 q_typed_residual_context=2.710952 sequence=216.000233
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_residual_context=2.677545 sequence=218.677778
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_residual_context=3.308087 sequence=221.985866
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_residual_context=2.095555 sequence=224.081421
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=89 node=N7724 type=control0 q_typed_residual_context=2.003481 sequence=226.084902
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_residual_context=2.558740 sequence=228.643642
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=91 node=N7891 type=control1 q_typed_residual_context=1.973531 sequence=230.617173
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=92 node=N2079 type=observe q_typed_residual_context=2.340568 sequence=232.957742
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=93 node=N722 type=observe q_typed_residual_context=3.628044 sequence=236.585786
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=94 node=N3681 type=control0 q_typed_residual_context=4.411065 sequence=240.996851
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_residual_context=5.422935 sequence=246.419786
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_residual_context=4.637384 sequence=251.057170
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=97 node=N7408 type=control0 q_typed_residual_context=3.938894 sequence=254.996065
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_residual_context=3.218919 sequence=258.214984
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=99 node=N7723 type=control0 q_typed_residual_context=3.277534 sequence=261.492517
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=100 node=N516 type=control1 q_typed_residual_context=5.027134 sequence=266.519651
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=101 node=N520 type=control1 q_typed_residual_context=3.846628 sequence=270.366279
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_residual_context=3.537764 sequence=273.904044
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=103 node=N7875 type=control1 q_typed_residual_context=4.562201 sequence=278.466245
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=104 node=N7587 type=control1 q_typed_residual_context=3.929179 sequence=282.395423
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=105 node=N555 type=control1 q_typed_residual_context=6.500957 sequence=288.896381
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=106 node=N2340 type=observe q_typed_residual_context=3.756814 sequence=292.653195
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_residual_context=6.765688 sequence=299.418883
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=108 node=N7370 type=control1 q_typed_residual_context=3.448700 sequence=302.867583
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=109 node=N513 type=control1 q_typed_residual_context=4.408382 sequence=307.275964
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=110 node=N3124 type=control1 q_typed_residual_context=3.478298 sequence=310.754263
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=4.056139 sequence=314.810401
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=112 node=N1533 type=control1 q_typed_residual_context=4.772315 sequence=319.582717
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_residual_context=3.865807 sequence=323.448524
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=114 node=N7872 type=control1 q_typed_residual_context=3.136180 sequence=326.584704
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=115 node=N7588 type=control1 q_typed_residual_context=5.216649 sequence=331.801353
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=116 node=N5603 type=observe q_typed_residual_context=1.661771 sequence=333.463124
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=117 node=N694 type=observe q_typed_residual_context=4.073990 sequence=337.537114
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=118 node=N7421 type=control1 q_typed_residual_context=5.613891 sequence=343.151005
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=119 node=N7401 type=observe q_typed_residual_context=2.974043 sequence=346.125048
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=120 node=N2102 type=observe q_typed_residual_context=6.986586 sequence=353.111634
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=121 node=N7454 type=observe q_typed_residual_context=1.890322 sequence=355.001956
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=122 node=N7871 type=control1 q_typed_residual_context=1.284559 sequence=356.286515
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=123 node=N1411 type=control0 q_typed_residual_context=3.048082 sequence=359.334597
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=124 node=N3352 type=control1 q_typed_residual_context=1.495857 sequence=360.830454
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=125 node=N578 type=observe q_typed_residual_context=1.022938 sequence=361.853392
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=126 node=N6533 type=observe q_typed_residual_context=1.841444 sequence=363.694836
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=127 node=N706 type=observe q_typed_residual_context=1.287936 sequence=364.982772
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=128 node=N2106 type=observe q_typed_residual_context=1.485610 sequence=366.468383
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=129 node=N2580 type=control1 q_typed_residual_context=1.740144 sequence=368.208527
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=130 node=N7402 type=observe q_typed_residual_context=1.580807 sequence=369.789333
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=131 node=N771 type=observe q_typed_residual_context=0.095031 sequence=369.884365
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=132 node=N638 type=control1 q_typed_residual_context=1.294010 sequence=371.178375
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=133 node=N620 type=control1 q_typed_residual_context=2.408208 sequence=373.586582
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=134 node=N7847 type=control0 q_typed_residual_context=5.716620 sequence=379.303202
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=135 node=N3410 type=control1 q_typed_residual_context=2.634408 sequence=381.937610
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=136 node=N610 type=control1 q_typed_residual_context=2.150282 sequence=384.087892
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=137 node=N3180 type=control1 q_typed_residual_context=2.729873 sequence=386.817765
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=138 node=N2157 type=observe q_typed_residual_context=2.228166 sequence=389.045932
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=139 node=N645 type=control1 q_typed_residual_context=2.087345 sequence=391.133277
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=140 node=N616 type=control1 q_typed_residual_context=2.043965 sequence=393.177242
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=141 node=N7424 type=control1 q_typed_residual_context=1.381905 sequence=394.559146
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=142 node=N636 type=control1 q_typed_residual_context=1.211741 sequence=395.770887
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=143 node=N7877 type=control1 q_typed_residual_context=2.799973 sequence=398.570860
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=144 node=N7879 type=control1 q_typed_residual_context=4.216880 sequence=402.787740
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=145 node=N3295 type=control1 q_typed_residual_context=5.323589 sequence=408.111329
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=146 node=N3467 type=control1 q_typed_residual_context=1.825947 sequence=409.937276
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=147 node=N642 type=control1 q_typed_residual_context=1.796896 sequence=411.734172
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=148 node=N7614 type=observe q_typed_residual_context=1.959233 sequence=413.693405
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=149 node=N649 type=control1 q_typed_residual_context=2.609605 sequence=416.303010
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=150 node=N5740 type=observe q_typed_residual_context=2.994778 sequence=419.297787
