[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_toplist/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 budgets=iscas99__b15_1:278
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N7890 type=control1 q_typed_residual_context=1.432006 sequence=112.791941
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N4606 type=control0 q_typed_residual_context=0.927389 sequence=113.719330
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N1539 type=control0 q_typed_residual_context=1.518923 sequence=115.238253
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N555 type=control1 q_typed_residual_context=1.216684 sequence=116.454937
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N7722 type=control0 q_typed_residual_context=2.014251 sequence=118.469187
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N7518 type=observe q_typed_residual_context=1.916710 sequence=120.385897
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N7724 type=control0 q_typed_residual_context=1.486231 sequence=121.872128
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N7588 type=control1 q_typed_residual_context=2.589232 sequence=124.461361
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N4578 type=control0 q_typed_residual_context=1.159892 sequence=125.621252
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N1411 type=control0 q_typed_residual_context=1.763357 sequence=127.384609
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_residual_context=1.503996 sequence=128.888606
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N7721 type=control0 q_typed_residual_context=2.122995 sequence=131.011601
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N4564 type=control0 q_typed_residual_context=1.183199 sequence=132.194800
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N7723 type=control0 q_typed_residual_context=1.235593 sequence=133.430393
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N7731 type=control0 q_typed_residual_context=1.179519 sequence=134.609912
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N3722 type=control0 q_typed_residual_context=1.188573 sequence=135.798485
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N7887 type=control1 q_typed_residual_context=1.240764 sequence=137.039249
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N713 type=observe q_typed_residual_context=1.779013 sequence=138.818263
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N7846 type=control0 q_typed_residual_context=1.337896 sequence=140.156159
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N3827 type=control0 q_typed_residual_context=2.105237 sequence=142.261396
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_residual_context=1.561224 sequence=143.822620
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N7734 type=control0 q_typed_residual_context=1.623038 sequence=145.445658
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N3820 type=control0 q_typed_residual_context=1.488001 sequence=146.933659
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7408 type=control0 q_typed_residual_context=1.537201 sequence=148.470860
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N7852 type=control0 q_typed_residual_context=2.244237 sequence=150.715097
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N7541 type=control0 q_typed_residual_context=2.290306 sequence=153.005403
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N7847 type=control0 q_typed_residual_context=2.279094 sequence=155.284497
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N7888 type=control1 q_typed_residual_context=2.225680 sequence=157.510177
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N3813 type=control0 q_typed_residual_context=2.504614 sequence=160.014792
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N2106 type=observe q_typed_residual_context=3.111619 sequence=163.126410
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N7736 type=control0 q_typed_residual_context=2.052249 sequence=165.178659
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N3799 type=control0 q_typed_residual_context=3.054112 sequence=168.232771
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N3792 type=control0 q_typed_residual_context=2.301438 sequence=170.534210
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N3785 type=control0 q_typed_residual_context=1.909709 sequence=172.443918
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N3903 type=control0 q_typed_residual_context=1.785051 sequence=174.228970
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N7820 type=control0 q_typed_residual_context=2.325240 sequence=176.554209
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N4557 type=control0 q_typed_residual_context=2.855291 sequence=179.409501
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N3896 type=control0 q_typed_residual_context=2.075113 sequence=181.484614
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N7370 type=control1 q_typed_residual_context=1.985968 sequence=183.470582
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N510 type=control1 q_typed_residual_context=3.138714 sequence=186.609296
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N3682 type=control0 q_typed_residual_context=1.828064 sequence=188.437360
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N2040 type=observe q_typed_residual_context=2.266830 sequence=190.704190
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N7590 type=control1 q_typed_residual_context=2.210955 sequence=192.915146
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=125 node=N556 type=control1 q_typed_residual_context=2.139516 sequence=195.054662
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=126 node=N645 type=control1 q_typed_residual_context=2.127659 sequence=197.182321
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=127 node=N638 type=control1 q_typed_residual_context=2.792064 sequence=199.974386
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=128 node=N7421 type=control1 q_typed_residual_context=2.702510 sequence=202.676896
