[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/alpha_boundary/alpha_0p25
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 budgets=iscas99__b15_1:278
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-alpha-boundary/a0.25] [gmean] 2026-07-21T14:55:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=65 node=N4606 type=control0 q_typed_reliable_context=0.797859 sequence=103.742405
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_reliable_context=0.935847 sequence=104.678252
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=67 node=N1539 type=control0 q_typed_reliable_context=0.926296 sequence=105.604548
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=68 node=N7724 type=control0 q_typed_reliable_context=0.934359 sequence=106.538906
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=69 node=N519 type=control1 q_typed_reliable_context=1.086385 sequence=107.625291
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=0.965975 sequence=108.591266
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=71 node=N899 type=observe q_typed_reliable_context=0.814948 sequence=109.406214
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=72 node=N4585 type=control0 q_typed_reliable_context=0.818332 sequence=110.224547
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=73 node=N7722 type=control0 q_typed_reliable_context=2.001884 sequence=112.226430
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=74 node=N4578 type=control0 q_typed_reliable_context=1.220465 sequence=113.446895
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=75 node=N516 type=control1 q_typed_reliable_context=1.475192 sequence=114.922087
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=76 node=N5234 type=observe q_typed_reliable_context=1.272373 sequence=116.194460
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=77 node=N513 type=control1 q_typed_reliable_context=1.312216 sequence=117.506677
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=78 node=N520 type=control1 q_typed_reliable_context=1.432168 sequence=118.938844
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=79 node=N2044 type=observe q_typed_reliable_context=1.360480 sequence=120.299324
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=80 node=N2042 type=observe q_typed_reliable_context=0.910220 sequence=121.209544
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=81 node=N7370 type=control1 q_typed_reliable_context=0.986548 sequence=122.196092
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=82 node=N7875 type=control1 q_typed_reliable_context=1.286503 sequence=123.482595
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=83 node=N555 type=control1 q_typed_reliable_context=2.084847 sequence=125.567442
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=84 node=N7590 type=control1 q_typed_reliable_context=0.966522 sequence=126.533964
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=85 node=N7885 type=control1 q_typed_reliable_context=1.137505 sequence=127.671469
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=86 node=N7886 type=control1 q_typed_reliable_context=1.329654 sequence=129.001123
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=87 node=N7887 type=control1 q_typed_reliable_context=1.314927 sequence=130.316050
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=88 node=N7888 type=control1 q_typed_reliable_context=1.264316 sequence=131.580365
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=89 node=N7889 type=control1 q_typed_reliable_context=1.747274 sequence=133.327639
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=90 node=N7890 type=control1 q_typed_reliable_context=1.013294 sequence=134.340933
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=91 node=N507 type=control1 q_typed_reliable_context=1.145929 sequence=135.486862
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=92 node=N3848 type=control0 q_typed_reliable_context=0.917385 sequence=136.404246
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=93 node=N3827 type=control0 q_typed_reliable_context=2.156658 sequence=138.560904
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=94 node=N7820 type=control0 q_typed_reliable_context=3.183678 sequence=141.744582
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=95 node=N4557 type=control0 q_typed_reliable_context=1.693011 sequence=143.437594
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=96 node=N7725 type=control0 q_typed_reliable_context=2.078642 sequence=145.516236
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_reliable_context=1.696321 sequence=147.212557
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=98 node=N7408 type=control0 q_typed_reliable_context=1.605610 sequence=148.818167
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=99 node=N7541 type=control0 q_typed_reliable_context=1.580320 sequence=150.398487
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=100 node=N556 type=control1 q_typed_reliable_context=1.414216 sequence=151.812702
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=101 node=N7891 type=control1 q_typed_reliable_context=1.582924 sequence=153.395626
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=102 node=N713 type=observe q_typed_reliable_context=2.280026 sequence=155.675653
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.299665 sequence=156.975317
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=104 node=N634 type=control1 q_typed_reliable_context=1.233668 sequence=158.208986
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=105 node=N3820 type=control0 q_typed_reliable_context=1.299792 sequence=159.508777
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=106 node=N610 type=control1 q_typed_reliable_context=1.459162 sequence=160.967939
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=107 node=N3813 type=control0 q_typed_reliable_context=1.681527 sequence=162.649466
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=108 node=N620 type=control1 q_typed_reliable_context=1.905193 sequence=164.554659
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=109 node=N3799 type=control0 q_typed_reliable_context=2.051159 sequence=166.605818
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=110 node=N638 type=control1 q_typed_reliable_context=1.883667 sequence=168.489485
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=111 node=N3792 type=control0 q_typed_reliable_context=2.184040 sequence=170.673525
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=112 node=N3785 type=control0 q_typed_reliable_context=1.876042 sequence=172.549567
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=113 node=N722 type=observe q_typed_reliable_context=3.229967 sequence=175.779533
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=114 node=N510 type=control1 q_typed_reliable_context=1.847419 sequence=177.626953
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=115 node=N3682 type=control0 q_typed_reliable_context=1.612817 sequence=179.239770
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=116 node=N4564 type=control0 q_typed_reliable_context=2.200588 sequence=181.440358
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=117 node=N7852 type=control0 q_typed_reliable_context=2.183795 sequence=183.624153
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=118 node=N7721 type=control0 q_typed_reliable_context=1.533818 sequence=185.157971
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=119 node=N7853 type=control0 q_typed_reliable_context=2.145456 sequence=187.303426
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=120 node=N4520 type=control0 q_typed_reliable_context=2.091405 sequence=189.394831
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=121 node=N7847 type=control0 q_typed_reliable_context=2.041843 sequence=191.436674
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=122 node=N3903 type=control0 q_typed_reliable_context=1.601603 sequence=193.038277
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=123 node=N2040 type=observe q_typed_reliable_context=1.648214 sequence=194.686491
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.958235 sequence=196.644726
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=125 node=N3896 type=control0 q_typed_reliable_context=1.939742 sequence=198.584468
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=126 node=N7421 type=control1 q_typed_reliable_context=1.838344 sequence=200.422812
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=127 node=N7537 type=observe q_typed_reliable_context=1.118500 sequence=201.541312
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=128 node=N7532 type=observe q_typed_reliable_context=1.194218 sequence=202.735530
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.584158 sequence=204.319687
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=1.916128 sequence=206.235815
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=131 node=N3180 type=control1 q_typed_reliable_context=2.331487 sequence=208.567303
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=132 node=N3410 type=control1 q_typed_reliable_context=2.001015 sequence=210.568318
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=2.016987 sequence=212.585305
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=134 node=N785 type=observe q_typed_reliable_context=1.826335 sequence=214.411640
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=135 node=N636 type=control1 q_typed_reliable_context=1.295868 sequence=215.707508
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=136 node=N7856 type=control1 q_typed_reliable_context=1.381999 sequence=217.089507
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=137 node=N630 type=control1 q_typed_reliable_context=1.555960 sequence=218.645468
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=138 node=N642 type=control1 q_typed_reliable_context=0.997750 sequence=219.643218
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=139 node=N3295 type=control1 q_typed_reliable_context=1.151903 sequence=220.795121
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=140 node=N645 type=control1 q_typed_reliable_context=1.540425 sequence=222.335546
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=141 node=N616 type=control1 q_typed_reliable_context=1.413801 sequence=223.749348
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=142 node=N1552 type=observe q_typed_reliable_context=1.780368 sequence=225.529716
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=143 node=N649 type=control1 q_typed_reliable_context=1.624711 sequence=227.154427
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=144 node=N5867 type=observe q_typed_reliable_context=1.291767 sequence=228.446194
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=145 node=N2157 type=observe q_typed_reliable_context=2.738566 sequence=231.184761
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=146 node=N647 type=control1 q_typed_reliable_context=6.002810 sequence=237.187571
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=147 node=N1586 type=control1 q_typed_reliable_context=6.471962 sequence=243.659533
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=148 node=N3525 type=control1 q_typed_reliable_context=5.990059 sequence=249.649592
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=149 node=N1607 type=control1 q_typed_reliable_context=2.171423 sequence=251.821015
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=150 node=N7442 type=control0 q_typed_reliable_context=6.513338 sequence=258.334352
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=151 node=N7402 type=observe q_typed_reliable_context=6.194992 sequence=264.529344
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=152 node=N7445 type=control0 q_typed_reliable_context=5.718436 sequence=270.247780
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=153 node=N2102 type=observe q_typed_reliable_context=5.762659 sequence=276.010439
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=154 node=N7680 type=observe q_typed_reliable_context=5.932034 sequence=281.942473
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=155 node=N2580 type=control1 q_typed_reliable_context=5.743763 sequence=287.686236
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=156 node=N7628 type=observe q_typed_reliable_context=2.534110 sequence=290.220346
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=157 node=N7624 type=observe q_typed_reliable_context=5.720129 sequence=295.940476
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=158 node=N694 type=observe q_typed_reliable_context=2.370654 sequence=298.311129
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=159 node=N6534 type=observe q_typed_reliable_context=0.716807 sequence=299.027937
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=160 node=N4529 type=observe q_typed_reliable_context=1.130547 sequence=300.158484
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=161 node=N2652 type=control1 q_typed_reliable_context=1.238828 sequence=301.397311
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=162 node=N5356 type=observe q_typed_reliable_context=2.560982 sequence=303.958293
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=163 node=N6948 type=observe q_typed_reliable_context=4.360271 sequence=308.318565
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=164 node=N7385 type=observe q_typed_reliable_context=0.889132 sequence=309.207697
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=165 node=N7465 type=observe q_typed_reliable_context=2.540008 sequence=311.747705
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=166 node=N712 type=observe q_typed_reliable_context=1.956539 sequence=313.704244
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=167 node=N5627 type=observe q_typed_reliable_context=3.092982 sequence=316.797226
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=168 node=N5617 type=observe q_typed_reliable_context=2.993734 sequence=319.790960
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=169 node=N3467 type=control1 q_typed_reliable_context=1.335175 sequence=321.126135
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=170 node=N2894 type=control1 q_typed_reliable_context=1.459097 sequence=322.585232
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=171 node=N723 type=observe q_typed_reliable_context=5.190542 sequence=327.775774
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=172 node=N2149 type=observe q_typed_reliable_context=5.208805 sequence=332.984578
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=173 node=N2106 type=observe q_typed_reliable_context=5.049702 sequence=338.034280
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=174 node=N2721 type=control1 q_typed_reliable_context=2.108705 sequence=340.142985
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=175 node=N2952 type=control1 q_typed_reliable_context=1.307300 sequence=341.450285
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=176 node=N2779 type=control1 q_typed_reliable_context=0.469099 sequence=341.919384
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=177 node=N7873 type=control1 q_typed_reliable_context=1.087911 sequence=343.007295
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=178 node=N2837 type=control1 q_typed_reliable_context=0.890355 sequence=343.897650
[b15-alpha-boundary/a0.25] [plan iscas99__b15_1] [plan] step=179 node=N578 type=observe q_typed_reliable_context=0.679041 sequence=344.576691
