[b15-reencode/i64/b0.25] [gmean] 2026-07-21T14:49:24 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/latent_reencode/interval_64/blend_0p25
[b15-reencode/i64/b0.25] [gmean] 2026-07-21T14:49:24 budgets=iscas99__b15_1:278
[b15-reencode/i64/b0.25] [gmean] 2026-07-21T14:49:24 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reencode/i64/b0.25] [gmean] 2026-07-21T14:49:24 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.800999
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.193575
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.192132
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.348829
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.048582
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.287403 sequence=41.335984
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.865532 sequence=44.201517
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.524433 sequence=46.725950
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.809229 sequence=48.535179
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.525321 sequence=50.060500
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.339536 sequence=51.400037
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.722613 sequence=52.122650
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.959787
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.895950
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.812246 sequence=54.708196
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.295865 sequence=58.004061
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.658719
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=59.017168
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=61.082279
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006069 sequence=64.088348
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.806083
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=38 node=N4635 type=control0 q_typed_reliable_context=1.562555 sequence=67.368638
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=39 node=N6537 type=observe q_typed_reliable_context=2.624901 sequence=69.993539
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=40 node=N704 type=observe q_typed_reliable_context=2.048143 sequence=72.041682
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=41 node=N8470 type=observe q_typed_reliable_context=2.030129 sequence=74.071812
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=42 node=N4691 type=control0 q_typed_reliable_context=1.697250 sequence=75.769062
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=43 node=N4670 type=control0 q_typed_reliable_context=1.719811 sequence=77.488873
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=1.335591 sequence=78.824464
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=45 node=N7881 type=control1 q_typed_reliable_context=0.658028 sequence=79.482492
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=46 node=N7882 type=control1 q_typed_reliable_context=0.741907 sequence=80.224399
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=47 node=N7883 type=control1 q_typed_reliable_context=0.745991 sequence=80.970390
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=48 node=N7884 type=control1 q_typed_reliable_context=0.782185 sequence=81.752575
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_reliable_context=1.792501 sequence=83.545076
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.633302 sequence=85.178378
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.941195 sequence=86.119573
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.946891 sequence=87.066465
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.998028 sequence=88.064493
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.945372 sequence=89.009864
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_reliable_context=0.978582 sequence=89.988446
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.994038 sequence=90.982484
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.965153 sequence=91.947638
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=58 node=N3827 type=control0 q_typed_reliable_context=0.913439 sequence=92.861076
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=59 node=N3820 type=control0 q_typed_reliable_context=0.903333 sequence=93.764409
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=60 node=N3813 type=control0 q_typed_reliable_context=0.957667 sequence=94.722076
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=61 node=N3799 type=control0 q_typed_reliable_context=1.299227 sequence=96.021303
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.273791 sequence=97.295094
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=1.132601 sequence=98.427695
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] latent_reencode step=64 interval=64 blend=0.25
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=64 node=N5603 type=control0 q_typed_reliable_context=1.097614 sequence=99.525309
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=65 node=N4716 type=control0 q_typed_reliable_context=0.795046 sequence=100.320354
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=66 node=N3805 type=control0 q_typed_reliable_context=1.278894 sequence=101.599248
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=67 node=N3701 type=control0 q_typed_reliable_context=1.191539 sequence=102.790788
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=68 node=N7506 type=observe q_typed_reliable_context=1.643319 sequence=104.434106
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=69 node=N4606 type=control0 q_typed_reliable_context=1.175860 sequence=105.609966
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=70 node=N2083 type=observe q_typed_reliable_context=1.044747 sequence=106.654714
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=71 node=N7722 type=control0 q_typed_reliable_context=1.115209 sequence=107.769922
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=72 node=N4578 type=control0 q_typed_reliable_context=1.390682 sequence=109.160604
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=73 node=N1539 type=control0 q_typed_reliable_context=1.077123 sequence=110.237727
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=74 node=N519 type=control1 q_typed_reliable_context=1.408784 sequence=111.646511
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=75 node=N4585 type=control0 q_typed_reliable_context=1.086714 sequence=112.733225
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=76 node=N7471 type=control0 q_typed_reliable_context=1.532266 sequence=114.265492
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=77 node=N7724 type=control0 q_typed_reliable_context=1.269640 sequence=115.535132
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=78 node=N513 type=control1 q_typed_reliable_context=1.550092 sequence=117.085224
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=79 node=N504 type=control1 q_typed_reliable_context=1.368940 sequence=118.454164
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=80 node=N2044 type=observe q_typed_reliable_context=1.587026 sequence=120.041190
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=81 node=N516 type=control1 q_typed_reliable_context=2.050735 sequence=122.091925
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=82 node=N2042 type=observe q_typed_reliable_context=1.380012 sequence=123.471936
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=83 node=N520 type=control1 q_typed_reliable_context=2.008971 sequence=125.480907
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=84 node=N899 type=observe q_typed_reliable_context=1.086139 sequence=126.567046
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=85 node=N7875 type=control1 q_typed_reliable_context=0.749159 sequence=127.316206
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=86 node=N555 type=control1 q_typed_reliable_context=1.927605 sequence=129.243811
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=87 node=N7891 type=control1 q_typed_reliable_context=1.740084 sequence=130.983895
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=88 node=N7723 type=control0 q_typed_reliable_context=1.312928 sequence=132.296824
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=89 node=N7725 type=control0 q_typed_reliable_context=1.082088 sequence=133.378912
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=90 node=N7885 type=control1 q_typed_reliable_context=0.716798 sequence=134.095711
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=91 node=N7886 type=control1 q_typed_reliable_context=1.070412 sequence=135.166123
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=92 node=N556 type=control1 q_typed_reliable_context=1.365738 sequence=136.531861
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=93 node=N7889 type=control1 q_typed_reliable_context=2.359031 sequence=138.890891
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=94 node=N7890 type=control1 q_typed_reliable_context=2.661125 sequence=141.552016
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=95 node=N7887 type=control1 q_typed_reliable_context=1.801094 sequence=143.353110
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=96 node=N7888 type=control1 q_typed_reliable_context=1.027761 sequence=144.380871
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=97 node=N507 type=control1 q_typed_reliable_context=0.992479 sequence=145.373350
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=98 node=N3792 type=control0 q_typed_reliable_context=1.649228 sequence=147.022578
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=99 node=N5234 type=observe q_typed_reliable_context=1.968258 sequence=148.990836
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=100 node=N7846 type=control0 q_typed_reliable_context=1.493090 sequence=150.483926
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=101 node=N3785 type=control0 q_typed_reliable_context=1.262125 sequence=151.746051
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=102 node=N2149 type=observe q_typed_reliable_context=2.647028 sequence=154.393079
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=103 node=N3682 type=control0 q_typed_reliable_context=1.723601 sequence=156.116680
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=104 node=N7408 type=control0 q_typed_reliable_context=2.333013 sequence=158.449692
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=105 node=N7541 type=control0 q_typed_reliable_context=2.212244 sequence=160.661936
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=106 node=N7590 type=control1 q_typed_reliable_context=2.620522 sequence=163.282458
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=107 node=N510 type=control1 q_typed_reliable_context=2.422368 sequence=165.704827
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=108 node=N7871 type=control1 q_typed_reliable_context=1.751980 sequence=167.456806
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=109 node=N4557 type=control0 q_typed_reliable_context=3.185937 sequence=170.642744
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=110 node=N722 type=observe q_typed_reliable_context=4.423408 sequence=175.066152
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=111 node=N713 type=observe q_typed_reliable_context=2.411823 sequence=177.477975
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=112 node=N4564 type=control0 q_typed_reliable_context=2.161716 sequence=179.639691
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=113 node=N4520 type=control0 q_typed_reliable_context=1.360559 sequence=181.000250
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=114 node=N7852 type=control0 q_typed_reliable_context=2.124790 sequence=183.125040
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=115 node=N3903 type=control0 q_typed_reliable_context=1.784034 sequence=184.909074
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=116 node=N7721 type=control0 q_typed_reliable_context=2.011024 sequence=186.920098
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=117 node=N7847 type=control0 q_typed_reliable_context=1.654192 sequence=188.574290
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=118 node=N7853 type=control0 q_typed_reliable_context=1.372207 sequence=189.946497
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=119 node=N3896 type=control0 q_typed_reliable_context=1.234664 sequence=191.181161
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=120 node=N7588 type=control1 q_typed_reliable_context=1.846111 sequence=193.027271
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=121 node=N7370 type=control1 q_typed_reliable_context=1.329853 sequence=194.357125
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=122 node=N620 type=control1 q_typed_reliable_context=2.025508 sequence=196.382632
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=123 node=N638 type=control1 q_typed_reliable_context=2.082088 sequence=198.464720
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=124 node=N7421 type=control1 q_typed_reliable_context=3.138737 sequence=201.603457
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=125 node=N614 type=control1 q_typed_reliable_context=1.398425 sequence=203.001882
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=126 node=N2580 type=control1 q_typed_reliable_context=3.909859 sequence=206.911741
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=127 node=N3410 type=control1 q_typed_reliable_context=2.209957 sequence=209.121698
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] latent_reencode step=128 interval=64 blend=0.25
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=128 node=N645 type=control1 q_typed_reliable_context=1.839547 sequence=210.961245
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=129 node=N634 type=control1 q_typed_reliable_context=3.077819 sequence=214.039064
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=130 node=N610 type=control1 q_typed_reliable_context=1.307952 sequence=215.347015
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=131 node=N3180 type=control1 q_typed_reliable_context=1.723282 sequence=217.070298
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=132 node=N7518 type=observe q_typed_reliable_context=1.769831 sequence=218.840129
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=133 node=N636 type=control1 q_typed_reliable_context=2.844085 sequence=221.684214
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=134 node=N3295 type=control1 q_typed_reliable_context=1.576029 sequence=223.260243
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=135 node=N3467 type=control1 q_typed_reliable_context=1.953300 sequence=225.213543
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.076794 sequence=227.290337
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=137 node=N642 type=control1 q_typed_reliable_context=3.565493 sequence=230.855830
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=138 node=N2040 type=observe q_typed_reliable_context=5.143413 sequence=235.999243
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=139 node=N7534 type=observe q_typed_reliable_context=3.061382 sequence=239.060625
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=140 node=N785 type=observe q_typed_reliable_context=2.076651 sequence=241.137276
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=141 node=N649 type=control1 q_typed_reliable_context=1.643406 sequence=242.780682
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=142 node=N7424 type=control1 q_typed_reliable_context=1.712903 sequence=244.493585
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=143 node=N647 type=control1 q_typed_reliable_context=1.944005 sequence=246.437590
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=144 node=N1586 type=control1 q_typed_reliable_context=2.298572 sequence=248.736162
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=145 node=N630 type=control1 q_typed_reliable_context=2.243983 sequence=250.980144
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=146 node=N3525 type=control1 q_typed_reliable_context=4.198644 sequence=255.178788
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=147 node=N1607 type=control1 q_typed_reliable_context=2.512521 sequence=257.691309
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=148 node=N7537 type=observe q_typed_reliable_context=2.790025 sequence=260.481334
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=149 node=N2652 type=control1 q_typed_reliable_context=2.064961 sequence=262.546295
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=150 node=N7535 type=observe q_typed_reliable_context=1.231629 sequence=263.777925
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=151 node=N7532 type=observe q_typed_reliable_context=1.894760 sequence=265.672684
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=152 node=N2894 type=control1 q_typed_reliable_context=1.966140 sequence=267.638825
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=153 node=N7465 type=observe q_typed_reliable_context=2.029574 sequence=269.668399
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=154 node=N7613 type=observe q_typed_reliable_context=1.292019 sequence=270.960418
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=155 node=N7624 type=observe q_typed_reliable_context=1.562180 sequence=272.522598
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=156 node=N2952 type=control1 q_typed_reliable_context=1.030857 sequence=273.553455
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=157 node=N5878 type=observe q_typed_reliable_context=2.007666 sequence=275.561121
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=158 node=N5876 type=observe q_typed_reliable_context=1.410315 sequence=276.971436
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=159 node=N7385 type=observe q_typed_reliable_context=1.286634 sequence=278.258070
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=160 node=N7442 type=control0 q_typed_reliable_context=1.942304 sequence=280.200375
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=161 node=N2779 type=control1 q_typed_reliable_context=1.297351 sequence=281.497726
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=162 node=N5867 type=observe q_typed_reliable_context=1.427289 sequence=282.925015
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=163 node=N2721 type=control1 q_typed_reliable_context=1.282692 sequence=284.207707
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=164 node=N2837 type=control1 q_typed_reliable_context=1.025778 sequence=285.233485
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=165 node=N7873 type=control1 q_typed_reliable_context=0.887376 sequence=286.120860
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=166 node=N3009 type=control1 q_typed_reliable_context=0.830597 sequence=286.951458
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=167 node=N5356 type=observe q_typed_reliable_context=0.866771 sequence=287.818228
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=168 node=N3067 type=control1 q_typed_reliable_context=0.876430 sequence=288.694658
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=169 node=N6534 type=observe q_typed_reliable_context=0.698690 sequence=289.393348
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=170 node=N2157 type=observe q_typed_reliable_context=1.250901 sequence=290.644248
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=171 node=N7453 type=observe q_typed_reliable_context=1.224026 sequence=291.868274
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=172 node=N578 type=observe q_typed_reliable_context=1.405551 sequence=293.273825
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=173 node=N7500 type=observe q_typed_reliable_context=1.925873 sequence=295.199698
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=174 node=N7482 type=observe q_typed_reliable_context=1.299228 sequence=296.498926
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=175 node=N2102 type=observe q_typed_reliable_context=0.985382 sequence=297.484308
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=176 node=N7589 type=control1 q_typed_reliable_context=0.817488 sequence=298.301796
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=177 node=N8790 type=control1 q_typed_reliable_context=1.487152 sequence=299.788948
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=178 node=N8240 type=control1 q_typed_reliable_context=1.034132 sequence=300.823080
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=179 node=N8789 type=control1 q_typed_reliable_context=0.836499 sequence=301.659579
[b15-reencode/i64/b0.25] [plan iscas99__b15_1] [plan] step=180 node=N5617 type=observe q_typed_reliable_context=0.907537 sequence=302.567116
