[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:40:53 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N5723 type=control0 q_typed_residual_context=1.331793 sequence=29.800784
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N496 type=control1 q_typed_residual_context=1.492486 sequence=31.293270
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N889 type=observe q_typed_residual_context=1.225550 sequence=32.518820
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N7511 type=control1 q_typed_residual_context=0.953637 sequence=33.472457
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=0.799132 sequence=34.271590
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N5203 type=control1 q_typed_residual_context=0.820251 sequence=35.091841
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N2082 type=observe q_typed_residual_context=5.274281 sequence=40.366122
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_residual_context=3.639022 sequence=44.005143
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_residual_context=2.427072 sequence=46.432215
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N1853 type=observe q_typed_residual_context=2.649981 sequence=49.082196
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_residual_context=2.192760 sequence=51.274956
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N4670 type=control0 q_typed_residual_context=2.793501 sequence=54.068457
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N7516 type=observe q_typed_residual_context=1.399066 sequence=55.467523
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1532 type=observe q_typed_residual_context=1.394791 sequence=56.862314
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N576 type=observe q_typed_residual_context=2.047057 sequence=58.909371
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=1.262968 sequence=60.172340
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N582 type=control1 q_typed_residual_context=1.173315 sequence=61.345655
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N766 type=control1 q_typed_residual_context=0.682958 sequence=62.028613
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_residual_context=0.475890 sequence=62.504503
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=2.812043 sequence=65.316546
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N5234 type=observe q_typed_residual_context=0.554164 sequence=65.870710
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N2314 type=control1 q_typed_residual_context=0.380678 sequence=66.251387
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4698 type=control0 q_typed_residual_context=3.362638 sequence=69.614026
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4684 type=control0 q_typed_residual_context=2.543845 sequence=72.157871
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N7891 type=control1 q_typed_residual_context=0.330670 sequence=72.488541
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N4677 type=control0 q_typed_residual_context=1.568247 sequence=74.056788
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N713 type=observe q_typed_residual_context=1.923973 sequence=75.980761
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N4663 type=control0 q_typed_residual_context=2.072941 sequence=78.053702
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_residual_context=2.759383 sequence=80.813085
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N8470 type=observe q_typed_residual_context=2.282230 sequence=83.095315
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N4691 type=control0 q_typed_residual_context=2.135185 sequence=85.230500
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N4656 type=control0 q_typed_residual_context=1.717323 sequence=86.947823
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N4635 type=control0 q_typed_residual_context=1.625542 sequence=88.573365
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N724 type=observe q_typed_residual_context=1.639009 sequence=90.212374
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N4705 type=control0 q_typed_residual_context=1.772827 sequence=91.985201
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N4649 type=control0 q_typed_residual_context=1.601753 sequence=93.586954
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N7889 type=control1 q_typed_residual_context=0.483393 sequence=94.070347
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N4712 type=control0 q_typed_residual_context=1.685717 sequence=95.756064
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N3785 type=control0 q_typed_residual_context=0.747575 sequence=96.503639
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_residual_context=0.819729 sequence=97.323368
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N4716 type=control0 q_typed_residual_context=0.889824 sequence=98.213192
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3904 type=control0 q_typed_residual_context=0.821549 sequence=99.034741
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3897 type=control0 q_typed_residual_context=0.834260 sequence=99.869001
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3862 type=control0 q_typed_residual_context=0.946935 sequence=100.815937
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3792 type=control0 q_typed_residual_context=0.964510 sequence=101.780447
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N3855 type=control0 q_typed_residual_context=0.950233 sequence=102.730680
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3848 type=control0 q_typed_residual_context=0.927362 sequence=103.658042
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N4606 type=control0 q_typed_residual_context=0.894734 sequence=104.552776
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N5603 type=control0 q_typed_residual_context=0.898966 sequence=105.451742
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N7506 type=observe q_typed_residual_context=1.547261 sequence=106.999003
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4578 type=control0 q_typed_residual_context=1.004747 sequence=108.003750
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4585 type=control0 q_typed_residual_context=0.989551 sequence=108.993300
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4557 type=control0 q_typed_residual_context=0.958762 sequence=109.952062
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N7471 type=control0 q_typed_residual_context=1.084626 sequence=111.036688
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N7724 type=control0 q_typed_residual_context=1.088355 sequence=112.125043
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N7722 type=control0 q_typed_residual_context=0.985835 sequence=113.110878
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N519 type=control1 q_typed_residual_context=1.246161 sequence=114.357039
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N504 type=control1 q_typed_residual_context=1.198282 sequence=115.555321
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N2083 type=observe q_typed_residual_context=1.000553 sequence=116.555875
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N513 type=control1 q_typed_residual_context=1.598568 sequence=118.154442
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N520 type=control1 q_typed_residual_context=1.289811 sequence=119.444253
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_residual_context=1.532912 sequence=120.977166
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N2044 type=observe q_typed_residual_context=1.314290 sequence=122.291456
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N4564 type=control0 q_typed_residual_context=0.900428 sequence=123.191883
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N2042 type=observe q_typed_residual_context=1.036496 sequence=124.228380
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N704 type=observe q_typed_residual_context=3.408383 sequence=127.636763
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N7537 type=observe q_typed_residual_context=0.805862 sequence=128.442625
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N7532 type=observe q_typed_residual_context=1.042635 sequence=129.485260
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N7534 type=observe q_typed_residual_context=1.158553 sequence=130.643814
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N7535 type=observe q_typed_residual_context=1.035226 sequence=131.679040
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N7370 type=control1 q_typed_residual_context=1.441669 sequence=133.120708
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N899 type=observe q_typed_residual_context=0.779648 sequence=133.900357
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N3903 type=control0 q_typed_residual_context=0.617914 sequence=134.518270
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N7721 type=control0 q_typed_residual_context=0.881442 sequence=135.399713
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=1.360267 sequence=136.759980
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N7887 type=control1 q_typed_residual_context=1.401628 sequence=138.161607
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N7875 type=control1 q_typed_residual_context=0.626213 sequence=138.787820
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N7888 type=control1 q_typed_residual_context=1.444913 sequence=140.232734
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N4520 type=control0 q_typed_residual_context=0.780618 sequence=141.013352
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N3896 type=control0 q_typed_residual_context=0.645898 sequence=141.659249
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N7518 type=observe q_typed_residual_context=1.295901 sequence=142.955150
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N7588 type=control1 q_typed_residual_context=0.996783 sequence=143.951933
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N3889 type=control0 q_typed_residual_context=1.569751 sequence=145.521685
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N3882 type=control0 q_typed_residual_context=1.153736 sequence=146.675421
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N722 type=observe q_typed_residual_context=1.818930 sequence=148.494351
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N507 type=control1 q_typed_residual_context=1.252408 sequence=149.746759
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N3827 type=control0 q_typed_residual_context=1.210849 sequence=150.957608
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N3820 type=control0 q_typed_residual_context=1.593719 sequence=152.551327
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=1.665028 sequence=154.216356
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_residual_context=1.128199 sequence=155.344555
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7725 type=control0 q_typed_residual_context=1.173198 sequence=156.517752
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N7876 type=control1 q_typed_residual_context=1.159840 sequence=157.677593
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N7846 type=control0 q_typed_residual_context=1.447454 sequence=159.125047
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N3799 type=control0 q_typed_residual_context=2.256023 sequence=161.381070
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N3701 type=control0 q_typed_residual_context=1.963954 sequence=163.345024
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N7541 type=control0 q_typed_residual_context=1.883611 sequence=165.228635
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N3805 type=control0 q_typed_residual_context=1.700551 sequence=166.929187
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N3681 type=control0 q_typed_residual_context=2.111594 sequence=169.040781
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N1533 type=control1 q_typed_residual_context=2.207533 sequence=171.248314
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N2580 type=control1 q_typed_residual_context=1.544723 sequence=172.793038
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N556 type=control1 q_typed_residual_context=1.309597 sequence=174.102634
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N7847 type=control0 q_typed_residual_context=1.486439 sequence=175.589074
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N7881 type=control1 q_typed_residual_context=1.790221 sequence=177.379295
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N7882 type=control1 q_typed_residual_context=3.008768 sequence=180.388063
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N7590 type=control1 q_typed_residual_context=3.789014 sequence=184.177077
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N7885 type=control1 q_typed_residual_context=3.729602 sequence=187.906679
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N7883 type=control1 q_typed_residual_context=4.970459 sequence=192.877138
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N7884 type=control1 q_typed_residual_context=3.902345 sequence=196.779483
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N7886 type=control1 q_typed_residual_context=3.321819 sequence=200.101302
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N7421 type=control1 q_typed_residual_context=1.981825 sequence=202.083128
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=125 node=N5046 type=observe q_typed_residual_context=1.463838 sequence=203.546966
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=126 node=N555 type=control1 q_typed_residual_context=3.071323 sequence=206.618288
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=127 node=N638 type=control1 q_typed_residual_context=5.277351 sequence=211.895640
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=128 node=N7424 type=control1 q_typed_residual_context=7.110012 sequence=219.005652
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=129 node=N620 type=control1 q_typed_residual_context=2.848546 sequence=221.854198
[b15-r7/cone_long_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=130 node=N634 type=control1 q_typed_residual_context=4.207764 sequence=226.061961
