[b15-alpha-boundary/a0.30] [gmean] 2026-07-21T14:55:23 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/alpha_boundary/alpha_0p30
[b15-alpha-boundary/a0.30] [gmean] 2026-07-21T14:55:23 budgets=iscas99__b15_1:278
[b15-alpha-boundary/a0.30] [gmean] 2026-07-21T14:55:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-alpha-boundary/a0.30] [gmean] 2026-07-21T14:55:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.229964
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.348734 sequence=17.578699
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.136422
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.461999
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.912593
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.167914
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.566583
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.166959
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.982623 sequence=29.149583
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.894625
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.287200
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.285758
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.442454
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.142207
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.308556 sequence=41.450763
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.956773 sequence=43.407536
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.830629 sequence=45.238165
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.728052 sequence=46.966217
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.813331 sequence=48.779549
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.807052 sequence=49.586601
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.845468 sequence=50.432069
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=29 node=N4670 type=control0 q_typed_reliable_context=2.985507 sequence=53.417576
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324638 sequence=53.742214
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472105 sequence=55.214320
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=2.806310 sequence=58.020630
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746174 sequence=58.766804
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978241 sequence=59.745045
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=1.831389 sequence=61.576433
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134418 sequence=63.710851
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615072 sequence=65.325923
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712283 sequence=66.038206
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829860 sequence=66.868067
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600804 sequence=67.468871
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.497029 sequence=67.965900
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458849 sequence=69.424750
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684588 sequence=73.109338
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.737586 sequence=78.846924
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062828 sequence=81.909752
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_reliable_context=1.936955 sequence=83.846708
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140049 sequence=84.986757
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=48 node=N4635 type=control0 q_typed_reliable_context=1.496874 sequence=86.483631
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=49 node=N8470 type=observe q_typed_reliable_context=1.668277 sequence=88.151909
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.264237 sequence=89.416146
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943601 sequence=90.359747
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.943714 sequence=91.303461
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.962507 sequence=92.265968
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=54 node=N4716 type=control0 q_typed_reliable_context=0.978310 sequence=93.244278
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=55 node=N3897 type=control0 q_typed_reliable_context=0.942598 sequence=94.186876
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.958835 sequence=95.145711
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.960230 sequence=96.105941
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=58 node=N3701 type=control0 q_typed_reliable_context=0.959324 sequence=97.065265
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.908339 sequence=97.973603
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=60 node=N5603 type=control0 q_typed_reliable_context=0.923327 sequence=98.896931
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=0.905961 sequence=99.802892
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=62 node=N2083 type=observe q_typed_reliable_context=1.013961 sequence=100.816853
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.406125 sequence=102.222978
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=64 node=N3805 type=control0 q_typed_reliable_context=0.854118 sequence=103.077096
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=65 node=N4606 type=control0 q_typed_reliable_context=0.797860 sequence=103.874956
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_reliable_context=0.935842 sequence=104.810797
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=67 node=N1539 type=control0 q_typed_reliable_context=0.926508 sequence=105.737306
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=68 node=N7724 type=control0 q_typed_reliable_context=0.934910 sequence=106.672216
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=69 node=N519 type=control1 q_typed_reliable_context=1.086386 sequence=107.758602
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=0.965973 sequence=108.724575
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=71 node=N899 type=observe q_typed_reliable_context=0.814946 sequence=109.539521
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=72 node=N4585 type=control0 q_typed_reliable_context=0.818344 sequence=110.357864
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=73 node=N7722 type=control0 q_typed_reliable_context=2.001878 sequence=112.359743
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=74 node=N4578 type=control0 q_typed_reliable_context=1.220464 sequence=113.580207
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=75 node=N516 type=control1 q_typed_reliable_context=1.475227 sequence=115.055433
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=76 node=N5234 type=observe q_typed_reliable_context=1.272372 sequence=116.327805
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=77 node=N513 type=control1 q_typed_reliable_context=1.312217 sequence=117.640022
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=78 node=N520 type=control1 q_typed_reliable_context=1.432169 sequence=119.072191
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=79 node=N2044 type=observe q_typed_reliable_context=1.360477 sequence=120.432668
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=80 node=N2042 type=observe q_typed_reliable_context=0.910693 sequence=121.343361
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=81 node=N7370 type=control1 q_typed_reliable_context=0.986709 sequence=122.330070
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=82 node=N7875 type=control1 q_typed_reliable_context=1.286504 sequence=123.616574
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=83 node=N555 type=control1 q_typed_reliable_context=2.084842 sequence=125.701416
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=84 node=N7590 type=control1 q_typed_reliable_context=0.966588 sequence=126.668004
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=85 node=N7885 type=control1 q_typed_reliable_context=1.137509 sequence=127.805513
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=86 node=N7886 type=control1 q_typed_reliable_context=1.329652 sequence=129.135165
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=87 node=N7887 type=control1 q_typed_reliable_context=1.314927 sequence=130.450092
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=88 node=N7888 type=control1 q_typed_reliable_context=1.264317 sequence=131.714409
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=89 node=N7889 type=control1 q_typed_reliable_context=1.747274 sequence=133.461682
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=90 node=N7890 type=control1 q_typed_reliable_context=1.013296 sequence=134.474979
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=91 node=N507 type=control1 q_typed_reliable_context=1.145928 sequence=135.620907
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=92 node=N3848 type=control0 q_typed_reliable_context=0.917390 sequence=136.538297
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=93 node=N3827 type=control0 q_typed_reliable_context=2.156658 sequence=138.694955
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=94 node=N7820 type=control0 q_typed_reliable_context=3.183677 sequence=141.878632
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=95 node=N4557 type=control0 q_typed_reliable_context=1.693023 sequence=143.571655
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=96 node=N7725 type=control0 q_typed_reliable_context=2.078646 sequence=145.650301
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_reliable_context=1.696319 sequence=147.346620
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=98 node=N7408 type=control0 q_typed_reliable_context=1.605610 sequence=148.952230
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=99 node=N7541 type=control0 q_typed_reliable_context=1.580322 sequence=150.532552
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=100 node=N556 type=control1 q_typed_reliable_context=1.414216 sequence=151.946768
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=101 node=N7891 type=control1 q_typed_reliable_context=1.582925 sequence=153.529693
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=102 node=N713 type=observe q_typed_reliable_context=2.280018 sequence=155.809712
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.299668 sequence=157.109380
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=104 node=N634 type=control1 q_typed_reliable_context=1.233672 sequence=158.343051
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=105 node=N3820 type=control0 q_typed_reliable_context=1.299793 sequence=159.642845
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=106 node=N610 type=control1 q_typed_reliable_context=1.459161 sequence=161.102005
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=107 node=N3813 type=control0 q_typed_reliable_context=1.681526 sequence=162.783532
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=108 node=N620 type=control1 q_typed_reliable_context=1.905194 sequence=164.688726
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=109 node=N3799 type=control0 q_typed_reliable_context=2.051157 sequence=166.739883
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=110 node=N638 type=control1 q_typed_reliable_context=1.883664 sequence=168.623547
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=111 node=N3792 type=control0 q_typed_reliable_context=2.184039 sequence=170.807585
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=112 node=N3785 type=control0 q_typed_reliable_context=1.876041 sequence=172.683626
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=113 node=N722 type=observe q_typed_reliable_context=3.229967 sequence=175.913593
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=114 node=N510 type=control1 q_typed_reliable_context=1.847420 sequence=177.761013
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=115 node=N3682 type=control0 q_typed_reliable_context=1.612814 sequence=179.373827
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=116 node=N4564 type=control0 q_typed_reliable_context=2.200586 sequence=181.574414
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=117 node=N7852 type=control0 q_typed_reliable_context=2.183795 sequence=183.758209
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=118 node=N7721 type=control0 q_typed_reliable_context=1.533818 sequence=185.292027
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=119 node=N7853 type=control0 q_typed_reliable_context=2.145451 sequence=187.437478
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=120 node=N4520 type=control0 q_typed_reliable_context=2.091404 sequence=189.528882
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=121 node=N7847 type=control0 q_typed_reliable_context=2.041843 sequence=191.570725
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=122 node=N3903 type=control0 q_typed_reliable_context=1.601602 sequence=193.172328
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=123 node=N2040 type=observe q_typed_reliable_context=1.648213 sequence=194.820541
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.958237 sequence=196.778777
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=125 node=N3896 type=control0 q_typed_reliable_context=1.939742 sequence=198.718519
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=126 node=N7421 type=control1 q_typed_reliable_context=1.838344 sequence=200.556863
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=127 node=N7537 type=observe q_typed_reliable_context=1.118500 sequence=201.675363
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=128 node=N7532 type=observe q_typed_reliable_context=1.194218 sequence=202.869581
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.584158 sequence=204.453739
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=1.916127 sequence=206.369866
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=131 node=N3180 type=control1 q_typed_reliable_context=2.331487 sequence=208.701353
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=132 node=N3410 type=control1 q_typed_reliable_context=2.001017 sequence=210.702370
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=2.016986 sequence=212.719357
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=134 node=N785 type=observe q_typed_reliable_context=1.826335 sequence=214.545692
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=135 node=N636 type=control1 q_typed_reliable_context=1.295871 sequence=215.841563
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=136 node=N7856 type=control1 q_typed_reliable_context=1.381998 sequence=217.223561
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=137 node=N630 type=control1 q_typed_reliable_context=1.555964 sequence=218.779524
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=138 node=N642 type=control1 q_typed_reliable_context=0.997754 sequence=219.777279
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=139 node=N3295 type=control1 q_typed_reliable_context=1.151903 sequence=220.929182
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=140 node=N645 type=control1 q_typed_reliable_context=1.540425 sequence=222.469607
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=141 node=N616 type=control1 q_typed_reliable_context=1.413803 sequence=223.883410
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=142 node=N1552 type=observe q_typed_reliable_context=1.780369 sequence=225.663779
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=143 node=N649 type=control1 q_typed_reliable_context=1.624711 sequence=227.288490
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=144 node=N5867 type=observe q_typed_reliable_context=1.291768 sequence=228.580258
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=145 node=N2157 type=observe q_typed_reliable_context=2.738566 sequence=231.318824
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=146 node=N647 type=control1 q_typed_reliable_context=6.002810 sequence=237.321634
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=147 node=N1586 type=control1 q_typed_reliable_context=6.471965 sequence=243.793599
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=148 node=N3525 type=control1 q_typed_reliable_context=5.990059 sequence=249.783658
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=149 node=N1607 type=control1 q_typed_reliable_context=2.171423 sequence=251.955081
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=150 node=N7442 type=control0 q_typed_reliable_context=6.513340 sequence=258.468420
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=151 node=N7402 type=observe q_typed_reliable_context=6.194993 sequence=264.663413
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=152 node=N7445 type=control0 q_typed_reliable_context=5.718433 sequence=270.381846
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=153 node=N2102 type=observe q_typed_reliable_context=5.762659 sequence=276.144505
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=154 node=N7680 type=observe q_typed_reliable_context=5.932036 sequence=282.076541
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=155 node=N2580 type=control1 q_typed_reliable_context=5.743763 sequence=287.820304
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=156 node=N7628 type=observe q_typed_reliable_context=2.534107 sequence=290.354411
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=157 node=N7624 type=observe q_typed_reliable_context=5.720131 sequence=296.074542
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=158 node=N694 type=observe q_typed_reliable_context=2.370655 sequence=298.445197
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=159 node=N6534 type=observe q_typed_reliable_context=0.716808 sequence=299.162005
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=160 node=N4529 type=observe q_typed_reliable_context=1.130548 sequence=300.292553
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=161 node=N2652 type=control1 q_typed_reliable_context=1.238827 sequence=301.531380
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=162 node=N5356 type=observe q_typed_reliable_context=2.560978 sequence=304.092358
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=163 node=N6948 type=observe q_typed_reliable_context=4.360272 sequence=308.452630
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=164 node=N7385 type=observe q_typed_reliable_context=0.889133 sequence=309.341763
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=165 node=N7465 type=observe q_typed_reliable_context=2.540011 sequence=311.881773
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=166 node=N712 type=observe q_typed_reliable_context=1.956539 sequence=313.838312
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=167 node=N5627 type=observe q_typed_reliable_context=3.092980 sequence=316.931292
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=168 node=N5617 type=observe q_typed_reliable_context=2.993735 sequence=319.925027
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=169 node=N3467 type=control1 q_typed_reliable_context=1.335176 sequence=321.260203
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=170 node=N2894 type=control1 q_typed_reliable_context=1.459094 sequence=322.719298
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=171 node=N723 type=observe q_typed_reliable_context=5.190536 sequence=327.909834
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=172 node=N2149 type=observe q_typed_reliable_context=5.208805 sequence=333.118639
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=173 node=N2106 type=observe q_typed_reliable_context=5.049693 sequence=338.168331
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=174 node=N2721 type=control1 q_typed_reliable_context=2.108704 sequence=340.277035
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=175 node=N2952 type=control1 q_typed_reliable_context=1.307299 sequence=341.584334
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=176 node=N2779 type=control1 q_typed_reliable_context=0.469100 sequence=342.053434
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=177 node=N7873 type=control1 q_typed_reliable_context=1.087911 sequence=343.141345
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=178 node=N2837 type=control1 q_typed_reliable_context=0.890354 sequence=344.031699
[b15-alpha-boundary/a0.30] [plan iscas99__b15_1] [plan] step=179 node=N578 type=observe q_typed_reliable_context=0.679043 sequence=344.710742
