[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_only_late/best_final_horizon/alpha_0p10_decay_64
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 budgets=iscas99__b15_1:278
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771891 sequence=207.545351
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783625 sequence=211.328975
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.607083 sequence=215.936058
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088060 sequence=219.024118
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671792 sequence=220.695910
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528722 sequence=223.224632
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.319628 sequence=225.544261
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436147 sequence=226.980408
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004570 sequence=227.984978
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.548078 sequence=229.533056
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.639728 sequence=233.172784
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.788573 sequence=238.961357
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763968 sequence=244.725324
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120802 sequence=247.846126
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.670873 sequence=250.516999
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=145 node=N7679 type=observe q_typed_reliable_context=1.379887 sequence=251.896886
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_reliable_context=2.827096 sequence=254.723982
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.849318 sequence=255.573300
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333449 sequence=257.906749
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=149 node=N725 type=observe q_typed_reliable_context=2.700030 sequence=260.606778
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_reliable_context=2.854035 sequence=263.460814
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=151 node=N6948 type=observe q_typed_reliable_context=2.923660 sequence=266.384474
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=152 node=N3467 type=control1 q_typed_reliable_context=1.712943 sequence=268.097417
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=153 node=N5617 type=observe q_typed_reliable_context=4.153623 sequence=272.251040
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=154 node=N2580 type=control1 q_typed_reliable_context=1.735247 sequence=273.986287
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=2.214925 sequence=276.201212
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=2.024057 sequence=278.225269
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.272031 sequence=280.497300
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.671786 sequence=283.169087
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=159 node=N4529 type=observe q_typed_reliable_context=4.691798 sequence=287.860885
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=160 node=N2102 type=observe q_typed_reliable_context=1.746056 sequence=289.606941
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=161 node=N6531 type=observe q_typed_reliable_context=5.157921 sequence=294.764862
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=5.391046 sequence=300.155908
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=163 node=N714 type=observe q_typed_reliable_context=2.311780 sequence=302.467688
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=164 node=N7614 type=observe q_typed_reliable_context=2.556330 sequence=305.024017
