[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p20_decay_64
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.20/d64] [gmean] 2026-07-21T16:34:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=55 node=N4716 type=control0 q_typed_reliable_context=1.926893 sequence=98.389233
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=56 node=N2040 type=observe q_typed_reliable_context=1.873203 sequence=100.262436
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=57 node=N519 type=control1 q_typed_reliable_context=3.299240 sequence=103.561676
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=58 node=N7411 type=control1 q_typed_reliable_context=1.863194 sequence=105.424869
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=59 node=N7506 type=observe q_typed_reliable_context=1.950974 sequence=107.375843
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=60 node=N899 type=observe q_typed_reliable_context=1.610552 sequence=108.986396
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=61 node=N7370 type=control1 q_typed_reliable_context=1.492460 sequence=110.478855
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=62 node=N7891 type=control1 q_typed_reliable_context=2.010219 sequence=112.489075
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=63 node=N513 type=control1 q_typed_reliable_context=2.631455 sequence=115.120530
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=64 node=N504 type=control1 q_typed_reliable_context=2.281138 sequence=117.401668
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=65 node=N3911 type=control0 q_typed_reliable_context=1.544157 sequence=118.945824
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=66 node=N3799 type=control0 q_typed_reliable_context=1.419027 sequence=120.364851
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=67 node=N3904 type=control0 q_typed_reliable_context=2.031797 sequence=122.396649
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=68 node=N3897 type=control0 q_typed_reliable_context=2.281906 sequence=124.678555
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=69 node=N3862 type=control0 q_typed_reliable_context=2.684958 sequence=127.363513
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=70 node=N3855 type=control0 q_typed_reliable_context=3.048027 sequence=130.411540
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=71 node=N3848 type=control0 q_typed_reliable_context=2.960530 sequence=133.372070
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=72 node=N3827 type=control0 q_typed_reliable_context=2.635549 sequence=136.007620
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=73 node=N3820 type=control0 q_typed_reliable_context=2.280339 sequence=138.287958
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=74 node=N3841 type=control0 q_typed_reliable_context=2.204957 sequence=140.492916
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=75 node=N3813 type=control0 q_typed_reliable_context=2.816259 sequence=143.309174
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=76 node=N4585 type=control0 q_typed_reliable_context=2.046893 sequence=145.356068
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=77 node=N4578 type=control0 q_typed_reliable_context=1.741365 sequence=147.097432
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=78 node=N4606 type=control0 q_typed_reliable_context=1.882709 sequence=148.980142
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=79 node=N4564 type=control0 q_typed_reliable_context=1.951728 sequence=150.931869
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=80 node=N3903 type=control0 q_typed_reliable_context=1.925918 sequence=152.857787
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=81 node=N3896 type=control0 q_typed_reliable_context=1.795033 sequence=154.652820
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=82 node=N3889 type=control0 q_typed_reliable_context=1.856087 sequence=156.508907
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=83 node=N704 type=observe q_typed_reliable_context=3.151003 sequence=159.659909
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_reliable_context=2.589265 sequence=162.249174
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=85 node=N4520 type=control0 q_typed_reliable_context=2.504075 sequence=164.753250
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=86 node=N3882 type=control0 q_typed_reliable_context=2.595451 sequence=167.348701
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=87 node=N1539 type=control0 q_typed_reliable_context=2.324045 sequence=169.672746
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=88 node=N3805 type=control0 q_typed_reliable_context=3.730196 sequence=173.402942
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=89 node=N7725 type=control0 q_typed_reliable_context=3.170883 sequence=176.573824
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=90 node=N516 type=control1 q_typed_reliable_context=3.959952 sequence=180.533776
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=91 node=N7723 type=control0 q_typed_reliable_context=2.527952 sequence=183.061728
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=92 node=N7471 type=control0 q_typed_reliable_context=3.194563 sequence=186.256291
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=93 node=N7724 type=control0 q_typed_reliable_context=2.927960 sequence=189.184251
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=94 node=N556 type=control1 q_typed_reliable_context=4.972342 sequence=194.156594
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=95 node=N2106 type=observe q_typed_reliable_context=6.456370 sequence=200.612964
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=96 node=N555 type=control1 q_typed_reliable_context=2.829578 sequence=203.442542
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=97 node=N520 type=control1 q_typed_reliable_context=2.408825 sequence=205.851366
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=98 node=N1533 type=control1 q_typed_reliable_context=1.506180 sequence=207.357547
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=99 node=N3681 type=control0 q_typed_reliable_context=1.343824 sequence=208.701370
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=100 node=N7537 type=observe q_typed_reliable_context=1.072289 sequence=209.773660
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=101 node=N7534 type=observe q_typed_reliable_context=1.305212 sequence=211.078871
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=102 node=N7532 type=observe q_typed_reliable_context=1.709420 sequence=212.788291
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_reliable_context=1.613016 sequence=214.401307
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_reliable_context=1.297728 sequence=215.699035
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=105 node=N7820 type=control0 q_typed_reliable_context=0.861910 sequence=216.560944
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=106 node=N614 type=control1 q_typed_reliable_context=1.473685 sequence=218.034629
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=107 node=N2580 type=control1 q_typed_reliable_context=1.122511 sequence=219.157140
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=108 node=N7518 type=observe q_typed_reliable_context=1.145140 sequence=220.302281
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=109 node=N785 type=observe q_typed_reliable_context=1.216293 sequence=221.518574
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_reliable_context=1.587635 sequence=223.106209
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=111 node=N3180 type=control1 q_typed_reliable_context=1.789139 sequence=224.895348
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=112 node=N7734 type=control0 q_typed_reliable_context=0.925581 sequence=225.820929
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=113 node=N610 type=control1 q_typed_reliable_context=1.024124 sequence=226.845053
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=114 node=N7733 type=control0 q_typed_reliable_context=0.714388 sequence=227.559441
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=115 node=N620 type=control1 q_typed_reliable_context=1.780843 sequence=229.340284
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=116 node=N3410 type=control1 q_typed_reliable_context=1.383472 sequence=230.723756
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=117 node=N638 type=control1 q_typed_reliable_context=1.131235 sequence=231.854990
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=118 node=N5627 type=observe q_typed_reliable_context=0.643173 sequence=232.498164
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=119 node=N578 type=observe q_typed_reliable_context=1.479241 sequence=233.977404
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=120 node=N7732 type=control0 q_typed_reliable_context=0.868324 sequence=234.845729
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=121 node=N7453 type=observe q_typed_reliable_context=0.975561 sequence=235.821290
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=122 node=N7500 type=observe q_typed_reliable_context=0.908163 sequence=236.729453
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=123 node=N7424 type=control1 q_typed_reliable_context=0.894680 sequence=237.624134
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=124 node=N7465 type=observe q_typed_reliable_context=1.186210 sequence=238.810344
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=125 node=N5603 type=observe q_typed_reliable_context=1.311089 sequence=240.121433
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=126 node=N5878 type=observe q_typed_reliable_context=1.573014 sequence=241.694447
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=127 node=N7614 type=observe q_typed_reliable_context=1.007942 sequence=242.702389
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=128 node=N694 type=observe q_typed_reliable_context=1.513549 sequence=244.215938
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=129 node=N7624 type=observe q_typed_reliable_context=1.092596 sequence=245.308534
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=130 node=N5867 type=observe q_typed_reliable_context=1.263520 sequence=246.572055
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=131 node=N5876 type=observe q_typed_reliable_context=1.423557 sequence=247.995611
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=132 node=N7679 type=observe q_typed_reliable_context=1.533656 sequence=249.529267
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=133 node=N7436 type=observe q_typed_reliable_context=1.576898 sequence=251.106165
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=134 node=N723 type=observe q_typed_reliable_context=1.467066 sequence=252.573230
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=135 node=N5617 type=observe q_typed_reliable_context=1.173266 sequence=253.746496
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=136 node=N5738 type=observe q_typed_reliable_context=1.000198 sequence=254.746694
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=137 node=N2102 type=observe q_typed_reliable_context=0.945936 sequence=255.692630
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=138 node=N7846 type=control0 q_typed_reliable_context=0.876886 sequence=256.569515
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=139 node=N7853 type=control0 q_typed_reliable_context=0.628637 sequence=257.198153
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=140 node=N645 type=control1 q_typed_reliable_context=1.703346 sequence=258.901499
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=141 node=N7852 type=control0 q_typed_reliable_context=0.600355 sequence=259.501854
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=142 node=N616 type=control1 q_typed_reliable_context=1.410184 sequence=260.912038
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=143 node=N636 type=control1 q_typed_reliable_context=1.464044 sequence=262.376082
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=144 node=N7722 type=control0 q_typed_reliable_context=0.757249 sequence=263.133331
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=145 node=N7854 type=control0 q_typed_reliable_context=0.828747 sequence=263.962077
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=146 node=N7721 type=control0 q_typed_reliable_context=1.046729 sequence=265.008806
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=147 node=N630 type=control1 q_typed_reliable_context=2.056098 sequence=267.064903
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=148 node=N3295 type=control1 q_typed_reliable_context=0.999472 sequence=268.064376
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=149 node=N642 type=control1 q_typed_reliable_context=1.510959 sequence=269.575335
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=150 node=N649 type=control1 q_typed_reliable_context=1.459605 sequence=271.034940
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=151 node=N3467 type=control1 q_typed_reliable_context=1.118022 sequence=272.152962
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=152 node=N3525 type=control1 q_typed_reliable_context=1.249619 sequence=273.402581
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=153 node=N7847 type=control0 q_typed_reliable_context=0.739194 sequence=274.141776
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=154 node=N1607 type=control1 q_typed_reliable_context=2.176804 sequence=276.318579
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=155 node=N647 type=control1 q_typed_reliable_context=1.490892 sequence=277.809471
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=156 node=N7735 type=control0 q_typed_reliable_context=0.762359 sequence=278.571830
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=157 node=N1586 type=control1 q_typed_reliable_context=3.428621 sequence=282.000452
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=158 node=N7731 type=control0 q_typed_reliable_context=0.772178 sequence=282.772630
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=159 node=N7730 type=control0 q_typed_reliable_context=0.740630 sequence=283.513259
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=160 node=N6531 type=observe q_typed_reliable_context=0.777269 sequence=284.290528
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=161 node=N7729 type=control0 q_typed_reliable_context=1.062283 sequence=285.352811
[b15-r9/horizon_joint_late/a0.20/d64] [plan iscas99__b15_1] [plan] step=162 node=N7728 type=control0 q_typed_reliable_context=1.337283 sequence=286.690094
