[b15-r9/horizon_joint_late/a0.20/d0] [gmean] 2026-07-21T16:34:26 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p20_decay_none
[b15-r9/horizon_joint_late/a0.20/d0] [gmean] 2026-07-21T16:34:26 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.20/d0] [gmean] 2026-07-21T16:34:26 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.20/d0] [gmean] 2026-07-21T16:34:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_reliable_context=3.090382 sequence=43.055453
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=2.700591 sequence=45.756044
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_reliable_context=2.724505 sequence=48.480548
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=25 node=N2101 type=observe q_typed_reliable_context=2.610360 sequence=51.090909
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=0.970281 sequence=52.061189
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=27 node=N5203 type=control1 q_typed_reliable_context=0.812779 sequence=52.873969
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=28 node=N5723 type=control0 q_typed_reliable_context=0.786841 sequence=53.660810
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=29 node=N4670 type=control0 q_typed_reliable_context=2.464882 sequence=56.125692
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=30 node=N7516 type=observe q_typed_reliable_context=0.727372 sequence=56.853065
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=31 node=N576 type=observe q_typed_reliable_context=1.623817 sequence=58.476882
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=32 node=N583 type=control1 q_typed_reliable_context=1.267161 sequence=59.744043
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=33 node=N4663 type=control0 q_typed_reliable_context=2.253720 sequence=61.997763
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.662550 sequence=62.660313
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=35 node=N7413 type=control1 q_typed_reliable_context=1.221788 sequence=63.882101
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=36 node=N3701 type=control0 q_typed_reliable_context=0.668702 sequence=64.550803
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=37 node=N4684 type=control0 q_typed_reliable_context=3.410988 sequence=67.961791
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=38 node=N4677 type=control0 q_typed_reliable_context=3.787818 sequence=71.749608
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=2.116069 sequence=73.865677
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=40 node=N4635 type=control0 q_typed_reliable_context=2.765506 sequence=76.631183
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=41 node=N704 type=observe q_typed_reliable_context=2.391269 sequence=79.022452
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_reliable_context=3.382331 sequence=82.404782
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=43 node=N4691 type=control0 q_typed_reliable_context=2.030017 sequence=84.434799
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=44 node=N8470 type=observe q_typed_reliable_context=2.624803 sequence=87.059601
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=45 node=N4698 type=control0 q_typed_reliable_context=1.821542 sequence=88.881144
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=46 node=N4649 type=control0 q_typed_reliable_context=1.869597 sequence=90.750741
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=47 node=N724 type=observe q_typed_reliable_context=1.587816 sequence=92.338557
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=48 node=N3911 type=control0 q_typed_reliable_context=0.872936 sequence=93.211493
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=49 node=N4705 type=control0 q_typed_reliable_context=2.038333 sequence=95.249826
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=50 node=N3904 type=control0 q_typed_reliable_context=0.999068 sequence=96.248894
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=51 node=N4716 type=control0 q_typed_reliable_context=2.440177 sequence=98.689071
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=52 node=N4712 type=control0 q_typed_reliable_context=2.269545 sequence=100.958617
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=1.159708 sequence=102.118325
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=54 node=N7471 type=control0 q_typed_reliable_context=1.695811 sequence=103.814136
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=55 node=N3889 type=control0 q_typed_reliable_context=1.472436 sequence=105.286572
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=56 node=N3785 type=control0 q_typed_reliable_context=1.396112 sequence=106.682684
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=57 node=N3862 type=control0 q_typed_reliable_context=1.519257 sequence=108.201940
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=58 node=N3855 type=control0 q_typed_reliable_context=1.683638 sequence=109.885579
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_reliable_context=1.829422 sequence=111.715001
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=60 node=N3827 type=control0 q_typed_reliable_context=1.982559 sequence=113.697559
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=61 node=N3820 type=control0 q_typed_reliable_context=2.163516 sequence=115.861075
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=62 node=N3799 type=control0 q_typed_reliable_context=2.368645 sequence=118.229720
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=63 node=N519 type=control1 q_typed_reliable_context=3.230536 sequence=121.460257
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=64 node=N3792 type=control0 q_typed_reliable_context=2.544614 sequence=124.004870
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=65 node=N3813 type=control0 q_typed_reliable_context=2.807150 sequence=126.812020
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=66 node=N3882 type=control0 q_typed_reliable_context=3.134464 sequence=129.946484
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=67 node=N3805 type=control0 q_typed_reliable_context=3.618162 sequence=133.564646
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=68 node=N4606 type=control0 q_typed_reliable_context=3.723792 sequence=137.288437
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=69 node=N3841 type=control0 q_typed_reliable_context=3.333917 sequence=140.622354
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=70 node=N4585 type=control0 q_typed_reliable_context=2.715403 sequence=143.337757
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=71 node=N3903 type=control0 q_typed_reliable_context=2.306309 sequence=145.644065
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=72 node=N899 type=observe q_typed_reliable_context=2.291808 sequence=147.935873
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=73 node=N7506 type=observe q_typed_reliable_context=2.321578 sequence=150.257451
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=74 node=N3896 type=control0 q_typed_reliable_context=2.165080 sequence=152.422531
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=75 node=N4578 type=control0 q_typed_reliable_context=2.200944 sequence=154.623476
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=76 node=N4564 type=control0 q_typed_reliable_context=2.801503 sequence=157.424979
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=77 node=N4628 type=control0 q_typed_reliable_context=2.826613 sequence=160.251591
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=78 node=N1539 type=control0 q_typed_reliable_context=2.422532 sequence=162.674124
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=79 node=N4520 type=control0 q_typed_reliable_context=2.523530 sequence=165.197654
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=80 node=N2350 type=control0 q_typed_reliable_context=2.538243 sequence=167.735897
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=81 node=N7725 type=control0 q_typed_reliable_context=3.772127 sequence=171.508023
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=82 node=N4557 type=control0 q_typed_reliable_context=3.086576 sequence=174.594600
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=83 node=N2340 type=observe q_typed_reliable_context=5.589853 sequence=180.184452
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=84 node=N713 type=observe q_typed_reliable_context=5.056291 sequence=185.240743
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=85 node=N7723 type=control0 q_typed_reliable_context=2.290604 sequence=187.531347
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=86 node=N7724 type=control0 q_typed_reliable_context=1.971121 sequence=189.502468
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=87 node=N516 type=control1 q_typed_reliable_context=5.321474 sequence=194.823941
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=88 node=N2042 type=observe q_typed_reliable_context=2.559417 sequence=197.383359
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=89 node=N504 type=control1 q_typed_reliable_context=4.098794 sequence=201.482153
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=90 node=N7722 type=control0 q_typed_reliable_context=1.599520 sequence=203.081673
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=91 node=N7370 type=control1 q_typed_reliable_context=2.046374 sequence=205.128047
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=92 node=N513 type=control1 q_typed_reliable_context=4.590922 sequence=209.718970
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=93 node=N725 type=observe q_typed_reliable_context=2.532071 sequence=212.251041
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=94 node=N578 type=observe q_typed_reliable_context=2.072277 sequence=214.323317
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=95 node=N556 type=control1 q_typed_reliable_context=2.553429 sequence=216.876747
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=96 node=N520 type=control1 q_typed_reliable_context=1.792065 sequence=218.668812
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=97 node=N2040 type=observe q_typed_reliable_context=1.167103 sequence=219.835915
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=98 node=N555 type=control1 q_typed_reliable_context=1.593048 sequence=221.428962
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=99 node=N7532 type=observe q_typed_reliable_context=1.955399 sequence=223.384361
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=100 node=N7537 type=observe q_typed_reliable_context=1.534967 sequence=224.919328
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=101 node=N7535 type=observe q_typed_reliable_context=1.896057 sequence=226.815385
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=102 node=N7534 type=observe q_typed_reliable_context=1.535148 sequence=228.350533
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=103 node=N7588 type=control1 q_typed_reliable_context=0.951357 sequence=229.301890
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=104 node=N7590 type=control1 q_typed_reliable_context=0.696738 sequence=229.998628
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=105 node=N614 type=control1 q_typed_reliable_context=1.321683 sequence=231.320311
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=106 node=N3681 type=control0 q_typed_reliable_context=1.210813 sequence=232.531123
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=107 node=N7518 type=observe q_typed_reliable_context=1.023131 sequence=233.554254
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=108 node=N785 type=observe q_typed_reliable_context=1.153644 sequence=234.707899
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=109 node=N7408 type=control0 q_typed_reliable_context=1.332805 sequence=236.040704
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_reliable_context=1.264023 sequence=237.304727
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=111 node=N7846 type=control0 q_typed_reliable_context=1.845528 sequence=239.150255
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=112 node=N7736 type=control0 q_typed_reliable_context=0.856880 sequence=240.007135
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=113 node=N7541 type=control0 q_typed_reliable_context=1.724269 sequence=241.731404
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=114 node=N7735 type=control0 q_typed_reliable_context=1.787481 sequence=243.518885
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=115 node=N5627 type=observe q_typed_reliable_context=1.731234 sequence=245.250119
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=116 node=N510 type=control1 q_typed_reliable_context=2.475372 sequence=247.725491
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=117 node=N610 type=control1 q_typed_reliable_context=1.433724 sequence=249.159214
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=118 node=N620 type=control1 q_typed_reliable_context=1.963969 sequence=251.123184
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=119 node=N2580 type=control1 q_typed_reliable_context=1.703085 sequence=252.826269
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=120 node=N3410 type=control1 q_typed_reliable_context=1.166278 sequence=253.992547
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=121 node=N638 type=control1 q_typed_reliable_context=1.697769 sequence=255.690316
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=122 node=N3180 type=control1 q_typed_reliable_context=1.481893 sequence=257.172209
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=123 node=N7453 type=observe q_typed_reliable_context=0.891348 sequence=258.063557
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=124 node=N7820 type=control0 q_typed_reliable_context=0.630205 sequence=258.693761
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=125 node=N7500 type=observe q_typed_reliable_context=1.039981 sequence=259.733742
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=126 node=N694 type=observe q_typed_reliable_context=1.688816 sequence=261.422559
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=127 node=N7721 type=control0 q_typed_reliable_context=0.805066 sequence=262.227624
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=128 node=N7734 type=control0 q_typed_reliable_context=1.001700 sequence=263.229325
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=129 node=N7424 type=control1 q_typed_reliable_context=1.359291 sequence=264.588616
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=130 node=N7733 type=control0 q_typed_reliable_context=1.591854 sequence=266.180470
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=131 node=N7624 type=observe q_typed_reliable_context=1.228922 sequence=267.409392
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=132 node=N645 type=control1 q_typed_reliable_context=1.996854 sequence=269.406246
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_reliable_context=1.960055 sequence=271.366302
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=2.140034 sequence=273.506336
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=135 node=N7732 type=control0 q_typed_reliable_context=1.595000 sequence=275.101336
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=136 node=N7402 type=observe q_typed_reliable_context=1.760411 sequence=276.861747
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=137 node=N3237 type=control1 q_typed_reliable_context=1.718701 sequence=278.580448
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=138 node=N7731 type=control0 q_typed_reliable_context=1.293996 sequence=279.874444
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=139 node=N2102 type=observe q_typed_reliable_context=1.527177 sequence=281.401622
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=140 node=N7730 type=control0 q_typed_reliable_context=1.286956 sequence=282.688578
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=2.033828 sequence=284.722406
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=142 node=N7729 type=control0 q_typed_reliable_context=1.428302 sequence=286.150709
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=143 node=N649 type=control1 q_typed_reliable_context=1.962589 sequence=288.113298
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=144 node=N7728 type=control0 q_typed_reliable_context=1.409259 sequence=289.522557
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=145 node=N7882 type=control1 q_typed_reliable_context=0.779506 sequence=290.302063
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=146 node=N7881 type=control1 q_typed_reliable_context=1.098498 sequence=291.400562
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=147 node=N3295 type=control1 q_typed_reliable_context=1.053895 sequence=292.454457
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=148 node=N3467 type=control1 q_typed_reliable_context=1.169535 sequence=293.623992
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=149 node=N642 type=control1 q_typed_reliable_context=1.936164 sequence=295.560156
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=150 node=N7465 type=observe q_typed_reliable_context=1.516290 sequence=297.076447
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=151 node=N3525 type=control1 q_typed_reliable_context=1.713609 sequence=298.790056
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=152 node=N6948 type=observe q_typed_reliable_context=1.730081 sequence=300.520137
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=153 node=N1586 type=control1 q_typed_reliable_context=2.235022 sequence=302.755159
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=154 node=N6534 type=observe q_typed_reliable_context=2.211978 sequence=304.967137
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=155 node=N7482 type=observe q_typed_reliable_context=1.564015 sequence=306.531152
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=156 node=N714 type=observe q_typed_reliable_context=2.026832 sequence=308.557984
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=157 node=N7551 type=observe q_typed_reliable_context=1.793229 sequence=310.351213
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=158 node=N647 type=control1 q_typed_reliable_context=2.820438 sequence=313.171651
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=159 node=N1607 type=control1 q_typed_reliable_context=2.544007 sequence=315.715659
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=160 node=N2894 type=control1 q_typed_reliable_context=2.388654 sequence=318.104312
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=161 node=N5617 type=observe q_typed_reliable_context=1.561013 sequence=319.665325
[b15-r9/horizon_joint_late/a0.20/d0] [plan iscas99__b15_1] [plan] step=162 node=N2952 type=control1 q_typed_reliable_context=1.919104 sequence=321.584429
