[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p05_decay_none
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=61.036403
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006652 sequence=64.043055
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.760790
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=38 node=N713 type=observe q_typed_reliable_context=1.605161 sequence=67.365951
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=39 node=N7881 type=control1 q_typed_reliable_context=0.480196 sequence=67.846147
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=40 node=N7882 type=control1 q_typed_reliable_context=0.688931 sequence=68.535078
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=41 node=N7883 type=control1 q_typed_reliable_context=0.369877 sequence=68.904955
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=42 node=N7884 type=control1 q_typed_reliable_context=0.406215 sequence=69.311170
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=43 node=N7885 type=control1 q_typed_reliable_context=0.474367 sequence=69.785538
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_reliable_context=2.688829 sequence=72.474367
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=45 node=N4691 type=control0 q_typed_reliable_context=2.360533 sequence=74.834899
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=46 node=N724 type=observe q_typed_reliable_context=2.492014 sequence=77.326914
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_reliable_context=1.331543 sequence=78.658457
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=48 node=N4698 type=control0 q_typed_reliable_context=1.351932 sequence=80.010388
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=49 node=N8470 type=observe q_typed_reliable_context=1.307384 sequence=81.317772
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.195642 sequence=82.513414
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=51 node=N3701 type=control0 q_typed_reliable_context=1.003081 sequence=83.516496
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=52 node=N3911 type=control0 q_typed_reliable_context=0.926352 sequence=84.442847
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=53 node=N3904 type=control0 q_typed_reliable_context=0.903112 sequence=85.345960
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.909193 sequence=86.255153
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.924543 sequence=87.179695
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.943937 sequence=88.123633
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.946790 sequence=89.070423
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.881066 sequence=89.951489
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=59 node=N5603 type=control0 q_typed_reliable_context=0.971743 sequence=90.923233
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_reliable_context=1.072296 sequence=91.995529
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=61 node=N2083 type=observe q_typed_reliable_context=0.944760 sequence=92.940288
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=62 node=N3805 type=control0 q_typed_reliable_context=1.015545 sequence=93.955833
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.608093 sequence=95.563926
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.850183 sequence=96.414109
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=1.074784 sequence=97.488893
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.122486 sequence=98.611379
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=67 node=N4635 type=control0 q_typed_reliable_context=1.146117 sequence=99.757496
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=68 node=N2044 type=observe q_typed_reliable_context=1.030282 sequence=100.787778
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=69 node=N519 type=control1 q_typed_reliable_context=1.119153 sequence=101.906931
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=70 node=N2042 type=observe q_typed_reliable_context=0.904025 sequence=102.810956
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=71 node=N504 type=control1 q_typed_reliable_context=1.301985 sequence=104.112941
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.082897 sequence=105.195838
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=73 node=N5234 type=observe q_typed_reliable_context=1.112109 sequence=106.307947
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=74 node=N899 type=observe q_typed_reliable_context=0.926460 sequence=107.234408
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=75 node=N7532 type=observe q_typed_reliable_context=0.901013 sequence=108.135421
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=76 node=N520 type=control1 q_typed_reliable_context=1.510888 sequence=109.646309
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=77 node=N7537 type=observe q_typed_reliable_context=1.137128 sequence=110.783436
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=78 node=N7535 type=observe q_typed_reliable_context=1.270923 sequence=112.054359
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=79 node=N7534 type=observe q_typed_reliable_context=1.424500 sequence=113.478859
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=80 node=N516 type=control1 q_typed_reliable_context=1.513662 sequence=114.992521
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=81 node=N1539 type=control0 q_typed_reliable_context=1.022041 sequence=116.014562
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=82 node=N7722 type=control0 q_typed_reliable_context=1.276001 sequence=117.290563
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_reliable_context=1.173829 sequence=118.464393
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=84 node=N7854 type=control0 q_typed_reliable_context=0.990659 sequence=119.455052
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=85 node=N4585 type=control0 q_typed_reliable_context=1.180150 sequence=120.635201
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=86 node=N7471 type=control0 q_typed_reliable_context=2.849695 sequence=123.484897
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=87 node=N7891 type=control1 q_typed_reliable_context=1.859516 sequence=125.344413
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=88 node=N7721 type=control0 q_typed_reliable_context=1.345246 sequence=126.689659
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=89 node=N4564 type=control0 q_typed_reliable_context=0.977660 sequence=127.667319
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=90 node=N4578 type=control0 q_typed_reliable_context=1.576835 sequence=129.244154
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=91 node=N7725 type=control0 q_typed_reliable_context=2.913595 sequence=132.157749
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=92 node=N7886 type=control1 q_typed_reliable_context=2.295373 sequence=134.453122
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=93 node=N4520 type=control0 q_typed_reliable_context=2.328918 sequence=136.782040
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=94 node=N7887 type=control1 q_typed_reliable_context=2.957232 sequence=139.739272
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=95 node=N7888 type=control1 q_typed_reliable_context=2.878958 sequence=142.618229
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=96 node=N704 type=observe q_typed_reliable_context=2.460286 sequence=145.078515
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=97 node=N3820 type=control0 q_typed_reliable_context=1.087994 sequence=146.166509
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.254820 sequence=147.421329
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=99 node=N507 type=control1 q_typed_reliable_context=1.787435 sequence=149.208764
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=100 node=N3785 type=control0 q_typed_reliable_context=1.906001 sequence=151.114765
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=101 node=N7408 type=control0 q_typed_reliable_context=1.942893 sequence=153.057658
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=102 node=N3827 type=control0 q_typed_reliable_context=1.544637 sequence=154.602295
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=103 node=N7541 type=control0 q_typed_reliable_context=1.692819 sequence=156.295114
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.897214 sequence=158.192328
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=105 node=N7590 type=control1 q_typed_reliable_context=1.815447 sequence=160.007775
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=106 node=N7889 type=control1 q_typed_reliable_context=2.050690 sequence=162.058465
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=107 node=N510 type=control1 q_typed_reliable_context=3.638207 sequence=165.696672
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=108 node=N3799 type=control0 q_typed_reliable_context=2.169554 sequence=167.866226
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=109 node=N7890 type=control1 q_typed_reliable_context=2.196333 sequence=170.062559
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=110 node=N3792 type=control0 q_typed_reliable_context=2.270098 sequence=172.332657
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=111 node=N722 type=observe q_typed_reliable_context=3.732199 sequence=176.064857
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=112 node=N7846 type=control0 q_typed_reliable_context=2.634242 sequence=178.699099
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=113 node=N3682 type=control0 q_typed_reliable_context=2.783476 sequence=181.482575
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=114 node=N4557 type=control0 q_typed_reliable_context=5.573611 sequence=187.056186
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=115 node=N7847 type=control0 q_typed_reliable_context=4.477082 sequence=191.533269
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=116 node=N3903 type=control0 q_typed_reliable_context=1.822271 sequence=193.355539
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=117 node=N7853 type=control0 q_typed_reliable_context=2.122864 sequence=195.478403
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=118 node=N3896 type=control0 q_typed_reliable_context=1.711792 sequence=197.190195
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=119 node=N7820 type=control0 q_typed_reliable_context=2.259218 sequence=199.449413
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=120 node=N7852 type=control0 q_typed_reliable_context=2.605234 sequence=202.054647
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=121 node=N556 type=control1 q_typed_reliable_context=2.163513 sequence=204.218159
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=122 node=N2040 type=observe q_typed_reliable_context=2.405059 sequence=206.623218
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=123 node=N555 type=control1 q_typed_reliable_context=1.661374 sequence=208.284592
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=124 node=N7421 type=control1 q_typed_reliable_context=2.569684 sequence=210.854276
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=125 node=N7370 type=control1 q_typed_reliable_context=3.612268 sequence=214.466544
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=126 node=N638 type=control1 q_typed_reliable_context=5.715522 sequence=220.182066
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=127 node=N7588 type=control1 q_typed_reliable_context=4.598498 sequence=224.780564
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=128 node=N620 type=control1 q_typed_reliable_context=3.054582 sequence=227.835145
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=129 node=N616 type=control1 q_typed_reliable_context=5.765273 sequence=233.600418
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=130 node=N636 type=control1 q_typed_reliable_context=3.342798 sequence=236.943215
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=131 node=N7518 type=observe q_typed_reliable_context=5.069478 sequence=242.012693
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=132 node=N785 type=observe q_typed_reliable_context=4.282525 sequence=246.295218
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=133 node=N7424 type=control1 q_typed_reliable_context=2.732935 sequence=249.028153
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=134 node=N614 type=control1 q_typed_reliable_context=1.561462 sequence=250.589615
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=135 node=N3295 type=control1 q_typed_reliable_context=2.384345 sequence=252.973960
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=136 node=N578 type=observe q_typed_reliable_context=1.435557 sequence=254.409516
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=137 node=N630 type=control1 q_typed_reliable_context=1.563968 sequence=255.973485
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=138 node=N610 type=control1 q_typed_reliable_context=4.069266 sequence=260.042751
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=139 node=N649 type=control1 q_typed_reliable_context=5.517096 sequence=265.559847
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=140 node=N3525 type=control1 q_typed_reliable_context=3.406379 sequence=268.966227
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=141 node=N7500 type=observe q_typed_reliable_context=5.769003 sequence=274.735230
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=142 node=N642 type=control1 q_typed_reliable_context=3.824813 sequence=278.560044
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=143 node=N7453 type=observe q_typed_reliable_context=5.940197 sequence=284.500241
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=144 node=N645 type=control1 q_typed_reliable_context=5.004598 sequence=289.504839
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=145 node=N634 type=control1 q_typed_reliable_context=4.706575 sequence=294.211414
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=146 node=N3410 type=control1 q_typed_reliable_context=2.644059 sequence=296.855474
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=147 node=N1607 type=control1 q_typed_reliable_context=5.906555 sequence=302.762028
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=148 node=N647 type=control1 q_typed_reliable_context=3.240768 sequence=306.002796
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=149 node=N1586 type=control1 q_typed_reliable_context=3.825179 sequence=309.827975
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=150 node=N1552 type=observe q_typed_reliable_context=2.638889 sequence=312.466864
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=151 node=N3180 type=control1 q_typed_reliable_context=3.827078 sequence=316.293942
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=152 node=N2157 type=observe q_typed_reliable_context=6.531110 sequence=322.825052
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=153 node=N5867 type=observe q_typed_reliable_context=1.611315 sequence=324.436367
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=154 node=N7385 type=observe q_typed_reliable_context=3.276540 sequence=327.712907
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=155 node=N2106 type=observe q_typed_reliable_context=0.971880 sequence=328.684787
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=156 node=N7482 type=observe q_typed_reliable_context=3.215117 sequence=331.899905
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=157 node=N7624 type=observe q_typed_reliable_context=4.007206 sequence=335.907111
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=158 node=N7613 type=observe q_typed_reliable_context=2.724111 sequence=338.631222
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=159 node=N2149 type=observe q_typed_reliable_context=2.101989 sequence=340.733211
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=160 node=N4521 type=observe q_typed_reliable_context=5.066015 sequence=345.799226
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=161 node=N6948 type=observe q_typed_reliable_context=1.988538 sequence=347.787763
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=162 node=N5617 type=observe q_typed_reliable_context=2.312125 sequence=350.099889
