[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/epoch_008/q_typed_reliable_context/alpha_0p10_weight_1p00
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [gmean] 2026-07-21T11:09:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=16 node=N1532 type=observe q_typed_reliable_context=4.206325 sequence=37.984970
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_reliable_context=4.892550 sequence=42.877520
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_reliable_context=7.874000 sequence=50.751520
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_reliable_context=6.947140 sequence=57.698660
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_reliable_context=6.898923 sequence=64.597583
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=21 node=N580 type=control1 q_typed_reliable_context=6.032029 sequence=70.629612
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_reliable_context=3.525515 sequence=74.155128
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=23 node=N737 type=control1 q_typed_reliable_context=2.466888 sequence=76.622015
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=24 node=N488 type=control1 q_typed_reliable_context=2.101405 sequence=78.723420
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=6.652857 sequence=85.376277
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=26 node=N5723 type=control0 q_typed_reliable_context=4.674837 sequence=90.051114
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_reliable_context=4.306530 sequence=94.357645
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=4.840190 sequence=99.197835
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_reliable_context=2.964319 sequence=102.162154
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_reliable_context=1.057235 sequence=103.219388
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=6.233150 sequence=109.452538
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_reliable_context=3.991181 sequence=113.443719
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_reliable_context=4.067927 sequence=117.511646
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=34 node=N2042 type=observe q_typed_reliable_context=4.136706 sequence=121.648352
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=35 node=N5234 type=observe q_typed_reliable_context=1.989822 sequence=123.638173
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=36 node=N2314 type=control1 q_typed_reliable_context=1.010146 sequence=124.648319
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=37 node=N3911 type=control0 q_typed_reliable_context=0.848114 sequence=125.496433
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_reliable_context=1.981227 sequence=127.477660
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=39 node=N3904 type=control0 q_typed_reliable_context=0.849593 sequence=128.327252
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=40 node=N3897 type=control0 q_typed_reliable_context=0.886023 sequence=129.213275
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_reliable_context=2.353096 sequence=131.566371
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=42 node=N3862 type=control0 q_typed_reliable_context=1.233505 sequence=132.799876
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_reliable_context=2.643370 sequence=135.443246
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=44 node=N713 type=observe q_typed_reliable_context=2.112035 sequence=137.555281
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=2.704394 sequence=140.259675
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=46 node=N4670 type=control0 q_typed_reliable_context=3.094363 sequence=143.354038
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=47 node=N704 type=observe q_typed_reliable_context=3.279506 sequence=146.633543
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=48 node=N3855 type=control0 q_typed_reliable_context=0.939817 sequence=147.573360
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_reliable_context=2.705359 sequence=150.278719
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=50 node=N3848 type=control0 q_typed_reliable_context=1.078117 sequence=151.356837
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=51 node=N4684 type=control0 q_typed_reliable_context=2.806058 sequence=154.162895
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=52 node=N3827 type=control0 q_typed_reliable_context=1.021120 sequence=155.184015
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=53 node=N4691 type=control0 q_typed_reliable_context=2.841956 sequence=158.025971
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=54 node=N2102 type=observe q_typed_reliable_context=1.191529 sequence=159.217499
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=55 node=N4698 type=control0 q_typed_reliable_context=3.003669 sequence=162.221169
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=56 node=N3820 type=control0 q_typed_reliable_context=1.068145 sequence=163.289314
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=57 node=N4705 type=control0 q_typed_reliable_context=2.730476 sequence=166.019790
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=58 node=N3813 type=control0 q_typed_reliable_context=1.302576 sequence=167.322366
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=59 node=N4712 type=control0 q_typed_reliable_context=2.470536 sequence=169.792902
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=60 node=N4716 type=control0 q_typed_reliable_context=3.991673 sequence=173.784575
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=61 node=N7471 type=control0 q_typed_reliable_context=2.211487 sequence=175.996062
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=62 node=N3799 type=control0 q_typed_reliable_context=1.904684 sequence=177.900746
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=63 node=N3792 type=control0 q_typed_reliable_context=1.744446 sequence=179.645192
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=64 node=N3785 type=control0 q_typed_reliable_context=2.405390 sequence=182.050582
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=65 node=N578 type=observe q_typed_reliable_context=4.093489 sequence=186.144071
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=66 node=N7516 type=observe q_typed_reliable_context=2.558754 sequence=188.702826
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=67 node=N2340 type=observe q_typed_reliable_context=3.413440 sequence=192.116266
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=68 node=N7587 type=control1 q_typed_reliable_context=3.564540 sequence=195.680806
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=69 node=N4564 type=control0 q_typed_reliable_context=1.481893 sequence=197.162699
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=70 node=N3701 type=control0 q_typed_reliable_context=1.189064 sequence=198.351763
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=71 node=N7923 type=control0 q_typed_reliable_context=1.335814 sequence=199.687577
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=72 node=N7854 type=control0 q_typed_reliable_context=5.882082 sequence=205.569659
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=1.547189 sequence=207.116848
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=74 node=N4578 type=control0 q_typed_reliable_context=1.856043 sequence=208.972890
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=75 node=N3889 type=control0 q_typed_reliable_context=1.543607 sequence=210.516497
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=76 node=N7722 type=control0 q_typed_reliable_context=1.174372 sequence=211.690870
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=77 node=N3903 type=control0 q_typed_reliable_context=1.083567 sequence=212.774436
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=78 node=N3896 type=control0 q_typed_reliable_context=1.734150 sequence=214.508586
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=79 node=N3681 type=control0 q_typed_reliable_context=3.871772 sequence=218.380358
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=80 node=N7721 type=control0 q_typed_reliable_context=5.673151 sequence=224.053509
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=81 node=N3882 type=control0 q_typed_reliable_context=3.834069 sequence=227.887578
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=82 node=N4520 type=control0 q_typed_reliable_context=3.673056 sequence=231.560634
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=83 node=N3840 type=control0 q_typed_reliable_context=3.519688 sequence=235.080322
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=84 node=N7725 type=control0 q_typed_reliable_context=3.713605 sequence=238.793927
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_reliable_context=4.871476 sequence=243.665403
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_reliable_context=3.192679 sequence=246.858082
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=87 node=N694 type=observe q_typed_reliable_context=4.014725 sequence=250.872807
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=88 node=N513 type=control1 q_typed_reliable_context=4.281667 sequence=255.154473
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=89 node=N7401 type=observe q_typed_reliable_context=2.936202 sequence=258.090675
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_reliable_context=3.904488 sequence=261.995163
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=91 node=N7723 type=control0 q_typed_reliable_context=1.867298 sequence=263.862460
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=92 node=N2580 type=control1 q_typed_reliable_context=1.910639 sequence=265.773099
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_reliable_context=3.984676 sequence=269.757776
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=94 node=N516 type=control1 q_typed_reliable_context=4.149945 sequence=273.907720
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=95 node=N4606 type=control0 q_typed_reliable_context=1.799206 sequence=275.706926
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=96 node=N4585 type=control0 q_typed_reliable_context=1.877462 sequence=277.584389
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=97 node=N3805 type=control0 q_typed_reliable_context=1.990405 sequence=279.574794
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=98 node=N3742 type=control0 q_typed_reliable_context=2.385859 sequence=281.960653
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=99 node=N4557 type=control0 q_typed_reliable_context=2.353358 sequence=284.314011
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=100 node=N7679 type=observe q_typed_reliable_context=2.053470 sequence=286.367481
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=101 node=N2106 type=observe q_typed_reliable_context=2.516665 sequence=288.884145
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=102 node=N7421 type=control1 q_typed_reliable_context=1.297266 sequence=290.181411
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=103 node=N1533 type=control1 q_typed_reliable_context=3.340235 sequence=293.521646
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=104 node=N7881 type=control1 q_typed_reliable_context=1.843950 sequence=295.365596
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=105 node=N7889 type=control1 q_typed_reliable_context=1.066508 sequence=296.432104
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=106 node=N555 type=control1 q_typed_reliable_context=3.863559 sequence=300.295663
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_reliable_context=3.481074 sequence=303.776737
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=108 node=N7846 type=control0 q_typed_reliable_context=4.531495 sequence=308.308232
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=109 node=N7408 type=control0 q_typed_reliable_context=3.363830 sequence=311.672061
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=110 node=N7732 type=control0 q_typed_reliable_context=1.875976 sequence=313.548037
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=111 node=N7541 type=control0 q_typed_reliable_context=2.556923 sequence=316.104960
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=112 node=N7847 type=control0 q_typed_reliable_context=5.188197 sequence=321.293157
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=3.873181 sequence=325.166338
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=114 node=N7853 type=control0 q_typed_reliable_context=3.785633 sequence=328.951972
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=115 node=N8003 type=control0 q_typed_reliable_context=1.945075 sequence=330.897047
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=116 node=N8005 type=control0 q_typed_reliable_context=1.785569 sequence=332.682616
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=117 node=N7736 type=control0 q_typed_reliable_context=2.097056 sequence=334.779671
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=118 node=N7735 type=control0 q_typed_reliable_context=2.099988 sequence=336.879660
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=119 node=N614 type=control1 q_typed_reliable_context=2.218897 sequence=339.098557
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=120 node=N634 type=control1 q_typed_reliable_context=2.672258 sequence=341.770815
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=121 node=N7731 type=control0 q_typed_reliable_context=6.041551 sequence=347.812366
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=122 node=N3180 type=control1 q_typed_reliable_context=4.058091 sequence=351.870457
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=123 node=N7730 type=control0 q_typed_reliable_context=4.655092 sequence=356.525549
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_reliable_context/a0.10/w1.00] [plan iscas99__b15_1] [plan] step=124 node=N610 type=control1 q_typed_reliable_context=4.917538 sequence=361.443087
