[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:42:22 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_rank/best_final_horizon/q_typed_residual_context/alpha_0p05_weight_0p75
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:42:22 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:42:22 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T10:42:22 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.045329 sequence=17.880638
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.943659 sequence=18.824296
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.139092 sequence=19.963388
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.253712
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.584469 sequence=23.838181
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265034 sequence=27.103214
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.105333 sequence=30.208547
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.773304 sequence=32.981852
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.819368 sequence=34.801219
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.704513 sequence=39.505733
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.598333 sequence=44.104066
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.281947 sequence=49.386013
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.791193 sequence=54.177206
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.172040 sequence=58.349246
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.753635 sequence=65.102880
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.115063 sequence=71.217943
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.978549 sequence=77.196492
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.699914 sequence=82.896406
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.917554 sequence=89.813960
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.493458 sequence=95.307418
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.392770 sequence=99.700188
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.362968 sequence=104.063157
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.393804 sequence=108.456960
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.839850 sequence=116.296810
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.917029 sequence=119.213840
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.127267 sequence=125.341107
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.749011 sequence=130.090118
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.228125 sequence=136.318243
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.897618 sequence=142.215862
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.128812 sequence=146.344674
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.373281 sequence=152.717955
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.890741 sequence=153.608696
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.182726 sequence=154.791422
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.637868 sequence=156.429290
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.036386 sequence=158.465676
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N4585 type=control0 q_typed_residual_context=0.821555 sequence=159.287231
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.985655 sequence=160.272886
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.067331 sequence=161.340217
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.958342 sequence=162.298558
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.586683 sequence=163.885242
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889416 sequence=164.774657
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.192668 sequence=165.967325
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.410255 sequence=167.377580
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.442597 sequence=168.820177
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.379664 sequence=170.199841
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.320797 sequence=171.520639
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.182195 sequence=172.702834
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.998081 sequence=173.700915
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.205536 sequence=174.906451
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.146393 sequence=176.052844
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.239424 sequence=177.292268
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_residual_context=1.207813 sequence=178.500080
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N4578 type=control0 q_typed_residual_context=1.200011 sequence=179.700091
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N4606 type=control0 q_typed_residual_context=1.288454 sequence=180.988545
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.222231 sequence=182.210776
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_residual_context=1.120151 sequence=183.330927
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.046065 sequence=184.376992
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_residual_context=1.135474 sequence=185.512466
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_residual_context=1.254815 sequence=186.767281
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.292433 sequence=188.059714
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.754864 sequence=190.814578
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_residual_context=2.185517 sequence=193.000095
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.780326 sequence=194.780421
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.803235 sequence=196.583656
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.420717 sequence=199.004373
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.955797 sequence=200.960169
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.658225 sequence=203.618394
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.965291 sequence=206.583685
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.580758 sequence=208.164443
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.347368 sequence=209.511811
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.986307 sequence=211.498119
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.047995 sequence=213.546113
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.093841 sequence=215.639955
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.952352 sequence=217.592306
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.873562 sequence=219.465868
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.691899 sequence=221.157768
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.256660 sequence=223.414427
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.655375 sequence=225.069802
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.140403 sequence=226.210205
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.486529 sequence=227.696735
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_residual_context=1.011003 sequence=228.707738
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=0.938856 sequence=229.646594
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_residual_context=1.631068 sequence=231.277662
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=2.835646 sequence=234.113308
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_residual_context=1.500135 sequence=235.613443
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_residual_context=1.838638 sequence=237.452081
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=4.854153 sequence=242.306234
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_residual_context=1.482154 sequence=243.788388
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_residual_context=1.504975 sequence=245.293363
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.431784 sequence=247.725147
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N7725 type=control0 q_typed_residual_context=2.054889 sequence=249.780036
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N7588 type=control1 q_typed_residual_context=1.265122 sequence=251.045158
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_residual_context=1.941740 sequence=252.986897
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N3841 type=control0 q_typed_residual_context=1.921346 sequence=254.908243
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_residual_context=2.928820 sequence=257.837063
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=2.019051 sequence=259.856114
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_residual_context=2.358702 sequence=262.214816
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=5.426523 sequence=267.641340
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N7853 type=control0 q_typed_residual_context=2.808536 sequence=270.449875
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N578 type=observe q_typed_residual_context=1.954088 sequence=272.403964
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N7541 type=control0 q_typed_residual_context=1.191264 sequence=273.595227
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N5876 type=observe q_typed_residual_context=0.873716 sequence=274.468943
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_residual_context=1.323623 sequence=275.792567
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N3827 type=control0 q_typed_residual_context=1.836553 sequence=277.629119
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N7627 type=observe q_typed_residual_context=2.142909 sequence=279.772028
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N2157 type=observe q_typed_residual_context=3.048926 sequence=282.820954
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N3820 type=control0 q_typed_residual_context=1.865676 sequence=284.686630
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N7402 type=observe q_typed_residual_context=1.663613 sequence=286.350243
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N7679 type=observe q_typed_residual_context=1.762773 sequence=288.113016
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N3813 type=control0 q_typed_residual_context=2.245650 sequence=290.358665
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N556 type=control1 q_typed_residual_context=2.212358 sequence=292.571023
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N555 type=control1 q_typed_residual_context=2.043683 sequence=294.614706
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N520 type=control1 q_typed_residual_context=2.172529 sequence=296.787236
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N614 type=control1 q_typed_residual_context=2.288624 sequence=299.075860
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N2083 type=observe q_typed_residual_context=1.543119 sequence=300.618978
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N3799 type=control0 q_typed_residual_context=1.513163 sequence=302.132142
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N5356 type=observe q_typed_residual_context=1.187531 sequence=303.319673
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=125 node=N694 type=observe q_typed_residual_context=2.506011 sequence=305.825684
