[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:00:57 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:00:57 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:00:57 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:00:57 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.878109 sequence=35.036972
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.739818 sequence=39.776790
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.627991 sequence=44.404781
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.333349 sequence=49.738131
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.836940 sequence=54.575071
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.215015 sequence=58.790086
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.713263 sequence=65.503349
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.081615 sequence=71.584964
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=5.951141 sequence=77.536105
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.135336 sequence=81.671441
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.852691 sequence=88.524132
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.325567 sequence=92.849699
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.474468 sequence=97.324166
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.835027 sequence=102.159194
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=5.214783 sequence=107.373976
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=6.359329 sequence=113.733305
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_residual_context=4.500594 sequence=118.233899
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_residual_context=3.770386 sequence=122.004285
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N2042 type=observe q_typed_residual_context=4.788769 sequence=126.793054
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=6.617914 sequence=133.410968
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=6.371788 sequence=139.782756
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=6.038920 sequence=145.821676
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N7891 type=control1 q_typed_residual_context=5.917212 sequence=151.738889
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_residual_context=5.287158 sequence=157.026046
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N7511 type=control1 q_typed_residual_context=4.557794 sequence=161.583841
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=4.347012 sequence=165.930852
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=6.128610 sequence=172.059463
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N7881 type=control1 q_typed_residual_context=4.436924 sequence=176.496387
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N7884 type=control1 q_typed_residual_context=4.632456 sequence=181.128843
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N7885 type=control1 q_typed_residual_context=4.893543 sequence=186.022387
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N7886 type=control1 q_typed_residual_context=5.356402 sequence=191.378788
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N7887 type=control1 q_typed_residual_context=4.990463 sequence=196.369251
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N7888 type=control1 q_typed_residual_context=2.365887 sequence=198.735138
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N3903 type=control0 q_typed_residual_context=0.830607 sequence=199.565745
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N4663 type=control0 q_typed_residual_context=1.031628 sequence=200.597373
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N4656 type=control0 q_typed_residual_context=1.575711 sequence=202.173085
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N713 type=observe q_typed_residual_context=1.767022 sequence=203.940106
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N4670 type=control0 q_typed_residual_context=1.960278 sequence=205.900384
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=2.329167 sequence=208.229551
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=6.172622 sequence=214.402174
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3896 type=control0 q_typed_residual_context=0.876344 sequence=215.278518
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N4684 type=control0 q_typed_residual_context=0.976116 sequence=216.254634
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N4677 type=control0 q_typed_residual_context=1.348866 sequence=217.603500
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_residual_context=0.999446 sequence=218.602946
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_residual_context=1.004870 sequence=219.607816
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_residual_context=0.977531 sequence=220.585346
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N4606 type=control0 q_typed_residual_context=0.928605 sequence=221.513952
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N4585 type=control0 q_typed_residual_context=1.032466 sequence=222.546418
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N4578 type=control0 q_typed_residual_context=1.040664 sequence=223.587082
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4564 type=control0 q_typed_residual_context=1.005066 sequence=224.592148
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4712 type=control0 q_typed_residual_context=0.957417 sequence=225.549565
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4716 type=control0 q_typed_residual_context=0.945243 sequence=226.494808
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N4705 type=control0 q_typed_residual_context=1.188820 sequence=227.683628
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4698 type=control0 q_typed_residual_context=1.448913 sequence=229.132542
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N4691 type=control0 q_typed_residual_context=1.407771 sequence=230.540313
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N722 type=observe q_typed_residual_context=3.525601 sequence=234.065914
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N4557 type=control0 q_typed_residual_context=1.490262 sequence=235.556176
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=1.273966 sequence=236.830141
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7543 type=control0 q_typed_residual_context=1.669093 sequence=238.499234
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N519 type=control1 q_typed_residual_context=1.414970 sequence=239.914204
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N504 type=control1 q_typed_residual_context=1.425149 sequence=241.339353
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N7854 type=control0 q_typed_residual_context=1.601265 sequence=242.940619
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N7724 type=control0 q_typed_residual_context=1.446386 sequence=244.387005
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N2083 type=observe q_typed_residual_context=1.099409 sequence=245.486414
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N513 type=control1 q_typed_residual_context=2.284013 sequence=247.770427
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N516 type=control1 q_typed_residual_context=1.431486 sequence=249.201913
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N7890 type=control1 q_typed_residual_context=1.374340 sequence=250.576253
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N7889 type=control1 q_typed_residual_context=1.696796 sequence=252.273049
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N3911 type=control0 q_typed_residual_context=1.278938 sequence=253.551987
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N1533 type=control1 q_typed_residual_context=1.029153 sequence=254.581140
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N520 type=control1 q_typed_residual_context=1.573156 sequence=256.154296
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N3722 type=control0 q_typed_residual_context=1.834702 sequence=257.988998
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_residual_context=3.074860 sequence=261.063858
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N3904 type=control0 q_typed_residual_context=2.452903 sequence=263.516761
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N3897 type=control0 q_typed_residual_context=2.943052 sequence=266.459813
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N3827 type=control0 q_typed_residual_context=4.622513 sequence=271.082326
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N3862 type=control0 q_typed_residual_context=4.507511 sequence=275.589837
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N1411 type=control0 q_typed_residual_context=2.713123 sequence=278.302960
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=2.137249 sequence=280.440210
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N3840 type=control0 q_typed_residual_context=2.955391 sequence=283.395601
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N7725 type=control0 q_typed_residual_context=3.885244 sequence=287.280844
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.175362 sequence=289.456206
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N3820 type=control0 q_typed_residual_context=2.435503 sequence=291.891710
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_residual_context=3.144621 sequence=295.036331
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_residual_context=3.700845 sequence=298.737176
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N7590 type=control1 q_typed_residual_context=5.416549 sequence=304.153725
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N555 type=control1 q_typed_residual_context=2.995821 sequence=307.149545
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N3855 type=control0 q_typed_residual_context=4.295186 sequence=311.444731
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N7820 type=control0 q_typed_residual_context=4.375435 sequence=315.820166
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7370 type=control1 q_typed_residual_context=1.697163 sequence=317.517329
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N3848 type=control0 q_typed_residual_context=4.456822 sequence=321.974151
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N7588 type=control1 q_typed_residual_context=4.040965 sequence=326.015117
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N3813 type=control0 q_typed_residual_context=2.451683 sequence=328.466800
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N3799 type=control0 q_typed_residual_context=2.763966 sequence=331.230766
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N3792 type=control0 q_typed_residual_context=2.582941 sequence=333.813707
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N3785 type=control0 q_typed_residual_context=2.488164 sequence=336.301871
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N3701 type=control0 q_typed_residual_context=2.246805 sequence=338.548676
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N4520 type=control0 q_typed_residual_context=2.137602 sequence=340.686278
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N3681 type=control0 q_typed_residual_context=1.719529 sequence=342.405807
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N634 type=control1 q_typed_residual_context=1.558367 sequence=343.964174
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N7870 type=control1 q_typed_residual_context=1.618861 sequence=345.583036
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N556 type=control1 q_typed_residual_context=1.794307 sequence=347.377343
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N3410 type=control1 q_typed_residual_context=2.557436 sequence=349.934779
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N3180 type=control1 q_typed_residual_context=3.126605 sequence=353.061383
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N638 type=control1 q_typed_residual_context=4.551973 sequence=357.613357
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N620 type=control1 q_typed_residual_context=5.740856 sequence=363.354213
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N614 type=control1 q_typed_residual_context=4.035617 sequence=367.389830
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N7421 type=control1 q_typed_residual_context=3.203063 sequence=370.592893
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N610 type=control1 q_typed_residual_context=2.628707 sequence=373.221600
