[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T10:58:04 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/best_final_horizon/q_typed_residual_context/alpha_0p10_weight_0p75
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T10:58:04 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T10:58:04 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T10:58:04 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.151325 sequence=20.094420
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.384744
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.553526 sequence=23.938270
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265819 sequence=27.204088
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.101492 sequence=30.305580
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.764138 sequence=33.069718
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.838948 sequence=34.908666
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.715029 sequence=39.623695
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.604523 sequence=44.228218
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.304387 sequence=49.532605
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.806442 sequence=54.339047
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.186365 sequence=58.525412
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.740177 sequence=65.265589
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.104136 sequence=71.369725
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.966673 sequence=77.336398
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.704931 sequence=83.041329
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.914894 sequence=89.956223
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.503304 sequence=95.459527
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.383970 sequence=99.843496
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.354280 sequence=104.197776
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.385641 sequence=108.583417
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.832182 sequence=116.415600
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.909826 sequence=119.325426
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.136535 sequence=125.461961
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.742021 sequence=130.203982
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.236943 sequence=136.440925
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.901830 sequence=142.342755
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N1532 type=observe q_typed_residual_context=4.133939 sequence=146.476695
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.368330 sequence=152.845025
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.892005 sequence=153.737030
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=1.182207 sequence=154.919237
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_residual_context=1.637497 sequence=156.556734
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.036042 sequence=158.592776
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N4585 type=control0 q_typed_residual_context=0.821754 sequence=159.414529
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_residual_context=0.985712 sequence=160.400242
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_residual_context=1.067569 sequence=161.467811
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.958041 sequence=162.425852
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N4656 type=control0 q_typed_residual_context=1.583863 sequence=164.009714
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N3903 type=control0 q_typed_residual_context=0.889193 sequence=164.898907
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N4663 type=control0 q_typed_residual_context=1.190978 sequence=166.089885
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N713 type=observe q_typed_residual_context=1.412714 sequence=167.502598
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N724 type=observe q_typed_residual_context=1.443581 sequence=168.946180
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N4670 type=control0 q_typed_residual_context=1.379608 sequence=170.325788
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=1.322201 sequence=171.647989
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.182175 sequence=172.830164
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N3896 type=control0 q_typed_residual_context=0.997794 sequence=173.827959
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.204596 sequence=175.032555
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3889 type=control0 q_typed_residual_context=1.146171 sequence=176.178726
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.239212 sequence=177.417938
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3805 type=control0 q_typed_residual_context=1.207648 sequence=178.625586
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N4578 type=control0 q_typed_residual_context=1.199561 sequence=179.825147
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N4606 type=control0 q_typed_residual_context=1.288151 sequence=181.113299
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_residual_context=1.221681 sequence=182.334980
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N4564 type=control0 q_typed_residual_context=1.119918 sequence=183.454898
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.045757 sequence=184.500655
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_residual_context=1.135013 sequence=185.635668
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4698 type=control0 q_typed_residual_context=1.254303 sequence=186.889971
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4691 type=control0 q_typed_residual_context=1.291923 sequence=188.181894
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N722 type=observe q_typed_residual_context=2.755843 sequence=190.937737
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4557 type=control0 q_typed_residual_context=2.185061 sequence=193.122798
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N7471 type=control0 q_typed_residual_context=1.780448 sequence=194.903246
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N3722 type=control0 q_typed_residual_context=1.803278 sequence=196.706524
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N1539 type=control0 q_typed_residual_context=2.420936 sequence=199.127460
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N3911 type=control0 q_typed_residual_context=1.955783 sequence=201.083243
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=2.658428 sequence=203.741671
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N7854 type=control0 q_typed_residual_context=2.965290 sequence=206.706961
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N3862 type=control0 q_typed_residual_context=1.580759 sequence=208.287719
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N7886 type=control1 q_typed_residual_context=1.347379 sequence=209.635099
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N7887 type=control1 q_typed_residual_context=1.986318 sequence=211.621416
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N7888 type=control1 q_typed_residual_context=2.047994 sequence=213.669410
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N7889 type=control1 q_typed_residual_context=2.093817 sequence=215.763227
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N7890 type=control1 q_typed_residual_context=1.952304 sequence=217.715531
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N3897 type=control0 q_typed_residual_context=1.873561 sequence=219.589092
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N3904 type=control0 q_typed_residual_context=1.691900 sequence=221.280992
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N7722 type=control0 q_typed_residual_context=2.256779 sequence=223.537771
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.655406 sequence=225.193177
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N7370 type=control1 q_typed_residual_context=1.140396 sequence=226.333573
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.486339 sequence=227.819913
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N516 type=control1 q_typed_residual_context=1.010970 sequence=228.830883
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=0.938490 sequence=229.769374
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N3855 type=control0 q_typed_residual_context=1.631069 sequence=231.400443
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N7543 type=control0 q_typed_residual_context=2.835627 sequence=234.236070
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N1533 type=control1 q_typed_residual_context=1.500127 sequence=235.736197
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N5603 type=observe q_typed_residual_context=1.838732 sequence=237.574929
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N7721 type=control0 q_typed_residual_context=4.854076 sequence=242.429005
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N3848 type=control0 q_typed_residual_context=1.482149 sequence=243.911155
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N7820 type=control0 q_typed_residual_context=1.504875 sequence=245.416030
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N7723 type=control0 q_typed_residual_context=2.431720 sequence=247.847750
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N7725 type=control0 q_typed_residual_context=2.054822 sequence=249.902572
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N7588 type=control1 q_typed_residual_context=1.265087 sequence=251.167660
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N7590 type=control1 q_typed_residual_context=1.941733 sequence=253.109393
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N3841 type=control0 q_typed_residual_context=1.921345 sequence=255.030738
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N7846 type=control0 q_typed_residual_context=2.928801 sequence=257.959539
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=2.019004 sequence=259.978543
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N7852 type=control0 q_typed_residual_context=2.358687 sequence=262.337230
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7847 type=control0 q_typed_residual_context=5.426560 sequence=267.763790
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N7853 type=control0 q_typed_residual_context=2.808536 sequence=270.572326
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N578 type=observe q_typed_residual_context=1.954154 sequence=272.526481
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N7541 type=control0 q_typed_residual_context=1.191268 sequence=273.717749
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N5876 type=observe q_typed_residual_context=0.873771 sequence=274.591520
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N634 type=control1 q_typed_residual_context=1.323595 sequence=275.915115
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N3827 type=control0 q_typed_residual_context=1.836552 sequence=277.751668
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N7627 type=observe q_typed_residual_context=2.142936 sequence=279.894604
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N2157 type=observe q_typed_residual_context=3.048970 sequence=282.943573
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N3820 type=control0 q_typed_residual_context=1.865676 sequence=284.809250
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N7402 type=observe q_typed_residual_context=1.663658 sequence=286.472908
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N7679 type=observe q_typed_residual_context=1.762799 sequence=288.235707
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N3813 type=control0 q_typed_residual_context=2.245650 sequence=290.481356
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N556 type=control1 q_typed_residual_context=2.212359 sequence=292.693716
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N555 type=control1 q_typed_residual_context=2.043689 sequence=294.737404
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N520 type=control1 q_typed_residual_context=2.172532 sequence=296.909936
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N614 type=control1 q_typed_residual_context=2.288623 sequence=299.198559
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N2083 type=observe q_typed_residual_context=1.543135 sequence=300.741694
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N3799 type=control0 q_typed_residual_context=1.513162 sequence=302.254856
[b15-r6-type/type_balanced_toplist/best_final_horizon/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N5356 type=observe q_typed_residual_context=1.187554 sequence=303.442410
