[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/epoch_008/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:06:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=5.214783 sequence=107.406237
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=6.359329 sequence=113.765566
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_residual_context=4.500594 sequence=118.266160
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_residual_context=3.770386 sequence=122.036546
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N2042 type=observe q_typed_residual_context=4.789842 sequence=126.826388
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=6.619899 sequence=133.446287
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=6.372626 sequence=139.818913
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=6.038920 sequence=145.857833
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N7891 type=control1 q_typed_residual_context=5.917634 sequence=151.775467
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_residual_context=5.292534 sequence=157.068002
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N7511 type=control1 q_typed_residual_context=4.558767 sequence=161.626769
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=4.347630 sequence=165.974399
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=6.129002 sequence=172.103401
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N7881 type=control1 q_typed_residual_context=4.437127 sequence=176.540528
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N7884 type=control1 q_typed_residual_context=4.632665 sequence=181.173193
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N7885 type=control1 q_typed_residual_context=4.893658 sequence=186.066851
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N7886 type=control1 q_typed_residual_context=5.356490 sequence=191.423341
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N7887 type=control1 q_typed_residual_context=4.990619 sequence=196.413960
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N7888 type=control1 q_typed_residual_context=2.366144 sequence=198.780104
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N3903 type=control0 q_typed_residual_context=0.830849 sequence=199.610953
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N4663 type=control0 q_typed_residual_context=1.031628 sequence=200.642581
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N4656 type=control0 q_typed_residual_context=1.575711 sequence=202.218293
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N713 type=observe q_typed_residual_context=1.767022 sequence=203.985315
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N4670 type=control0 q_typed_residual_context=1.960278 sequence=205.945592
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=2.328805 sequence=208.274397
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=6.172110 sequence=214.446507
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3896 type=control0 q_typed_residual_context=0.875620 sequence=215.322127
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N4684 type=control0 q_typed_residual_context=0.975756 sequence=216.297883
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N4677 type=control0 q_typed_residual_context=1.348634 sequence=217.646517
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_residual_context=0.999614 sequence=218.646131
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_residual_context=1.004949 sequence=219.651080
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_residual_context=0.977577 sequence=220.628658
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N3701 type=control0 q_typed_residual_context=0.928184 sequence=221.556841
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N4606 type=control0 q_typed_residual_context=1.040924 sequence=222.597766
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N4585 type=control0 q_typed_residual_context=1.040663 sequence=223.638429
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N4578 type=control0 q_typed_residual_context=1.009684 sequence=224.648113
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N4712 type=control0 q_typed_residual_context=0.962835 sequence=225.610948
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4716 type=control0 q_typed_residual_context=0.950379 sequence=226.561328
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N4705 type=control0 q_typed_residual_context=1.202758 sequence=227.764086
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4698 type=control0 q_typed_residual_context=1.444054 sequence=229.208140
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N4691 type=control0 q_typed_residual_context=1.400460 sequence=230.608601
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N722 type=observe q_typed_residual_context=3.518427 sequence=234.127027
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N4564 type=control0 q_typed_residual_context=1.488725 sequence=235.615752
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=1.267843 sequence=236.883595
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N4557 type=control0 q_typed_residual_context=1.503759 sequence=238.387354
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N7543 type=control0 q_typed_residual_context=2.148923 sequence=240.536277
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N519 type=control1 q_typed_residual_context=1.566274 sequence=242.102551
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N7854 type=control0 q_typed_residual_context=1.590758 sequence=243.693309
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N7724 type=control0 q_typed_residual_context=1.616633 sequence=245.309942
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N2083 type=observe q_typed_residual_context=1.246770 sequence=246.556712
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=80 node=N504 type=control1 q_typed_residual_context=2.378410 sequence=248.935123
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=81 node=N513 type=control1 q_typed_residual_context=1.486658 sequence=250.421781
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=82 node=N516 type=control1 q_typed_residual_context=1.478409 sequence=251.900190
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_residual_context=1.523278 sequence=253.423468
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=84 node=N520 type=control1 q_typed_residual_context=1.190908 sequence=254.614376
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=85 node=N3827 type=control0 q_typed_residual_context=1.405509 sequence=256.019886
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=86 node=N3911 type=control0 q_typed_residual_context=1.650533 sequence=257.670419
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=87 node=N7722 type=control0 q_typed_residual_context=4.735381 sequence=262.405800
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=88 node=N3722 type=control0 q_typed_residual_context=2.930055 sequence=265.335854
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=89 node=N1533 type=control1 q_typed_residual_context=2.985804 sequence=268.321659
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=90 node=N3904 type=control0 q_typed_residual_context=5.757825 sequence=274.079484
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=91 node=N3897 type=control0 q_typed_residual_context=4.610504 sequence=278.689988
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=92 node=N3862 type=control0 q_typed_residual_context=3.977935 sequence=282.667924
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=93 node=N3855 type=control0 q_typed_residual_context=4.946987 sequence=287.614911
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=94 node=N7820 type=control0 q_typed_residual_context=4.508913 sequence=292.123824
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=95 node=N7723 type=control0 q_typed_residual_context=2.242407 sequence=294.366231
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=96 node=N555 type=control1 q_typed_residual_context=1.751715 sequence=296.117946
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_residual_context=2.441118 sequence=298.559064
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=98 node=N556 type=control1 q_typed_residual_context=1.945364 sequence=300.504427
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=99 node=N7872 type=control1 q_typed_residual_context=2.693930 sequence=303.198357
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=100 node=N7735 type=control0 q_typed_residual_context=2.179271 sequence=305.377628
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=101 node=N3848 type=control0 q_typed_residual_context=2.903903 sequence=308.281531
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=102 node=N7734 type=control0 q_typed_residual_context=3.068135 sequence=311.349666
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=103 node=N7408 type=control0 q_typed_residual_context=2.919854 sequence=314.269520
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=104 node=N3841 type=control0 q_typed_residual_context=2.205976 sequence=316.475495
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=105 node=N7541 type=control0 q_typed_residual_context=2.348361 sequence=318.823856
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=106 node=N3820 type=control0 q_typed_residual_context=3.082971 sequence=321.906827
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=107 node=N634 type=control1 q_typed_residual_context=3.046822 sequence=324.953649
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=108 node=N3813 type=control0 q_typed_residual_context=3.889977 sequence=328.843626
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=109 node=N3799 type=control0 q_typed_residual_context=3.181869 sequence=332.025495
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=110 node=N1411 type=control0 q_typed_residual_context=2.784639 sequence=334.810133
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=2.073156 sequence=336.883289
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=112 node=N3792 type=control0 q_typed_residual_context=2.850674 sequence=339.733963
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=113 node=N7590 type=control1 q_typed_residual_context=2.417011 sequence=342.150975
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=114 node=N3785 type=control0 q_typed_residual_context=2.443511 sequence=344.594485
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=115 node=N620 type=control1 q_typed_residual_context=2.267235 sequence=346.861720
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=116 node=N4520 type=control0 q_typed_residual_context=3.275578 sequence=350.137297
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=117 node=N3681 type=control0 q_typed_residual_context=2.628060 sequence=352.765358
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=118 node=N3410 type=control1 q_typed_residual_context=2.296663 sequence=355.062021
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=119 node=N3180 type=control1 q_typed_residual_context=2.317617 sequence=357.379638
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=120 node=N638 type=control1 q_typed_residual_context=2.529257 sequence=359.908895
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=121 node=N7588 type=control1 q_typed_residual_context=4.463248 sequence=364.372144
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=122 node=N610 type=control1 q_typed_residual_context=4.204079 sequence=368.576223
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=123 node=N7870 type=control1 q_typed_residual_context=4.868605 sequence=373.444828
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=124 node=N578 type=observe q_typed_residual_context=2.012444 sequence=375.457272
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=125 node=N7879 type=control1 q_typed_residual_context=1.445566 sequence=376.902838
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=126 node=N645 type=control1 q_typed_residual_context=1.710061 sequence=378.612900
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=127 node=N2580 type=control1 q_typed_residual_context=3.033211 sequence=381.646111
