# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
12	2026-07-16T17:13:59+08:00	-	-0.899160400	-0.471093600	pass	994/994 legal	discard	q-context recall c192; b17 TC 90.676
13	2026-07-16T16:21:38+08:00	-	-2.823545200	-2.395478400	pass	994/994 legal	discard	soft-clipped q-context recall c96; b17 TC 88.752
14	2026-07-16T15:32:00+08:00	-	-0.948170200	-0.520103400	pass	994/994 legal	discard	equal q-LCB/cluster portfolio; b17 TC 90.627
15	2026-07-16T15:32:00+08:00	-	-0.767134000	-0.339067200	pass	994/994 legal	discard	1:3 q-LCB/cluster portfolio; b17 TC 90.808
16	2026-07-16T15:32:00+08:00	-	-0.814143400	-0.386076600	pass	994/994 legal	discard	3:1 q-LCB/cluster portfolio; b17 TC 90.761
17	2026-07-17T03:37:03+08:00	-	-0.900161200	-0.472094400	pass	994/994 legal	discard	q-context hard_fault_cluster c96 with real-fault prior; b17 TC 90.675
18	2026-07-17T04:00:38+08:00	-	-2.191419400	-1.763352600	pass	994/994 legal	discard	q-context hard_fault_cluster c48 without real-fault prior; b17 TC 89.384
19	2026-07-17T04:12:29+08:00	-	-0.818144800	-0.390078000	pass	994/994 unique exact candidates	discard	equal reciprocal-rank fusion of c48/c96 cluster plans; b17 TC 90.757
20	2026-07-17T04:12:23+08:00	-	-1.111203400	-0.683136600	pass	994/994 unique exact candidates	discard	3:1 reciprocal-rank fusion favoring c48 cluster plan; b17 TC 90.464
21	2026-07-17T04:12:30+08:00	-	-1.237228600	-0.809161800	pass	994/994 unique exact candidates	discard	1:3 reciprocal-rank fusion favoring c96 cluster plan; b17 TC 90.338
22	2026-07-17T04:19:00+08:00	-	-0.785138200	-0.357071400	pass	994/994 unique exact nodes	discard	change late control0/control1 points to observe; b17 TC 90.790
23	2026-07-17T04:18:55+08:00	-	-0.537088600	-0.109021800	pass	994/994 unique exact nodes	discard	change late control0 points to observe; b17 TC 91.038
24	2026-07-17T04:19:07+08:00	-	-0.588098800	-0.160032000	pass	994/994 unique exact nodes	discard	change late control1 points to observe; b17 TC 90.987
25	2026-07-17T04:19:07+08:00	-	-1.322245600	-0.894178800	pass	994/994 unique exact nodes	discard	change every control1 point to observe; b17 TC 90.253
26	2026-07-17T04:33:01+08:00	-	-0.067994800	0.360072000	pass	994/994 exact candidates	keep	q-context hard_fault_cluster c48 with full 1-percent hard-seed set; b17 TC 91.507
27	2026-07-17T04:36:00+08:00	-	-0.685118200	-0.617123400	pass	994/994 unique exact candidates	discard	equal reciprocal-rank fusion of 512/1024-seed plans; b17 TC 90.890
28	2026-07-17T04:36:06+08:00	-	-0.506082400	-0.438087600	pass	994/994 unique exact candidates	discard	3:1 reciprocal-rank fusion favoring 512-seed plan; b17 TC 91.069
29	2026-07-17T04:36:06+08:00	-	-0.610103200	-0.542108400	pass	994/994 unique exact candidates	discard	1:3 reciprocal-rank fusion favoring 1024-seed plan; b17 TC 90.965
30	2026-07-17T04:38:56+08:00	-	-2.513483800	-2.445489000	pass	994/994 exact candidates	discard	reward-only checkpoint with 512-seed c48 cluster; b17 TC 89.062
31	2026-07-17T04:42:00+08:00	-	-0.361053400	-0.293058600	pass	994/994 unique exact candidates	discard	replace final 25 points of 1024-seed plan from 512-seed ranking; b17 TC 91.214
32	2026-07-17T04:42:02+08:00	-	-0.501081400	-0.433086600	pass	994/994 unique exact candidates	discard	replace final 50 points of 1024-seed plan from 512-seed ranking; b17 TC 91.074
33	2026-07-17T04:41:37+08:00	-	-0.537088600	-0.469093800	pass	994/994 unique exact candidates	discard	replace final 100 points of 1024-seed plan from 512-seed ranking; b17 TC 91.038
34	2026-07-17T04:42:09+08:00	-	-0.822145600	-0.754150800	pass	994/994 unique exact candidates	discard	replace final 200 points of 1024-seed plan from 512-seed ranking; b17 TC 90.753
35	2026-07-17T04:45:00+08:00	-	-0.032987800	0.035007000	pass	994/994 unique exact candidates	keep	replace final 1 point of 1024-seed plan from 512-seed ranking; b17 TC 91.542
36	2026-07-17T04:45:06+08:00	-	-0.029987200	0.038007600	pass	994/994 unique exact candidates	keep	replace final 2 points of 1024-seed plan from 512-seed ranking; b17 TC 91.545
37	2026-07-17T04:45:05+08:00	-	-0.057992800	0.010002000	pass	994/994 unique exact candidates	discard	replace final 4 points of 1024-seed plan from 512-seed ranking; b17 TC 91.517
38	2026-07-17T04:45:05+08:00	-	-0.097000600	-0.029005800	pass	994/994 unique exact candidates	discard	replace final 8 points of 1024-seed plan from 512-seed ranking; b17 TC 91.478
39	2026-07-17T04:44:54+08:00	-	-0.119005000	-0.051010200	pass	994/994 unique exact candidates	discard	replace final 16 points of 1024-seed plan from 512-seed ranking; b17 TC 91.456
40	2026-07-17T04:50:00+08:00	-	-0.065994400	-0.036007200	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 1; b17 TC 91.509
41	2026-07-17T04:50:04+08:00	-	-0.080997400	-0.051010200	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 2; b17 TC 91.494
42	2026-07-17T04:50:00+08:00	-	-0.067994800	-0.038007600	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 3; b17 TC 91.507
43	2026-07-17T04:49:50+08:00	-	-0.068995000	-0.039007800	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 4; b17 TC 91.506
44	2026-07-17T04:50:03+08:00	-	-0.069995200	-0.040008000	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 5; b17 TC 91.505
45	2026-07-17T04:50:04+08:00	-	-0.069995200	-0.040008000	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 6; b17 TC 91.505
46	2026-07-17T04:50:03+08:00	-	-0.069995200	-0.040008000	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 7; b17 TC 91.505
47	2026-07-17T04:49:58+08:00	-	-0.064994200	-0.035007000	pass	994/994 unique exact candidates	discard	single-swap ATPG feedback, 512-seed eligible candidate offset 8; b17 TC 91.510
48	2026-07-17T04:55:00+08:00	-	-0.067994800	-0.038007600	pass	993/993 unique exact candidates	discard	truncate final 1 point from 1024-seed plan; b17 TC 91.507
49	2026-07-17T04:55:00+08:00	-	-0.068995000	-0.039007800	pass	992/992 unique exact candidates	discard	truncate final 2 points from 1024-seed plan; b17 TC 91.506
50	2026-07-17T04:55:00+08:00	-	-0.083998000	-0.054010800	pass	990/990 unique exact candidates	discard	truncate final 4 points from 1024-seed plan; b17 TC 91.491
51	2026-07-17T04:55:00+08:00	-	-0.115004200	-0.085017000	pass	986/986 unique exact candidates	discard	truncate final 8 points from 1024-seed plan; b17 TC 91.460
52	2026-07-17T04:55:00+08:00	-	-0.124006000	-0.094018800	pass	978/978 unique exact candidates	discard	truncate final 16 points from 1024-seed plan; b17 TC 91.451
53	2026-07-17T05:40:20+08:00	-	-1.795340200	-1.765353000	pass	994/994 exact candidates	discard	q-context full hard-seed cluster radius depth2; b17 TC 89.780
54	2026-07-17T16:50:10+08:00	-	-0.583097800	-0.553110600	pass	994/994 exact candidates	discard	q-context full hard-seed cluster radius depth6; b17 TC 90.992
55	2026-07-17T17:22:57+08:00	-	-1.561293400	-1.531306200	pass	994/994 exact candidates	discard	q-context full hard-seed cluster c32; b17 TC 90.014
56	2026-07-17T18:35:26+08:00	-	-0.281037400	-0.251050200	pass	994/994 exact candidates	discard	q-context full hard-seed cluster c40; b17 TC 91.294
57	2026-07-17T18:37:08+08:00	-	-1.078196800	-1.048209600	pass	994/994 exact candidates	discard	q-context full hard-seed cluster c56; b17 TC 90.497
58	2026-07-17T21:17:36+08:00	-	-0.045990400	-0.016003200	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 2; b17 TC 91.529
59	2026-07-17T21:17:31+08:00	-	-0.032987800	-0.003000600	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 3; b17 TC 91.542
60	2026-07-17T21:17:28+08:00	-	-0.033988000	-0.004000800	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 4; b17 TC 91.541
61	2026-07-17T21:17:33+08:00	-	-0.034988200	-0.005001000	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 5; b17 TC 91.540
62	2026-07-17T21:19:34+08:00	-	-0.034988200	-0.005001000	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 6; b17 TC 91.540
63	2026-07-17T21:19:30+08:00	-	-0.034988200	-0.005001000	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 7; b17 TC 91.540
64	2026-07-17T21:19:26+08:00	-	-0.028987000	0.001000200	pass	994/994 unique exact candidates	keep	ATPG pair search, secondary ranks 0 and 8; b17 TC 91.546
65	2026-07-17T21:24:12+08:00	-	-0.034988200	-0.006001200	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 9; b17 TC 91.540
66	2026-07-17T21:24:31+08:00	-	-0.034988200	-0.006001200	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 10; b17 TC 91.540
67	2026-07-17T21:24:33+08:00	-	-0.034988200	-0.006001200	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 11; b17 TC 91.540
68	2026-07-17T21:24:26+08:00	-	-0.034988200	-0.006001200	pass	994/994 unique exact candidates	discard	ATPG pair search, secondary ranks 0 and 12; b17 TC 91.540
