[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 out_dir=autoresearch/improve-260721-0356/trust_round4_five/b20_C
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 budgets=iscas99__b20:616
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[trust-five/b20_C] [gmean] 2026-07-21T04:15:55 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_typed_trust_context
[trust-five/b20_C] [plan iscas99__b20] [plan] step=24 node=N4577 type=observe q_typed_trust_context=0.908930 sequence=40.975219
[trust-five/b20_C] [plan iscas99__b20] [plan] step=25 node=N4161 type=observe q_typed_trust_context=1.676020 sequence=42.651239
[trust-five/b20_C] [plan iscas99__b20] [plan] step=26 node=N4162 type=observe q_typed_trust_context=1.786258 sequence=44.437496
[trust-five/b20_C] [plan iscas99__b20] [plan] step=27 node=N2682 type=control0 q_typed_trust_context=1.057155 sequence=45.494651
[trust-five/b20_C] [plan iscas99__b20] [plan] step=28 node=N4801 type=control1 q_typed_trust_context=1.240433 sequence=46.735085
[trust-five/b20_C] [plan iscas99__b20] [plan] step=29 node=N4165 type=observe q_typed_trust_context=1.346262 sequence=48.081346
[trust-five/b20_C] [plan iscas99__b20] [plan] step=30 node=N4164 type=observe q_typed_trust_context=1.461324 sequence=49.542671
[trust-five/b20_C] [plan iscas99__b20] [plan] step=31 node=N4166 type=observe q_typed_trust_context=1.368592 sequence=50.911263
[trust-five/b20_C] [plan iscas99__b20] [plan] step=32 node=N4147 type=observe q_typed_trust_context=1.265845 sequence=52.177107
[trust-five/b20_C] [plan iscas99__b20] [plan] step=33 node=N4141 type=observe q_typed_trust_context=1.482835 sequence=53.659942
[trust-five/b20_C] [plan iscas99__b20] [plan] step=34 node=N4142 type=observe q_typed_trust_context=1.357539 sequence=55.017481
[trust-five/b20_C] [plan iscas99__b20] [plan] step=35 node=N4148 type=observe q_typed_trust_context=1.194676 sequence=56.212158
[trust-five/b20_C] [plan iscas99__b20] [plan] step=36 node=N4146 type=observe q_typed_trust_context=0.985049 sequence=57.197207
[trust-five/b20_C] [plan iscas99__b20] [plan] step=37 node=N4139 type=observe q_typed_trust_context=0.925164 sequence=58.122370
[trust-five/b20_C] [plan iscas99__b20] [plan] step=38 node=N4581 type=observe q_typed_trust_context=0.929594 sequence=59.051964
[trust-five/b20_C] [plan iscas99__b20] [plan] step=39 node=N4172 type=observe q_typed_trust_context=0.976352 sequence=60.028316
[trust-five/b20_C] [plan iscas99__b20] [plan] step=40 node=N4173 type=observe q_typed_trust_context=0.922677 sequence=60.950993
[trust-five/b20_C] [plan iscas99__b20] [plan] step=41 node=N4174 type=observe q_typed_trust_context=1.080582 sequence=62.031575
[trust-five/b20_C] [plan iscas99__b20] [plan] step=42 node=N1664 type=control1 q_typed_trust_context=1.468051 sequence=63.499626
[trust-five/b20_C] [plan iscas99__b20] [plan] step=43 node=N4168 type=control0 q_typed_trust_context=3.218568 sequence=66.718194
[trust-five/b20_C] [plan iscas99__b20] [plan] step=44 node=N4177 type=observe q_typed_trust_context=1.045176 sequence=67.763370
[trust-five/b20_C] [plan iscas99__b20] [plan] step=45 node=N4178 type=observe q_typed_trust_context=1.291284 sequence=69.054654
[trust-five/b20_C] [plan iscas99__b20] [plan] step=46 node=N1909 type=control0 q_typed_trust_context=1.450031 sequence=70.504684
[trust-five/b20_C] [plan iscas99__b20] [plan] step=47 node=N4179 type=observe q_typed_trust_context=1.009134 sequence=71.513818
[trust-five/b20_C] [plan iscas99__b20] [plan] step=48 node=N3486 type=control0 q_typed_trust_context=1.441892 sequence=72.955711
[trust-five/b20_C] [plan iscas99__b20] [plan] step=49 node=N3484 type=control0 q_typed_trust_context=1.721739 sequence=74.677450
[trust-five/b20_C] [plan iscas99__b20] [plan] step=50 node=N5784 type=control0 q_typed_trust_context=1.556408 sequence=76.233858
[trust-five/b20_C] [plan iscas99__b20] [plan] step=51 node=N1781 type=control0 q_typed_trust_context=1.330349 sequence=77.564207
[trust-five/b20_C] [plan iscas99__b20] [plan] step=52 node=N830 type=control0 q_typed_trust_context=1.349021 sequence=78.913228
[trust-five/b20_C] [plan iscas99__b20] [plan] step=53 node=N4143 type=control0 q_typed_trust_context=1.061331 sequence=79.974559
[trust-five/b20_C] [plan iscas99__b20] [plan] step=54 node=N4170 type=control0 q_typed_trust_context=1.190819 sequence=81.165378
[trust-five/b20_C] [plan iscas99__b20] [plan] step=55 node=N4171 type=control0 q_typed_trust_context=1.501298 sequence=82.666677
[trust-five/b20_C] [plan iscas99__b20] [plan] step=56 node=N829 type=control0 q_typed_trust_context=2.264943 sequence=84.931620
[trust-five/b20_C] [plan iscas99__b20] [plan] step=57 node=N828 type=control0 q_typed_trust_context=2.114002 sequence=87.045622
[trust-five/b20_C] [plan iscas99__b20] [plan] step=58 node=N8651 type=control0 q_typed_trust_context=1.767925 sequence=88.813547
[trust-five/b20_C] [plan iscas99__b20] [plan] step=59 node=N3494 type=control1 q_typed_trust_context=1.369226 sequence=90.182773
[trust-five/b20_C] [plan iscas99__b20] [plan] step=60 node=N3997 type=control0 q_typed_trust_context=1.432021 sequence=91.614794
[trust-five/b20_C] [plan iscas99__b20] [plan] step=61 node=N8653 type=control0 q_typed_trust_context=1.158008 sequence=92.772802
[trust-five/b20_C] [plan iscas99__b20] [plan] step=62 node=N4583 type=observe q_typed_trust_context=1.114398 sequence=93.887200
[trust-five/b20_C] [plan iscas99__b20] [plan] step=63 node=N4180 type=observe q_typed_trust_context=1.247676 sequence=95.134875
[trust-five/b20_C] [plan iscas99__b20] [plan] step=64 node=N8477 type=control1 q_typed_trust_context=2.312566 sequence=97.447441
[trust-five/b20_C] [plan iscas99__b20] [plan] step=65 node=N4138 type=observe q_typed_trust_context=1.342802 sequence=98.790243
[trust-five/b20_C] [plan iscas99__b20] [plan] step=66 node=N4584 type=observe q_typed_trust_context=1.205420 sequence=99.995663
[trust-five/b20_C] [plan iscas99__b20] [plan] step=67 node=N4585 type=observe q_typed_trust_context=1.051725 sequence=101.047388
[trust-five/b20_C] [plan iscas99__b20] [plan] step=68 node=N8718 type=control1 q_typed_trust_context=1.151252 sequence=102.198640
[trust-five/b20_C] [plan iscas99__b20] [plan] step=69 node=N4576 type=observe q_typed_trust_context=1.201568 sequence=103.400207
[trust-five/b20_C] [plan iscas99__b20] [plan] step=70 node=N4582 type=observe q_typed_trust_context=1.162734 sequence=104.562941
[trust-five/b20_C] [plan iscas99__b20] [plan] step=71 node=N6008 type=control1 q_typed_trust_context=1.285600 sequence=105.848541
[trust-five/b20_C] [plan iscas99__b20] [plan] step=72 node=N4135 type=observe q_typed_trust_context=1.275619 sequence=107.124160
[trust-five/b20_C] [plan iscas99__b20] [plan] step=73 node=N4136 type=observe q_typed_trust_context=1.416674 sequence=108.540834
[trust-five/b20_C] [plan iscas99__b20] [plan] step=74 node=N4557 type=observe q_typed_trust_context=1.425817 sequence=109.966651
[trust-five/b20_C] [plan iscas99__b20] [plan] step=75 node=N4565 type=observe q_typed_trust_context=1.340819 sequence=111.307471
[trust-five/b20_C] [plan iscas99__b20] [plan] step=76 node=N4574 type=observe q_typed_trust_context=1.902485 sequence=113.209956
[trust-five/b20_C] [plan iscas99__b20] [plan] step=77 node=N4575 type=observe q_typed_trust_context=1.790241 sequence=115.000197
[trust-five/b20_C] [plan iscas99__b20] [plan] step=78 node=N4578 type=observe q_typed_trust_context=1.534693 sequence=116.534890
[trust-five/b20_C] [plan iscas99__b20] [plan] step=79 node=N4069 type=control1 q_typed_trust_context=1.268918 sequence=117.803808
[trust-five/b20_C] [plan iscas99__b20] [plan] step=80 node=N4133 type=observe q_typed_trust_context=1.878698 sequence=119.682506
[trust-five/b20_C] [plan iscas99__b20] [plan] step=81 node=N4586 type=observe q_typed_trust_context=1.581335 sequence=121.263840
[trust-five/b20_C] [plan iscas99__b20] [plan] step=82 node=N4579 type=observe q_typed_trust_context=1.320900 sequence=122.584740
[trust-five/b20_C] [plan iscas99__b20] [plan] step=83 node=N4580 type=observe q_typed_trust_context=1.187385 sequence=123.772125
[trust-five/b20_C] [plan iscas99__b20] [plan] step=84 node=N4807 type=control1 q_typed_trust_context=1.319243 sequence=125.091369
[trust-five/b20_C] [plan iscas99__b20] [plan] step=85 node=N4167 type=observe q_typed_trust_context=1.496784 sequence=126.588152
[trust-five/b20_C] [plan iscas99__b20] [plan] step=86 node=N4562 type=observe q_typed_trust_context=1.846483 sequence=128.434635
[trust-five/b20_C] [plan iscas99__b20] [plan] step=87 node=N4132 type=observe q_typed_trust_context=1.553657 sequence=129.988292
[trust-five/b20_C] [plan iscas99__b20] [plan] step=88 node=N4809 type=control1 q_typed_trust_context=1.360442 sequence=131.348734
[trust-five/b20_C] [plan iscas99__b20] [plan] step=89 node=N10721 type=control1 q_typed_trust_context=1.186850 sequence=132.535584
[trust-five/b20_C] [plan iscas99__b20] [plan] step=90 node=N4183 type=observe q_typed_trust_context=1.321301 sequence=133.856885
[trust-five/b20_C] [plan iscas99__b20] [plan] step=91 node=N4560 type=observe q_typed_trust_context=1.496061 sequence=135.352946
[trust-five/b20_C] [plan iscas99__b20] [plan] step=92 node=N1707 type=observe q_typed_trust_context=1.903327 sequence=137.256273
[trust-five/b20_C] [plan iscas99__b20] [plan] step=93 node=N1708 type=observe q_typed_trust_context=2.388027 sequence=139.644299
[trust-five/b20_C] [plan iscas99__b20] [plan] step=94 node=N1706 type=observe q_typed_trust_context=2.133682 sequence=141.777981
[trust-five/b20_C] [plan iscas99__b20] [plan] step=95 node=N1705 type=observe q_typed_trust_context=1.932569 sequence=143.710550
[trust-five/b20_C] [plan iscas99__b20] [plan] step=96 node=N4131 type=observe q_typed_trust_context=1.342212 sequence=145.052762
[trust-five/b20_C] [plan iscas99__b20] [plan] step=97 node=N1670 type=observe q_typed_trust_context=1.118948 sequence=146.171710
[trust-five/b20_C] [plan iscas99__b20] [plan] step=98 node=N1616 type=control1 q_typed_trust_context=1.444579 sequence=147.616290
[trust-five/b20_C] [plan iscas99__b20] [plan] step=99 node=N4070 type=control1 q_typed_trust_context=1.975170 sequence=149.591460
[trust-five/b20_C] [plan iscas99__b20] [plan] step=100 node=N962 type=observe q_typed_trust_context=2.180477 sequence=151.771937
[trust-five/b20_C] [plan iscas99__b20] [plan] step=101 node=N4616 type=observe q_typed_trust_context=2.018325 sequence=153.790262
[trust-five/b20_C] [plan iscas99__b20] [plan] step=102 node=N4182 type=observe q_typed_trust_context=1.541049 sequence=155.331312
[trust-five/b20_C] [plan iscas99__b20] [plan] step=103 node=N8754 type=control0 q_typed_trust_context=0.927844 sequence=156.259156
[trust-five/b20_C] [plan iscas99__b20] [plan] step=104 node=N4066 type=control1 q_typed_trust_context=1.071652 sequence=157.330808
[trust-five/b20_C] [plan iscas99__b20] [plan] step=105 node=N1696 type=observe q_typed_trust_context=1.675590 sequence=159.006398
[trust-five/b20_C] [plan iscas99__b20] [plan] step=106 node=N1438 type=observe q_typed_trust_context=1.178321 sequence=160.184719
[trust-five/b20_C] [plan iscas99__b20] [plan] step=107 node=N1667 type=observe q_typed_trust_context=0.939999 sequence=161.124718
[trust-five/b20_C] [plan iscas99__b20] [plan] step=108 node=N4803 type=observe q_typed_trust_context=2.028908 sequence=163.153626
[trust-five/b20_C] [plan iscas99__b20] [plan] step=109 node=N12538 type=observe q_typed_trust_context=2.262150 sequence=165.415776
[trust-five/b20_C] [plan iscas99__b20] [plan] step=110 node=N4810 type=control1 q_typed_trust_context=1.430590 sequence=166.846366
[trust-five/b20_C] [plan iscas99__b20] [plan] step=111 node=N4163 type=observe q_typed_trust_context=1.027825 sequence=167.874191
[trust-five/b20_C] [plan iscas99__b20] [plan] step=112 node=N4140 type=observe q_typed_trust_context=1.567032 sequence=169.441223
[trust-five/b20_C] [plan iscas99__b20] [plan] step=113 node=N10718 type=control1 q_typed_trust_context=1.592289 sequence=171.033512
[trust-five/b20_C] [plan iscas99__b20] [plan] step=114 node=N8752 type=control0 q_typed_trust_context=0.909524 sequence=171.943036
[trust-five/b20_C] [plan iscas99__b20] [plan] step=115 node=N10719 type=control1 q_typed_trust_context=1.941114 sequence=173.884150
[trust-five/b20_C] [plan iscas99__b20] [plan] step=116 node=N8750 type=control0 q_typed_trust_context=0.867066 sequence=174.751216
[trust-five/b20_C] [plan iscas99__b20] [plan] step=117 node=N10723 type=control1 q_typed_trust_context=1.335904 sequence=176.087120
[trust-five/b20_C] [plan iscas99__b20] [plan] step=118 node=N8756 type=control0 q_typed_trust_context=0.831828 sequence=176.918947
[trust-five/b20_C] [plan iscas99__b20] [plan] step=119 node=N8710 type=control1 q_typed_trust_context=0.820608 sequence=177.739555
[trust-five/b20_C] [plan iscas99__b20] [plan] step=120 node=N8762 type=control0 q_typed_trust_context=0.707551 sequence=178.447106
[trust-five/b20_C] [plan iscas99__b20] [plan] step=121 node=N10720 type=control1 q_typed_trust_context=1.392905 sequence=179.840011
[trust-five/b20_C] [plan iscas99__b20] [plan] step=122 node=N10722 type=control1 q_typed_trust_context=1.025630 sequence=180.865640
[trust-five/b20_C] [plan iscas99__b20] [plan] step=123 node=N8758 type=control0 q_typed_trust_context=1.030422 sequence=181.896062
[trust-five/b20_C] [plan iscas99__b20] [plan] step=124 node=N8709 type=control1 q_typed_trust_context=1.231493 sequence=183.127555
[trust-five/b20_C] [plan iscas99__b20] [plan] step=125 node=N1697 type=observe q_typed_trust_context=1.263245 sequence=184.390800
[trust-five/b20_C] [plan iscas99__b20] [plan] step=126 node=N4620 type=observe q_typed_trust_context=1.063573 sequence=185.454373
[trust-five/b20_C] [plan iscas99__b20] [plan] step=127 node=N1433 type=observe q_typed_trust_context=1.730849 sequence=187.185222
[trust-five/b20_C] [plan iscas99__b20] [plan] step=128 node=N847 type=observe q_typed_trust_context=1.453849 sequence=188.639071
[trust-five/b20_C] [plan iscas99__b20] [plan] step=129 node=N12535 type=observe q_typed_trust_context=1.323014 sequence=189.962084
[trust-five/b20_C] [plan iscas99__b20] [plan] step=130 node=N4176 type=observe q_typed_trust_context=2.683909 sequence=192.645993
[trust-five/b20_C] [plan iscas99__b20] [plan] step=131 node=N3528 type=observe q_typed_trust_context=2.501228 sequence=195.147221
[trust-five/b20_C] [plan iscas99__b20] [plan] step=132 node=N1247 type=control1 q_typed_trust_context=4.391197 sequence=199.538419
[trust-five/b20_C] [plan iscas99__b20] [plan] step=133 node=N1672 type=observe q_typed_trust_context=1.813545 sequence=201.351964
[trust-five/b20_C] [plan iscas99__b20] [plan] step=134 node=N4559 type=observe q_typed_trust_context=2.033672 sequence=203.385636
[trust-five/b20_C] [plan iscas99__b20] [plan] step=135 node=N8652 type=control0 q_typed_trust_context=0.709031 sequence=204.094667
[trust-five/b20_C] [plan iscas99__b20] [plan] step=136 node=N10137 type=control1 q_typed_trust_context=1.812433 sequence=205.907100
[trust-five/b20_C] [plan iscas99__b20] [plan] step=137 node=N8764 type=control0 q_typed_trust_context=0.687325 sequence=206.594426
[trust-five/b20_C] [plan iscas99__b20] [plan] step=138 node=N8766 type=control0 q_typed_trust_context=0.800141 sequence=207.394567
[trust-five/b20_C] [plan iscas99__b20] [plan] step=139 node=N16600 type=control1 q_typed_trust_context=1.530928 sequence=208.925495
[trust-five/b20_C] [plan iscas99__b20] [plan] step=140 node=N6945 type=observe q_typed_trust_context=0.967671 sequence=209.893165
[trust-five/b20_C] [plan iscas99__b20] [plan] step=141 node=N12506 type=observe q_typed_trust_context=1.118558 sequence=211.011723
[trust-five/b20_C] [plan iscas99__b20] [plan] step=142 node=N1699 type=observe q_typed_trust_context=2.588054 sequence=213.599777
[trust-five/b20_C] [plan iscas99__b20] [plan] step=143 node=N3409 type=observe q_typed_trust_context=0.994439 sequence=214.594216
[trust-five/b20_C] [plan iscas99__b20] [plan] step=144 node=N851 type=observe q_typed_trust_context=1.647410 sequence=216.241626
[trust-five/b20_C] [plan iscas99__b20] [plan] step=145 node=N3394 type=observe q_typed_trust_context=0.933902 sequence=217.175528
[trust-five/b20_C] [plan iscas99__b20] [plan] step=146 node=N14450 type=control0 q_typed_trust_context=0.784526 sequence=217.960054
[trust-five/b20_C] [plan iscas99__b20] [plan] step=147 node=N16601 type=control1 q_typed_trust_context=1.467660 sequence=219.427714
[trust-five/b20_C] [plan iscas99__b20] [plan] step=148 node=N8650 type=control0 q_typed_trust_context=0.712006 sequence=220.139720
[trust-five/b20_C] [plan iscas99__b20] [plan] step=149 node=N8561 type=control1 q_typed_trust_context=1.743751 sequence=221.883471
[trust-five/b20_C] [plan iscas99__b20] [plan] step=150 node=N14445 type=control0 q_typed_trust_context=2.787477 sequence=224.670948
[trust-five/b20_C] [plan iscas99__b20] [plan] step=151 node=N8707 type=control1 q_typed_trust_context=1.147587 sequence=225.818534
[trust-five/b20_C] [plan iscas99__b20] [plan] step=152 node=N6977 type=control0 q_typed_trust_context=3.085319 sequence=228.903854
[trust-five/b20_C] [plan iscas99__b20] [plan] step=153 node=N6906 type=observe q_typed_trust_context=0.807426 sequence=229.711280
[trust-five/b20_C] [plan iscas99__b20] [plan] step=154 node=N1698 type=observe q_typed_trust_context=2.127655 sequence=231.838935
[trust-five/b20_C] [plan iscas99__b20] [plan] step=155 node=N3153 type=control0 q_typed_trust_context=2.765623 sequence=234.604559
[trust-five/b20_C] [plan iscas99__b20] [plan] step=156 node=N3884 type=observe q_typed_trust_context=1.755843 sequence=236.360401
[trust-five/b20_C] [plan iscas99__b20] [plan] step=157 node=N10801 type=control1 q_typed_trust_context=0.804865 sequence=237.165266
[trust-five/b20_C] [plan iscas99__b20] [plan] step=158 node=N14468 type=control0 q_typed_trust_context=1.579778 sequence=238.745045
[trust-five/b20_C] [plan iscas99__b20] [plan] step=159 node=N10806 type=control1 q_typed_trust_context=1.033149 sequence=239.778194
[trust-five/b20_C] [plan iscas99__b20] [plan] step=160 node=N8706 type=control1 q_typed_trust_context=1.051438 sequence=240.829632
[trust-five/b20_C] [plan iscas99__b20] [plan] step=161 node=N10826 type=control1 q_typed_trust_context=1.097337 sequence=241.926969
[trust-five/b20_C] [plan iscas99__b20] [plan] step=162 node=N10823 type=control1 q_typed_trust_context=0.948128 sequence=242.875098
[trust-five/b20_C] [plan iscas99__b20] [plan] step=163 node=N4944 type=control1 q_typed_trust_context=0.811259 sequence=243.686357
[trust-five/b20_C] [plan iscas99__b20] [plan] step=164 node=N1021 type=observe q_typed_trust_context=0.696038 sequence=244.382394
[trust-five/b20_C] [plan iscas99__b20] [plan] step=165 node=N8648 type=control0 q_typed_trust_context=0.742696 sequence=245.125090
[trust-five/b20_C] [plan iscas99__b20] [plan] step=166 node=N1724 type=observe q_typed_trust_context=0.909364 sequence=246.034454
[trust-five/b20_C] [plan iscas99__b20] [plan] step=167 node=N1702 type=observe q_typed_trust_context=2.472992 sequence=248.507447
[trust-five/b20_C] [plan iscas99__b20] [plan] step=168 node=N1700 type=observe q_typed_trust_context=2.708372 sequence=251.215819
[trust-five/b20_C] [plan iscas99__b20] [plan] step=169 node=N3916 type=observe q_typed_trust_context=1.741257 sequence=252.957075
[trust-five/b20_C] [plan iscas99__b20] [plan] step=170 node=N849 type=observe q_typed_trust_context=1.231532 sequence=254.188607
[trust-five/b20_C] [plan iscas99__b20] [plan] step=171 node=N4943 type=control1 q_typed_trust_context=0.951631 sequence=255.140239
[trust-five/b20_C] [plan iscas99__b20] [plan] step=172 node=N10809 type=control1 q_typed_trust_context=1.300639 sequence=256.440877
[trust-five/b20_C] [plan iscas99__b20] [plan] step=173 node=N10814 type=control1 q_typed_trust_context=1.570713 sequence=258.011590
[trust-five/b20_C] [plan iscas99__b20] [plan] step=174 node=N10815 type=control1 q_typed_trust_context=1.706076 sequence=259.717666
[trust-five/b20_C] [plan iscas99__b20] [plan] step=175 node=N3054 type=control0 q_typed_trust_context=4.305066 sequence=264.022732
[trust-five/b20_C] [plan iscas99__b20] [plan] step=176 node=N10797 type=control1 q_typed_trust_context=0.842990 sequence=264.865722
[trust-five/b20_C] [plan iscas99__b20] [plan] step=177 node=N2947 type=control0 q_typed_trust_context=2.135062 sequence=267.000783
[trust-five/b20_C] [plan iscas99__b20] [plan] step=178 node=N8649 type=control0 q_typed_trust_context=1.144362 sequence=268.145145
[trust-five/b20_C] [plan iscas99__b20] [plan] step=179 node=N3099 type=control0 q_typed_trust_context=3.515314 sequence=271.660459
[trust-five/b20_C] [plan iscas99__b20] [plan] step=180 node=N2916 type=control0 q_typed_trust_context=2.798652 sequence=274.459111
[trust-five/b20_C] [plan iscas99__b20] [plan] step=181 node=N3135 type=control0 q_typed_trust_context=2.830004 sequence=277.289115
[trust-five/b20_C] [plan iscas99__b20] [plan] step=182 node=N3009 type=control0 q_typed_trust_context=2.705245 sequence=279.994360
[trust-five/b20_C] [plan iscas99__b20] [plan] step=183 node=N16602 type=control1 q_typed_trust_context=2.713959 sequence=282.708319
[trust-five/b20_C] [plan iscas99__b20] [plan] step=184 node=N840 type=control1 q_typed_trust_context=4.220022 sequence=286.928341
[trust-five/b20_C] [plan iscas99__b20] [plan] step=185 node=N3045 type=control0 q_typed_trust_context=4.778709 sequence=291.707051
[trust-five/b20_C] [plan iscas99__b20] [plan] step=186 node=N839 type=control1 q_typed_trust_context=6.343225 sequence=298.050275
[trust-five/b20_C] [plan iscas99__b20] [plan] step=187 node=N3018 type=control0 q_typed_trust_context=5.167442 sequence=303.217717
[trust-five/b20_C] [plan iscas99__b20] [plan] step=188 node=N8637 type=control0 q_typed_trust_context=4.374300 sequence=307.592017
[trust-five/b20_C] [plan iscas99__b20] [plan] step=189 node=N2992 type=control0 q_typed_trust_context=3.605070 sequence=311.197087
[trust-five/b20_C] [plan iscas99__b20] [plan] step=190 node=N8636 type=control0 q_typed_trust_context=3.162507 sequence=314.359595
[trust-five/b20_C] [plan iscas99__b20] [plan] step=191 node=N3027 type=control0 q_typed_trust_context=3.736085 sequence=318.095680
[trust-five/b20_C] [plan iscas99__b20] [plan] step=192 node=N3063 type=control0 q_typed_trust_context=4.572268 sequence=322.667948
[trust-five/b20_C] [plan iscas99__b20] [plan] step=193 node=N6010 type=control0 q_typed_trust_context=6.002541 sequence=328.670489
[trust-five/b20_C] [plan iscas99__b20] [plan] step=194 node=N3162 type=control0 q_typed_trust_context=4.741268 sequence=333.411757
[trust-five/b20_C] [plan iscas99__b20] [plan] step=195 node=N2956 type=control0 q_typed_trust_context=5.172042 sequence=338.583798
[trust-five/b20_C] [plan iscas99__b20] [plan] step=196 node=N3144 type=control0 q_typed_trust_context=5.705326 sequence=344.289124
[trust-five/b20_C] [plan iscas99__b20] [plan] step=197 node=N4068 type=control1 q_typed_trust_context=6.128977 sequence=350.418102
[trust-five/b20_C] [plan iscas99__b20] [plan] step=198 node=N8556 type=control0 q_typed_trust_context=3.985339 sequence=354.403441
[trust-five/b20_C] [plan iscas99__b20] [plan] step=199 node=N8022 type=control0 q_typed_trust_context=3.514300 sequence=357.917740
[trust-five/b20_C] [plan iscas99__b20] [plan] step=200 node=N12543 type=control1 q_typed_trust_context=3.381550 sequence=361.299290
[trust-five/b20_C] [plan iscas99__b20] [plan] step=201 node=N16603 type=control1 q_typed_trust_context=4.745191 sequence=366.044481
[trust-five/b20_C] [plan iscas99__b20] [plan] step=202 node=N4063 type=control1 q_typed_trust_context=6.448432 sequence=372.492913
[trust-five/b20_C] [plan iscas99__b20] [plan] step=203 node=N16775 type=control0 q_typed_trust_context=3.116658 sequence=375.609571
[trust-five/b20_C] [plan iscas99__b20] [plan] step=204 node=N18423 type=control1 q_typed_trust_context=2.379648 sequence=377.989219
[trust-five/b20_C] [plan iscas99__b20] [plan] step=205 node=N10146 type=control1 q_typed_trust_context=3.126733 sequence=381.115952
