[gmean] 2026-07-17T16:23:01 out_dir=autoresearch/improve-260716-1344/round15_b17/context_cluster_c48_seed1024_depth6
[gmean] 2026-07-17T16:23:01 budgets=iscas99__b17:994
[gmean] 2026-07-17T16:23:01 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-17T16:23:01 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] step=162 node=N7210 type=observe q_pred_context=0.759345 sequence=267.358954
[plan iscas99__b17] [plan] step=163 node=N19322 type=observe q_pred_context=1.445378 sequence=268.804332
[plan iscas99__b17] [plan] step=164 node=N7225 type=observe q_pred_context=0.754972 sequence=269.559305
[plan iscas99__b17] [plan] step=165 node=N7639 type=observe q_pred_context=0.817297 sequence=270.376602
[plan iscas99__b17] [plan] step=166 node=N13493 type=observe q_pred_context=0.747456 sequence=271.124058
[plan iscas99__b17] [plan] step=167 node=N14009 type=observe q_pred_context=1.826328 sequence=272.950386
[plan iscas99__b17] [plan] step=168 node=N19162 type=observe q_pred_context=2.128091 sequence=275.078476
[plan iscas99__b17] [plan] step=169 node=N7285 type=observe q_pred_context=0.770146 sequence=275.848623
[plan iscas99__b17] [plan] step=170 node=N18802 type=observe q_pred_context=0.928517 sequence=276.777139
[plan iscas99__b17] [plan] step=171 node=N7520 type=observe q_pred_context=0.766371 sequence=277.543510
[plan iscas99__b17] [plan] step=172 node=N7469 type=observe q_pred_context=0.759453 sequence=278.302963
[plan iscas99__b17] [plan] step=173 node=N18788 type=observe q_pred_context=2.094367 sequence=280.397330
[plan iscas99__b17] [plan] step=174 node=N7445 type=observe q_pred_context=0.675475 sequence=281.072805
[plan iscas99__b17] [plan] step=175 node=N19221 type=observe q_pred_context=0.670240 sequence=281.743045
[plan iscas99__b17] [plan] step=176 node=N2025 type=control1 q_pred_context=1.335148 sequence=283.078192
[plan iscas99__b17] [plan] step=177 node=N19231 type=observe q_pred_context=0.840234 sequence=283.918426
[plan iscas99__b17] [plan] step=178 node=N19321 type=observe q_pred_context=0.799223 sequence=284.717649
[plan iscas99__b17] [plan] step=179 node=N7448 type=observe q_pred_context=0.794203 sequence=285.511853
[plan iscas99__b17] [plan] step=180 node=N13509 type=observe q_pred_context=0.634947 sequence=286.146799
[plan iscas99__b17] [plan] step=181 node=N14004 type=observe q_pred_context=0.993862 sequence=287.140661
[plan iscas99__b17] [plan] step=182 node=N7636 type=observe q_pred_context=0.692293 sequence=287.832954
[plan iscas99__b17] [plan] step=183 node=N13060 type=observe q_pred_context=0.398283 sequence=288.231237
[plan iscas99__b17] [plan] step=184 node=N19165 type=observe q_pred_context=1.436488 sequence=289.667725
[plan iscas99__b17] [plan] step=185 node=N13229 type=observe q_pred_context=1.195231 sequence=290.862956
[plan iscas99__b17] [plan] step=186 node=N29408 type=control1 q_pred_context=0.944773 sequence=291.807729
[plan iscas99__b17] [plan] step=187 node=N7725 type=control1 q_pred_context=1.455231 sequence=293.262960
[plan iscas99__b17] [plan] step=188 node=N7718 type=control1 q_pred_context=1.780509 sequence=295.043469
[plan iscas99__b17] [plan] step=189 node=N5157 type=observe q_pred_context=0.897523 sequence=295.940992
[plan iscas99__b17] [plan] step=190 node=N13541 type=observe q_pred_context=0.869028 sequence=296.810020
[plan iscas99__b17] [plan] step=191 node=N7528 type=observe q_pred_context=0.917737 sequence=297.727757
[plan iscas99__b17] [plan] step=192 node=N18537 type=observe q_pred_context=0.939934 sequence=298.667692
[plan iscas99__b17] [plan] step=193 node=N18792 type=observe q_pred_context=0.854399 sequence=299.522091
[plan iscas99__b17] [plan] step=194 node=N13703 type=observe q_pred_context=0.858303 sequence=300.380393
[plan iscas99__b17] [plan] step=195 node=N13064 type=observe q_pred_context=0.892086 sequence=301.272480
[plan iscas99__b17] [plan] step=196 node=N13076 type=observe q_pred_context=0.878931 sequence=302.151411
[plan iscas99__b17] [plan] step=197 node=N29409 type=control1 q_pred_context=0.795269 sequence=302.946680
[plan iscas99__b17] [plan] step=198 node=N20546 type=control1 q_pred_context=0.782677 sequence=303.729357
[plan iscas99__b17] [plan] step=199 node=N19317 type=observe q_pred_context=0.810477 sequence=304.539834
[plan iscas99__b17] [plan] step=200 node=N14666 type=observe q_pred_context=0.885554 sequence=305.425388
[plan iscas99__b17] [plan] step=201 node=N12166 type=observe q_pred_context=0.937208 sequence=306.362596
[plan iscas99__b17] [plan] step=202 node=N18799 type=observe q_pred_context=0.952221 sequence=307.314816
[plan iscas99__b17] [plan] step=203 node=N7397 type=observe q_pred_context=0.822740 sequence=308.137556
[plan iscas99__b17] [plan] step=204 node=N9645 type=observe q_pred_context=1.186428 sequence=309.323985
[plan iscas99__b17] [plan] step=205 node=N18541 type=observe q_pred_context=0.745290 sequence=310.069274
[plan iscas99__b17] [plan] step=206 node=N13062 type=observe q_pred_context=0.974273 sequence=311.043548
[plan iscas99__b17] [plan] step=207 node=N19320 type=observe q_pred_context=0.929132 sequence=311.972680
[plan iscas99__b17] [plan] step=208 node=N7464 type=observe q_pred_context=0.710463 sequence=312.683143
[plan iscas99__b17] [plan] step=209 node=N2870 type=observe q_pred_context=0.913916 sequence=313.597059
[plan iscas99__b17] [plan] step=210 node=N13589 type=observe q_pred_context=0.665250 sequence=314.262308
[plan iscas99__b17] [plan] step=211 node=N1985 type=observe q_pred_context=0.957439 sequence=315.219747
[plan iscas99__b17] [plan] step=212 node=N13913 type=control1 q_pred_context=1.881209 sequence=317.100956
[plan iscas99__b17] [plan] step=213 node=N18557 type=observe q_pred_context=1.112698 sequence=318.213654
[plan iscas99__b17] [plan] step=214 node=N13745 type=observe q_pred_context=1.040485 sequence=319.254139
[plan iscas99__b17] [plan] step=215 node=N15364 type=observe q_pred_context=1.445138 sequence=320.699277
[plan iscas99__b17] [plan] step=216 node=N9513 type=observe q_pred_context=0.931616 sequence=321.630894
[plan iscas99__b17] [plan] step=217 node=N7163 type=observe q_pred_context=0.978880 sequence=322.609774
[plan iscas99__b17] [plan] step=218 node=N13613 type=observe q_pred_context=1.181129 sequence=323.790902
[plan iscas99__b17] [plan] step=219 node=N9639 type=observe q_pred_context=0.914344 sequence=324.705247
[plan iscas99__b17] [plan] step=220 node=N18548 type=observe q_pred_context=0.999982 sequence=325.705229
[plan iscas99__b17] [plan] step=221 node=N19316 type=observe q_pred_context=0.999611 sequence=326.704840
[plan iscas99__b17] [plan] step=222 node=N15376 type=observe q_pred_context=1.340364 sequence=328.045204
[plan iscas99__b17] [plan] step=223 node=N3779 type=observe q_pred_context=1.771231 sequence=329.816435
[plan iscas99__b17] [plan] step=224 node=N18874 type=observe q_pred_context=0.802631 sequence=330.619066
[plan iscas99__b17] [plan] step=225 node=N13737 type=observe q_pred_context=0.741063 sequence=331.360129
[plan iscas99__b17] [plan] step=226 node=N13605 type=observe q_pred_context=0.687353 sequence=332.047481
[plan iscas99__b17] [plan] step=227 node=N7480 type=observe q_pred_context=0.731925 sequence=332.779406
[plan iscas99__b17] [plan] step=228 node=N18563 type=observe q_pred_context=0.918588 sequence=333.697995
[plan iscas99__b17] [plan] step=229 node=N19323 type=observe q_pred_context=1.018489 sequence=334.716484
[plan iscas99__b17] [plan] step=230 node=N13617 type=observe q_pred_context=0.863764 sequence=335.580248
[plan iscas99__b17] [plan] step=231 node=N2038 type=control1 q_pred_context=1.075352 sequence=336.655601
[plan iscas99__b17] [plan] step=232 node=N7496 type=observe q_pred_context=0.812927 sequence=337.468527
[plan iscas99__b17] [plan] step=233 node=N19207 type=observe q_pred_context=0.805575 sequence=338.274102
[plan iscas99__b17] [plan] step=234 node=N6996 type=observe q_pred_context=0.829770 sequence=339.103872
[plan iscas99__b17] [plan] step=235 node=N13741 type=observe q_pred_context=0.783959 sequence=339.887832
[plan iscas99__b17] [plan] step=236 node=N13525 type=observe q_pred_context=0.561050 sequence=340.448881
[plan iscas99__b17] [plan] step=237 node=N15367 type=observe q_pred_context=0.576033 sequence=341.024915
[plan iscas99__b17] [plan] step=238 node=N18614 type=observe q_pred_context=0.570818 sequence=341.595732
[plan iscas99__b17] [plan] step=239 node=N19324 type=observe q_pred_context=0.962209 sequence=342.557942
[plan iscas99__b17] [plan] step=240 node=N13615 type=observe q_pred_context=0.822866 sequence=343.380808
[plan iscas99__b17] [plan] step=241 node=N7512 type=observe q_pred_context=0.800107 sequence=344.180915
[plan iscas99__b17] [plan] step=242 node=N18877 type=observe q_pred_context=0.858774 sequence=345.039689
[plan iscas99__b17] [plan] step=243 node=N13573 type=observe q_pred_context=0.659823 sequence=345.699512
[plan iscas99__b17] [plan] step=244 node=N19319 type=observe q_pred_context=0.880564 sequence=346.580076
[plan iscas99__b17] [plan] step=245 node=N18641 type=observe q_pred_context=0.719958 sequence=347.300034
[plan iscas99__b17] [plan] step=246 node=N13731 type=observe q_pred_context=0.734766 sequence=348.034800
[plan iscas99__b17] [plan] step=247 node=N7432 type=observe q_pred_context=0.636691 sequence=348.671491
[plan iscas99__b17] [plan] step=248 node=N19318 type=observe q_pred_context=0.869776 sequence=349.541267
[plan iscas99__b17] [plan] step=249 node=N13757 type=observe q_pred_context=0.761545 sequence=350.302813
[plan iscas99__b17] [plan] step=250 node=N12453 type=observe q_pred_context=0.652917 sequence=350.955730
[plan iscas99__b17] [plan] step=251 node=N7673 type=observe q_pred_context=0.818689 sequence=351.774419
[plan iscas99__b17] [plan] step=252 node=N7671 type=observe q_pred_context=0.832261 sequence=352.606680
[plan iscas99__b17] [plan] step=253 node=N18620 type=observe q_pred_context=0.522420 sequence=353.129101
[plan iscas99__b17] [plan] step=254 node=N13739 type=observe q_pred_context=0.782609 sequence=353.911709
[plan iscas99__b17] [plan] step=255 node=N7301 type=observe q_pred_context=0.429265 sequence=354.340975
[plan iscas99__b17] [plan] step=256 node=N19314 type=observe q_pred_context=0.770163 sequence=355.111137
[plan iscas99__b17] [plan] step=257 node=N12357 type=observe q_pred_context=0.645020 sequence=355.756158
[plan iscas99__b17] [plan] step=258 node=N18750 type=observe q_pred_context=0.614697 sequence=356.370855
[plan iscas99__b17] [plan] step=259 node=N7211 type=observe q_pred_context=0.614938 sequence=356.985793
[plan iscas99__b17] [plan] step=260 node=N19315 type=observe q_pred_context=0.910600 sequence=357.896392
[plan iscas99__b17] [plan] step=261 node=N7537 type=observe q_pred_context=0.784910 sequence=358.681302
[plan iscas99__b17] [plan] step=262 node=N13735 type=observe q_pred_context=0.807289 sequence=359.488591
[plan iscas99__b17] [plan] step=263 node=N12389 type=observe q_pred_context=0.489021 sequence=359.977612
[plan iscas99__b17] [plan] step=264 node=N18577 type=observe q_pred_context=0.422871 sequence=360.400483
[plan iscas99__b17] [plan] step=265 node=N7227 type=observe q_pred_context=0.373885 sequence=360.774368
[plan iscas99__b17] [plan] step=266 node=N12341 type=observe q_pred_context=0.556335 sequence=361.330703
