[v3_hard_precision gpu5] [2026-07-04T15:35:06+08:00] start name=v3_hard_precision gpu=5 checkpoint=runs/mainline_accuracy_improve_v3_hard_precision/best.pt
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 out_dir=autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v3_hard_precision
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 budgets=iscas99__b21:628
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 variant_start id=greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=reward_pred
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=59 node=__buf_split_19583 type=observe reward_pred=-0.151350 sequence=-7.994783
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=60 node=N29800 type=observe reward_pred=-0.142233 sequence=-8.137015
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=61 node=N1433 type=observe reward_pred=-0.137580 sequence=-8.274595
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=62 node=N1438 type=observe reward_pred=-0.155140 sequence=-8.429735
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=63 node=N1439 type=observe reward_pred=-0.153467 sequence=-8.583201
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=64 node=N21047 type=observe reward_pred=-0.152661 sequence=-8.735862
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=65 node=N38593 type=observe reward_pred=-0.179220 sequence=-8.915082
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=66 node=N38623 type=observe reward_pred=-0.178143 sequence=-9.093225
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=67 node=N38563 type=observe reward_pred=-0.177090 sequence=-9.270316
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=68 node=N21937 type=observe reward_pred=-0.176017 sequence=-9.446333
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=69 node=N21946 type=observe reward_pred=-0.174873 sequence=-9.621206
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=70 node=N38581 type=observe reward_pred=-0.173679 sequence=-9.794885
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=71 node=N4688 type=observe reward_pred=-0.172413 sequence=-9.967299
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=72 node=N38596 type=observe reward_pred=-0.171971 sequence=-10.139270
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=73 node=N29757 type=observe reward_pred=-0.170435 sequence=-10.309704
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=74 node=N38611 type=observe reward_pred=-0.168876 sequence=-10.478580
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=75 node=N8692 type=observe reward_pred=-0.167322 sequence=-10.645902
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=76 node=N38626 type=observe reward_pred=-0.166650 sequence=-10.812552
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=77 node=N38572 type=observe reward_pred=-0.165255 sequence=-10.977807
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=78 node=N8745 type=observe reward_pred=-0.163973 sequence=-11.141780
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=79 node=N8672 type=observe reward_pred=-0.162788 sequence=-11.304568
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=80 node=N38608 type=observe reward_pred=-0.161775 sequence=-11.466343
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=81 node=N38548 type=observe reward_pred=-0.160991 sequence=-11.627334
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=82 node=N38551 type=observe reward_pred=-0.160274 sequence=-11.787608
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=83 node=N21048 type=observe reward_pred=-0.160305 sequence=-11.947913
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=84 node=N38566 type=observe reward_pred=-0.159645 sequence=-12.107558
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=85 node=N14728 type=observe reward_pred=-0.159045 sequence=-12.266603
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=86 node=N38476 type=observe reward_pred=-0.158498 sequence=-12.425101
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=87 node=N38485 type=observe reward_pred=-0.157799 sequence=-12.582900
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=88 node=N38464 type=observe reward_pred=-0.157169 sequence=-12.740069
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=89 node=N38494 type=observe reward_pred=-0.156603 sequence=-12.896672
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=90 node=N38452 type=observe reward_pred=-0.156094 sequence=-13.052767
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=91 node=N21936 type=observe reward_pred=-0.155636 sequence=-13.208402
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=92 node=N14471 type=observe reward_pred=-0.155224 sequence=-13.363626
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=93 node=N4684 type=observe reward_pred=-0.154859 sequence=-13.518485
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=94 node=N4689 type=observe reward_pred=-0.154533 sequence=-13.673017
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=95 node=N23208 type=observe reward_pred=-0.154241 sequence=-13.827258
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=96 node=N38509 type=observe reward_pred=-0.153981 sequence=-13.981239
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=97 node=N38470 type=observe reward_pred=-0.153747 sequence=-14.134986
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=98 node=N38590 type=observe reward_pred=-0.153539 sequence=-14.288525
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=99 node=N38527 type=observe reward_pred=-0.153354 sequence=-14.441879
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=100 node=N21945 type=observe reward_pred=-0.153185 sequence=-14.595064
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=101 node=N22482 type=observe reward_pred=-0.153039 sequence=-14.748103
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=102 node=N38446 type=observe reward_pred=-0.152912 sequence=-14.901015
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=103 node=N8667 type=observe reward_pred=-0.152799 sequence=-15.053814
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=104 node=N38584 type=observe reward_pred=-0.152701 sequence=-15.206515
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=105 node=N38599 type=observe reward_pred=-0.152616 sequence=-15.359131
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=106 node=N38521 type=observe reward_pred=-0.152542 sequence=-15.511673
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=107 node=N38638 type=observe reward_pred=-0.152480 sequence=-15.664153
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=108 node=N38575 type=observe reward_pred=-0.152427 sequence=-15.816580
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=109 node=N38617 type=observe reward_pred=-0.152385 sequence=-15.968965
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=110 node=N38560 type=observe reward_pred=-0.152354 sequence=-16.121319
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=111 node=N38605 type=observe reward_pred=-0.152334 sequence=-16.273653
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=112 node=N58872 type=observe reward_pred=-0.152248 sequence=-16.425901
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=113 node=N1440 type=observe reward_pred=-0.152257 sequence=-16.578158
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=114 node=N38545 type=observe reward_pred=-0.152262 sequence=-16.730419
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=115 node=N38539 type=observe reward_pred=-0.152285 sequence=-16.882704
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=116 node=N38644 type=observe reward_pred=-0.152322 sequence=-17.035026
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=117 node=N29792 type=observe reward_pred=-0.152373 sequence=-17.187399
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=118 node=N38554 type=observe reward_pred=-0.152442 sequence=-17.339841
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=119 node=N38569 type=observe reward_pred=-0.152526 sequence=-17.492367
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=120 node=N38467 type=observe reward_pred=-0.152626 sequence=-17.644993
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=121 node=N38455 type=observe reward_pred=-0.152741 sequence=-17.797734
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=122 node=__buf_split_21819 type=observe reward_pred=-0.152784 sequence=-17.950517
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=123 node=N14781 type=observe reward_pred=-0.152895 sequence=-18.103412
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=124 node=N4686 type=observe reward_pred=-0.152962 sequence=-18.256375
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=125 node=N38512 type=observe reward_pred=-0.153008 sequence=-18.409382
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=126 node=N21930 type=observe reward_pred=-0.153067 sequence=-18.562449
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=127 node=N21932 type=observe reward_pred=-0.153145 sequence=-18.715594
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=128 node=N21934 type=observe reward_pred=-0.153212 sequence=-18.868806
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=129 node=N21939 type=observe reward_pred=-0.153270 sequence=-19.022076
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=130 node=N21941 type=observe reward_pred=-0.153345 sequence=-19.175421
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=131 node=N21943 type=observe reward_pred=-0.153418 sequence=-19.328838
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=132 node=N38488 type=observe reward_pred=-0.153475 sequence=-19.482314
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=133 node=N1441 type=observe reward_pred=-0.153516 sequence=-19.635829
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=134 node=N21032 type=observe reward_pred=-0.153567 sequence=-19.789397
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=135 node=N38479 type=observe reward_pred=-0.153624 sequence=-19.943020
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=136 node=N22481 type=observe reward_pred=-0.153663 sequence=-20.096683
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=137 node=N21041 type=observe reward_pred=-0.153663 sequence=-20.250346
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=138 node=N21043 type=observe reward_pred=-0.153669 sequence=-20.404015
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=139 node=N4691 type=observe reward_pred=-0.153683 sequence=-20.557697
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=140 node=N38533 type=observe reward_pred=-0.153701 sequence=-20.711398
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=141 node=N38614 type=observe reward_pred=-0.153719 sequence=-20.865117
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=142 node=N38497 type=observe reward_pred=-0.153736 sequence=-21.018853
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=143 node=N38473 type=observe reward_pred=-0.153754 sequence=-21.172607
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=144 node=N38635 type=observe reward_pred=-0.153775 sequence=-21.326382
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=145 node=N58871 type=observe reward_pred=-0.153728 sequence=-21.480110
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=146 node=N38506 type=observe reward_pred=-0.153756 sequence=-21.633866
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=147 node=N38524 type=observe reward_pred=-0.153757 sequence=-21.787623
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=148 node=N21045 type=observe reward_pred=-0.153751 sequence=-21.941374
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=149 node=N38449 type=observe reward_pred=-0.153729 sequence=-22.095103
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=150 node=__buf_split_21818 type=observe reward_pred=-0.153639 sequence=-22.248743
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=151 node=N38587 type=observe reward_pred=-0.153665 sequence=-22.402408
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=152 node=N5773 type=observe reward_pred=-0.153639 sequence=-22.556047
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=153 node=N2566 type=observe reward_pred=-0.153629 sequence=-22.709676
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=154 node=N22426 type=observe reward_pred=-0.153587 sequence=-22.863263
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=155 node=N22429 type=observe reward_pred=-0.153544 sequence=-23.016808
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=156 node=N22410 type=observe reward_pred=-0.153520 sequence=-23.170328
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=157 node=N22413 type=observe reward_pred=-0.153435 sequence=-23.323763
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=158 node=N22416 type=observe reward_pred=-0.153365 sequence=-23.477127
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=159 node=N22423 type=observe reward_pred=-0.153296 sequence=-23.630424
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=160 node=N14782 type=observe reward_pred=-0.153269 sequence=-23.783692
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=161 node=N22461 type=observe reward_pred=-0.153175 sequence=-23.936868
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=162 node=N22466 type=observe reward_pred=-0.153143 sequence=-24.090011
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=163 node=N22473 type=observe reward_pred=-0.153084 sequence=-24.243094
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=164 node=N22478 type=observe reward_pred=-0.153024 sequence=-24.396118
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=165 node=N22436 type=observe reward_pred=-0.152964 sequence=-24.549082
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=166 node=N22439 type=observe reward_pred=-0.152913 sequence=-24.701995
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=167 node=N22442 type=observe reward_pred=-0.152859 sequence=-24.854854
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=168 node=N22449 type=observe reward_pred=-0.152797 sequence=-25.007651
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=169 node=N22454 type=observe reward_pred=-0.152750 sequence=-25.160401
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=170 node=N21036 type=observe reward_pred=-0.152751 sequence=-25.313152
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=171 node=N22485 type=observe reward_pred=-0.152694 sequence=-25.465846
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=172 node=N38629 type=observe reward_pred=-0.152712 sequence=-25.618558
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=173 node=N21931 type=observe reward_pred=-0.152717 sequence=-25.771275
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=174 node=N21933 type=observe reward_pred=-0.152725 sequence=-25.924000
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=175 node=N21935 type=observe reward_pred=-0.152722 sequence=-26.076722
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=176 node=N1436 type=observe reward_pred=-0.152767 sequence=-26.229489
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=177 node=N21034 type=observe reward_pred=-0.152814 sequence=-26.382302
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=178 node=N21940 type=observe reward_pred=-0.152857 sequence=-26.535160
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=179 node=N21942 type=observe reward_pred=-0.152895 sequence=-26.688055
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=180 node=N21944 type=observe reward_pred=-0.152923 sequence=-26.840977
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=181 node=N21938 type=observe reward_pred=-0.152970 sequence=-26.993947
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=182 node=N21929 type=observe reward_pred=-0.153028 sequence=-27.146975
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=183 node=N38536 type=observe reward_pred=-0.153079 sequence=-27.300054
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=184 node=N21040 type=observe reward_pred=-0.153124 sequence=-27.453178
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=185 node=N21042 type=observe reward_pred=-0.153170 sequence=-27.606348
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=186 node=N21044 type=observe reward_pred=-0.153214 sequence=-27.759562
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=187 node=N21046 type=observe reward_pred=-0.153248 sequence=-27.912811
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=188 node=N22092 type=control1 reward_pred=-0.153146 sequence=-28.065957
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=189 node=N22433 type=observe reward_pred=-0.153410 sequence=-28.219367
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=190 node=N8662 type=observe reward_pred=-0.153569 sequence=-28.372936
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=191 node=N21194 type=control1 reward_pred=-0.153634 sequence=-28.526570
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=192 node=N21031 type=observe reward_pred=-0.153916 sequence=-28.680486
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=193 node=N38641 type=observe reward_pred=-0.154072 sequence=-28.834558
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=194 node=N38602 type=observe reward_pred=-0.154124 sequence=-28.988682
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=195 node=__buf_split_20084 type=observe reward_pred=-0.154068 sequence=-29.142750
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=196 node=__buf_split_20085 type=observe reward_pred=-0.153993 sequence=-29.296743
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=197 node=N21206 type=control1 reward_pred=-0.153881 sequence=-29.450624
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=198 node=__buf_split_20087 type=observe reward_pred=-0.154019 sequence=-29.604643
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=199 node=__buf_split_13652 type=observe reward_pred=-0.154071 sequence=-29.758714
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=200 node=N22094 type=control1 reward_pred=-0.154049 sequence=-29.912763
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=201 node=N21039 type=observe reward_pred=-0.154210 sequence=-30.066973
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=202 node=N14740 type=observe reward_pred=-0.154241 sequence=-30.221214
