[gmean] 2026-07-17T05:01:14 out_dir=autoresearch/improve-260716-1344/round14_b17/context_cluster_c48_seed1024_depth2
[gmean] 2026-07-17T05:01:14 budgets=iscas99__b17:994
[gmean] 2026-07-17T05:01:14 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-17T05:01:14 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] step=63 node=N12697 type=control0 q_pred_context=0.721920 sequence=93.277138
[plan iscas99__b17] [plan] step=64 node=N12111 type=control0 q_pred_context=0.616150 sequence=93.893289
[plan iscas99__b17] [plan] step=65 node=N13493 type=observe q_pred_context=1.571335 sequence=95.464624
[plan iscas99__b17] [plan] step=66 node=N18496 type=control1 q_pred_context=2.403435 sequence=97.868058
[plan iscas99__b17] [plan] step=67 node=N12731 type=control0 q_pred_context=2.350559 sequence=100.218617
[plan iscas99__b17] [plan] step=68 node=N13605 type=observe q_pred_context=3.174846 sequence=103.393463
[plan iscas99__b17] [plan] step=69 node=N12561 type=control0 q_pred_context=1.972395 sequence=105.365858
[plan iscas99__b17] [plan] step=70 node=N12103 type=control0 q_pred_context=1.790941 sequence=107.156798
[plan iscas99__b17] [plan] step=71 node=N13525 type=observe q_pred_context=2.070617 sequence=109.227416
[plan iscas99__b17] [plan] step=72 node=N12527 type=control0 q_pred_context=1.112140 sequence=110.339556
[plan iscas99__b17] [plan] step=73 node=N12595 type=control0 q_pred_context=1.762575 sequence=112.102131
[plan iscas99__b17] [plan] step=74 node=N12095 type=control0 q_pred_context=3.238242 sequence=115.340373
[plan iscas99__b17] [plan] step=75 node=N12055 type=control0 q_pred_context=2.252422 sequence=117.592795
[plan iscas99__b17] [plan] step=76 node=N13541 type=observe q_pred_context=1.725099 sequence=119.317894
[plan iscas99__b17] [plan] step=77 node=N14046 type=control1 q_pred_context=0.843214 sequence=120.161108
[plan iscas99__b17] [plan] step=78 node=N12503 type=control0 q_pred_context=2.589002 sequence=122.750111
[plan iscas99__b17] [plan] step=79 node=N19358 type=control1 q_pred_context=3.191439 sequence=125.941550
[plan iscas99__b17] [plan] step=80 node=N14037 type=control1 q_pred_context=0.901977 sequence=126.843527
[plan iscas99__b17] [plan] step=81 node=N12625 type=control0 q_pred_context=1.480733 sequence=128.324260
[plan iscas99__b17] [plan] step=82 node=N12723 type=control0 q_pred_context=1.383998 sequence=129.708258
[plan iscas99__b17] [plan] step=83 node=N12158 type=control0 q_pred_context=1.463859 sequence=131.172117
[plan iscas99__b17] [plan] step=84 node=N11941 type=control0 q_pred_context=1.373532 sequence=132.545649
[plan iscas99__b17] [plan] step=85 node=N12071 type=control0 q_pred_context=1.286668 sequence=133.832317
[plan iscas99__b17] [plan] step=86 node=N12519 type=control0 q_pred_context=1.047787 sequence=134.880104
[plan iscas99__b17] [plan] step=87 node=N12686 type=control0 q_pred_context=1.867566 sequence=136.747670
[plan iscas99__b17] [plan] step=88 node=N9505 type=observe q_pred_context=1.390465 sequence=138.138135
[plan iscas99__b17] [plan] step=89 node=N19353 type=control1 q_pred_context=1.675415 sequence=139.813550
[plan iscas99__b17] [plan] step=90 node=N12553 type=control0 q_pred_context=1.698552 sequence=141.512102
[plan iscas99__b17] [plan] step=91 node=N12499 type=control0 q_pred_context=2.361876 sequence=143.873978
[plan iscas99__b17] [plan] step=92 node=N18004 type=control0 q_pred_context=6.290899 sequence=150.164877
[plan iscas99__b17] [plan] step=93 node=N12656 type=control0 q_pred_context=0.497822 sequence=150.662699
[plan iscas99__b17] [plan] step=94 node=N7512 type=observe q_pred_context=0.644970 sequence=151.307669
[plan iscas99__b17] [plan] step=95 node=N14047 type=control1 q_pred_context=0.853429 sequence=152.161098
[plan iscas99__b17] [plan] step=96 node=N7680 type=control0 q_pred_context=0.758389 sequence=152.919486
[plan iscas99__b17] [plan] step=97 node=N11923 type=control0 q_pred_context=1.895622 sequence=154.815108
[plan iscas99__b17] [plan] step=98 node=N11952 type=control0 q_pred_context=1.187045 sequence=156.002153
[plan iscas99__b17] [plan] step=99 node=N14039 type=control1 q_pred_context=0.956046 sequence=156.958199
[plan iscas99__b17] [plan] step=100 node=N14043 type=control1 q_pred_context=0.770105 sequence=157.728304
[plan iscas99__b17] [plan] step=101 node=N7682 type=control0 q_pred_context=0.627903 sequence=158.356206
[plan iscas99__b17] [plan] step=102 node=N14035 type=control1 q_pred_context=0.796923 sequence=159.153130
[plan iscas99__b17] [plan] step=103 node=N14040 type=control1 q_pred_context=0.757334 sequence=159.910463
[plan iscas99__b17] [plan] step=104 node=N14042 type=control1 q_pred_context=0.530668 sequence=160.441132
[plan iscas99__b17] [plan] step=105 node=N19352 type=control1 q_pred_context=0.851485 sequence=161.292617
[plan iscas99__b17] [plan] step=106 node=N19346 type=control1 q_pred_context=1.863481 sequence=163.156098
[plan iscas99__b17] [plan] step=107 node=N18340 type=control0 q_pred_context=0.890188 sequence=164.046285
[plan iscas99__b17] [plan] step=108 node=N18771 type=control0 q_pred_context=0.812345 sequence=164.858631
[plan iscas99__b17] [plan] step=109 node=N12584 type=control0 q_pred_context=0.713414 sequence=165.572045
[plan iscas99__b17] [plan] step=110 node=N12866 type=control0 q_pred_context=0.677629 sequence=166.249674
[plan iscas99__b17] [plan] step=111 node=N12782 type=control0 q_pred_context=0.855179 sequence=167.104853
[plan iscas99__b17] [plan] step=112 node=N14038 type=control1 q_pred_context=0.703979 sequence=167.808832
[plan iscas99__b17] [plan] step=113 node=N12791 type=control0 q_pred_context=1.269715 sequence=169.078547
[plan iscas99__b17] [plan] step=114 node=N14036 type=control1 q_pred_context=0.727070 sequence=169.805617
[plan iscas99__b17] [plan] step=115 node=N12863 type=control0 q_pred_context=1.631205 sequence=171.436822
[plan iscas99__b17] [plan] step=116 node=N12794 type=control0 q_pred_context=0.975690 sequence=172.412511
[plan iscas99__b17] [plan] step=117 node=N12797 type=control0 q_pred_context=0.957359 sequence=173.369871
[plan iscas99__b17] [plan] step=118 node=N12812 type=control0 q_pred_context=0.978421 sequence=174.348291
[plan iscas99__b17] [plan] step=119 node=N12836 type=control0 q_pred_context=0.759915 sequence=175.108206
[plan iscas99__b17] [plan] step=120 node=N12803 type=control0 q_pred_context=0.935041 sequence=176.043248
[plan iscas99__b17] [plan] step=121 node=N14044 type=control1 q_pred_context=0.714347 sequence=176.757595
[plan iscas99__b17] [plan] step=122 node=N12830 type=control0 q_pred_context=0.571976 sequence=177.329571
[plan iscas99__b17] [plan] step=123 node=N19345 type=control1 q_pred_context=1.730885 sequence=179.060456
[plan iscas99__b17] [plan] step=124 node=N14045 type=control1 q_pred_context=1.131639 sequence=180.192095
[plan iscas99__b17] [plan] step=125 node=N12824 type=control0 q_pred_context=1.020689 sequence=181.212784
[plan iscas99__b17] [plan] step=126 node=N12719 type=control0 q_pred_context=1.028161 sequence=182.240945
[plan iscas99__b17] [plan] step=127 node=N12821 type=control0 q_pred_context=1.053421 sequence=183.294366
[plan iscas99__b17] [plan] step=128 node=N12847 type=control0 q_pred_context=0.960069 sequence=184.254435
[plan iscas99__b17] [plan] step=129 node=N14041 type=control1 q_pred_context=1.033528 sequence=185.287963
[plan iscas99__b17] [plan] step=130 node=N9508 type=control1 q_pred_context=1.309237 sequence=186.597201
[plan iscas99__b17] [plan] step=131 node=N12769 type=control0 q_pred_context=0.913074 sequence=187.510275
[plan iscas99__b17] [plan] step=132 node=N12765 type=control0 q_pred_context=1.090561 sequence=188.600836
[plan iscas99__b17] [plan] step=133 node=N6892 type=control0 q_pred_context=0.944324 sequence=189.545160
[plan iscas99__b17] [plan] step=134 node=N12809 type=control0 q_pred_context=1.209820 sequence=190.754980
[plan iscas99__b17] [plan] step=135 node=N12806 type=control0 q_pred_context=1.195108 sequence=191.950088
[plan iscas99__b17] [plan] step=136 node=N16901 type=control0 q_pred_context=1.243043 sequence=193.193131
[plan iscas99__b17] [plan] step=137 node=N6796 type=control0 q_pred_context=0.982867 sequence=194.175998
[plan iscas99__b17] [plan] step=138 node=N6868 type=control0 q_pred_context=0.955360 sequence=195.131359
[plan iscas99__b17] [plan] step=139 node=N13455 type=control0 q_pred_context=0.980520 sequence=196.111879
[plan iscas99__b17] [plan] step=140 node=N12587 type=control0 q_pred_context=0.759892 sequence=196.871770
[plan iscas99__b17] [plan] step=141 node=N8879 type=control0 q_pred_context=2.101523 sequence=198.973294
[plan iscas99__b17] [plan] step=142 node=N12659 type=control0 q_pred_context=0.965045 sequence=199.938338
[plan iscas99__b17] [plan] step=143 node=N12663 type=control0 q_pred_context=0.993586 sequence=200.931925
[plan iscas99__b17] [plan] step=144 node=N7317 type=control0 q_pred_context=1.262792 sequence=202.194716
[plan iscas99__b17] [plan] step=145 node=N7604 type=control0 q_pred_context=1.708610 sequence=203.903326
[plan iscas99__b17] [plan] step=146 node=N12689 type=control0 q_pred_context=0.727299 sequence=204.630625
[plan iscas99__b17] [plan] step=147 node=N7432 type=observe q_pred_context=0.661325 sequence=205.291950
[plan iscas99__b17] [plan] step=148 node=N18879 type=control0 q_pred_context=0.775726 sequence=206.067676
[plan iscas99__b17] [plan] step=149 node=N13210 type=observe q_pred_context=0.728438 sequence=206.796114
[plan iscas99__b17] [plan] step=150 node=N19314 type=observe q_pred_context=1.346060 sequence=208.142173
[plan iscas99__b17] [plan] step=151 node=N19315 type=observe q_pred_context=1.600730 sequence=209.742903
[plan iscas99__b17] [plan] step=152 node=N19320 type=observe q_pred_context=1.435986 sequence=211.178889
[plan iscas99__b17] [plan] step=153 node=N19344 type=control1 q_pred_context=1.151147 sequence=212.330036
[plan iscas99__b17] [plan] step=154 node=N19318 type=observe q_pred_context=1.145199 sequence=213.475234
[plan iscas99__b17] [plan] step=155 node=N19206 type=control0 q_pred_context=0.999682 sequence=214.474916
[plan iscas99__b17] [plan] step=156 node=N19222 type=control0 q_pred_context=1.493160 sequence=215.968076
[plan iscas99__b17] [plan] step=157 node=N19232 type=control0 q_pred_context=1.304190 sequence=217.272266
[plan iscas99__b17] [plan] step=158 node=N19386 type=control0 q_pred_context=1.082326 sequence=218.354591
[plan iscas99__b17] [plan] step=159 node=N18176 type=control0 q_pred_context=0.641178 sequence=218.995770
[plan iscas99__b17] [plan] step=160 node=N19329 type=control0 q_pred_context=0.962530 sequence=219.958300
[plan iscas99__b17] [plan] step=161 node=N19388 type=control0 q_pred_context=1.129054 sequence=221.087353
[plan iscas99__b17] [plan] step=162 node=N19477 type=control0 q_pred_context=1.079995 sequence=222.167348
[plan iscas99__b17] [plan] step=163 node=N19391 type=control0 q_pred_context=1.171532 sequence=223.338880
[plan iscas99__b17] [plan] step=164 node=N19394 type=control0 q_pred_context=1.133903 sequence=224.472783
[plan iscas99__b17] [plan] step=165 node=N19476 type=control0 q_pred_context=1.102478 sequence=225.575261
[plan iscas99__b17] [plan] step=166 node=N19331 type=control0 q_pred_context=1.304606 sequence=226.879867
[plan iscas99__b17] [plan] step=167 node=N19395 type=control0 q_pred_context=1.323887 sequence=228.203755
[plan iscas99__b17] [plan] step=168 node=N19398 type=control0 q_pred_context=1.304601 sequence=229.508356
[plan iscas99__b17] [plan] step=169 node=N19474 type=control0 q_pred_context=1.272049 sequence=230.780405
[plan iscas99__b17] [plan] step=170 node=N19399 type=control0 q_pred_context=1.199335 sequence=231.979740
[plan iscas99__b17] [plan] step=171 node=N19332 type=control0 q_pred_context=1.197537 sequence=233.177277
[plan iscas99__b17] [plan] step=172 node=N18272 type=control0 q_pred_context=0.758332 sequence=233.935609
[plan iscas99__b17] [plan] step=173 node=N19402 type=control0 q_pred_context=1.177221 sequence=235.112831
[plan iscas99__b17] [plan] step=174 node=N19471 type=control0 q_pred_context=1.208018 sequence=236.320849
[plan iscas99__b17] [plan] step=175 node=N12208 type=control0 q_pred_context=0.677313 sequence=236.998162
[plan iscas99__b17] [plan] step=176 node=N7528 type=observe q_pred_context=0.640783 sequence=237.638945
[plan iscas99__b17] [plan] step=177 node=N19317 type=observe q_pred_context=1.033245 sequence=238.672190
[plan iscas99__b17] [plan] step=178 node=N19316 type=observe q_pred_context=1.024628 sequence=239.696818
[plan iscas99__b17] [plan] step=179 node=N13187 type=observe q_pred_context=0.686011 sequence=240.382829
[plan iscas99__b17] [plan] step=180 node=N13208 type=observe q_pred_context=0.769071 sequence=241.151900
[plan iscas99__b17] [plan] step=181 node=N12341 type=observe q_pred_context=0.640774 sequence=241.792674
[plan iscas99__b17] [plan] step=182 node=N19160 type=control0 q_pred_context=0.880533 sequence=242.673207
[plan iscas99__b17] [plan] step=183 node=N19333 type=control0 q_pred_context=0.984320 sequence=243.657527
[plan iscas99__b17] [plan] step=184 node=N6988 type=control0 q_pred_context=1.626702 sequence=245.284229
[plan iscas99__b17] [plan] step=185 node=N19406 type=control0 q_pred_context=1.725365 sequence=247.009595
[plan iscas99__b17] [plan] step=186 node=N19468 type=control0 q_pred_context=0.946776 sequence=247.956371
[plan iscas99__b17] [plan] step=187 node=N19170 type=control0 q_pred_context=0.878904 sequence=248.835276
[plan iscas99__b17] [plan] step=188 node=N19334 type=control0 q_pred_context=0.923337 sequence=249.758613
[plan iscas99__b17] [plan] step=189 node=N7643 type=control0 q_pred_context=0.838019 sequence=250.596632
[plan iscas99__b17] [plan] step=190 node=N19464 type=control0 q_pred_context=0.925040 sequence=251.521672
[plan iscas99__b17] [plan] step=191 node=N13076 type=control0 q_pred_context=1.405145 sequence=252.926817
[plan iscas99__b17] [plan] step=192 node=N12167 type=control0 q_pred_context=1.381788 sequence=254.308604
[plan iscas99__b17] [plan] step=193 node=N19335 type=control0 q_pred_context=1.694523 sequence=256.003127
[plan iscas99__b17] [plan] step=194 node=N13459 type=control0 q_pred_context=0.770609 sequence=256.773736
[plan iscas99__b17] [plan] step=195 node=N19462 type=control0 q_pred_context=0.849973 sequence=257.623709
[plan iscas99__b17] [plan] step=196 node=N18233 type=control0 q_pred_context=1.693655 sequence=259.317364
[plan iscas99__b17] [plan] step=197 node=N4557 type=control0 q_pred_context=1.754813 sequence=261.072178
[plan iscas99__b17] [plan] step=198 node=N7496 type=observe q_pred_context=0.620950 sequence=261.693128
[plan iscas99__b17] [plan] step=199 node=N19326 type=observe q_pred_context=1.234042 sequence=262.927170
[plan iscas99__b17] [plan] step=200 node=N2201 type=control1 q_pred_context=0.626927 sequence=263.554097
[plan iscas99__b17] [plan] step=201 node=N7448 type=observe q_pred_context=0.646152 sequence=264.200249
[plan iscas99__b17] [plan] step=202 node=N12389 type=observe q_pred_context=0.866769 sequence=265.067018
[plan iscas99__b17] [plan] step=203 node=N7916 type=control1 q_pred_context=0.932304 sequence=265.999322
[plan iscas99__b17] [plan] step=204 node=N15365 type=control1 q_pred_context=1.260664 sequence=267.259986
[plan iscas99__b17] [plan] step=205 node=N19172 type=control0 q_pred_context=1.669407 sequence=268.929393
[plan iscas99__b17] [plan] step=206 node=N19336 type=control0 q_pred_context=0.837068 sequence=269.766461
[plan iscas99__b17] [plan] step=207 node=N4505 type=control0 q_pred_context=1.022318 sequence=270.788779
[plan iscas99__b17] [plan] step=208 node=N4609 type=control0 q_pred_context=1.079478 sequence=271.868257
[plan iscas99__b17] [plan] step=209 node=N4761 type=control0 q_pred_context=1.018690 sequence=272.886948
[plan iscas99__b17] [plan] step=210 node=N4660 type=control0 q_pred_context=1.005765 sequence=273.892712
[plan iscas99__b17] [plan] step=211 node=N7285 type=observe q_pred_context=0.666784 sequence=274.559496
[plan iscas99__b17] [plan] step=212 node=N12437 type=observe q_pred_context=0.695813 sequence=275.255309
[plan iscas99__b17] [plan] step=213 node=N12421 type=observe q_pred_context=0.793574 sequence=276.048883
[plan iscas99__b17] [plan] step=214 node=N7645 type=control0 q_pred_context=0.987008 sequence=277.035891
[plan iscas99__b17] [plan] step=215 node=N4709 type=control0 q_pred_context=1.336415 sequence=278.372306
[plan iscas99__b17] [plan] step=216 node=N18188 type=control0 q_pred_context=1.302461 sequence=279.674767
[plan iscas99__b17] [plan] step=217 node=N4813 type=control0 q_pred_context=1.231830 sequence=280.906597
[plan iscas99__b17] [plan] step=218 node=N19459 type=control0 q_pred_context=1.096274 sequence=282.002871
[plan iscas99__b17] [plan] step=219 node=N4350 type=control0 q_pred_context=1.193766 sequence=283.196637
[plan iscas99__b17] [plan] step=220 node=N4298 type=control0 q_pred_context=1.296887 sequence=284.493524
[plan iscas99__b17] [plan] step=221 node=N12453 type=observe q_pred_context=0.728947 sequence=285.222471
[plan iscas99__b17] [plan] step=222 node=N12405 type=observe q_pred_context=1.043803 sequence=286.266274
[plan iscas99__b17] [plan] step=223 node=N7381 type=observe q_pred_context=0.742897 sequence=287.009171
[plan iscas99__b17] [plan] step=224 node=N7464 type=observe q_pred_context=0.768254 sequence=287.777425
[plan iscas99__b17] [plan] step=225 node=N7548 type=observe q_pred_context=0.748569 sequence=288.525994
[plan iscas99__b17] [plan] step=226 node=N7211 type=observe q_pred_context=0.761774 sequence=289.287768
[plan iscas99__b17] [plan] step=227 node=N7227 type=observe q_pred_context=0.756646 sequence=290.044414
[plan iscas99__b17] [plan] step=228 node=N7333 type=observe q_pred_context=0.741301 sequence=290.785715
[plan iscas99__b17] [plan] step=229 node=N7480 type=observe q_pred_context=0.725601 sequence=291.511315
[plan iscas99__b17] [plan] step=230 node=N7243 type=observe q_pred_context=0.725134 sequence=292.236450
[plan iscas99__b17] [plan] step=231 node=N7365 type=observe q_pred_context=0.739568 sequence=292.976018
[plan iscas99__b17] [plan] step=232 node=N7195 type=observe q_pred_context=0.760937 sequence=293.736955
[plan iscas99__b17] [plan] step=233 node=N7179 type=observe q_pred_context=0.772085 sequence=294.509040
[plan iscas99__b17] [plan] step=234 node=N7259 type=observe q_pred_context=1.160592 sequence=295.669631
[plan iscas99__b17] [plan] step=235 node=N7163 type=observe q_pred_context=1.160486 sequence=296.830117
[plan iscas99__b17] [plan] step=236 node=N7147 type=observe q_pred_context=1.151911 sequence=297.982028
[plan iscas99__b17] [plan] step=237 node=N7301 type=observe q_pred_context=1.132200 sequence=299.114228
[plan iscas99__b17] [plan] step=238 node=N7349 type=observe q_pred_context=1.115835 sequence=300.230063
[plan iscas99__b17] [plan] step=239 node=N7397 type=observe q_pred_context=1.111844 sequence=301.341907
[plan iscas99__b17] [plan] step=240 node=N12323 type=observe q_pred_context=1.100638 sequence=302.442545
[plan iscas99__b17] [plan] step=241 node=N12373 type=observe q_pred_context=1.086625 sequence=303.529170
[plan iscas99__b17] [plan] step=242 node=N12335 type=observe q_pred_context=1.070619 sequence=304.599790
[plan iscas99__b17] [plan] step=243 node=N19246 type=observe q_pred_context=1.366637 sequence=305.966427
[plan iscas99__b17] [plan] step=244 node=N12307 type=observe q_pred_context=1.022978 sequence=306.989405
[plan iscas99__b17] [plan] step=245 node=N12259 type=observe q_pred_context=1.042896 sequence=308.032302
[plan iscas99__b17] [plan] step=246 node=N12319 type=observe q_pred_context=1.028724 sequence=309.061026
[plan iscas99__b17] [plan] step=247 node=N12243 type=observe q_pred_context=1.010079 sequence=310.071105
[plan iscas99__b17] [plan] step=248 node=N12239 type=observe q_pred_context=0.991197 sequence=311.062302
[plan iscas99__b17] [plan] step=249 node=N12236 type=observe q_pred_context=0.976416 sequence=312.038718
[plan iscas99__b17] [plan] step=250 node=N12357 type=observe q_pred_context=0.967132 sequence=313.005850
[plan iscas99__b17] [plan] step=251 node=N12227 type=observe q_pred_context=0.925523 sequence=313.931373
[plan iscas99__b17] [plan] step=252 node=N12223 type=observe q_pred_context=0.917406 sequence=314.848780
[plan iscas99__b17] [plan] step=253 node=N18788 type=control0 q_pred_context=0.927711 sequence=315.776490
[plan iscas99__b17] [plan] step=254 node=N4402 type=control0 q_pred_context=1.099976 sequence=316.876466
[plan iscas99__b17] [plan] step=255 node=N4453 type=control0 q_pred_context=1.529107 sequence=318.405573
[plan iscas99__b17] [plan] step=256 node=N12220 type=observe q_pred_context=1.093792 sequence=319.499366
[plan iscas99__b17] [plan] step=257 node=N12211 type=observe q_pred_context=1.067663 sequence=320.567028
[plan iscas99__b17] [plan] step=258 node=N12316 type=observe q_pred_context=1.037959 sequence=321.604987
[plan iscas99__b17] [plan] step=259 node=N12303 type=observe q_pred_context=1.035877 sequence=322.640864
[plan iscas99__b17] [plan] step=260 node=N12268 type=observe q_pred_context=1.044437 sequence=323.685301
[plan iscas99__b17] [plan] step=261 node=N12271 type=observe q_pred_context=1.043074 sequence=324.728375
[plan iscas99__b17] [plan] step=262 node=N12275 type=observe q_pred_context=1.035507 sequence=325.763882
[plan iscas99__b17] [plan] step=263 node=N12255 type=observe q_pred_context=1.024797 sequence=326.788679
[plan iscas99__b17] [plan] step=264 node=N12284 type=observe q_pred_context=1.007679 sequence=327.796358
[plan iscas99__b17] [plan] step=265 node=N12163 type=control0 q_pred_context=1.347187 sequence=329.143544
