[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.522557 sequence=23.240782
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.216694 sequence=24.457475
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=13 node=N5203 type=control1 q_typed_residual_context=1.270384 sequence=25.727859
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=14 node=N2083 type=observe q_typed_residual_context=1.476284 sequence=27.204143
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=15 node=N3605 type=observe q_typed_residual_context=2.701379 sequence=29.905522
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.641910 sequence=32.547433
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=2.458452 sequence=35.005885
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=18 node=N737 type=control1 q_typed_residual_context=3.740365 sequence=38.746250
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=2.643027 sequence=41.389277
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.846316 sequence=47.235593
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=21 node=N496 type=control1 q_typed_residual_context=3.192850 sequence=50.428443
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=22 node=N7516 type=observe q_typed_residual_context=2.688805 sequence=53.117248
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=5.742035 sequence=58.859283
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=24 node=N580 type=control1 q_typed_residual_context=2.075455 sequence=60.934738
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=25 node=N5234 type=observe q_typed_residual_context=1.232271 sequence=62.167009
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=26 node=N7511 type=control1 q_typed_residual_context=4.144116 sequence=66.311124
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=6.850242 sequence=73.161367
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=3.994315 sequence=77.155682
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=29 node=N1372 type=observe q_typed_residual_context=1.996111 sequence=79.151793
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=4.235214 sequence=83.387007
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=31 node=N2044 type=observe q_typed_residual_context=1.195282 sequence=84.582289
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=6.215618 sequence=90.797908
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=3.240990 sequence=94.038897
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=34 node=N2040 type=observe q_typed_residual_context=4.466836 sequence=98.505733
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=4.278065 sequence=102.783798
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=36 node=N7891 type=control1 q_typed_residual_context=3.320000 sequence=106.103798
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=37 node=N4585 type=control0 q_typed_residual_context=0.848811 sequence=106.952610
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=4.767955 sequence=111.720564
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=39 node=N7587 type=control1 q_typed_residual_context=1.128218 sequence=112.848782
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.233359 sequence=118.082142
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=1.999807 sequence=120.081948
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=1.898976 sequence=121.980925
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=43 node=N3903 type=control0 q_typed_residual_context=0.947230 sequence=122.928155
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=44 node=N4656 type=control0 q_typed_residual_context=2.549517 sequence=125.477672
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=45 node=N713 type=observe q_typed_residual_context=1.970764 sequence=127.448436
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_residual_context=2.431351 sequence=129.879787
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=47 node=N724 type=observe q_typed_residual_context=2.521607 sequence=132.401395
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=1.747386 sequence=134.148781
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=49 node=N7886 type=control1 q_typed_residual_context=1.189406 sequence=135.338187
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=50 node=N3896 type=control0 q_typed_residual_context=1.077888 sequence=136.416075
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=51 node=N3889 type=control0 q_typed_residual_context=1.082637 sequence=137.498712
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.836802 sequence=139.335514
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=53 node=N4670 type=control0 q_typed_residual_context=1.872124 sequence=141.207638
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=54 node=N4684 type=control0 q_typed_residual_context=1.519901 sequence=142.727539
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=1.543753 sequence=144.271292
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=56 node=N3882 type=control0 q_typed_residual_context=1.121831 sequence=145.393123
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.486840 sequence=146.879963
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_residual_context=1.118661 sequence=147.998623
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_residual_context=1.337624 sequence=149.336247
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=60 node=N4557 type=control0 q_typed_residual_context=1.124525 sequence=150.460773
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=61 node=N4705 type=control0 q_typed_residual_context=1.461116 sequence=151.921889
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.260880 sequence=153.182769
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=63 node=N4578 type=control0 q_typed_residual_context=1.067924 sequence=154.250693
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.095169 sequence=155.345862
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=65 node=N4564 type=control0 q_typed_residual_context=1.046929 sequence=156.392791
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=66 node=N3911 type=control0 q_typed_residual_context=1.137652 sequence=157.530442
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=67 node=N3862 type=control0 q_typed_residual_context=1.274509 sequence=158.804952
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=68 node=N3855 type=control0 q_typed_residual_context=1.428827 sequence=160.233778
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=69 node=N3848 type=control0 q_typed_residual_context=1.497699 sequence=161.731477
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=70 node=N3827 type=control0 q_typed_residual_context=1.601354 sequence=163.332832
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=71 node=N4606 type=control0 q_typed_residual_context=1.615846 sequence=164.948678
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=72 node=N3701 type=control0 q_typed_residual_context=1.462826 sequence=166.411504
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=1.208542 sequence=167.620046
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_residual_context=1.445109 sequence=169.065156
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_residual_context=1.239682 sequence=170.304838
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=76 node=N7724 type=control0 q_typed_residual_context=1.284470 sequence=171.589308
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=77 node=N7722 type=control0 q_typed_residual_context=1.459903 sequence=173.049212
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=78 node=N3904 type=control0 q_typed_residual_context=1.615570 sequence=174.664781
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=79 node=N722 type=observe q_typed_residual_context=2.113516 sequence=176.778297
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=80 node=N3897 type=control0 q_typed_residual_context=2.551289 sequence=179.329586
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=81 node=N3841 type=control0 q_typed_residual_context=1.908606 sequence=181.238192
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=82 node=N3820 type=control0 q_typed_residual_context=1.590373 sequence=182.828565
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=83 node=N1411 type=control0 q_typed_residual_context=1.585908 sequence=184.414474
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=84 node=N7723 type=control0 q_typed_residual_context=1.950632 sequence=186.365106
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=85 node=N519 type=control1 q_typed_residual_context=1.313133 sequence=187.678239
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=86 node=N7725 type=control0 q_typed_residual_context=1.831094 sequence=189.509332
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_residual_context=1.125533 sequence=190.634865
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=88 node=N513 type=control1 q_typed_residual_context=1.517401 sequence=192.152266
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=89 node=N7820 type=control0 q_typed_residual_context=1.801137 sequence=193.953403
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=90 node=N7732 type=control0 q_typed_residual_context=1.328201 sequence=195.281604
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=91 node=N7733 type=control0 q_typed_residual_context=0.925413 sequence=196.207017
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=92 node=N516 type=control1 q_typed_residual_context=1.242197 sequence=197.449215
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=93 node=N7889 type=control1 q_typed_residual_context=1.265796 sequence=198.715010
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=94 node=N7890 type=control1 q_typed_residual_context=1.527064 sequence=200.242075
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_residual_context=3.111125 sequence=203.353199
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=96 node=N7408 type=control0 q_typed_residual_context=1.903442 sequence=205.256641
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=97 node=N7541 type=control0 q_typed_residual_context=1.720766 sequence=206.977407
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=98 node=N520 type=control1 q_typed_residual_context=1.348151 sequence=208.325558
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=99 node=N7884 type=control1 q_typed_residual_context=1.527678 sequence=209.853236
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=100 node=N7370 type=control1 q_typed_residual_context=1.165369 sequence=211.018605
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=101 node=N555 type=control1 q_typed_residual_context=0.934914 sequence=211.953519
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=102 node=N3813 type=control0 q_typed_residual_context=0.839299 sequence=212.792818
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=103 node=N1533 type=control1 q_typed_residual_context=1.251365 sequence=214.044183
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=104 node=N3799 type=control0 q_typed_residual_context=2.408149 sequence=216.452332
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=105 node=N3681 type=control0 q_typed_residual_context=2.457106 sequence=218.909438
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=106 node=N3792 type=control0 q_typed_residual_context=3.503516 sequence=222.412954
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=107 node=N3785 type=control0 q_typed_residual_context=4.359711 sequence=226.772665
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=108 node=N4520 type=control0 q_typed_residual_context=6.395567 sequence=233.168232
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=109 node=N7847 type=control0 q_typed_residual_context=3.849163 sequence=237.017395
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=110 node=N556 type=control1 q_typed_residual_context=3.772686 sequence=240.790080
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=111 node=N7590 type=control1 q_typed_residual_context=5.767862 sequence=246.557942
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=112 node=N2580 type=control1 q_typed_residual_context=6.068006 sequence=252.625948
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_residual_context=1.585172 sequence=254.211120
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=114 node=N614 type=control1 q_typed_residual_context=3.162800 sequence=257.373920
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=115 node=N7854 type=control0 q_typed_residual_context=3.668325 sequence=261.042245
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=116 node=N634 type=control1 q_typed_residual_context=1.960943 sequence=263.003188
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=117 node=N7588 type=control1 q_typed_residual_context=3.168068 sequence=266.171255
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=118 node=N3180 type=control1 q_typed_residual_context=4.241281 sequence=270.412537
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=119 node=N610 type=control1 q_typed_residual_context=3.089701 sequence=273.502238
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=120 node=N620 type=control1 q_typed_residual_context=4.570752 sequence=278.072989
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=121 node=N3410 type=control1 q_typed_residual_context=6.035132 sequence=284.108121
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=122 node=N578 type=observe q_typed_residual_context=7.192588 sequence=291.300709
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=123 node=N638 type=control1 q_typed_residual_context=3.503443 sequence=294.804153
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=124 node=N7721 type=control0 q_typed_residual_context=3.217126 sequence=298.021278
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=125 node=N7853 type=control0 q_typed_residual_context=1.367832 sequence=299.389111
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=126 node=N5867 type=observe q_typed_residual_context=1.008810 sequence=300.397920
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=127 node=N2153 type=observe q_typed_residual_context=2.262312 sequence=302.660232
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=128 node=N7424 type=control1 q_typed_residual_context=0.518286 sequence=303.178519
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=129 node=N5878 type=observe q_typed_residual_context=1.059539 sequence=304.238057
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=130 node=N5876 type=observe q_typed_residual_context=2.162188 sequence=306.400245
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=131 node=N7401 type=observe q_typed_residual_context=0.956146 sequence=307.356391
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=132 node=N6538 type=observe q_typed_residual_context=0.705784 sequence=308.062174
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_residual_context=2.096025 sequence=310.158199
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=134 node=N7679 type=observe q_typed_residual_context=1.905868 sequence=312.064067
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=135 node=N636 type=control1 q_typed_residual_context=1.002033 sequence=313.066100
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=136 node=N7627 type=observe q_typed_residual_context=2.115451 sequence=315.181550
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=137 node=N645 type=control1 q_typed_residual_context=0.819118 sequence=316.000668
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=138 node=N5603 type=observe q_typed_residual_context=3.557200 sequence=319.557868
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=139 node=N725 type=observe q_typed_residual_context=1.533416 sequence=321.091284
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=140 node=N2149 type=observe q_typed_residual_context=3.092499 sequence=324.183783
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=141 node=N6531 type=observe q_typed_residual_context=3.203863 sequence=327.387646
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=142 node=N723 type=observe q_typed_residual_context=4.262437 sequence=331.650083
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=143 node=N694 type=observe q_typed_residual_context=4.380536 sequence=336.030619
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=144 node=N7436 type=observe q_typed_residual_context=3.576746 sequence=339.607366
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=145 node=N5874 type=observe q_typed_residual_context=1.762520 sequence=341.369885
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=146 node=N7614 type=observe q_typed_residual_context=1.002004 sequence=342.371890
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=147 node=N5473 type=observe q_typed_residual_context=0.962615 sequence=343.334504
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=148 node=N5738 type=observe q_typed_residual_context=1.852711 sequence=345.187215
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=149 node=N2102 type=observe q_typed_residual_context=1.826380 sequence=347.013595
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=150 node=N7385 type=observe q_typed_residual_context=1.711859 sequence=348.725455
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=151 node=N2157 type=observe q_typed_residual_context=1.648353 sequence=350.373808
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=152 node=N630 type=control1 q_typed_residual_context=2.135813 sequence=352.509621
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=153 node=N3467 type=control1 q_typed_residual_context=1.738037 sequence=354.247658
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=154 node=N642 type=control1 q_typed_residual_context=2.093038 sequence=356.340696
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=155 node=N649 type=control1 q_typed_residual_context=2.662868 sequence=359.003565
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=156 node=N6674 type=observe q_typed_residual_context=1.009696 sequence=360.013261
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=157 node=N5422 type=observe q_typed_residual_context=1.537668 sequence=361.550929
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=158 node=N712 type=observe q_typed_residual_context=2.492608 sequence=364.043537
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=159 node=N2106 type=observe q_typed_residual_context=1.846844 sequence=365.890381
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=160 node=N714 type=observe q_typed_residual_context=3.310016 sequence=369.200397
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=161 node=N7405 type=observe q_typed_residual_context=1.436334 sequence=370.636731
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=162 node=N3295 type=control1 q_typed_residual_context=1.164305 sequence=371.801036
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=163 node=N3525 type=control1 q_typed_residual_context=0.915777 sequence=372.716813
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=164 node=N1607 type=control1 q_typed_residual_context=1.338427 sequence=374.055239
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=165 node=N647 type=control1 q_typed_residual_context=1.829587 sequence=375.884827
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=166 node=N1586 type=control1 q_typed_residual_context=2.693150 sequence=378.577977
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=167 node=N7454 type=observe q_typed_residual_context=0.846934 sequence=379.424911
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=168 node=N1598 type=observe q_typed_residual_context=0.690673 sequence=380.115584
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=169 node=N5740 type=observe q_typed_residual_context=1.221700 sequence=381.337284
