[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_marginal/decay_64
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=140 node=N636 type=control1 q_typed_residual_context=6.004934 sequence=350.236290
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=141 node=N7401 type=observe q_typed_residual_context=6.104303 sequence=356.340592
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=142 node=N694 type=observe q_typed_residual_context=5.794274 sequence=362.134866
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=143 node=N2106 type=observe q_typed_residual_context=3.804701 sequence=365.939567
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=144 node=N2157 type=observe q_typed_residual_context=5.988711 sequence=371.928278
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=145 node=N5878 type=observe q_typed_residual_context=5.151643 sequence=377.079921
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_residual_context=2.479313 sequence=379.559234
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=147 node=N7402 type=observe q_typed_residual_context=1.689932 sequence=381.249166
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=148 node=N2102 type=observe q_typed_residual_context=2.779439 sequence=384.028605
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=149 node=N7424 type=control1 q_typed_residual_context=0.977551 sequence=385.006156
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=150 node=N771 type=observe q_typed_residual_context=0.638471 sequence=385.644627
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=151 node=N3295 type=control1 q_typed_residual_context=0.893376 sequence=386.538002
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=152 node=N6674 type=observe q_typed_residual_context=1.033630 sequence=387.571633
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=153 node=N715 type=observe q_typed_residual_context=0.943479 sequence=388.515112
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=154 node=N5356 type=observe q_typed_residual_context=1.813256 sequence=390.328368
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=155 node=N703 type=observe q_typed_residual_context=1.854663 sequence=392.183031
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=156 node=N7436 type=observe q_typed_residual_context=1.919899 sequence=394.102930
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=157 node=N630 type=control1 q_typed_residual_context=1.132157 sequence=395.235087
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=158 node=N5473 type=observe q_typed_residual_context=1.477402 sequence=396.712489
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=159 node=N714 type=observe q_typed_residual_context=2.134898 sequence=398.847387
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=160 node=N642 type=control1 q_typed_residual_context=1.768683 sequence=400.616070
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=161 node=N649 type=control1 q_typed_residual_context=2.132707 sequence=402.748777
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=162 node=N3467 type=control1 q_typed_residual_context=1.374978 sequence=404.123755
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=163 node=N754 type=observe q_typed_residual_context=0.646992 sequence=404.770747
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=164 node=N5740 type=observe q_typed_residual_context=1.089176 sequence=405.859923
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=165 node=N705 type=observe q_typed_residual_context=1.623952 sequence=407.483876
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=166 node=N5456 type=observe q_typed_residual_context=1.052612 sequence=408.536488
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=167 node=N712 type=observe q_typed_residual_context=1.623263 sequence=410.159750
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=168 node=N7454 type=observe q_typed_residual_context=0.683619 sequence=410.843369
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=169 node=N3525 type=control1 q_typed_residual_context=0.749879 sequence=411.593249
