[b15-r11/marginal_horizon_lr1e4/e006] [gmean] 2026-07-21T17:57:46 out_dir=autoresearch/loop-260720-0945/model_training_round11/b15_selection/marginal_horizon_lr1e4/epoch_006/alpha_0p10_decay_64
[b15-r11/marginal_horizon_lr1e4/e006] [gmean] 2026-07-21T17:57:46 budgets=iscas99__b15_1:278
[b15-r11/marginal_horizon_lr1e4/e006] [gmean] 2026-07-21T17:57:46 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r11/marginal_horizon_lr1e4/e006] [gmean] 2026-07-21T17:57:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.806058 sequence=48.647883
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.806640 sequence=49.454522
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.858389 sequence=50.312911
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985657 sequence=53.298568
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.623232
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.095346
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807826 sequence=57.903171
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.649344
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.627632
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831759 sequence=61.459391
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.593786
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615070 sequence=65.208856
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.921141
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.750887
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.351658
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.848614
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.307418
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=72.991880
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738020 sequence=78.729900
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.792694
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.729704
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.869741
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.498885 sequence=86.368625
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295819 sequence=87.664444
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395245 sequence=89.059689
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943222 sequence=90.002911
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944241 sequence=90.947152
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.963260 sequence=91.910412
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916367 sequence=92.826779
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940914 sequence=93.767693
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953488 sequence=94.721181
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.678685
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.959553 sequence=96.638238
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_reliable_context=0.902126 sequence=97.540365
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004444 sequence=98.544809
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_reliable_context=1.114228 sequence=99.659037
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065797 sequence=100.724834
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725270 sequence=102.450104
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898715 sequence=103.348819
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917913 sequence=104.266732
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024032 sequence=105.290764
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.030539 sequence=106.321303
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967605 sequence=107.288908
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.854098 sequence=108.143006
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406622 sequence=109.549628
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.789921 sequence=110.339549
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245291 sequence=111.584840
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756680 sequence=112.341520
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391535 sequence=113.733055
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758645 sequence=114.491700
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557467 sequence=116.049168
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.772998 sequence=116.822166
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843706 sequence=117.665871
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272578 sequence=118.938450
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117104 sequence=120.055554
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813393 sequence=120.868947
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269411 sequence=122.138358
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752133 sequence=122.890491
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527500 sequence=124.417991
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320237 sequence=125.738228
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515689 sequence=127.253916
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689439 sequence=128.943356
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671014 sequence=130.614370
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992343 sequence=131.606712
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991927 sequence=132.598640
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112735 sequence=133.711374
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311996 sequence=135.023371
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=93 node=N3785 type=control0 q_typed_reliable_context=1.010820 sequence=136.034190
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=94 node=N3827 type=control0 q_typed_reliable_context=2.631296 sequence=138.665486
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386838 sequence=144.052324
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=96 node=N3820 type=control0 q_typed_reliable_context=1.424068 sequence=145.476392
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217617 sequence=146.694009
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466193 sequence=148.160202
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.527170 sequence=149.687372
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386280 sequence=151.073653
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331846 sequence=152.405499
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462483 sequence=153.867981
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321327 sequence=155.189309
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.783297 sequence=156.972606
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444222 sequence=158.416828
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=106 node=N3799 type=control0 q_typed_reliable_context=1.443681 sequence=159.860509
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350883 sequence=161.211392
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=108 node=N3792 type=control0 q_typed_reliable_context=1.323315 sequence=162.534707
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224021 sequence=163.758728
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716811 sequence=165.475540
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312584 sequence=166.788124
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.659994 sequence=168.448118
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336578 sequence=169.784696
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392752 sequence=172.177448
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972797 sequence=174.150245
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152248 sequence=176.302493
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926529 sequence=179.229022
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978776 sequence=182.207798
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026102 sequence=185.233899
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353151 sequence=187.587050
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391949 sequence=189.978999
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535723 sequence=192.514722
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362525 sequence=194.877247
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516251 sequence=196.393498
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650566 sequence=198.044064
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932182 sequence=199.976245
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.280453 sequence=201.256698
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544326 sequence=202.801024
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965573 sequence=204.766597
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771862 sequence=207.538459
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783565 sequence=211.322024
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.606993 sequence=215.929018
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088007 sequence=219.017025
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671784 sequence=220.688809
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528710 sequence=223.217519
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.320087 sequence=225.537606
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436147 sequence=226.973753
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004577 sequence=227.978330
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.548138 sequence=229.526468
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.637893 sequence=233.164361
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.788541 sequence=238.952902
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763966 sequence=244.716868
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120743 sequence=247.837610
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.670667 sequence=250.508277
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=145 node=N7679 type=observe q_typed_reliable_context=1.379924 sequence=251.888202
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_reliable_context=2.827038 sequence=254.715240
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.848195 sequence=255.563435
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333453 sequence=257.896888
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=149 node=N723 type=observe q_typed_reliable_context=2.701486 sequence=260.598374
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_reliable_context=2.862346 sequence=263.460721
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=151 node=N6948 type=observe q_typed_reliable_context=2.923596 sequence=266.384316
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=152 node=N3467 type=control1 q_typed_reliable_context=1.712995 sequence=268.097311
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=153 node=N4521 type=observe q_typed_reliable_context=4.153678 sequence=272.250989
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=154 node=N2580 type=control1 q_typed_reliable_context=1.735169 sequence=273.986158
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=2.214981 sequence=276.201139
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=2.024161 sequence=278.225299
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.272261 sequence=280.497560
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.671675 sequence=283.169235
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=159 node=N5617 type=observe q_typed_reliable_context=4.693278 sequence=287.862514
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=160 node=N2102 type=observe q_typed_reliable_context=1.783021 sequence=289.645535
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=161 node=N6531 type=observe q_typed_reliable_context=5.159943 sequence=294.805478
[b15-r11/marginal_horizon_lr1e4/e006] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=5.391940 sequence=300.197418
