* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/max_aig.bench.
test   21: 00111101111001100010011010100000110010010100110111000100011001101110011001011100001101001111111011110010001100000101111001000000111101011011000001110101111000010110100101101010101000001000000001101110100001000011111111100111101101111100010110011101111010101111010001010100111101001001101011100001111110111100011011111111010111110110101110100010001010101101011100001111010001001111001001011110110111001001010111110101000000010011001100111110100110001101111000100101100101010011100100000000111010100001000110011001 000010111011110010111011111001100001011101110011100101001100000000010010110011111111101100000111100101011110111001111111000101001   20 faults detected
test   22: 10001110110101000001001011000111010101000000001011001111110111100101001001100001110101110111001100000110111100111110101111101110110110001001001101111111001000010111000000001000111111001010110111101100010110100100010011001001011000001100101010001100011001110110101010110110100011101000001011111111111110101011110010001001100110101000111011110100010011101101110110000100000100111100111011010010110011100111000100010000111000110101101110101101001101101111101001111011101001010111100001100000010000111100111011100110 100111011001011010101001011010111111100010010010111111001101100101111001110001011000110101000111111100010000100011100010101110111   17 faults detected
test   23: 01000000100101000101100110011101100110000001010000001101000100001000100111110111100110011001011000010111000100110100001110101000101101111011011110111100111101110111100001001000111010101000010011001010001101111100101101110100101100110001101010100011110010101011011110100110110110110110010110101011010001111010000111101010110010011001010110100100100000111101100101001111110011011101010111101100101101000100011101111010101101010110000111000101110011110000110001011111011111111101110101100101111000110110001000110110 011000111010100001001101001100011100011110110100111111101011001010110001111101011111001110111000111100110011110111011010001101100   47 faults detected
test   24: 11000000100110110001111111100101110100011111000010000000010011100100001101001011100000000011111010010001111101111110011000001100011100001001101001101011110011111100001101110100010100111101010110011100000110110010000010101101000011001011111110010010111101010011100100011010001111001110001001001010000101000001100111100010000100010010011010111101101101001100111011111111111000100100001100011101110000101100101111000000100100010101101110001100111111000010100010110110111111010110110100101100000011111010111001010101 100000000101110111100101010010000000111001111111001111001010101011101011101100001101010010010000011010101000011011100111100101100   22 faults detected
test   25: 01000101011111100101011100000111000100100000010111111100010000110101011000011101100011010100101000101110101100010110110111011111011011011011000100010001000100000000010111110010011000001000110101000010110011011001000010001100110010011010000101111111000011010011100010110010101101010010101111001100100101010010110011010111001110011011011010110110101110010010101000000010100110110001111101011100011111101011010111100001001001011000101111110111100101010110100010111000110011001000011011100111010111010001101100111110 011101000111001111111001100011000101110110110000000101001100111110101011100001100100011110100001101011111111001101010111010111100   28 faults detected
test   26: 11111111010011111111011011010010100001010100111100110010001100101100111100101110001010010001101100111100101100101101011000000110011010011011111000000111011111110110000101010000011111010100001101001010100001110001110001111110000000100101001100001110100110100110001100010001011011000110100100100111100111010001100011000001001111000101011011010010000001111110101111111001010010000111001101011111101010111011101010011110010011100111110000010101001111100111110101000100100000000100001101010111001110011001101010100110 110011111011110001011010110101001010010011101000101010001101100100000100111011010001001010001101111000111000011101101111110011100   16 faults detected
test   27: 10110101101111101001011010111000110110101000010011000100001011001111011110101010010111111110100000101111110101101011010110001111011011110000001101010110010000111111000010110011101000001110101101001111110010010111101110011010101110011111100010111110010010010101010000100010101000100010011010111010010100111101110011011100101101110011000110110110001110110111000111010110001011001001011110011100110100100110101001011100110100110000001100010101001110111111010111101111111001001101101000111001101010010100101010010010 110110110010001010011011110111000111110000011110011111111110010101010100101011001111111111010110101010001110000000001110100010001    7 faults detected
test   28: 00011100001011001011100011001101010111010101101101001111001001101010001010110101011001111011011101101101101001111110011101011011001000100001000110101100111010101100110101011101100100111001111100111010101110001110101111011000000001101111101111100101011010000111001010110100011001010000010000100110111000110000110010010100101010111100111111011010101110110000111001011010011111111100110000010011001110111101000110010110100001100011110001001001000110110100100000101001100110011011000001101000000101100101001110101011 000100111101011101010101000010111100010011001101100111000010010011111011011000001110100011000010010010000000101011100110000111101    7 faults detected
test   29: 00100111111101001001110101100111001001010100111010101000100001100110001010101110111110110110111101101111110001100110111111100100010010101110100110111100001011101000011110101011010010011101111010111011101001111010111011101110100111001000101000010001100110111000110111101110110110111000001100111000101110000001100001110100100110001000001001000100001010111100011111110001001010100001111001101010010000101010000111000011100101101101001100010000110010110100101010100111110001011100111110000000000110010101011101000001 001110010000011011100100000101011111110110100111111110111011011110110101111100011010000101010101011011001101111010111100000011100   18 faults detected
test   30: 11000101010000011010001110100100101100001111001100110110101001110010001110110101101010000111100100100000000111111010001000110000111000010000011110101011100110000011010101100010010001110100001100011000010010100000011111110011110000101010011011010011101010100010001000111001100111100011101101111111101101010011001111000010110101010000100111000011101111000010000001110100100100000111010111010010000001010101101000111000100011110110001111011110111010100111000010101010111101110101111101101011101011011000100110011011 110011000010100001110010010100101010010000011100000011000001101010011111101110001110011010011011100101011011100001001101100111100    2 faults detected
test   31: 11010110001111110100101011111101110100110001001011011000110000010010000110111011100100111100001011111111100100000010000100100101011000101110010011100100011011011000010010011011101001001110110010101100001101100100000001111100010111011001100110111001110001100001100011001000011101010101011010100011110010010100111000100111100001110011010011010010001000010011011011010010011010001101100001000111011100100000110000100011110001000110100010001000001000011001101111010011111110110000001100110010011001100010010010001001 001010011110001111001110001000101000011001000011100111001111001100001110111000101000010111101000110001110101110001111001010111001    8 faults detected
test   32: 10111100110101100000101100011110001110101111010010101001000111010101110101010010100000110100001000011000111010001001110101111111111011010110010111000101010101111000101000001011111001101101011111001101001110000000111001010101001100100011100100110000101110010000010000010000011001111010011110111001000000000110101000110001011011111011011010000001010000001101000100001110010011100100101111011001000001000100000010111000100100011011111001001011000100010000011110010110111010110110111110011110011010001100100111110101 001100110011110111110111010111110110010111000010001001110100001110010010000011110111100110100111000101100110100010110111001010100    6 faults detected
test   33: 11011111111011111101001111011110101111001010100000011110010011001110011111010010110011101100111000110110001111011000011111000111001011001011110000100010000110100000011000110101011011001111101010100000101101001010111110011010010011001001010111011100011111110000000111000010001101100110111101100010100110110100101000010110110110010000000100011111001010011110111010001011111111111011000111010010000011011100111011111011110010000010011011000010101100000100100010000101110011010111011100101001011010001001001000011110 000100111011110111010010000100111001100011110111010110001110110111010001111101010100110100011101110111100011101011000001010001100   11 faults detected
test   34: 01101110011110011110101110100000000010010011010101000101110000000101111111100111110111111111000011010010100000000001010111011101011110111010010100000010001010001111010001111100000110101100111110000000001101110001110000100011001100110101100110100111001001101100011010100110000001101110000101101010010110111011010001000100001110001010110001011011000010100001101011101101110000000010000110001010110101001101001000111000111010011100110010111100111011100010011010100111000011010100111010100110100100100100010110011101 010101001100000000110010101111110100110111000001001010100110101101111101101011111000110010101110010000010100100101010100101101000    5 faults detected
test   35: 01101000111000100000110001100101001000010001111111010001110010111111101110001111111100100101000110111000011010000100010011111011101011101000111011111110101110001110110101000100111011000011100001000111001101100101010011010010101011101010010000010000001000110000010100101110011001011000011100100100101100100111100101110101100100001111010111000110000110101101001100100111001100001000111001110010101011100110010111000000000011101110000001101000111111011001111101010100111010001101101111011000111100011111100100001100 001011001001001000111110111011010110111001011000100111110011010100010010011000011001011001111011100110010110001011110001011111000   16 faults detected
test   36: 00101011010111000001100110011000101010110010010010011111110101110011111100101111010100000110001111001111110101001101001000011001000101101111100001000110011001110100101100101100101100100010010001101010100100101011100111000001100000101110000111100100100101111100010110111100111111101000111010110101100101111110011010001011000101000110000001100001100001010100110101010010111001010001001011001101101001100000001100110011000100011001111101010011000011011100111110000000010010111100110101100110101100011110110010100100 010101101010100011011110010001000001010000100011001001011011100000011110001111101100110000010010011101000010010010101110101101101    8 faults detected
test   37: 11110101111010000101111111111010010000110100000111000000111001110110010000011100001000000000111011010111100011110101011001101100010101100111011110010100110011100111110011001110010000010101000110011110010011100101010011001011000110000000010111010100000100011110011000000111010100111000011111010111101001110001001000011000101001100001110000001111010111010011001111011011100001001001000011110101100110100101101110000001001001110001011111010010010101111010111010110011001100110111000000001011000010000010110101110101 111110000001110011110100001100011100111000110110111001010100010101000100011110110010100100001011110010010001100001001011100011100    4 faults detected
test   38: 11110100011011001000000110010101100110110100001010110010011010000111000011100001011111100111111001101011101110110110010101101001100111010111111000010000011100101110100001000101000001111101100110110010110011001010011100000110111111011110011000001000000110110101010100110010111111100010111100001110111000001011100010001011011011001100110101110101011111000000000001001011011011010100010101100000010000001110111010101111010001110010010011111100110110001010101000010101101011111100111110111000101100100011000111010110 110101000111001010011111011010010101100110111001110101000010111011101001100000110000001101110001110111111011100000100111010001100    1 faults detected
test   39: 01100000011111111111011011000000001001001001110010011001111100000001001110000111111010101101101010110100110100110100100011010111110011001101101011000111011110010111100001001101101110100011100010100011111110001100001010110010001110000011110010111000111011000011001000100101011011110010001000101010110010101001110000100000111001011110110101010101001000101110111011001111001101001100101100110111101001001101101100000111110100000000111111100000110000101100110011110101100101000101100110110100011010000001001010010000 110100100101011011100111000100100101001010111001100101100100001101101011100010100000110101100010000000001100101101000100000010001    2 faults detected
test   40: 10010000001110100110001110100111001011010000110110010010001100001000011000110011011110110001111000101110101110110000001110000111101101110111101001010001100001100111010000001110111111100100100010111000001000010111010101101000010001100100000001000101011010100010100111100101100010001111000001010110100000101101101100101111111101110011011000111110000110101100011001100111100001001111100100100110011100011101101101101110100110101011101001010111001010010110100110110011000110001010100011010000111101011101011110011010 011100101011011101011010110101100010110100111001110001110100010111001100111011110100011100100000011101110110000111010000001011001    2 faults detected
test   41: 01100100011011001001011000111011000101101000011100011000010001100010011100000000010010111110110100011010111101010010001001011110111100110011110011000001010001001010011111010000000111010111001000011011111001010011101011101001111100010010010001011001111110010000011011101100110010011101010011010000010011000010011011010001001010110010100000110000001010010000111101111000011101101111110000010000100100110100111110001000101100100111011101011110111111101100110010001110101010100101000011110110011110101110001011000101 001010000000000100011010101111000010101101001010011010111000111101010000001010101100010001111001010011101001100110110011011010111    6 faults detected
test   42: 01011010010011110110100110001111011001110111001000101001010001111111111101110101100100011010011110101100010000001010111101101000111011111100100111101110000011001010101110110100110100111010100101101101110011011001101000001111010000110011010101111000001011100000101111001110000110001101001000111111011011011110110111011101011101110010101111000100001100101100011101111010111001001000010000000010100011111011010000001100011010101111100011011001100110111001111110010010001101110001101000001111010101100000010011000011 111110011100010101100111100100011011101110000010011001011001010110111110110011110110100010000011011011010010100101100010011001100    2 faults detected
test   43: 11011111100000010101111110010001111110011111110111110010100001100111001110110010100011011110010101111000110111000000011001010001010101010000110001001010111000100000101010001110111010100100101011011000001000000111000011110011101101100110011010010000110010100110011011101010010101000000001111010000110000111001111000010101011110001110101000011000001000001000011000010101101011011000001011011011011101000111010000111010000101001100100101011101010011011100011001001010001111110011001110001110010001000101011111110010 010010101111110011010000110000000011001000000110001100001100101001001010011010100100101111010111101100001010110000001101010000001    2 faults detected
test   44: 10001010110000000101010010111011101001000111111110101111001010100111000111001000011010101100100011001011000101001100000111111000011000100011111010111011101010101001100001111100010111100010110000011001011101010100001111000001110010110111010101111011111000111011111000110001111101000111110110111010101100101010101010111011000010101100110100110000101111011100101011000010110101111100010001110001000111101001111111000101000010011000001111001100101011101010110010101110000011111011011111010000110011110000111101000000 000101000001110111110000011000011000010000110010100010001010111010110100110111000111111001111011111101101010001100011111100110000    2 faults detected
test   45: 01010100100100100110111111001110001110111000111110011101100001111001100000110011010011100000101101101110000000010111011010110111100101101010011001011001010100101111000001010001001111011110010101010001010110001010100100001010001011111000011010111110110100101110110011101000010010011100101110001101011110001111100111111100111100000000001000110110011000011011000000011111001100111011101101110100000001110100110001001010101101000011000001111101010011101001000111100000101010001011001110101100110101010000011000101101 010100001010101101100011111101011101010010110100001101111010100111000000011001101111011111110111110000110010001010011011000011101    2 faults detected
test   46: 10110110011100010110011001000001000110000010100111001101010011001111101101011010011001111010100111011010110001111011011110101000000011001011000110111010111111100001100011111011111000110100000100100100001011100010100011001110100001000011100111010010100110011101000011000001111011011101100110101010111010111100001010111011101111100100100000100000100001110101000111110110100011111110110001010101011110111010010111001001011001001100111101000001100011010110111001101011011110110100011110010110111000000000010101110010 100001011011001011101001000000001001000011010111001111100111000101000010110110110010110100011000000110000110010101010111100110100    5 faults detected
test   47: 11110101111011100111000111101011001010111111100101000001111101101101100100010001011000010110110101010100111000101111011011100010000001010100011110110101010000100100000100100100000000000010011101010001100011011010100100011110011101000001111111101000100001111000010111010000101010100111100010111001110011000011011100010100011010110011000010111110000110110110010000000101101101100001011111011011011100101101000001010001010100101000111001011101010101000100011101011100001010110000111111111111001111101111000001101011 100010000101111000110111000000011000011011100010011101011111011100001010110010111011100000101011010010011100101110101111011111000    2 faults detected
test   48: 11010001011011000110010100001001011010101101010101110110111100101011011000101110001101011111001001110110101000111101011100010011000000011101010111110001111100001101111011111010010001010111100111000100100010111110001111011000111011000111100110110110010101001110101010101011011100001100000101011011111011110110101111111010011011100011011101111110010011011011010000001011111111110001111101100100111010010001101100101111001100011101010110010010010000110100010100100100101011110011010111110011100110110100111111101110 111111001111001100000100000010001101101100111010110100010101101000101110011110111101101110100001111101000110001010110001110101101    1 faults detected
test   49: 11110011100110111111110010101110000101001111001000110111110111011010000100100001010110010101001001001001110111101011000110101010011100110010010110001111000111011110110111110010100010110110011001000000011101111111110001010011111101101111101100011000000111001000000001110000100110111010001000010010010000011100100111011110011011110110000111110001000001000010000000101110110100001000010100001011010111001001100111101011010100101101110010010000110000011101100101110100101110011010001010010110000110111010011011000001 011111010100110110001010111011111001011101110111011111101001000011010010011000111010101011111011000011100110011101101011010101101    1 faults detected
test   50: 00011100101001010010010010111101100111101110110001010111111001011010010100011010111011100011111010111111011111010010110011011100010110110110001101100010010100000000100111111010000000101100101010000000011001001110101011111011011101101101010001011101010001111110100001100100110001111001001010001001000001110011111001001101001110011111010010100110010011111101010100100111010001111110111110010011100101010101110010000011111101111110000110001100110100101011111100001000011100001110110010011001110010000100100110100011 110111000000111110110101010110111111001001110010101010011111100100011111111001010101110010101001100001011010101001010011100000101    1 faults detected
test   51: 10000001010101011001101000000001000101010111010001111110100010010011000010001101011001001000100110010101000110101000101111000101011011010010100011111011000110011100110101111101000000010001111010100100011010000011110101110110110110000001000011100000111001001100000001011011010010110111101000000111000000101011110100011011001111111011010000111011101000111110000100010110111110001111001011011100110111111101000101110111001110011001000100101111010000000011000011110110000100111011001001001000000001000100101001110100 010101100010000100110101110110110010001111110000001011100111101101100011010111101110011000101000010011111000110001100000001001100    2 faults detected
test   52: 01011110101111000111000111101001101110111001111000101010110000011110001100001001110010001111011100101101010110101111110111110101000100100100010110101101100010111111010000001100101110010111001101110100111100000100011000001010101101000011010110111001111111110100010110101111001111100010011000101001001010111010001101110110101110010011111000100001000011010001011010100110101011110101111010111011110101100000010010000001000100101110110101000011101100100011001000110110111100100110110110011111000001111011001111110001 010100100100110000110100101011110001011011101010000000101001111010011000110010011100000000110110110110010010101110110110011111110    9 faults detected
test   53: 10000100100000000001001010111100010001011011011000000100111110111011111010110100100111100111110011100001111101111110000110001100000100011100011110111000011101101110101010001010010110011101010001011111101100101100001111110110011011101011011001001000110001001000110010101001000100001001101000011111101011111100100000100101110000110011100101111100110100011101110101110100011001011011011001110010100110100100000101100001100101011011001011101111001000110010111110011100010100000101100101110101101011110100100000110110 001101001010000011110110111010111100000101001001101111011010001001110111011010010001010111111111011011001001000000110100001101100    1 faults detected
test   54: 01110110100101011110011000110100100111010010011111101101101100010100011100100101110111001001010001011001001101111100011010010000000100011011000001011000000000110101011101011110101001110100100011001011100000110100110100000000110010001111101111001000101001001110010111000000001111001101110001011100111001000101011101101100011010000000110001100000001011001101011010010010011000110011010111010010101111010111000001101000110100010011100011000001001100011010110111011101001100010000001011100101101111101100101100011100 000000011110001001011110000100100100100101010011111011100010110000100100000101101011100010100011001001001101011010000010001011100    1 faults detected
test   55: 10101011100100100110111000110111000111000101011101101111100100101010100001101101010000111011011111100010101001011111101100010101010111110100111011110101100110101111011110101100101111010011000010000011011100010011010011001011101101100001010111011001000011100100011001111000010100100101100110100111110001000000001111000110110000110010101010010111100011011110011011010111001000000001010100111110101101001100010011110011000100010010100111000000001100001100000001101001101010000010111110010001010010011000010110010111 111110000110111100010111111111101100001001110101100100110011110100001100110100001001110010111111001111100000010110011001010101100    1 faults detected
test   56: 01110000011111001010111100000001011101111100111010010010011100100010111000110001101000010010000000010001111101100101110011000100110010110011001000100000100110011011111000101101001001000101101111100000001110110000000011011110101100010110101001010100000001110011110111110110100100010011000011111010011000111111100001100010111011110010100000110101100001100110001011100110000100000010001110100101001101101110001000111001011110010001101111001100001001111100010111011001111110100101111110011101010011000001101010010101 111001011001001001101011000100010101101010011011010001000000100000100010111011101101100001001101110100000011111110110011111001001    1 faults detected
test   57: 11011100111011110001110001001111010010100011001011110001100000010011111111010101111011110000001001110100110110110010111011000000100011101100011001000000100111011111000000000010001001100001110100011011100110010101011110111101011110001100101011101100110101000100001101100101000100001110011111100000000011010010100111111001101100010111111101111100100101001000001100010100010011011101010010000010101000011111001111100100111001111010101111001111101011111011001011001011101001101101111000010010100100111001001010000110 100100010101000001100111010100010110110011010110011101010101000111110001110111100000001101111010111011010010010011110101101001101    1 faults detected
test   58: 01100011111111011010101100001000010111011011011110111101111101101010011100100011011100001011111111111111011010001000010110111101001101010110000001010100000101100000111101110011100011101011110011000001100000100110110010011110001000100001000000111101000100001011000101011101111011111010110001000001100101110011111100100000011110011111000110111000100111010000010010100110001010000101011000111111101001100001100101100110101000101111111110111101001111110111111111000010111010101110111101001011101001010101001110000100 011001100100000010001000111001111001110000101101000100011111111010111010110010111101011000001011101001000100111110111011110010101    1 faults detected
test   59: 11011000111111010000111001100000001011101000000010100010110001100001011101000111100100101011101010110110100111111010011111111010110100100110011010101111011100010001001111100110100110101011101000110010100010111111001110110011001110111011000100000100011101110001110010101001000100111100111101011101111100000011110111101111001010110110110000001010011100111111110000001110011000111001000100001100111100000101011100100000011111110111001010000110111010100010111000100110000000100101001001001010100010011101001011010100 011010001010100011001101000000010000001001010101100010011111100101000111011011101111011000100011101011010000100000110101011101110    5 faults detected
test   60: 11001011011011011001010001010110110101011101001111110110100001011001001101101001100110111111111001000100110101011011100100000100111110100010111000101010001001111010111111000011110111100101000010101000101011000010010001111010101010101110010010011100001011100010100011000000010001001001011101111011111000111101110101001001111111111100111110101111100000000010101010011001010010010010100100101111100101011111110100010111110001111010001111001111111000001000100111111000010100100001101010111100011010110010000101010101 101111101000011111000111011001100000001110000110001101101100001101111101010011111010010111001011111110000010000000000110000111100    1 faults detected
