* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/b21_C.bench.
test   14: 001000011001010110001101101111100100100011010100100001001010110001110101111000000111001001100001101000011110100000000110100111010010000110010100101100011110001001101101101001110010110110010001000010111101111100010111111000100101001110101010100011101101101100100101111101100101100011111111100100100111111100110100100001011110110000001010011000110100010000101110110010011000100111000111101110010011101110000000010000010111010000011111110001000110110011110010100111011101001000100101000110000100001101100001100010101000101011 111000000110111101000010010110010000001110011000111001011100010101010111001010010001111000110100101001100001001011110101111000000111001001111010111100010011011011010011100101101100100010000101111011111000101111110010110001111111110010010011111110100011010100100001001010110000001001011010100101111000010000110001010010001001011110111001001110111100011100100001111111011111100011001101100001010000000010000010111010000011111110001000110110011110010100111011010111100100111000000111101011101111101000011101010   56 faults detected
test   15: 110100001011011010001101110001101011010100101011011110101001101111111111010010101101101100001010110110011111101100010101011101100011000110011001111111011011111111011111110101010111111100011010000011111001010001011001011000100101001100101110000000110011101100110101111111100101000010101101110101001011001110011101000100111010100110000010001110011111101100001001101111111111001110001000101011000111110010011110001100010101001001011100100100100101100000101111101011100000011111010010111101111000111101001111100011110101010010 000000110010101110010001011100110011110010110101101010110000000111010011001010010001011011111110011001100011000111111111010010101101101100001001001011111110111111101010101111111000110100000111110010100010110010110010100001010110111010100101100101010110101011011110101001101111010111100011111001011110001111011110100101111100000000000000000000000000000000000000000100110111100100000011001000110011110001100010101001001011100100100100101100000101111101011100100100001101101101010010111111100011111101010100100   37 faults detected
test   16: 110101010010110110010001000101100011111100011110111100100011111000010111000010011010100000100110100000100000011001111110010100100010001110100110000101101001001100111101111001001001010001111101000010110110000110110011110000000001101110011110110011111110011000000010111001000010011111110101111111101100101010110010010100011011111010101010101111110000010011011100011100111110010111110000000100000110011111010101001100010001101101000001111000111110111001110011000101110001110011001101101001011001111101111110100101001000101011 001010101111101100010100100110101100101110100011101111111100110111100111011000000000010110100001100101110001000100010111000010011010100000111010111010011001111011110010010010100011111010000101101100001101100111100001001111111010111111110110010111111110011110111100100011111010101001101101010110011111001101001011011001100111000111001100000100000001111101001001100011100010011011111000000111111010101001100010001101101000001111000111110111001110011000101111010111000001010110010000111010011010101110010111010  164 faults detected
test   17: 001010100001001100000110001011101001110101111011111101011011111101111110101010101100001011111001100100111110111100011110101000100001111010000001000101110001101011101000101000100101111000100001001011000010001101111010000110010111100111010010100111100110010110101010011011011011011110111011001100100110110101011100000001111010101100010000011110110011110111000101010001100101101000111011010101010111001100110011111110001110011110011011101010100000010001011110000000010100011001110111100110000001000101000110101001101011011001 110100011010101111000000011101010011010010010000111111011110010100101110011110100110001110100010000001011110000100101000101111011100100100100001100011010111010001010001001011110001000010010110000100011011110100001101101111011101100110010011011011110101111011111101011011111100110011111111111111110001000000110011110111001100010110011101010101011011100010110011011001001100110111011110110110100110011111110001110011110011011101010100000010001011110000000010110011110100001101010101011111100111101000111001111   70 faults detected
test   18: 100111010111100101000111001111101111010110000100001110001010100101111100011001111011111001000010111010110010110110000100000110111100010001110010010011110100001001101101111010011101111010000100000000110001101101011110110011011111011001010000110101101100100000000010011010111100100101111000110111111100010001000110000010001101011111010111101100101011001011011110001101011011000001111101001010001010111100001110000010100000110101111101010001010100101011101101101010011100100101001110101010000110111100011111011000100100110101 110101101101011000110000110001001010110010000000001001011010110000101001101111101100101111001001001110001000111100000010000110110100110101110100011100010011011011110100111011110100001000000001100011011010111101101110010010111100011011111110001011010100000100011100001010100101010101010100000001111110110000101010111001010010011111101010001010010111110000011010100111000010010110010101100111000001110000010100000110101111101010001010100101011101101101010011101010100111110111100110001111100111010110101111101  192 faults detected
test   19: 010000000100001101011100011100001000111010111001100110100010110100000111000110010100010000000011101101000111101010010111111001101001010001011000001001011110110100100100100001111100000000001011101001010101011001010010010000111011001101110011100011101101011101100000011011011011001000111100000011110001001011100101110101111000110100101100000001111000101101010010111000111001110011011000100001101000111001111001110111111110110001111111011011111010100101010001000110011001011100001001001110010000111110110000111011001010101111 110010000100001101001111010001100110110000001101110101011100011100111011001101110001111010010000011010001010010110000001011010100001110100100100010001101001001001000011111000000000010111010010101010110010100100101101100100011110000001111000100110111010111001100110100010110101101101010010011101011110000100111001001000011101001011100010110000100011011001110100100011110000001111000100110111001111001110111111110110001111111011011111010100101010001000110011011110000010001010011000111000000011000000110101111   75 faults detected
test   20: 001011111111010000000000001101001111101100100100101011000110110111010100010010111010011010000110101100100001101000100000111011011101000001011001111100010110101001000111011110011000110000000110110001111101100111100101101000010111110000001010111001000101010100010101001110011110111010101010001100000101010000100000010010001001000101110011011100110010000000011011011110000000111110101000100011000110011101111010101010101111101100000010110011110101110101011110000000111001011011000101101101101100001000000111000110100010001101 010111010001001000100100000010001101001000000010000001001001110101000000111110100001101000111110011010000010111011010100010010111010011010010110000101010010001110111100110001100000001101100011111011001111001011011111011101010101000110000010101011101110100100101011000110110111110110000010101101001000011011011011010001101101001111001100011000100010101111100000111101101100000000100110011100001111010101010101111101100000010110011110101110101011110000000110011010010110010111010010001010111000001111010111111  177 faults detected
test   21: 001111011110011000100110101000001100100101001101110001000110011011100110010111000011010011111110111100100011000001011110010000001111010110110000011101011110000101101001011010101010000010000000011011101000010000111111111001111011011111000101100111011110101011110100010101001111010010011010111000011111101111000110111111110101111101101011101000100010101011010111000011110100010011110010010111101101110010010101111101010000000100110011001111101001100011011110001001011001010100111001000000001110101000010001100110011111010111 011011011111010111111110110001111101110111011011110111101110011010001111101101111001111010111000001101101011110001100110010111000011010011111101010000001011010010110101010100000100000000110111010000100001111111110111101001001101011100001111110110100101001101110001000110011010100011001110000100101010111000000001001110010101001001110110111101001001111001000001110101101101011111111100111110110010101111101010000000100110011001111101001100011011110001001010101111110010110000111010011001100111110010110100100   43 faults detected
test   22: 100011101101010000010010110001110101010000000010110011111101111001010010011000011101011101110011000001101111001111101011111011101101100010010011011111110010000101110000000010001111110010101101111011000101101001000100110010010110000011001010100011000110011101101010101101101000111010000010111111111111101010111100100010011001101010001110111101000100111011011101100001000001001111001110110100101100111001110001000100001110001101011011101011010011011011111010011110111010010101111000011000000100001111001110111001101101000101 010111111100101100110111110001101101101010101101110011001100010101001100000110100100000000000000000000000000000000000010100000110000100111110011101100001011100000000100011111100101011011110110001011010010001001100100011101000001011111111111110111010000000010110011111101111001010111101001110101011000010000001100001111010100101011100110100101101110011110010110111011010011010101000011100000001110001000100001110001101011011101011010011011011111010011110110001011101110101110000110010010100011110010000101000  559 faults detected
test   23: 010000001001010001011001100111011001100000010100000011010001000010001001111101111001100110010110000101110001001101000011101010001011011110110111101111001111011101111000010010001110101010000100110010100011011111001011011101001011001100011010101000111100101010110111101001101101101101100101101010110100011110100001111010101100100110010101101001001000001111011001010011111100110111010101111011001011010001000111011110101011010101100001110001011100111100001100010111110111111111011101011001011110001101100010001101101101111000 010100100010011010111111000010101100101111011010101001110001010101100011001101001011110011110111101101111011010000100011110100110111000101111001110110111011110000100100011101010100001001100101000110111110010110110110110110110010110101011010001111100000010100000011010001000010010100111000000000011000111101001101011101111111110001011010011011110101011101100110001011010101101001101101101101101000111011110101011010101100001110001011100111100001100010111111110000011001100111101111100100010011010000011011111   35 faults detected
test   24: 110000001001101100011111111001011101000111110000100000000100111001000011010010111000000000111110100100011111011111100110000011000111000010011010011010111100111111000011011101000101001111010101100111000001101100100000101011010000110010111111100100101111010100111001000110100011110011100010010010100001010000011001111000100001000100100110101111011011010011001110111111111110001001000011000111011100001011001011110000001001000101011011100011001111110000101000101101101111110101101101001011000000111110101110010101010011000001 010010000001000010011111001100011111010010001111101111010010011111110100110000101100111101011001011001000011100010000110011111101111100010010111110101111110000110111010001010011110101011001110000011011001000001010001111001110001001001010000101011000111110000100000000100111000001001110100000101111110000001101001011011010111111010000111011100011000010010001110100011101101011001110010000111111001011110000001001000101011011100011001111110000101000101101100000011000000000111010010110000100001111000101100000   43 faults detected
test   25: 010001010111111001010111000001110001001000000101111111000100001101010110000111011000110101001010001011101011000101101101110111110110110110110001000100010001000000000101111100100110000010001101010000101100110110010000100011001100100110100001011111110000110100111000101100101011010100101011110011001001010100101100110101110011100110110110101101101011100100101010000000101001101100011111010111000111111010110101111000010010010110001011111101111001010101101000101110001100110010000110111001110101110100011011001111101111001110 101110100011100101000110011000010000011101101000000100111111101000010110010011001100001000100010001101101101101110111011011010001101011101000101001110000000001011111001001100000100011010100001011001101100100001000101101010010101111001100100101011001000000101111111000100001100000110101000001110010111010111001110110000100110011011111100011101011111000110110110111010110010001010111011010001010110101111000010010010110001011111101111001010101101000101110000011100101011000110111000011010110000010010000010100  124 faults detected
test   26: 111111110100111111110110110100101000010101001111001100100011001011001111001011100010100100011011001111001011001011010110000001100110100110111110000001110111111101100001010100000111110101000011010010101000011100011100011111100000001001010011000011101001101001100011000100010110110001101001001001111001110100011000110000010011110001010110110100100000011111101011111110010100100001110011010111111010101110111010100111100100111001111100000101010011111001111101010001001000000001000011010101110011100110011010101001100001110010 000101010111100100000110001100010001000110001100101100011100001100101001000000011111101110000001111101100101100110000110101101001101001111001101110011111011000010101000001111101010000110100101010000111000111000111011011000110100100100111100111010010101001111001100100011001011110000000111010010110011100111010101100001000000001110101011111101011001110000100011100111100100100101100011011010110111010100111100100111001111100000101010011111001111101010001001100100001001010001110100111100100111111010110110110   11 faults detected
test   27: 101101011011111010010110101110001101101010000100110001000010110011110111101010100101111111101000001011111101011010110101100011110110111100000011010101100100001111110000101100111010000011101011010011111100100101111011100110101011100111111000101111100100100101010100001000101010001000100110101110100101001111011100110111001011011100110001101101100011101101110001110101100010110010010111100111001101001001101010010111001101001100000011000101010011101111110101111011111110010011011010001110011010100101001010100100100100101000 100110011101101001110110011101111111100000010011011101011111010001111110011101010110100110101011000000111101101110101101011010001111011010011011000100011111100001011001110100000111010110100111111001001011110111000101000100010011010111010010100111101010000100110001000010110010001011101010000101010010101100111000101101100100111010010110011100111101001001101100101001011101011001000100010100001101010010111001101001100000011000101010011101111110101111011111010001111111101001010101111011110111001101001010100   38 faults detected
test   28: 000111000010110010111000110011010101110101011011010011110010011010100010101101010110011110110111011011011010011111100111010110110010001000010001101011001110101011001101010111011001001110011111001110101011100011101011110110000000011011111011111001010110100001110010101101000110010100000100001001101110001100001100100101001010101111001111110110101011101100001110010110100111111111001100000100110011101111010001100101101000011000111100010010010001101101001000001010011001100110110000011010000001011001010011101010111000000101 011001101010101011000010011000010000011101000101000111101001111101111101100000000111110011010110001000010001001100101110011111100101101101101110101101010110011010101110110010011100111110011101010111000111010111100011001010000010000100110111000111110101011011010011110010011011100111111111010000101101000000101100000110110011001110111001100100000110011111111110001110010000110110010111001100111010001100101101000011000111100010010010001101101001000001010010001011011110011010101101010001011000000100001011101  123 faults detected
test   29: 001001111111010010011101011001110010010101001110101010001000011001100010101011101111101101101111011011111100011001101111111001000100101011101001101111000010111010000111101010110100100111011110101110111010011110101110111011101001110010001010000100011001101110001101111011101101101110000011001110001011100000011000011101001001100010000010010001000010101111000111111100010010101000011110011010100100001010100001110000111001011011010011000100001100101101001010101001111100010111001111100000000001100101010111010000010101111010 100000100011001001011100001100001110100011100000011000100010000101000100111001011101000011110110010111010100100011100010101011101111101101101011110001110100001111010101101001001110111101011101110100111101011101110110110111000001100111000101110010010111001110101010001000011000110011101111111011110011000000000011111001110100011000000000000000000000000000000011100000001110000101011110111100000100001011111010100010001010001000100001100101101001010101001111110101101101111101110101010001100011000011011001110  400 faults detected
test   30: 110001010100000110100011101001001011000011110011001101101010011100100011101101011010100001111001001000000001111110100010001100001110000100000111101010111001100000110101011000100100011101000011000110000100101000000111111100111100001010100110110100111010101000100010001110011001111000111011011111111011010100110011110000101101010100001001110000111011110000100000011101001001000001110101110100100000010101011010001110001000111101100011110111101110101001110000101010101111011101011111011010111010110110001001100110111000101011 111000010101011010000111100110011101011100001100001010110010110110010101000011110010011101010111100000100001110000100011101101011010100001111010111011000001101010110001001000111010000110001100001001010000001111111100111100011101101111111101101011000001110011001111101010011101100001110111100001010110101110101101111101011101111101000000100101110101110000010001011100000010000111101110000111001011010001110001000111101100011110111101110101001110000101010101010111100001010110101101110001010010110101101101010   91 faults detected
test   31: 110101100011111101001010111111011101001100010010110110001100000100100001101110111001001111000010111111111001000000100001001001010110001011100100111001000110110110000100100110111010010011101100101011000011011001000000011111000101110110011001101110011100011000011000110010000111010101010110101000111100100101001110001001111000011100110100110100100010000100110110110100100110100011011000010001110111001000001100001000111100010001101000100010000010000110011011110100111111101100000011001100100110011000100100100010010111001001 000110001100001111011000111001010000000000000000000001100111011001100110111010001111100010011100100111010001101010110111101111110110000000001100010001101100001001001101110100100111011001010110000110110010000000110010110001010010110100100111100011001100010010110110001100000100000110110101101100001100110010011001100000011011111010011101110001000011011000101001001111000101011010101010111000100001100001000111100010001101000100010000010000110011011110100110010010111100100111011101100001001100111110101010101  108 faults detected
test   32: 101111001101011000001011000111100011101011110100101010010001110101011101010100101000001101000010000110001110100010011101011111111110110101100101110001010101011110001010000010111110011011010111110011010011100000001110010101010011001000111001001100001011100100000100000100000110011110100111101110010000000001101010001100010110111110110110100000010100000011010001000011100100111001001011110110010000010001000000101110001001000110111110010010110001000100000111100101101110101101101111100111100110100011001001111101011000010010 000110101110110110001000101011010001111100111000101110000011001001110001001100101010101010001110100110101101111110010100011011101000111001111100011110111100010100000101111100110110101111100110100111000000011100100011001111010011110111001000000011101001110100111000010001110111100101011010001110100010110011110011111011011010111001000001001101111010010011100011100001000101100000010100000010101000000101110001001000110111110010010110001000100000111100101100100100101100000101001010101110110001011000001001000   76 faults detected
test   33: 101111110100111101111010111100101010000001111001001100111001111101001011001110110011100011011000111101100001111100011100101100101111000010001000011010000001100011010101101100111110101010000010110100101011111001101001001100100101011101110001111111000000011100001000110110011011110110001010011011010010100001011011011001000000010001111100101001111011101000101111111111101100011101001000001101110011101111101111001000001001101100001010110000010010001000010111001101011101110010100101101000100100100001111000011100001101010001 011111010100000001001101101101010110011011110011010000001111111000111011101010010010000001011000010001000011110100101100011100000111100100001110101011000110101011011001111101010100000101101001010111110011010010011101111011000101001101101001010010000011111001001100111001111110000010011000000010100010010010001011010010100111011110111001110110000010010111000011111111111010001011101111001011111101111001000001001101100001010110000010010001000010111001101010100010110001110011011100110100110111011110011000010  231 faults detected
test   34: 111001111010111010000000001001001101010100010111000000010111111110011111011111111100001101001010000000000101011101110101111011101001010000001000101000111101000111110000011010110011111000000000110111000111000010001100110011010110011010011100100110110001101010011000000110111000010110101001011011101101000100010000111000101011000101101100001010000110101110110111000000001000011000101011010100110100100011100011101001110011001011110011101110001001101010011100001101010011101010011010010010010001011001110101110110100101011110 001011000001101010011110000100010110111111111101010000011101001101001001000100011110000000000000000000000000000000000101000100010101111111111011000110001111100000110101100111110000000001101110001110000100011001101100001011010100101101110110100011010100010111000000010111111110010001110111011001001101000100100100101100101011100000100101100101011010100011000111001100100101000101011100011001011100011101001110011001011110011101110001001101010011100001101010111100101100001111111110111110001001101100100101010  406 faults detected
test   35: 100010000011000110010100100001000111111101000111001011111110111000111111110010010100011011100001101000010001001111101110101110100011101111111010111000111011010100010011101100001110000100011100110110010101001101001010101110101001000001000000100011000001010010111001100101100001110010010010110010011110010111010110010000111101011100011000011010110100110010011100110000100011100111001010101110011001011100000000001110111000000110100011111101100111110101010011101000110110111101100011110001111110010000110010101011100100100110 001100011101011110000100110101111101010100011001101100001100010000001000001001010111011100011101011111110111000100111111110010010100011011101100101110101000100111011000011100001000111001101100101010011010010101010000111001001001011001001111001000001101000011011100010100001100010011101010100110000100111111000111100011011110110000000000000000000000000000000010000110011100100110010110101101100000000001110111000000110100011111101100111110101010011101000111001101110110001010010011111111011111101011101100001  339 faults detected
test   36: 011100000110011001100010101011001001001001111111010111001111110010111101010000011000111100111111010100110100100001100100010110111110000100011001100111010010110010110010110010001001000110101010010010101110011100000110000010111000011110010010010111110001011011110011111110100011101011010110010111111001101000101100010100011000000110000110000101010011010101001011100101000100101100110110100110000000110011001100010001100111110101001100001101110011111000000001001011110011010110011010110001111011001010010001110000011111001010 100000100000001110000100011010001011111110011110110100111110100100100111100001110101001011100110011000100001111100100010011000010010110010101111101101100101100101100100010010001101010100100101011100111000001100000001110101101011001011111100110111001001111111010111001111110010110111111011100001101001101111000110101100110101100001100000001100101101100110100101100111111010011010110101110000111001100010001100111110101001100001101110011111000000001001011110010101001111000110000010101111000010000111100100101   16 faults detected
test   37: 101000010111111111101001000011010000011100000011100111011001000001110000100000000011101101011110001111010101100110110001010110011101111001010011001110011111001100111001000001010100011001111001001110010101001100101100011000000001011101010000010001111001100000011101010011100001111101011110100111000100100001100010100110000111000000111101011101001100111101101110000100100100001111010110011010010110111000000100100111000101111101001001010111101011101011001100110011011100000000101100001000001011010111010111011100111011110001 111110010001110000110010100011000100010011010101001100111000100000101011101000000001111001110011001010011110111000101000110110011010101111000111111110011001110010000010101000110011110010011100101010011001011000110000111110101111010011100010010010011100000011100111011001000000010100001101110100010101101000001000011010000000011011101101001011001101011110000001001000111001011110101111100000100000100100111000101111101001001010111101011101011001100110011011100010101101110000000001000011111001111000001100001   81 faults detected
test   38: 101100100000011001010110011011010000101011001001101000011100001110000101111110011111100110101110111011011001010110100110011101011111100001000001110010111010000100010100000111110110011011001011001100101001110000011011111101111001100000100000011011010101010011001011111110001011110000111011100000101110001000101101101100110011010111010101111100000000000100101101101101010001010110000001000000111011101010111101000111001001001111110011011000101010100001010110101111110011111011100010110010001100011101011010001000100101010110 110100100000011101101011000011000011010101001111100001101101100000010000011001111010000000000000000000000000000000011001101001010110010010001001001100001000101000001111101100110110010110011001010011100000110111110101111000011101110000010111000110101011001001101000011100001110101000000000101110111100011000100110100011101111100010111011100000010000001101010111100101001000001100101010101000010111101000111001001001111110011011000101010100001010110101111110101101011001111110011111101000000100001000000000010  457 faults detected
