[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T05:02:49 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/alpha_0p20_decay_16
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T05:02:49 budgets=iscas99__b15_1:278
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T05:02:49 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T05:02:49 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_trust_context
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=46 node=N7886 type=control1 q_typed_trust_context=5.362680 sequence=191.197360
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=47 node=N7887 type=control1 q_typed_trust_context=4.996724 sequence=196.194084
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=48 node=N7888 type=control1 q_typed_trust_context=2.372132 sequence=198.566216
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=49 node=N7889 type=control1 q_typed_trust_context=0.831649 sequence=199.397866
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=50 node=N3889 type=control0 q_typed_trust_context=0.718527 sequence=200.116392
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=51 node=N4656 type=control0 q_typed_trust_context=2.491908 sequence=202.608300
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=52 node=N3903 type=control0 q_typed_trust_context=0.893443 sequence=203.501743
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=53 node=N4663 type=control0 q_typed_trust_context=1.046808 sequence=204.548550
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=54 node=N713 type=observe q_typed_trust_context=1.642350 sequence=206.190900
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=55 node=N724 type=observe q_typed_trust_context=1.406818 sequence=207.597719
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=56 node=N704 type=observe q_typed_trust_context=1.478172 sequence=209.075890
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=57 node=N4677 type=control0 q_typed_trust_context=1.903932 sequence=210.979822
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=58 node=N4670 type=control0 q_typed_trust_context=0.986343 sequence=211.966165
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=59 node=N3896 type=control0 q_typed_trust_context=0.974166 sequence=212.940331
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_trust_context=0.922200 sequence=213.862531
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_trust_context=0.940936 sequence=214.803467
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=62 node=N3722 type=control0 q_typed_trust_context=0.914694 sequence=215.718161
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=63 node=N3911 type=control0 q_typed_trust_context=0.937466 sequence=216.655627
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_trust_context=1.024664 sequence=217.680291
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=65 node=N4585 type=control0 q_typed_trust_context=1.033988 sequence=218.714279
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=66 node=N4705 type=control0 q_typed_trust_context=1.083219 sequence=219.797498
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=67 node=N4712 type=control0 q_typed_trust_context=1.169816 sequence=220.967315
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=68 node=N4716 type=control0 q_typed_trust_context=1.386317 sequence=222.353632
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=69 node=N2106 type=observe q_typed_trust_context=1.217837 sequence=223.571469
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=70 node=N4578 type=control0 q_typed_trust_context=1.000637 sequence=224.572106
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=71 node=N519 type=control1 q_typed_trust_context=1.711052 sequence=226.283157
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=72 node=N4698 type=control0 q_typed_trust_context=1.470144 sequence=227.753302
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=73 node=N4691 type=control0 q_typed_trust_context=1.341253 sequence=229.094555
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=74 node=N4684 type=control0 q_typed_trust_context=1.455189 sequence=230.549744
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=75 node=N7471 type=control0 q_typed_trust_context=1.394311 sequence=231.944055
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=76 node=N2083 type=observe q_typed_trust_context=2.352922 sequence=234.296978
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=77 node=N7370 type=control1 q_typed_trust_context=2.526960 sequence=236.823938
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=78 node=N513 type=control1 q_typed_trust_context=4.348975 sequence=241.172913
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=79 node=N504 type=control1 q_typed_trust_context=2.364271 sequence=243.537185
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_trust_context=1.823820 sequence=245.361005
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=81 node=N4557 type=control0 q_typed_trust_context=1.742711 sequence=247.103715
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=82 node=N7724 type=control0 q_typed_trust_context=3.989739 sequence=251.093454
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=83 node=N7854 type=control0 q_typed_trust_context=1.576835 sequence=252.670289
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=84 node=N7543 type=control0 q_typed_trust_context=2.142291 sequence=254.812580
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=85 node=N516 type=control1 q_typed_trust_context=2.086372 sequence=256.898952
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=86 node=N520 type=control1 q_typed_trust_context=2.182119 sequence=259.081071
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=87 node=N7722 type=control0 q_typed_trust_context=4.329457 sequence=263.410528
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=88 node=N3904 type=control0 q_typed_trust_context=1.793803 sequence=265.204331
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=89 node=N3897 type=control0 q_typed_trust_context=2.231076 sequence=267.435407
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=90 node=N1533 type=control1 q_typed_trust_context=3.224457 sequence=270.659864
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=91 node=N3862 type=control0 q_typed_trust_context=3.836357 sequence=274.496221
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=92 node=N3855 type=control0 q_typed_trust_context=2.424305 sequence=276.920527
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=93 node=N3848 type=control0 q_typed_trust_context=3.012211 sequence=279.932737
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=94 node=N3841 type=control0 q_typed_trust_context=3.642560 sequence=283.575297
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=95 node=N7723 type=control0 q_typed_trust_context=5.321350 sequence=288.896647
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=96 node=N7725 type=control0 q_typed_trust_context=2.471537 sequence=291.368184
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=97 node=N556 type=control1 q_typed_trust_context=1.991187 sequence=293.359371
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=98 node=N555 type=control1 q_typed_trust_context=2.495259 sequence=295.854630
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=99 node=N7735 type=control0 q_typed_trust_context=4.029798 sequence=299.884429
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=100 node=N634 type=control1 q_typed_trust_context=1.800940 sequence=301.685368
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=101 node=N3827 type=control0 q_typed_trust_context=2.518574 sequence=304.203942
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=102 node=N7408 type=control0 q_typed_trust_context=2.144797 sequence=306.348739
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=103 node=N7872 type=control1 q_typed_trust_context=2.221073 sequence=308.569811
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_trust_context=3.173972 sequence=311.743783
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=105 node=N3820 type=control0 q_typed_trust_context=4.662017 sequence=316.405800
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=106 node=N3813 type=control0 q_typed_trust_context=3.886454 sequence=320.292253
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=107 node=N3799 type=control0 q_typed_trust_context=3.238425 sequence=323.530678
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=108 node=N7820 type=control0 q_typed_trust_context=2.083455 sequence=325.614134
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=109 node=N7870 type=control1 q_typed_trust_context=3.139725 sequence=328.753858
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=110 node=N3180 type=control1 q_typed_trust_context=3.189043 sequence=331.942901
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=111 node=N620 type=control1 q_typed_trust_context=2.576997 sequence=334.519898
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=112 node=N3792 type=control0 q_typed_trust_context=3.857510 sequence=338.377408
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=113 node=N3785 type=control0 q_typed_trust_context=3.551241 sequence=341.928648
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=114 node=N3410 type=control1 q_typed_trust_context=4.069673 sequence=345.998321
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=115 node=N3701 type=control0 q_typed_trust_context=3.532198 sequence=349.530519
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=116 node=N4520 type=control0 q_typed_trust_context=4.929254 sequence=354.459773
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=117 node=N1411 type=control0 q_typed_trust_context=3.965799 sequence=358.425572
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=118 node=N3681 type=control0 q_typed_trust_context=2.427613 sequence=360.853185
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=119 node=N638 type=control1 q_typed_trust_context=1.779023 sequence=362.632209
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=120 node=N614 type=control1 q_typed_trust_context=2.056685 sequence=364.688893
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=121 node=N7588 type=control1 q_typed_trust_context=2.338775 sequence=367.027669
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=122 node=N610 type=control1 q_typed_trust_context=2.548405 sequence=369.576074
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=123 node=N7590 type=control1 q_typed_trust_context=2.756073 sequence=372.332147
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=124 node=N7877 type=control1 q_typed_trust_context=1.790712 sequence=374.122859
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=125 node=N7879 type=control1 q_typed_trust_context=1.622238 sequence=375.745097
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=126 node=N645 type=control1 q_typed_trust_context=1.757571 sequence=377.502668
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=127 node=N578 type=observe q_typed_trust_context=1.568041 sequence=379.070709
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=128 node=N7856 type=control1 q_typed_trust_context=1.296319 sequence=380.367028
