[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_rank_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 budgets=iscas99__b15_1:278
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:51:22 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_residual_context=1.703400 sequence=125.892503
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_residual_context=1.147550 sequence=127.040052
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_residual_context=2.131722 sequence=129.171774
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_residual_context=1.993132 sequence=131.164906
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_residual_context=1.813736 sequence=132.978642
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_residual_context=2.003792 sequence=134.982434
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_residual_context=3.004717 sequence=137.987151
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_residual_context=1.536728 sequence=139.523879
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_residual_context=1.390060 sequence=140.913939
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4684 type=control0 q_typed_residual_context=2.081198 sequence=142.995136
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N704 type=observe q_typed_residual_context=2.002192 sequence=144.997328
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N3911 type=control0 q_typed_residual_context=0.955364 sequence=145.952692
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=2.059623 sequence=148.012316
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4698 type=control0 q_typed_residual_context=1.812827 sequence=149.825143
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N724 type=observe q_typed_residual_context=1.576416 sequence=151.401559
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4705 type=control0 q_typed_residual_context=1.812337 sequence=153.213896
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N7888 type=control1 q_typed_residual_context=1.095632 sequence=154.309528
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N3862 type=control0 q_typed_residual_context=1.149786 sequence=155.459315
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4712 type=control0 q_typed_residual_context=1.815264 sequence=157.274579
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4716 type=control0 q_typed_residual_context=1.731231 sequence=159.005810
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N3855 type=control0 q_typed_residual_context=1.096366 sequence=160.102176
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N7471 type=control0 q_typed_residual_context=1.368679 sequence=161.470855
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N7889 type=control1 q_typed_residual_context=1.698175 sequence=163.169030
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N713 type=observe q_typed_residual_context=2.671763 sequence=165.840793
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N3848 type=control0 q_typed_residual_context=1.599034 sequence=167.439827
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N3827 type=control0 q_typed_residual_context=1.874889 sequence=169.314717
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N3820 type=control0 q_typed_residual_context=2.099350 sequence=171.414066
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N3813 type=control0 q_typed_residual_context=2.197415 sequence=173.611481
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3799 type=control0 q_typed_residual_context=2.335675 sequence=175.947156
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N3792 type=control0 q_typed_residual_context=2.389361 sequence=178.336516
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3785 type=control0 q_typed_residual_context=2.531167 sequence=180.867683
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_residual_context=2.782754 sequence=183.650437
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N7881 type=control1 q_typed_residual_context=2.332579 sequence=185.983016
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7887 type=control1 q_typed_residual_context=3.430262 sequence=189.413277
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N4585 type=control0 q_typed_residual_context=3.583883 sequence=192.997161
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N7890 type=control1 q_typed_residual_context=2.559039 sequence=195.556199
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_residual_context=3.593639 sequence=199.149838
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_residual_context=2.989000 sequence=202.138838
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N3897 type=control0 q_typed_residual_context=2.938231 sequence=205.077069
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N3904 type=control0 q_typed_residual_context=3.040939 sequence=208.118008
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N3841 type=control0 q_typed_residual_context=2.654735 sequence=210.772743
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N4557 type=control0 q_typed_residual_context=2.475980 sequence=213.248723
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N4606 type=control0 q_typed_residual_context=2.710842 sequence=215.959565
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N1539 type=control0 q_typed_residual_context=2.677889 sequence=218.637455
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N519 type=control1 q_typed_residual_context=3.307903 sequence=221.945358
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7722 type=control0 q_typed_residual_context=2.095730 sequence=224.041088
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7724 type=control0 q_typed_residual_context=2.003703 sequence=226.044791
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N504 type=control1 q_typed_residual_context=2.558290 sequence=228.603080
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N7891 type=control1 q_typed_residual_context=1.973432 sequence=230.576512
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N2079 type=observe q_typed_residual_context=2.340826 sequence=232.917338
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N722 type=observe q_typed_residual_context=3.628216 sequence=236.545554
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N3681 type=control0 q_typed_residual_context=4.409490 sequence=240.955044
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_residual_context=5.423020 sequence=246.378063
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_residual_context=4.637497 sequence=251.015560
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7408 type=control0 q_typed_residual_context=3.939011 sequence=254.954571
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_residual_context=3.218324 sequence=258.172895
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7723 type=control0 q_typed_residual_context=3.276919 sequence=261.449814
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N516 type=control1 q_typed_residual_context=5.027427 sequence=266.477241
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N520 type=control1 q_typed_residual_context=3.846753 sequence=270.323994
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7725 type=control0 q_typed_residual_context=3.537846 sequence=273.861840
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7875 type=control1 q_typed_residual_context=4.562494 sequence=278.424334
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7587 type=control1 q_typed_residual_context=3.929214 sequence=282.353548
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N555 type=control1 q_typed_residual_context=6.501008 sequence=288.854556
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N2340 type=observe q_typed_residual_context=3.757262 sequence=292.611819
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N556 type=control1 q_typed_residual_context=6.765402 sequence=299.377221
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N7370 type=control1 q_typed_residual_context=3.449066 sequence=302.826287
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N513 type=control1 q_typed_residual_context=4.406907 sequence=307.233194
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3124 type=control1 q_typed_residual_context=3.477894 sequence=310.711088
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N614 type=control1 q_typed_residual_context=4.058416 sequence=314.769504
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N1533 type=control1 q_typed_residual_context=4.771740 sequence=319.541244
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N634 type=control1 q_typed_residual_context=3.863562 sequence=323.404806
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7872 type=control1 q_typed_residual_context=3.134593 sequence=326.539400
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7588 type=control1 q_typed_residual_context=5.210581 sequence=331.749980
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N5603 type=observe q_typed_residual_context=1.661680 sequence=333.411661
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N694 type=observe q_typed_residual_context=4.073130 sequence=337.484791
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N7421 type=control1 q_typed_residual_context=5.613797 sequence=343.098587
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N7401 type=observe q_typed_residual_context=2.973961 sequence=346.072549
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N2102 type=observe q_typed_residual_context=6.986525 sequence=353.059074
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N7454 type=observe q_typed_residual_context=1.890486 sequence=354.949560
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N7871 type=control1 q_typed_residual_context=1.284307 sequence=356.233867
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N1411 type=control0 q_typed_residual_context=3.047455 sequence=359.281323
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N3352 type=control1 q_typed_residual_context=1.496388 sequence=360.777711
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N578 type=observe q_typed_residual_context=1.022943 sequence=361.800654
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N6533 type=observe q_typed_residual_context=1.841357 sequence=363.642011
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N706 type=observe q_typed_residual_context=1.287909 sequence=364.929920
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N2106 type=observe q_typed_residual_context=1.485702 sequence=366.415622
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2580 type=control1 q_typed_residual_context=1.740067 sequence=368.155689
[b15-round5/prefix_rank_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N7402 type=observe q_typed_residual_context=1.580620 sequence=369.736308
