[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 budgets=iscas99__b15_1:278
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N7888 type=control1 q_typed_residual_context=1.154042 sequence=231.889697
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7889 type=control1 q_typed_residual_context=1.139280 sequence=233.028978
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=1.405222 sequence=234.434200
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N7884 type=control1 q_typed_residual_context=1.140915 sequence=235.575115
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N516 type=control1 q_typed_residual_context=1.048189 sequence=236.623304
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N7721 type=control0 q_typed_residual_context=2.645086 sequence=239.268390
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N1411 type=control0 q_typed_residual_context=2.382357 sequence=241.650746
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N3840 type=control0 q_typed_residual_context=1.471258 sequence=243.122004
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7820 type=control0 q_typed_residual_context=4.404909 sequence=247.526914
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_residual_context=2.239528 sequence=249.766442
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N3904 type=control0 q_typed_residual_context=2.951610 sequence=252.718052
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_residual_context=2.339675 sequence=255.057727
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7870 type=control1 q_typed_residual_context=1.931087 sequence=256.988814
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7725 type=control0 q_typed_residual_context=2.616980 sequence=259.605794
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N3848 type=control0 q_typed_residual_context=3.643896 sequence=263.249690
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7541 type=control0 q_typed_residual_context=4.205804 sequence=267.455494
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7588 type=control1 q_typed_residual_context=4.592025 sequence=272.047519
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7408 type=control0 q_typed_residual_context=4.519426 sequence=276.566945
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N3827 type=control0 q_typed_residual_context=4.982382 sequence=281.549326
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N3820 type=control0 q_typed_residual_context=2.631441 sequence=284.180767
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N634 type=control1 q_typed_residual_context=2.866683 sequence=287.047450
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N3813 type=control0 q_typed_residual_context=2.955037 sequence=290.002487
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N614 type=control1 q_typed_residual_context=2.923579 sequence=292.926066
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3799 type=control0 q_typed_residual_context=3.064898 sequence=295.990964
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N3792 type=control0 q_typed_residual_context=2.179481 sequence=298.170445
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N694 type=observe q_typed_residual_context=6.548816 sequence=304.719261
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N7853 type=control0 q_typed_residual_context=4.186569 sequence=308.905830
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7852 type=control0 q_typed_residual_context=3.156171 sequence=312.062001
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7846 type=control0 q_typed_residual_context=6.180611 sequence=318.242613
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N7847 type=control0 q_typed_residual_context=5.348992 sequence=323.591604
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N7454 type=observe q_typed_residual_context=2.800963 sequence=326.392568
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N1533 type=control1 q_typed_residual_context=2.411382 sequence=328.803950
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N3785 type=control0 q_typed_residual_context=2.800728 sequence=331.604678
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N3701 type=control0 q_typed_residual_context=3.329811 sequence=334.934489
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N3681 type=control0 q_typed_residual_context=2.962754 sequence=337.897244
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N7401 type=observe q_typed_residual_context=2.431019 sequence=340.328263
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N2102 type=observe q_typed_residual_context=3.132200 sequence=343.460462
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N513 type=control1 q_typed_residual_context=1.439823 sequence=344.900285
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N5878 type=observe q_typed_residual_context=1.482364 sequence=346.382649
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N556 type=control1 q_typed_residual_context=2.568638 sequence=348.951287
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_residual_context=2.707613 sequence=351.658900
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N555 type=control1 q_typed_residual_context=1.891410 sequence=353.550310
