[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_cql_sa/epoch_012/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 budgets=iscas99__b15_1:278
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_residual_context=1.827233 sequence=35.058991
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=4.931404 sequence=39.990395
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N2082 type=observe q_typed_residual_context=5.782106 sequence=45.772500
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.329383 sequence=52.101883
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.320483 sequence=57.422366
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.640414 sequence=62.062780
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=5.670801 sequence=67.733581
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_residual_context=6.954657 sequence=74.688238
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=4.753275 sequence=79.441513
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.265856 sequence=85.707368
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.144669 sequence=92.852037
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=8.046782 sequence=100.898819
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=2.961251 sequence=103.860070
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=3.224346 sequence=107.084417
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=3.403675 sequence=110.488092
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.352141 sequence=118.840233
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=3.421245 sequence=122.261478
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=5.726440 sequence=127.987918
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.835152 sequence=132.823070
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=5.728253 sequence=138.551323
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_residual_context=6.546395 sequence=145.097719
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=8.341551 sequence=153.439269
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3903 type=control0 q_typed_residual_context=0.338748 sequence=153.778018
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_residual_context=0.987115 sequence=154.765133
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=4.228961 sequence=158.994094
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=6.729134 sequence=165.723228
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=1.716263 sequence=167.439491
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N7883 type=control1 q_typed_residual_context=4.693863 sequence=172.133354
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3896 type=control0 q_typed_residual_context=0.845113 sequence=172.978467
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4663 type=control0 q_typed_residual_context=1.113927 sequence=174.092394
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N4606 type=control0 q_typed_residual_context=0.866934 sequence=174.959328
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N3889 type=control0 q_typed_residual_context=0.881276 sequence=175.840605
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=0.932908 sequence=176.773512
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N3882 type=control0 q_typed_residual_context=0.893872 sequence=177.667384
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N3805 type=control0 q_typed_residual_context=0.888125 sequence=178.555509
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_residual_context=0.954225 sequence=179.509734
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.118258 sequence=180.627992
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N713 type=observe q_typed_residual_context=1.754525 sequence=182.382517
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=1.324709 sequence=183.707226
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4684 type=control0 q_typed_residual_context=1.220400 sequence=184.927626
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N704 type=observe q_typed_residual_context=1.138027 sequence=186.065653
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.315774 sequence=187.381427
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.102599 sequence=188.484026
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3862 type=control0 q_typed_residual_context=1.097337 sequence=189.581363
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.010709 sequence=190.592072
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4578 type=control0 q_typed_residual_context=1.160458 sequence=191.752530
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.069759 sequence=192.822289
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.018048 sequence=193.840337
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4705 type=control0 q_typed_residual_context=1.099919 sequence=194.940256
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4670 type=control0 q_typed_residual_context=1.213887 sequence=196.154143
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_residual_context=1.230232 sequence=197.384375
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_residual_context=1.015385 sequence=198.399761
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N4564 type=control0 q_typed_residual_context=0.898737 sequence=199.298497
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N5603 type=control0 q_typed_residual_context=1.253767 sequence=200.552264
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N722 type=observe q_typed_residual_context=2.625068 sequence=203.177331
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N2040 type=observe q_typed_residual_context=1.260606 sequence=204.437937
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N4557 type=control0 q_typed_residual_context=1.580984 sequence=206.018921
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N2083 type=observe q_typed_residual_context=2.002045 sequence=208.020966
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=1.968566 sequence=209.989532
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N3722 type=control0 q_typed_residual_context=1.998359 sequence=211.987890
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7854 type=control0 q_typed_residual_context=2.908203 sequence=214.896094
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N578 type=observe q_typed_residual_context=2.879300 sequence=217.775394
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N3855 type=control0 q_typed_residual_context=2.261017 sequence=220.036410
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N3897 type=control0 q_typed_residual_context=1.224294 sequence=221.260704
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7543 type=control0 q_typed_residual_context=1.187456 sequence=222.448160
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N519 type=control1 q_typed_residual_context=1.405640 sequence=223.853799
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N7722 type=control0 q_typed_residual_context=1.410733 sequence=225.264532
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_residual_context=1.240844 sequence=226.505376
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N504 type=control1 q_typed_residual_context=2.515282 sequence=229.020658
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N7886 type=control1 q_typed_residual_context=0.656391 sequence=229.677050
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7887 type=control1 q_typed_residual_context=1.074262 sequence=230.751312
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N7888 type=control1 q_typed_residual_context=1.154051 sequence=231.905363
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7889 type=control1 q_typed_residual_context=1.139258 sequence=233.044621
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=1.405387 sequence=234.450008
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N7884 type=control1 q_typed_residual_context=1.140901 sequence=235.590909
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N516 type=control1 q_typed_residual_context=1.048187 sequence=236.639096
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N7721 type=control0 q_typed_residual_context=2.645073 sequence=239.284169
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N1411 type=control0 q_typed_residual_context=2.382362 sequence=241.666531
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N3840 type=control0 q_typed_residual_context=1.471325 sequence=243.137856
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7820 type=control0 q_typed_residual_context=4.404889 sequence=247.542745
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_residual_context=2.239528 sequence=249.782273
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N3904 type=control0 q_typed_residual_context=2.951605 sequence=252.733877
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_residual_context=2.339689 sequence=255.073566
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7870 type=control1 q_typed_residual_context=1.931078 sequence=257.004644
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7725 type=control0 q_typed_residual_context=2.616988 sequence=259.621633
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N3848 type=control0 q_typed_residual_context=3.643912 sequence=263.265545
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7541 type=control0 q_typed_residual_context=4.205834 sequence=267.471379
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7588 type=control1 q_typed_residual_context=4.592029 sequence=272.063408
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7408 type=control0 q_typed_residual_context=4.519426 sequence=276.582834
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N3827 type=control0 q_typed_residual_context=4.982383 sequence=281.565216
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N3820 type=control0 q_typed_residual_context=2.631443 sequence=284.196659
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N634 type=control1 q_typed_residual_context=2.866699 sequence=287.063358
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N3813 type=control0 q_typed_residual_context=2.955032 sequence=290.018390
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N614 type=control1 q_typed_residual_context=2.923558 sequence=292.941948
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3799 type=control0 q_typed_residual_context=3.064903 sequence=296.006851
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N3792 type=control0 q_typed_residual_context=2.179477 sequence=298.186328
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N694 type=observe q_typed_residual_context=6.548816 sequence=304.735144
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N7853 type=control0 q_typed_residual_context=4.186570 sequence=308.921713
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7852 type=control0 q_typed_residual_context=3.156164 sequence=312.077877
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7846 type=control0 q_typed_residual_context=6.180616 sequence=318.258493
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N7847 type=control0 q_typed_residual_context=5.348992 sequence=323.607485
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N7454 type=observe q_typed_residual_context=2.800956 sequence=326.408441
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N1533 type=control1 q_typed_residual_context=2.411377 sequence=328.819818
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N3785 type=control0 q_typed_residual_context=2.800728 sequence=331.620547
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N3701 type=control0 q_typed_residual_context=3.329820 sequence=334.950366
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N3681 type=control0 q_typed_residual_context=2.962754 sequence=337.913120
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N7401 type=observe q_typed_residual_context=2.431002 sequence=340.344122
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N2102 type=observe q_typed_residual_context=3.132186 sequence=343.476308
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N513 type=control1 q_typed_residual_context=1.439823 sequence=344.916131
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N5878 type=observe q_typed_residual_context=1.482361 sequence=346.398492
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N556 type=control1 q_typed_residual_context=2.568642 sequence=348.967134
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_residual_context=2.707612 sequence=351.674746
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N555 type=control1 q_typed_residual_context=1.891411 sequence=353.566157
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2157 type=observe q_typed_residual_context=5.757792 sequence=359.323949
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N638 type=control1 q_typed_residual_context=2.079242 sequence=361.403191
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N620 type=control1 q_typed_residual_context=1.728510 sequence=363.131701
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N520 type=control1 q_typed_residual_context=1.792990 sequence=364.924691
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N610 type=control1 q_typed_residual_context=1.437122 sequence=366.361813
